"HITMAN_TARGET_33_SHORT_DESC": "非協力的なサプリ製造組織"
"DIVERSION_COMBAT_TRICKS_GANG_KILL": "ギャングキル"
"ACT_HITMAN_START CAR_MSG": "客からひき逃げをしてほしいとのリクエストだ"
"HITMAN_TARGET_61_DESCRIPTION": "ヘス地方検事が市長選挙に出馬するつもりらしい。この街に市長は足りてるしヤツがしゃしゃり出てくる必要はない。[format][color:em]HENRY MILLSの連邦裁判所[/format]でヤツをつかまえて考え直すよう「説得」してくれ"
"HITMAN_TARGET_34_SHORT_DESC": "急募！！夫を始末して！"
"DIVERSION_CHALLENGES_VEHICLES_FLIPPED": "ひっくり返した車両"
"DIVERSION_LOW_FLYING": "低空飛行"
"CHOPSHOP_SHORT_4_4": "COMMANDERの注文"
"HITMAN_LOC_3_1": "CAMANO PLACE"
"HITMAN_TARGET_5_1": "バーニー"
"DIVERSION_CHALLENGES_NO_WEAPON_KILLS": "素手で倒した人数"
"DIVERSION_CHALLENGES_VEHICLE_MODDING_D": "この街で車を転がしたいなら改造しなきゃな！スティールポートで一番のスカウトより詳しいヤツがいると思うか？"
"DIVERSION_COOP_SURVIVAL_START_MESSAGE": "協力サバイバル中は{ATTACK_SECONDARY_IMG}+{ATTACK_PRIMARY_IMG}を長押しして復活"
"DIVERSION_THEFT_LOCKOUT": "閉鎖！残り%d秒"
"DIVERSION_STUNT_JUMPING_NORMAL_STATS": "距離%.0fメートル、高さ%.0fメートル"
"ACT_HOLDUP_START_MSG_1": "強盗を開始"
"TUT_DIV_INTRO_HITMAN": "ターゲットの暗殺契約をした。依頼者の説明にしたがってターゲットを見つけ出し始末しろ"
"DIVERSION_CHALLENGES_GANG_OPS_DESTROYED_D": "世の中金がすべてだ。ヤツらの作戦に必要な資金を打ち切ることができれば街を牛耳る日が近くなるぜ"
"DIVERSION_CHALLENGES_BAILOUT_DISTANCE": "脱出距離合計"
"CHOPSHOP_SHORT_5_2": "BRAVOターゲット情報：N-FORCER"
"CHOPSHOP_LONG_4_1": "うちは飛行機と船舶の専門店なんだが商品の調達係を募集している。手始めに、簡単な仕事から頼むとしよう。SHARKを手に入れてドックまで運んでくれ。うまくやってくれたら次も考えるぞ。CAMANO PLACE付近を探してみてくれ"
"DIVERSION_CHALLENGES_BRUTE_GRABS": "ブルートにつかまれた回数"
"DIVERSION_EXPLORATION_HOOD": "%lsを探索した"
"DIVERSION_DRIVEBY_START_MESSAGE": "デバージョン「ドライブバイ」を開始"
"DIVERSION_BACK_SEAT_DRIVER": "ロードキル"
"HITMAN_TARGET_63_SHORT_DESC": "緊急ニュース速報！"
"ACT_HITMAN_START GUN_MSG": "客から%sで始末してほしいとのリクエストだ"
"HITMAN_TARGET_21_DESCRIPTION": "ルーサーはとんでもないスケベ野郎だ。世の中そんなヤツだらけなのは知ってるがあいつは俺が[format][color:em]LOREN SQUARE[/format]へ行くたびにしつこく寄ってくるんだ。お願いだ、あいつを消してくれ。近寄りやすそうな人間には見境なく声をかけるヤツだから[format][color:em]通行人にかたっぱしから敬意を示す[/format]といいだろう"
"PAUSE_ACT_HITMAN_SWITCH_SELECT": "アクティビティ変更／場所選択"
"DIVERSION_DRIVEBY_DIVERSION_SILVER_LEVEL_REWARD_NAME": "[format][color:silver]シルバー[/format]"
"DIVERSION_COMBAT_TRICKS_MOTORCYCLE_SWORD_KILL": "めった切り"
"DIVERSION_BEST_JUMP_FALL": "ビッグエア落下記録"
"DIVERSION_BASE_JUMPING_TARGET_MESSAGE": "目標地点の中心に降りればボーナスが出る"
"CHOPSHOP_SHORT_3_4": "SCRUBBERをいただけ"
"TUT_DIVERSION_RESPECT_CAP": "このデバージョンで獲得できるリスペクトの最大値を超えた。次はリスペクトの代わりにキャッシュを獲得するようになる"
"HITMAN_LOC_4_1": "SUNSET PARK"
"HITMAN_TARGET_2_1": "ルーサー"
"DIVERSION_CHALLENGES_MORNINGSTAR_SPECIALISTS_D": "モーニングスターの息の根を止めたらチキン野郎どもはねぐらに帰るだろうね？ああ、こんなたとえは忘れてくれ...あいつらをぶっ殺してくれればいい！"
"DIVERSION_CHALLENGES_FIND_SHORTCUTS": "見つけたショートカット"
"DIVERSION_CHALLENGES_DESTROY_BOATS": "破壊した船"
"DIVERSION_BEST_STOPPIE": "ストッピー記録"
"HITMAN_TARGET_73_SHORT_DESC": "金ヅルを絶て"
"DIVERSION_CHOP_COLLECTION_TITLE": "%ls：%ls"
"CHOPSHOP_LONG_3_1": "労働者層を相手にヤミ改造工場をやってるんだが、パワーがあってブレーキは控えめな車を探してる。このド派手なBOOTLEGGERが手に入れば、車体の重さに見合う金が入るぜ。持ち主はたいていROSERN OAKSの辺りをブラついてるぞ"
"CHOPSHOP_SHORT_2_2": "NEURONの上物パーツ"
"TUT_DIV_INTRO_COOP_CAT_AND_MOUSE": "プレイヤー（マウス）は全速力でチェックポイントを目指せ。プレイヤー（キャット）は追跡し、逃げ切られる前に撃破しろ"
"DIVERSION_WHEELS_TITLE": "ホイール"
"DIVERSION_EXPLORATION_SECRET_SUBTITLE": "見つけたエリア"
"DIVERSION_BEST_JUMP_SPIN": "ビッグエアスピン記録"
"CHOPSHOP_LONG_3_4": "SCRUBBERは路上清掃車だ。この街の路上やカジノの駐車場からゴミだの血だのゲロだのを取り除いてくれる。深夜にDOWNTOWNへ行けばそこらじゅうで見かけるはずだ"
"HITMAN_LOC_5_2": "PORT PRYOR"
"HITMAN_TARGET_3_2": "ジェイク"
"DIVERSION_CHALLENGES_ONCOMING_LANE": "逆走距離"
"DIVERSION_CHALLENGES_DO_HEADSHOTS": "ヘッドショット"
"DIVERSION_SURVIVAL_OUT_OF_HOOD_TEXT": "%d秒以内に縄張りに戻れ"
"DIVERSION_DRIVER_BAILOUT_MAX_DISTANCE_FEET": "記録！距離：%.1fフィート"
"TUT_TITLE_BARNSTORMING": "アクロバット飛行"
"HITMAN_LOC_H1_1": "SUNSET PARK"
"HITMAN_TARGET_H21_DESCRIPTION": "元地方検事のマイケルって男なんだけど、今はデッカーの協力者をやってるの。例の個人情報保護に関する本を書いた人よ。私も持ってるけど、結構よく書けてるわ...彼は車で出勤するから[format][color:em]パトカーを調達[/format]して[format][color:em]ASHWOOD[/format]内に停車させれば楽勝よ"
"HITMAN_TARGET_H1_1": "アレハンドロ"
"DIVERSION_CHALLENGES_RESPECT_EARNED": "獲得したリスペクト"
"DIVERSION_CHALLENGES_WHEELIE_DISTANCE": "ウィリー距離"
"DIVERSION_CHALLENGES_STUNT_JUMP_DISTANCE_D": "俺が求めてるものがわかるか？速い車と空中スタントだよ。お前ちょっと行ってきてジャンプでも決めてきたらどうだ？"
"DIVERSION_CHALLENGES_STREAKING_TIME_D": "セインツはスティールポートでちょっとしたおもてなしをしなきゃいけないの...非暴力的な娯楽よ。やれって言うつもりはないけど、やってみたら楽しいかもよ"
"DIVERSION_BARNSTORMING_KNIFE_EDGE": "ナイフエッジ飛行"
"CHOPSHOP_SHORT_3_1": "手始めはBOOTLEGGER調達依頼"
"CHOPSHOP_LONG_2_2": "ストリートレースにNEURONは欠かせないの。だから当然、パーツは人気が高いわ。HENRY\nSTEEL MILLSの辺りを探してね"
"HITMAN_LOC_4_4": "LOREN SQUARE"
"HITMAN_TARGET_52_DESCRIPTION": "[format][color:em]3 COUNT[/format]で警備員をしているランドールは店の売り上げに手をつけてやがる。カジノの近くで[format][color:em]客を何人か襲うなりして[/format]騒ぎを起こせば、ヤツをおびき出せるはずだ。誠実なギャンブラーたちが安心してギャンブルできる街になるよう協力してくれ"
"HITMAN_TARGET_21_SHORT_DESC": "ストーカーをストーキング"
"HITMAN_TARGET_2_4": "チャンドラー"
"DIVERSION_CHALLENGES_STOPPIE_DISTANCE": "ストッピー距離"
"DIVERSION_SURVIVAL_TITLE": "サバイバル"
"DIVERSION_COMBAT_TRICKS_PLAYER_KILL": "協力キル"
"DIVERSION_BEST_TWO_WHEELS_FEET": "片輪走行記録：%.0fフィート！"
"DIVERSION_BEST_STOPPIE_FEET": "ストッピー記録：%.0fフィート！"
"HITMAN_TARGET_H11_SHORT_DESC": "荷物の受け取り依頼"
"PHOTO_OP_USE_MESSAGE": "スナップショットを撮る"
"DIVERSION_WHORING_SUCCESS": "なかなかのテクニシャンだな！"
"DIVERSION_SURVIVAL_GOAL_TAG": "ゴール"
"HITMAN_TARGET_64_DESCRIPTION": "いい加減にしてくれよ！！ピザ屋の野郎どんだけアホなんだよ！！注文どおりに持ってきたためしがねえじゃねえか！！お前もためしに[format][color:em]YEARWOODへ行って電話で注文[/format]してみろよ！もう我慢できねえ！！ピザが食いてえんだ！！何とかしろ！！早く[format][color:em]あのアホをぶっ殺してくれ[/format]！！アタマがおかしくなっちまうううぅぅ！！"
"HITMAN_TARGET_64_SHORT_DESC": "ヤツは社会の敵だ！！なんとかしてくれ！！"
"DIVERSION_CHALLENGES_RUN_OVER_CIVILIANS_D": "鈍器損傷によるトラウマを分析するにはサンプルは多い方がいい。少なくとも私はそう思っている"
"DIVERSION_LOW_FLYING_TITLE": "低空飛行"
"CHOPSHOP_LONG_4_4": "こいつは海の用心棒だ。メコンデルタのクルージングも、海の犯罪者の駆逐もそつなくこなせる。当然、密輸業者御用達だ。記念碑の北側にある国家警備隊基地SIERRA POINTに行けば必ずどこかに停泊してるはずだ"
"TUT_TITLE_CHOP_SHOP": "ヤミ改造工場"
"HITMAN_LOC_2_2": "ROSEN OAKS"
"HITMAN_TARGET_4_2": "ブレイズ"
"DIVERSION_CHALLENGES_2_WHEEL_DISTANCE": "片輪走行距離"
"DIVERSION_CHALLENGES_STAG_CARJACKS": "カージャックしたSTAG車両"
"DRUG_PACKAGE_COLLECTED": "サプリパッケージ"
"DIVERSION_COMBAT_TRICKS_MP_PLAYER_KILL": "プレイヤーキル"
"ACT_HITMAN_COMPLETE BONUS_MSG": "すばらしい。戻ってボーナスを受け取れ"
"DIVERSION_STUNT_JUMPING_NORMAL_STATS_FEET": "距離%.0fフィート、高さ%.0fフィート"
"DIVERSION_CHOP_SHOP_SEARCH": "ターゲット車両を探せ"
"DIVERSION_BASE_JUMPING_TITLE": "パラシュート降下"
"CHOPSHOP_LONG_5_2": "STAGだけがN-FORCERを乗り回し、我々の顧客に入手手段がないのは不公平だ。「機会の均等化」に協力してもらいたい。君ほどのやつなら何をすれば向こうから出向いてくるかわかるだろう？"
"CHOPSHOP_SHORT_4_1": "RIGG'S SEA-AIR SUPPLIES：SHARK調達依頼"
"HITMAN_LOC_3_4": "LOREN SQUARE"
"HITMAN_TARGET_53_DESCRIPTION": "いつもいい仕事をしてくれてありがとうよ。今日は新しい依頼だ。ミスター・ディックソンは組織内で幅を利かせてる男だが、リムジン以外には一切乗らないというつけあがったタマだ。[format][color:em]LOREN SQUARE[/format]にヤツのオフィスがある。その近くで[format][color:em]リムジンに乗って待ち伏せしろ[/format]。少し早いがミスター・ディックソンには、退職していただこう"
"HITMAN_TARGET_31_SHORT_DESC": "RE：スティールポート市民サービス"
"HITMAN_TARGET_5_4": "ジム"
"DIVERSION_SURVIVAL_ACTIVATE_MESSAGE": "サバイバル！"
"CHOPSHOP_SHORT_3_2": "借金のカタにCOMPENSATOR"
"CHOPSHOP_LONG_2_1": "うちの店はスティールポート中のチューナーのニーズに対応できるように、最高のパーツをそろえてるの。HALBERDは天井こそ低くて窮屈だけど、初心者チューナーでも改造しやすい手頃な車よ。BRICKSTONの辺りを探してみて"
"HITMAN_TARGET_H32_SHORT_DESC": "ウチの女に手を出すな..."
"DIVERSION_COOP_SUCCESS_CLIENT_WIN": "%.0fドル獲得！{PICKUP_RELOAD_IMG}で続行する"
"HITMAN_TARGET_H32_DESCRIPTION": "クロヴィスとかいう腕利きの整備士がいるんだが、オレのエステティシャンに乱暴しやがる。女たちがやる気をなくすからこれ以上放っておくわけにはいかねえ。安心して働ける職場作りに協力してもらえねえか？優秀な整備士がいなくなるのは惜しいがな。[format][color:em]ヤツに仕事を頼んでから[/format]、始末してくれ。クロヴィスは[format][color:em]CAMANO PLACE[/format]のRIM JOBSにいるぜ"
"DIVERSION_CHALLENGES_FIND_SHORTCUTS_D": "孫子の言葉に「国家の自然形成は兵士にとって一番の味方」ってのがある。スティールポートにも同じことが言えるな。街中にあるショートカットを見つけてくれ"
"DIV_STREAKING_COMPLETE": "デバージョン「ストリーキング」全レベルクリア！"
"CHOPSHOP_SHORT_2_4": "オシャレなドル箱VORTEX"
"HITMAN_LOC_5_1": "ROSEN OAKS"
"HITMAN_TARGET_41_DESCRIPTION": "どうやら、シンジケートが「ナイーブなブルート」を造ってしまったらしい... どう考えても欠陥品だ。即刻排除しなくては。[format][color:em]DOWNTOWNの公園[/format]へ行けば、花のにおいをかいでいる欠陥品ブルートが見つかる。[format][color:em]武器を持たずに親しげに近づけ[/format]ば接近できるはずだ。よろしく頼む"
"HITMAN_TARGET_3_1": "トニー"
"DIVERSION_CHALLENGES_NO_WEAPON_KILLS_D": "リングの中では銃にもナイフにも頼れない。自分のパートナーですら頼りにならない。頼れるのは己の拳だけってことを学ぶんだ"
"DIVERSION_CHALLENGES_DESTROY_TANKS_D": "鉄クズはトン単位で換算するからこいつで一番稼げるのも当然だ！まかせたぜ！"
"HITMAN_LOC_H1_2": "NEW BARANEC"
"HITMAN_TARGET_H1_2": "ジェラード"
"DIVERSION_COOP_CLIENT_CONTINUE": "{MENU_SELECT_IMG}続行する"
"DIVERSION_SURVIVAL_START_MESSAGE": "デバージョン「サバイバル」を開始"
"DIVERSION_STUNT_JUMPING_TITLE": "スタントジャンプ"
"DIV_COMBAT_TRICKS_DISPLAY_NAME": "戦闘トリック"
"HITMAN_TARGET_H33_DESCRIPTION": "アンドレは大物のスカウトで、この街のエステティシャンの半分はヤツに雇われてる。ただしおびき出すのは至難の業だぞ。[format][color:em]ESPINAにいるエステティシャンは全員アンドレが管理してるから、かたっぱしからぶちのめしてやれ[/format]。[format][color:em]あの辺りのモーニングスターどもを怒らせてやれば[/format]、必ず親玉が顔を出すはずだ"
"HITMAN_TARGET_12_SHORT_DESC": "あるDJの演奏がヒドい件"
"DIVERSION_CHALLENGES_SHOTS_FIRED": "発砲した銃弾"
"PAUSE_ACT_HITMAN_TITLE": "ヒットマン"
"DIVERSION_EXPLORATION_LOCATION": "%lsを見つけた"
"CHOPSHOP_LONG_5_1": "我々は、警察や軍の装備を第三諸国の特定クライアントに提供している一流の組織だ。君が LOCKDOWNを調達してその実力を証明できれば、より重要な仕事を任せる事も考えている。この特殊車両はSWATが移動や道路の封鎖に使う車両だ。ヤツらを怒らせてやれば封鎖地点で見つかるだろう"
"CHOPSHOP_SHORT_4_2": "MIAMI調達依頼"
"HITMAN_TARGET_H22_SHORT_DESC": "頭痛薬必須"
"DIVERSION_CHALLENGES_SMART_MOTORCYCLE_KILLS": "破壊したバイク"
"DIVERSION_CHALLENGES_HOSTAGES_TAKEN_D": "わが社で開発した「カタトネックス」というストレス緩和剤がある。でも、ここの住民はお気楽だから、売上は落ちる一方だ。あんたに一仕事してもらいたい"
"DIVERSION_THEFT_UNLOCK_DOOR": "扉を開けろ"
"DIVERSION_SURVIVAL_KILLS_TAG": "キル："
"DIVERSION_CHALLENGES_GRENADE_KILLS_D": "多くの買い物客が見込める今度の休日FRIENDLY FIREでは手榴弾のサンプルを配る予定だ。いくつか試してみて配る価値があるかどうか教えてくれ。"
"DIVERSION_TWO_WHEELS": "片輪走行"
"DIVERSION_STUNTJUMP_SUBTITLTE": "スタントジャンプ"
"CHOPSHOP_SHORT_5_4": "DELTAターゲット情報：VULTURE"
"HITMAN_LOC_2_1": "LOREN SQUARE"
"HITMAN_TARGET_4_1": "ブルータス"
"DIVERSION_CHALLENGES_NEAR_MISSES_AIR": "飛行中ニアミス"
"DIVERSION_CHALLENGES_DESTROY_TANKS": "破壊した戦車"
"CHOPSHOP_SHORT_5_1": "HUMANITARIAN AID, INC. - LOCKDOWN"
"CHOPSHOP_LONG_4_2": "このMIAMIは80年代にヒットした刑事物ドラマの第1話で使われたもので、コレクターがどうしても欲しいと言っている。SUNSET PARKの埠頭周辺で見つかるはずだ"
"TUT_DIV_SURVIVAL_STARTED": "次々と襲ってくる敵を撃て。クリア条件はウェーブごとに異なる。（時間制限、一定数の敵を倒すなど）1ウェーブクリアするごとにボーナスを獲得できる"
"HITMAN_LOC_2_4": "SUNSET PARK"
"HITMAN_TARGET_4_4": "ドクター・ワン"
"DIVERSION_CHALLENGES_GIVE_COMPLIMENTS_D": "手垢のついた表現だが、ハートとマインドをつかむという発想は健全だ。セインツのために友好性を養っておくべきかもしれんな"
"DIVERSION_CHALLENGES_DESTROY_HELICOPTERS": "破壊したヘリ"
"DIVERSION_CHALLENGES_TAKE_DAMAGE": "受けたダメージ"
"DIVERSION_HOSTAGE_ESCAPED": "人質に逃げられた"
"DIVERSION_COMBAT_TRICKS_HUMAN_SHIELD_KILL": "シールドキル"
"ACT_HITMAN_WARN NOTORIETY_MSG": "まず警察をまけ！"
"HITMAN_TARGET_33_DESCRIPTION": "空港で荷物運搬係として働いているカールは荷物にサプリを紛れ込ませて密輸してるの。おまけに縄張りにちょっかいを出す者は容赦なく消す冷酷な男よ。[format][color:em]空港でカートを盗み出せ[/format]ば必ず近づいてくるはずよ"
"DIVERSION_NEAR_MISS_TITLE": "ニアミス"
"DIVERSION_FLASHING_RAN_OUT_OF_TIME_TEXT": "時間切れ！"
"DIVERSION_EXPLORATION_FOUND": "発見"
"DIVERSION_DRIVEBY_DIVERSION_ILLEGAL_KILL_STRING": "ドライブバイで[format][color:red]ギャングメンバー[/format]を始末する必要がある"
"CHOPSHOP_LONG_5_4": "キルベインは見栄を張ってVULTUREを手に入れたものの、操縦できる部下がおらず放置しているらしい。我々で有効活用してやろう。 3 COUNT CASINO付近のドックにあるはずだ"
"HITMAN_LOC_3_2": "CAMANO PLACE"
"HITMAN_TARGET_5_2": "ランドール"
"DIVERSION_CHALLENGES_STUNT_JUMP_DISTANCE": "ビッグエア距離"
"DIVERSION_CHALLENGES_FREEFALL": "パラシュート降下"
"DIVERSION_CHALLENGES_KILL DECKERS": "デッカーを始末しろ"
"ACT_HOLDUP_START_MSG_2": "照準は店員に合わせたままにしろ"
"TUT_TITLE_SURVIVAL": "サバイバル"
"DIVERSION_CHALLENGES_2_WHEEL_DISTANCE_D": "車が4輪で走ってるなんて退屈そのものだ！お前とオレで真の運転てものを見せてやろうぜ！"
"DIVERSION_SURVIVAL_HIT_CAMERAMAN_TEXT": "[format][color:green]カメラマン[/format]の近くではもっと慎重に行動しろ"
"DIVERSION_DRIVER_BAILOUT": "ドライバー脱出"
"DIVERSION_DRIVEBY_GANG_MEMBERS_FLEE": "連中を追い払った。次の場所へ向かえ！"
"ACT_HITMAN_FAIL_MSG": "時間切れだ"
"HITMAN_TARGET_32_DESCRIPTION": "オレのことは「ラスプーチン」と呼んでくれ。オレはモーニングスターの幹部だが込み入った事情で今のリーダーの顔に泥を塗ってやりたいと思っている。死体を埋めるセメントを運ぶトラックの運転手、ジェイクを探してくれ。[format][color:em]SALANDER[/format]の辺りを流してるはずだ。ヤツを消してもらえれば報酬はたっぷりはずむぞ"
"DIVERSION_BEST_JUMP_HEIGHT_FEET": "高度記録：%.0fフィート！"
"CHOPSHOP_LONG_3_2": "ギャンブルのツケを払えなくなったヤツがいてな。借金のカタにそいつのCOMPENSATORをいただくことになった。YEARWOODで見つかるはずだ"
"CHOPSHOP_SHORT_2_1": "HALBERDをお願い"
"HITMAN_LOC_5_4": "SUNSET PARK"
"HITMAN_TARGET_3_4": "ハリー"
"DIVERSION_WINDSHIELD_CANNON": "フロントガラス砲"
"TUT_DIV_CHOP_SHOP_VEHICLE_DAMAGE": "ヤミ改造工場に引き渡せ。\n破損が大きいほど買値が下がる。慎重に運転しろ"
"DIVERSION_VEHICLE_SURFING_STYLE_TWO_START_MESSAGE_TEXT": "カーサーフィン"
"DIVERSION_STUNT_JUMPING_STATS_ROLL": "回転%.0f{temp_degrees}"
"DIVERSION_HYDRAULICS_STYLE_1": "ハイドロ"
"ACT_HITMAN_KILL_MSG": "[format][color:red]ターゲット[/format]は殺された"
"CAT_MOUSE_PLAY_AGAIN": "もう一度プレイ"
"CHOPSHOP_LONG_2_4": "ヨーロッパ産ロードスターのスタイリッシュさと、転売での高価値、その両方を兼ね備えたのがVORTEXよ。要するに手に入れれば絶対に損は無いって事ね。DOWNTOWNの近くを探してね"
"HITMAN_LOC_4_2": "CARVER ISLAND"
"HITMAN_TARGET_2_2": "マイク"
"DIVERSION_CHALLENGES_DECKER_SPECIALISTS_D": "排除すべきデッカーがいるの。ヤツらはウロボロス プロトコルをクラックする寸前なのよ。アナタ... 意味は知らなくていいわ"
"DIVERSION_FLASHING_TITLE": "フラッシング"
