"CUST_ITEM_CF_HAIR_MED": "ДО ПЛЕЧ"
"CUST_VARIANT_HOOD_AND_POCKET": "КАПЮШОН С КАРМАНОМ"
"CUST_VARIANT_SILK": "ШЕЛК"
"CUST_VARIANT_LATEX": "ЛАТЕКС"
"CUST_ITEM_IMPRESSIONS_MALE_O": "МАНХЭТТЕН"
"CUST_ITEM_CM_STAG": "ЭЛИТА КАБАНА"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "ФОРМА ПОДБОРОДКА"
"CUST_COLOR_CLOTHING_GREENS_3": "ЗЕЛЕНЫЙ 3"
"SLOT_BULL_HORNS": "КЛАКСОНЫ"
"LOGO_UNIVERSITY_4": "Стилуотерский у. 4"
"CUST_VARIANT_NO_DECALS": "ПРОСТОЙ"
"CUST_SKIN_BLUE_3": "ЧИСТОЕ НЕБО"
"CUST_COMPLIMENT_X": "ПРИЙТИ В ЯРОСТЬ"
"CUST_VARIANT_STYLE_B": "СТИЛЬ 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "БОТИНКИ КОСМИЧЕСКОЙ ПРИНЦЕССЫ"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "ОЧКИ 5.0"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "МЕЛОМАН"
"CUST_COLOR_GRAY_3": "СЕРЫЙ 3"
"CUST_VARIANT_FADE_UP_JEANS": "ЗАТЕМНЕННЫЙ"
"CUST_TATTOO": "ТАТУ"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "РАЗМЕР ГЛАЗ"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "ГЛУБИНА ЛБА"
"CUST_TATTOO_RARM_8": "НЕМНОГО ВСЕГО"
"VEHICLE_PAINT_HEROMATTE_PAINT": "МАТОВЫЙ"
"VEHICLE_PAINT_MATTE_MATERIAL": "МАТОВЫЙ МАТЕРИАЛ"
"SLOT_GRILL_COLOR": "ЦВЕТ РЕШЕТКИ"
"SLOT_SIDE_MIRRORS": "БОКОВЫЕ ЗЕРКАЛА"
"SLOT_DECAL_2": "КАРТИНКА 2"
"CUST_VARIANT_BASIC": "ОСНОВНОЙ"
"CUST_CAT_MAKEUP": "КОСМЕТИКА"
"CUST_COLOR_CLOTHING_BLUES_2": "СИНИЙ 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ГРАНАТОВЫЙ 4"
"VEHICLE_COLOR_MORPH_BROWN": "КОРИЧНЕВЫЙ"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "СТИЛЬ 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "ДАМСКИЙ УГОДНИК"
"CUST_CAT_BACKPACK": "РЮКЗАК"
"STORE_WEAPON_LEVEL": "УРОВЕНЬ {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Увеличивается скорострельность и емкость обойм. Лазерный прицел повышает точность стрельбы от бедра. "
"CUST_VARIANT_DIRTY": "ГРЯЗНЫЙ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "КЛУБНАЯ РУБАШКА"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "МАЙКА \"ГОРОДСКОЕ САФАРИ\""
"CUST_FACIAL_ITEMS": "ПРЕДМЕТЫ"
"CUST_VARIANT_SMALL_HEARTS": "МАЛЕНЬКИЕ СЕРДЕЧКИ"
"CUST_VARIANT_GLOSSY": "ГЛЯНЦЕВЫЙ"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "ПАЛЬЦЕМ ПО ГОРЛУ"
"CUST_EYE_COLOR": "ЦВЕТ ГЛАЗ"
"CUST_COLOR_CLOTHING_GREENS_7": "ЗЕЛЕНЫЙ 7"
"CUST_COMP_FACE_SCAR_3": "БОЛЬШОЙ ШРАМ 3"
"CUST_COLOR_BRUNETTE": "БРЮНЕТ"
"LOGO_MUSEUM_ART": "МУЗЕЙ ИСКУССТВ"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "КУРТКА \"ГОРОДСКОЕ САФАРИ\" С ФУТБОЛКОЙ"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "РОК-НАПУЛЬСНИКИ"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "ВОДНО-СЕРЫЙ"
"CUST_VARIANT_BOWTIE": "НОРМАЛЬНЫЙ"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "ДЕДКОР-БОТИНКИ"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "ЧИСТО"
"CUST_WEAR_UNZIPPED_HOOD_UP": "РАССТЕГНУТЫЙ, С ОДЕТЫМ КАПЮШОНОМ"
"cm_toilet": "ТУАЛЕТ"
"CUST_ITEM_BANK_HEIST": "ОГРАБЛЕНИЕ БАНКА"
"CUST_MENU_GLOBAL": "ТЕЛО"
"PLAYER_MORPH_EAR_LOBE_TEXT": "МОЧКА УХА"
"VEHICLE_COLOR_BLUE_DARK_TINT": "ТЕМНО-СИНЯЯ КРАСКА"
"CUST_VARIANT_LIGHT_SILVER": "СВЕТЛОЕ СЕРЕБРО"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "БЕЙСБОЛКА БРАТАНА"
"CUST_ITEM_CM_BASIC_PARACHUTE": "БАЗОВЫЙ ПАРАШЮТ"
"PLAYER_FAT_TEXT": "ТОЛСТЫЙ"
"CUST_COLOR_CLOTHING_BLUES_6": "СИНИЙ 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "ЗЕЛЕНЫЙ ШАЛФЕЙ"
"Blonde": "БЛОНДИН"
"CUST_VARIANT_LEOPARD": "ЛЕОПАРД"
"CUST_ITEM_LEATHER_LACE_MALE_O": "ОТ НУЛЯ ДО СОТНИ"
"CUST_COMP_TEST_MUSTACHE": "ТЕСТОВЫЕ УСЫ"
"SLOT_ADJUSTABLE_SUSPENSION": "РЕГУЛИРУЕМАЯ ПОДВЕСКА"
"SLOT_DECAL_6": "КАРТИНКА 6"
"SLOT_JUNK/CLUTTER": "МУСОР/БЕСПОРЯДОК"
"CUST_COLOR_BLUE_2": "СИНИЙ 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "ШЛЕМ КАБАНА"
"COLOR_SLOT_PAINT_3": "РИСУНОК 3"
"COLOR_SLOT_INTERIOR_3": "ИНТЕРЬЕР 3"
"SLOT_SPINNERS_REAR": "ЗАДНИЕ СПИННЕРЫ"
"COMPONENT_OPTION_C": "ВАРИАНТ С (НЕ ДОЛЖЕН ИСПОЛЬЗОВАТЬСЯ)"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "КОЖАНЫЕ МОТОШТАНЫ"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "НАПУЛЬСНИК \"КОЖА И ШНУРОВКА\""
"CUST_ITEM_CF_CURLERS": "ДОМОХОЗЯЙКА ИЗ 50-Х"
"CUST_SAMEDI_COMPLIMENT_B": "ПОХВАЛА САМЕДИ 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "ПУРПУРНОЕ ПЛАМЯ"
"CUST_TATTOO_RIGHT_ARM": "ВСЯ ПРАВАЯ РУКА"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "ВЫСОТА НОЗДРЕЙ"
"VEHICLE_COLOR_COPPER_OXIDE": "ОКСИД МЕДИ"
"SLOT_EXHAUST": "ГЛУШИТЕЛЬ"
"CUST_WEAR_LEFT_ROLLED_LOW": "ЛЕВЫЙ ЗАСТЕГНУТ, нИЗКО"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "ПЕРЧАТКИ ДОМИНАТРИКС"
"CUST_SKIN_SMURF": "СИНИЙ ЭЛЬФ"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "ГЛУБИНА ПЕРЕНОСИЦЫ"
"SURGEON_CAT_EXPORT": "ЭКСПОРТ"
"SLOT_GRILL": "РЕШЕТКА РАДИАТОРА"
"FEMALE_HUGE": "БОЛЬШАЯ ЖЕНЩИНА"
"CUST_ITEM_FEMALE_LP_BRA_4": "ГЛАМУРНАЯ КИСА"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "БРАСЛЕТ-ПИЩАЛКА"
"CUST_SKIN_RED_YELLOW_3": "РОЗОВАЯ ПРИНЦЕССА"
"CUST_SKIN_METAL_4": "ЗЕЛЕНЫЙ"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "РАЗМЕР РАДУЖНОЙ ОБОЛОЧКИ"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "ГЛУБИНА БРОВЕЙ"
"CUST_COLOR_CLOTHING_RED_5": "КРАСНЫЙ 5"
"FEMALE_OBESE": "ПОЛНАЯ ЖЕНЩИНА"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "МАРША"
"PLAYER_CREATION_COLOR": "ЦВЕТ"
"IRIDESCENT_5": "РАДУЖНЫЙ 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "СТРАШНЫЙ СЕРЫЙ ВОЛК"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "ТОЛСТОВКА СВЯТЫХ С КАПЮШОНОМ"
"STORE_WEAPON_AVAILABLE": "ДОСТУПНО"
"PLAYER_CREATION_ADVANCED": "ДОПОЛНИТЕЛЬНОЕ"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "МОРСКАЯ ВОЛНА"
"VEHICLE_COLOR_BROWN_DARK_TINT": "ТЕМНО-КОРИЧНЕВАЯ ТОНИРОВКА"
"VEHICLE_COLOR_CARBON_STEEL": "УГЛЕРОДИСТАЯ СТАЛЬ"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "РИСУНОК 2 И РИСУНОК 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "ШЛЯПА 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "ПРИТВОРИМСЯ МАЛЬЧИКОМ B"
"FACIAL_EXPRESSION_SURPRISED": "УДИВЛЕННЫЙ"
"CUST_COLOR_YELLOW_2": "ЖЕЛТЫЙ 2"
"CUST_VARIANT_SHARKS": "АКУЛЫ"
"CUST_WEAR_AGAINST SKIN": "КОЖА"
"CUST_TATTOO_STOMACH_1": "ПУТЬ ЧЕСТИ"
"CUST_COMP_MUSTACHE_7": "КРОТ"
"CUST_VARIANT_STRIPES_B": "ПОЛОСКИ 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "НАРАСПАШКУ, ЗАСТЕГНУТЫЙ"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "ДЕЛОВОЙ ЧЕЛОВЕК"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "БАЙКЕРСКИЕ ОЧКИ"
"CUST_ITEM_CF_HAIR_LONGASYM": "АСИММЕТРИЧНАЯ"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "ПРОСТАЯ ЮБКА"
"CUST_GENDER": "ПОЛ"
"CUST_TATTOO_LEGS": "НОГИ"
"CUST_COMPLIMENT_T": "АПАЧ"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "РАЗМЕРЫ ЩЕК"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "ИНДИГО 3"
"CUST_VARIANT_VERTICAL": "ВЕРТИКАЛЬНЫЕ ПОЛОСЫ"
"CUST_WEAR_ZIPPED_HOOD_UP": "ЗАСТЕГНУТЫЙ, С ОДЕТЫМ КАПЮШОНОМ"
"CUST_ITEM_CM_DLC_HAT_ABOY": "КОТЕЛОК"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "КОЛЬЦА \"СТИЛЬ СВЯТЫХ\""
"CUST_COMP_FINGERNAILS_R": "МАНИКЮР СПРАВА"
"RIM_SET_014": "НАБОР ОБОДОВ 14"
"SLOT_LEFT_SIDE": "ЛЕВАЯ СТОРОНА"
"SLOT_REAR_BUMPER_EXTRAS": "ДЕТАЛИ ДЛЯ ЗАДНИХ БАМПЕРОВ"
"CUST_VARIANT_PATTERN_B": "СТИЛЬ 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ШЛЯПА \"КИСЛОТНЫЙ ДОМ\""
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "МОТОЦИКЛЕТНАЯ КУРТКА"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "ПОДЪЕМ РТА"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "СИНЕ-ЗЕЛЕНЫЙ 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Увеличенный боекомплект."
"CUST_GANG_CLUBBER": "ТУСОВЩИК"
"CUST_COLOR_RED_1": "КРАСНЫЙ 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "ТОЛСТОВКА OG"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "ПЕСТРЫЙ ДЕВИЧИЙ ТОП"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "ШИРИНА ЛБА"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ГРАНАТОВЫЙ 8"
"SLOT_FRONT_BUMPER_EXTRAS": "ДЕТАЛИ ПЕРЕДНИХ БАМПЕРОВ"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "НАРАСПАШКУ, РАССТЕГНУТЫЙ, С ГАЛСТУКОМ"
"CUST_ITEM_CF_RING_F_RAVERSET": "КОЛЬЦА \"КИСЛОТНЫЙ ДОМ\""
"CUST_TATTOO_UPPER_ARM_LEFT": "ЛЕВОЕ ПЛЕЧО"
"CUST_TATTOO_RARM_4": "РЫЦАРЬ С ТРЕТЬЕЙ УЛИЦЫ"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "ЛЕДЕНЕЦ НА ПАЛОЧКЕ"
"CUST_VARIANT_THICK_EYESHADOW": "ГУСТЫЕ РЕСНИЦЫ"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "ПРАВЫЙ РАССТЕГНУТ, ВЫСОКО"
"CUST_SKIN_ASIAN_02": "АЗИАТ 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "ЛЕВЫЙ ЗАСТЕГНУТ, ВЫСОКО"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "ФУТБОЛКА \"ПОТРЕПАННЫЙ РОКЕР\""
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "ЛАТЕКСНЫЕ ШТАНЫ"
"FACIAL_EXPRESSION_PAIN": "БОЛЬ"
"CUST_MENU_LOGO": "ЛОГОТИП"
"PLAYER_MUSCLE_TEXT": "МУСКУЛАТУРА"
"PLAYER_MORPH_ASIAN_TEXT": "АЗИАТСКИЙ"
"CUST_ITEM_PLASTIC_SANDALS": "ПЛАСТИКОВЫЕ САНДАЛИИ"
"CUST_SKIN_CAUCASIAN_03": "БЕЛЫЙ 3"
"CUST_GANG_BIKER": "БАЙКЕР"
"CUST_COMP_MUSTACHE_24": "БАЛЬБО"
"VEHICLE_COLOR_BRASS": "ЛАТУНЬ"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "ПЕРЕДНИЕ СПИННЕРЫ"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "СПОРТСМЕНКА"
"VEHICLE_COLOR_DRAGON_BLUE": "СИНИЙ ДРАКОН"
"CUST_COLOR_BRIGHT_BLUE": "ЯРКО-СИНИЙ"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "ШЛЯПА В СТИЛЕ ЗЕД"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "КОЖАНАЯ КУРТКА МАМБА"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "ВЫСОТА ПОДБОРОДКА"
"CUST_TATTOO_LFORARM_6": "КОЖА КАК БРОНЯ"
"SLOT_ROOF": "КРЫШИ"
"SLOT_LOGO": "ЛОГО"
"HAIR_COLOR_REDHEAD": "КАШТАНОВЫЙ"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "НАРКОТОРГОВЕЦ"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "ПЕРЧАТКИ ГЕРОИНИ СТИЛПОРТА"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Увеличенный боекомплект."
"CUST_VARIANT_LIGHT_STEEL": "СВЕТЛАЯ СТАЛЬ"
"CUST_ITEM_CM_UBDY_M_VOLITION": "ВОЛЯ"
"CUST_TATTOO_TORSO_BACK": "ВСЯ ЗАДНЯЯ ЧАСТЬ"
"PLAYER_MORPH_CROWN_TEXT": "МАКУШКА"
"WARDROBE_NONE": "НЕТ"
"CUST_COLOR_CLOTHING_VIOLET_5": "ФИОЛЕТОВЫЙ 5"
"CUST_COMP_EYES_GREY": "СЕРЫЙ"
"SLOT_REAR_WHEELS": "ЗАДНИЕ КОЛЕСА"
"CUST_COLOR_AUBURN": "КАШТАНОВЫЙ"
"CUST_VARIANT_08_DEFAULT": "ВАРИАНТ 8"
"CUST_WEAR_BACK_LEFT": "НАЗАД ВЛЕВО"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "ДИСКО-ОЖЕРЕЛЬЕ"
"CUST_ITEM_SHADES_11": "УРОДЛИВЫЕ ОЧКИ"
"CUST_CAT_FINGERNAILS": "НОГТИ"
"CUST_TATTOO_HEAD_TOP": "МАКУШКА"
"CUST_BRO_COMPLIMENT_D": "ПОХВАЛА БРАТСТВА 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "ЖЕЛТЫЙ 6"
"CUST_TATTOO_RUPPARM_6": "ЦЕЛУЮ, МАМА"
"LOGO_RHOMBUS_1": "УЗОР 1"
"CUST_VARIANT_HORIZONTAL": "ГОРИЗОНТАЛЬНЫЕ ПОЛОСЫ"
"CUST_WEAR_TATTOO_MAO_DESIGN": "СТИЛЬ МАО"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "УЛИЧНАЯ СТИЛПОРТСКАЯ КЕПКА"
"VEHICLE_COLOR_WET_LEAF_BROWN": "ПРЕЛАЯ ЛИСТВА"
"SLOT_MUDFLAP": "БРЫЗГОВИКИ"
"CUST_ITEM_FEMALE_LL_BRA_1": "С ПЕРВОГО ВЗГЛЯДА"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "УОЛЛ-СТРИТ"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "БРАСЛЕТ-ПИЩАЛКА"
"PLAYER_CREATION_AGE_MIDDLE": "СРЕДНИХ ЛЕТ"
"PLAYER_MORPH_NOSE_YAW_TEXT": "ПОВОРОТ НОСА"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "УЛЬТРА-БЕЛЫЙ СНЕГ"
"CUST_WEAR_TATTOO_BARBED_WIRE": "КОЛЮЧАЯ ПРОВОЛОКА"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "ДЛИНА НОСА"
"SLOT_CASKET": "ГРОБ"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "ЗАПРАВЛЕННЫЙ, ЗАСТЕГНУТЫЙ, С ОПУЩЕНЫМ НИЗОМ, БЕЗ ПОДТЯЖЕК"
"CUST_ITEM_CF_RING_F_EYEBALL": "КОЛЬЦО \"ДЕТЕКТИВ\""
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "НЕЗАМЕТНЫЕ СТРИНГИ СВЯТЫХ"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "ЛЕНТА НА ГОЛОВУ"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Лазерный прицел повышает точность стрельбы от бедра. Бронебойные пули пробивают броню."
"CUST_COMP_MUSTACHE_20": "КОЗЛИНАЯ БОРОДКА"
"VEHICLE_PAINT_SHINY_MATERIAL": "ГЛЯНЦЕВЫЙ МАТЕРИАЛ"
"LOGO_DRAGON": "ДРАКОН"
"CUST_VARIANT_FADEUP_JEANS": "ЗАТЕМНЕННЫЙ"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "НАРАСПАШКУ, ЗАСТЕГНУТЫЙ ДО ВЕРХА, С ГАЛСТУКОМ"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "СВИТЕР БАНДИТА"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "ДЕВУШКА-БОЕЦ"
"CUST_ITEM_6_LOOPS_LEFT": "6 КРУГОВ"
"CUST_WEAR_HOOP": "КОЛЬЦО"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "СТИМПАНК-ИЗОБРЕТАТЕЛЬ"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "ПОДЪЕМ ВЕК"
"CUST_GANG_DECKER": "ДЕКЕР"
"CUST_TATTOO_LFORARM_2": "КЛЮЧ"
"COLOR_SLOT_TRIM_1": "НАКЛАДКИ 1"
"SLOT_FRONT_MODS": "ПЕРЕДНИЕ ДЕТАЛИ"
"CUST_COLOR_BRIGHT_PURPLE": "ЯРКО-ФИОЛЕТОВЫЙ"
"COMPONENT_PAINT_3": "РИСУНОК 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "БЕЗУПРЕЧНАЯ КРАСОТА"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "МУЖСКОЙ КОСЮМ ПЛАНЕТЫ СВЯТЫХ С"
"CUST_ITEM_BASEBALL_CAP": "БЕЙСБОЛКА"
"CUST_COLOR_CLOTHING_YELLOWS_2": "ЖЕЛТЫЙ 2"
"CUST_TATTOO_RUPPARM_2": "ВОСЬМИБИТНЫЙ ГЭТ"
"CUST_VARIANT_LOOPS": "КРУГИ"
"CUST_VARIANT_FLAMES": "ПЛАМЯ"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "КОСТЮМ КОШКИ"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "КАПИТАНСКАЯ ШЛЯПА"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "НАКЛОН ВЕРХНЕЙ ЧАСТИ ВЕКА"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "ФОРМА НОСА"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "ШИРИНА ПЕРЕНОСИЦЫ"
"CUST_COLOR_CLOTHING_VIOLET_1": "ФИОЛЕТОВЫЙ 1"
"HAIR_COLOR_PURPLE_MATTE": "ФИОЛЕТОВЫЙ МАТОВЫЙ"
"CUST_ITEM_CF_HAIR_PIGTAILS": "ЛОЛИ"
"FACIAL_EXPRESSION_PAIN_B": "МУКА."
"PLAYER_MORPH_BROW_WIDTH_TEXT": "ШИРИНА БРОВЕЙ"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Увеличенный боекомплект. Сошки снижают отдачу."
"COLOR_SLOT_WINDOW_TINT": "УЗОР НА ОКНАХ"
"LOGO_COFFEE": "КОФЕ"
"LOGO_SHARKS_1": "АКУЛЫ 1"
"CUST_WEAR_FORWARD_LEFT": "ВПЕРЕД ВЛЕВО"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "КРАСНЫЙ 9"
"CUST_VARIANT_TRACK_A2": "СТИЛЬ 1"
