"DROP_SPHERE": "DONNER SPHÈRE"
"ZOMBIE_PEDS": "ZOMBIES"
"VCUST_RIM_SIZE_OPTION": "TAILLE DES JANTES"
"PCS_RETURN_MAIN": "RETOUR AU MENU PRINCIPAL"
"Total Cop Kills_NAME": "TOTAL MEURTRES DE FLICS"
"THQ": "THQ"
"SMASH": "BALAYAGE VÉHICULE"
"MILK_BONES_DESC": "Les attaques en combat rapproché sont extrêmement meurtrières."
"VEHICLE_PAINT_TYPE": "TYPE DE PEINTURE"
"STAT_HUMAN_SHIELD_KILLS": "BOUCLIERS HUMAINS TUÉS"
"ESCORT_NAME_30A": "BLAZING"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "MEILLEURE HAUTEUR"
"Time Played_NAME": "TEMPS DE JEU TOTAL"
"MainMenu": "DANS LE MENU PRINCIPAL"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "DONNER POSSESSOR RC"
"MASCOT_PEDS": "MASCOTTES"
"STORE_GARAGE_MSG": "ENTRER DANS LE GARAGE"
"STAT_GRENADE_KILLS": "TUÉS PAR GRENADES"
"STAT_MAX_HUMAN_THROWN_DIST": "DISTANCE PROJECTILE MAXI"
"HASH_9A7AD50B": "RANG EN CONDUISANT"
"EXIT_STRONGHOLD": "QUITTER BASTION"
"WPN_STORE_PURCHASE_PROMPT": "Acheter {0} pour {1} $?"
"VCUST_SPINNERS_TITLE": "SPINNERS"
"GANG_CUST_SLOT_2": "EMPLACEMENT 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "COOP : DISTRACTIONS TANDEM TERMINÉES"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "PLUS LONG CHAIR À CANON"
"STAT_DRIVING_WINDSHIELD": "CHAIR À CANON"
"ESCORT_NAME_32A": "BLOODY"
"HASH_AE65D08C": "TAG DE LA MORT : PLUS LONGUE SÉRIE DE MORTS"
"TAXI_PURCHASE": "ACHETER COURSE"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "ACHETER"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "TU AS RÉPARÉ TON VÉHICULE"
"WPNSTOR_TITLE_WEAPON_CACHE": "PLANQUE D'ARMES"
"STORE_TEXT_DISCARD": "Veux-tu enlever cet élément de ta garde-robe?"
"HORDE_MODE_TITLE_FINAL_FAIL": "VAGUE FINALE ÉCHOUÉE"
"STAT_SEX_DOLLS_FOUND": "POUPÉES GONFLABLES TROUVÉES"
"STAT_RIFLE_HIT_PCT": "PRÉCISION FUSIL"
"STAT_DRIVING_WRONGWAY": "CONTRE SENS"
"ESCORT_NAME_28B": "DOUBLE-STUFF"
"Diversion Gold Stars_NAME": "ÉTOILES D'OR"
"FULL_HEALTH": "SANTÉ MAXIMALE"
"GANG_CUST_EXIT_PROMPT": "Quitter la personnalisation de gang\n\nConfirmer?"
"HORDE_MODE_INVULNERABILITY": "Invincible!"
"ESCORT_NAME_34A": "GREEK"
"OPTION_NO": "NON"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Le chargement a échoué car le périphérique de stockage\npar défaut n'est plus disponible."
"ACCEPT_GAME_INVITE_TITLE": "AVERTISSEMENT"
"PLAYER_CREATION_LEAVE_FULL": "Veux-tu vraiment quitter la création joueur?"
"STORE_NAME_NIGHT_CLUB": "NIGHT CLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Veux-tu vraiment quitter le garage?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPECT GAGNÉ AVEC DES ESQUIVES"
"STAT_FAVORITE_WEAPON": "ARME FAVORITE"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Veux-tu vraiment créer cette tenue?"
"TAXI_INVALID_DESTINATION": "Tu n'as pas l'argent pour aller à cet endroit en taxi."
"DROP_FIVE0": "RECEVOIR FIVE-0"
"GIVE_ALL_WEAPONS_DESC": "Te donne un ensemble complet d'armes."
"BUSHWICK_BILL": "TOUT LE MONDE DOIT RÉTRÉCIR"
"NEVER_DIE": "IMMORTEL"
"HITMAN_NAME": "NOM CIBLE"
"STAT_COOP_ACTIVITIES_COMPLETED": "COOP : ACTIVITÉS TERMINÉES"
"STAT_MILES_BY_CAR": "MILES PARCOURUS EN VOITURE"
"STAT_FRAUD_DIVES_TAKEN": "FRAUDE À L'ASSURANCE : CHUTES"
"STAT_BARN_FOUND": "LIEUX ACROBATIES AÉRIENNES TROUVÉS"
"ESCORT_NAME_36A": "FIERY"
"HASH_64463610": "NIVEAU DE STYLE"
"UNLIMITED_CLIP_DESC": "Pas besoin de recharger, ton chargeur contient des balles infinies."
"MEDIUM_RAIN": "PLUIE MOYENNE"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Veux-tu remplacer \"%s\" par \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "ACHETER POUR %ls"
"STAT_TOTAL_CASH_EARNED": "TOTAL GAINS"
"STAT_DRIVING_BIGAIR_DISTANCE": "PLUS GRANDE DISTANCE"
"STAT_SHOTS_FIRED": "COUPS TIRÉS"
"STAT_POLICE_NOTORIETY_TIME": "TEMPS PASSÉ EN NOTORIÉTÉ POLICE MAXIMALE"
"DRUNK_PEDS_DESC": "Tout le monde kiffe le crunk juice."
"DROP_ATTRAZIONE": "RECEVOIR ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Si tu choisis un nouveau préréglage, cela changera toutes\ntes modifications!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Il n'y a pas assez d'espace libre sur le périphérique de stockage\npar défaut pour réaliser la sauvegarde."
"ACT_HITMAN_LEAVE_FULL": "Veux-tu vraiment quitter Tueur à gages?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ASSAUT HÉLICO : CIBLES DÉTRUITES"
"HASH_4C1CDC12": "TRENCH-COAT POSSÉDÉ"
"CUST_ICON_PIERCINGS": "PIERCINGS"
"VCUST_PURCHASE_OPTION": "ACHETER"
"VCUST_RIM_FAMILY_TITLE": "FAMILLE DE JANTES"
"STAT_DISTANCE_BY_CAR": "DISTANCE EN VOITURE"
"STAT_THROWN_HIT_PCT": "PRÉCISION ARMES LANCÉES"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "ANGE GARDIEN TERMINÉS"
"STAT_COMBAT_CAR": "MEURTRES EN VOITURE"
"GIVE_SWORD": "DONNER NOCTURNE"
"DROP_STILWATERMUNICIPAL": "RECEVOIR STILWATER MUNICIPAL"
"DROP_VORTEX": "RECEVOIR VORTEX"
"VCUST_RETURN_TO_CRIB": "REVENIR À L'HABITATION"
"GARAGE_CAT_2": "COULEURS"
"STAT_SNIPER_SHOTS_FIRED": "TIRS DE FUSIL DE SNIPER"
"STAT_MISSIONS_COMPLETED": "MISSIONS ACCOMPLIES"
"COMERCIAL_7": "15 % DE RÉDUC CHEZ IMPRESSIONS"
"GIVE_SHIELD": "DONNER BOUCLIER ANTI-ÉMEUTE"
"TOD_Cycle": "CHANGER L'HEURE"
"INFINITE_AMMO_DESC": "Confère des munitions infinies pour toutes tes armes."
"ADD_GANG_NOTORIETY": "AJOUT. NOTORIÉTÉ GANG"
"Wrath_of_God": "LA COLÈRE DIVINE"
"POC2_WEAPON_UPGRADE_2": "AMÉLIORATION ARME - NIVEAU 2"
"WPN_STORE_RIFLE_TITLE": "FUSILS"
"STORE_ITEM_STYLE_AWARD": "+ {0} STYLE"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "RÉCUPÉRER"
"STAT_TEAM_MORNINGSTAR": "ÉTOILES DU MATIN"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "CLASSEMENT SAUTS VÉHICULES"
"SP Diversion Stars Col3_NAME": "CLASSEMENT DISTRACTIONS"
"SP Time Col2_NAME": "CLASSEMENT TEMPS DE JEU"
"CONTROL_ZOOM_AND_ROTATE": "ZOOMER/PIVOTER"
"DROP_CHALLENGER": "RECEVOIR CHALLENGER"
"GIVE_D4THBLOSSOM": "DONNER FLEUR DE MORT"
"MUSIC_DOWNLOADABLE": "TÉLÉCHARGEMENT"
"STORE_EXIT_WARNING_BODY": "Quitter le magasin\n\nConfirmer?"
"PLAYER_CREATION_SAVE_CHANGES": "Veux-tu sauvegarder tes modifs?"
"STAT_WHEELIE_LONGEST_DISTANCE": "PLUS LONGUE DISTANCE EN ROUE ARRIÈRE"
"STAT_CIVILIANS_KILLED": "CIVILS TUÉS"
"CONTROL_YES": "OUI"
"DROP_JUSTICE": "RECEVOIR JUSTICE"
"DROP_WIDOWMAKER": "DONNER WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "PERSONNALISATION JOUEUR"
"WPN_STORE_EXIT_PROMPT": "Quitter l'armurerie \n\nConfirmer?"
"VCUST_BOTH_AXLES_OPTION": "LES DEUX ESSIEUX"
"STAT_DISTANCE_BY_VEHICLE": "DISTANCE EN VÉHICULE"
"STAT_CASH_EARNED_PER_DAY": "GAINS PAR HEURE"
"STAT_FRAUD_BEST_DIVE": "FRAUDE À L'ASSURANCE : MEILLEURE TENTATIVE"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPECT GAGNÉ AVEC DES ACTIVITÉS"
"STAT_HOSPITAL_BILLS": "FRAIS D'HÔPITAUX"
"ESCORT_NAME_8B": "CORKSCREW"
"CONTROL_REMOVE": "SUPPRIMER"
"DROP_REAPER": "RECEVOIR REAPER"
"GARAGE_EXIT_PROMPT": "Quitter garage?"
"STAT_MORNINGSTAR_KILLED": "ÉTOILES DU MATIN TUÉS"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "VÉHICULES DU GARAGE CLANDESTIN LIVRÉS"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "TRAFICS EFFECTUÉS"
"STAT_COMBAT_ENEMY": "MEMBRES DE GANGS ENNEMIS TUÉS"
"STAT_HOLDUP_CASH": "GAINS BRAQUEUR"
"STAT_BASE_JUMP": "BASE JUMPING"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "OUI"
"RAINING_PEDS_DESC": "Alléluia, il pleut des piétons."
"PED_WAR": "GUERRE DES PIÉTONS"
"CAR_MASS_HOLE": "CAR MASS HOLE"
"SURGEON_FINISHED_FULL": "Veux-tu vraiment quitter Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "ALLER VOIR LE TATOUEUR"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "PLUS LONGUE SÉRIE EN NOTORIÉTÉ POLICE MAXIMALE"
"ESCORT_NAME_15B": "LOLLIPOP"
"ESCORT_NAME_6B": "TATTOO"
"Vehicle Jump Spin_NAME": "MEILLEUR VRILLE"
"CONTROL_BTN_BACK": "LA TOUCHE BACK"
"CELL_DRUG_DEALER": "DEALER"
"CRIB_SHOP_PURCHASED_TEXT": "Cette habitation est maintenant à toi. \nD'ici, tu peux accéder à ton argent, tes armes, tes fringues et tes véhicules. \nPersonnalise-la pour améliorer ton style."
"WPN_STORE_PISTOL_TITLE": "PISTOLETS"
"VCUST_WHEEL_SIZE_OPTION": "TAILLE DES ROUES"
"GARAGE_CRIB_NAME": "GARAGE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "DISTANCE TOTALE PARCOURUE"
"STAT_DIVERSIONS_COMPLETED": "DIVERSIONS TERMINÉES"
"STAT_TOTAL_DAMAGE_TAKEN": "TOTAL DÉGÂTS SUBIS"
"STAT_MILES_BY_AIRCRAFT": "MILES PARCOURUS EN VÉHICULE AÉRIEN"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "DÉPENSES OBJETS PERSONNALISATION"
"STAT_MAX_STUNT_JUMP_SPIN": "VRILLE VERTICALE SAUT MAXI"
"SP Throw Distance_NAME": "CLASSEMENT DISTANCE DE LANCÉ"
"HASH_80C0A79A": "CHANGER CLASSEMENT"
"MAP_ICON_HELI": "ASSAUT HÉLICO"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Ton véhicule ne subit aucun dégât."
"VCUST_PURCHASE_PROMPT": "Acheter {0} pour {1} $?"
"CUST_ITEM_CREATE_OUTFIT": "SAUVEGARDER TENUE"
"GARAGE_REPAIR_TEXT": "Est-ce que tu veux faire réparer ce véhicule?"
"HORDE_MODE_TITLE_KILLS": "TUÉS"
"HORDE_MODE_WAVE_TAG": "VAGUE"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI : GAINS"
"STAT_PISTOL_SHOTS_FIRED": "TIRS DE PISTOLET"
"STAT_ACTIVITIES_COMPLETED": "ACTIVITÉS TERMINÉES"
"ESCORT_NAME_17B": "VICE GRIP"
"ESCORT_NAME_4B": "DRAGON"
"HeliAssault": "ASSAUT HÉLICO"
"CONTROL_CHANGE_COLUMN": "CHANGER COLONNE"
"MAP_ICON_PLASTIC_SURGEON": "CHIRURGIE ESTHÉTIQUE"
"WARDROBE_LEAVE_FULL": "Veux-tu vraiment quitter la garde-robe?"
"CRIB_HUD_HANGAR_PURCHASE": "ACHETER HANGAR D'AÉROPORT : {0} $"
"VCUST_REGION_TITLE": "RÉGION (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Ceci retirera tous tes vêtements actuels. \nÊtre tout nu te permettra de faire du Streaking. \nConfirmer?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Tu ne peux pas prendre d'autres munitions pour l'arme: \"%s\"."
"STAT_STAG_COMMANDOS_KILLED": "COMMANDOS STAG TUÉS"
"STAT_FBI_KILLED": "AGENTS DU FBI TUÉS"
"HASH_D4EBF91C": "NIVEAUX EN CONDUISANT TERMINÉS"
"TAXI_CANNOT_AFFORD": "Tu n'as pas les moyens de te payer ce trajet."
"OVL_SHOP_PURCHASED_TITLE": "ACHETÉ"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "SAUVEGARDER"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Tu ne peux plus transporter de munitions de ce type."
"STORE_TITLE_INSUFFICIENT_FUNDS": "FONDS INSUFFISANTS"
"STAT_NEIGHBORHOODS_CONTROLLED": "QUARTIERS CONTRÔLÉS"
"ESCORT_NAME_11B": "SHOCKER"
"ESCORT_NAME_2B": "TRUMPET"
"MAP_ICON_TSS_MISSION": "MISSION SAINTS DE 3RD STREET"
"MAP_ICON_TATTOO_PARLOR": "SALON DE TATOUAGE"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "TU DOIS PRENDRE LE CONTRÔLE DE CE QUARTIER AVANT D'ACHETER CE COMMERCE"
"GANG_CUST_SLOT_3": "EMPLACEMENT 3"
"STAT_WEAPON_THROWN": "PROJECTILE"
"STAT_COOP_KILLS": "COOP : JOUEURS ABATTUS"
"STAT_MAYHEM_BEST_ROUND": "CHAOS : MEILLEUR ROUND"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "ANGE GARDIEN : NOMBRE DE CÉLÉBRITÉS PROTÉGÉES"
"STAT_COMBAT_MOTORCYCLE": "MEURTRES À L'ÉPÉE EN MOTO"
"STAT_MILES_BY_VEHICLE": "DISTANCE EN VÉHICULE"
"SP Diversion Stars Col1_NAME": "CLASSEMENT DISTRACTIONS"
"CONTROL_CHANGE_STORY": "CHANGER SCÉNARIO"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "GORILLES"
"SMASH_DESC": "Ton véhicule balaye les autres véhicules."
"DROP_STATUSQUO": "RECEVOIR STATUS QUO"
"SUPER_EXPLOSIONS": "SUPER EXPLOSIONS"
"PLAYER_PRATFALLS": "ACCIDENTS JOUEUR"
"POC2_DROP_CAR": "LÂCHER VOITURE DE SPORT"
"VCUST_EXIT_PROMPT": "Veux-tu vraiment quitter la personnalisation de véhicule?"
"VCUST_EXTRA_HIGH_PROFILE": "SUPER ÉLEVÉ"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "CHAT & SOURIS : MAXIMUM DE POINTS GAGNÉS"
"STAT_SHOTGUN_HIT_PCT": "PRÉCISION FUSIL À POMPE"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "ANGE GARDIEN : NOMBRE D'AGRESSEURS TUÉS"
"STAT_MUGGINGS_COMPLETED": "MAINS EN L'AIR RÉUSSIS"
"ESCORT_NAME_13B": "TWISTER"
"SP Kills Col2_NAME": "CLASSEMENT MASSACRES"
"HIDE_HUD_DESC": "L'affichage tête haute est masqué."
"FULL_HEALTH_DESC": "Remplis ta santé au maximum."
"INFINITE_SPRINT_DESC": "Tu peux sprinter indéfiniment."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Impossible de placer un point intermédiaire pendant une mission ou une activité!"
"HAIR_NO_CHOICES": "Pas de choix dans cette catégorie."
"CUST_ITEM_VIEW_OUTFITS": "VOIR LES TENUES"
"STAT_COMBAT_MELEE": "MEURTRES EN COMBAT RAPPROCHÉ"
"STAT_MUGGINGS_CASH": "GAINS AGRESSEUR"
"STAT_MILES_ON_FOOT": "DISTANCE À PIED"
"NO_OUTFITS_DISPLAY_NAME": "PAS DE TENUE"
"CONTROL_RETURN_TO_LOBBY": "REVENIR À L'ACCUEIL"
"PAUSE_MAP_WAYPOINT_REMOVE": "SUPPRIMER POINT INTERMÉDIAIRE"
"MAP_ICON_CAR_MECHANIC": "MÉCANICIEN"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "QUITTER AMÉLIORATIONS?"
"GARAGE_REPAIR_PROMPT": "Veux-tu réparer ce véhicule pour {0} $?"
"VCUST_COLOR_GRID_TITLE": "GRILLE DE COULEURS"
"VEHICLE_COLOR_ADVANCED": "STANDARD"
"STORE_CRIB_CLOTHING_MSG": "ACCÉDER À LA GARDE-ROBE"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "TOTAL MULTI-MEURTRES"
"STAT_FLASHPOINTS_COMPLETED": "OPÉRATIONS GANG TERMINÉES"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "TOTAL VANNES ENVOYÉES"
"ESCORT_NAME_17A": "HAIRY"
"ESCORT_NAME_4A": "ANGRY"
"TINY_PLAYER_DESC": "On a toujours besoin d'un plus petit que soi."
"GANG_CUST_GANG_STYLE_OPT": "STYLE"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Veux-tu payer %s?"
"Vehicle Jump Distance_NAME": "PLUS LONG SAUT"
"Player_Vehicle_No_Damage": "AUCUN DÉGÂT VÉHICULE"
"VCUST_PERFORMANCE_ADD": "AMÉLIORATION"
"WPN_STORE_SHOTGUN_TITLE": "FUSILS À POMPE"
"WPN_STORE_MELEE_TITLE": "COMBAT RAPPROCHÉ"
"GANG_CUST_GANG_SIGN_VOICE": "VANNES"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "PLUS LONG TEMPS DE SURF VÉHICULES"
"STAT_DECKER_SPECIALISTS_KILLED": "SPÉCIALISTES DECKERS TUÉS"
"STAT_HOLDUPS_STORES_ROBBED": "MAGASINS BRAQUÉS"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "DÉPENSES PERSONNALISATION DE VOITURE"
"STAT_CAT_MOUSE_LOSSES": "CHAT & SOURIS : DÉFAITES"
"STAT_DRIVING_BURNOUT_TIME": "PLUS LONG BURNOUT"
"ESCORT_NAME_15A": "BROWN"
"ESCORT_NAME_6A": "MUSHROOM"
"HASH_269B6FA3": "TAG DE LA MORT : PLUS DE MEURTRES DANS UN ROUND"
"MAP_ICON_CRIB": "HABITATION"
"GARAGE_LEAVE_FULL": "Veux-tu vraiment quitter Rim Jobs?"
"CURRENT_AMMO": "MUNITIONS ACTUELLES"
"STAT_VEHICLE_CAR": "VOITURE"
"STAT_TAUNT": "VANNES"
"STAT_WATERCRAFT_DESTROYED": "NOMBRE DE VÉHICULES AQUATIQUES DÉTRUITS"
"STAT_CARS_UNLOCKED": "VOITURES DÉBLOQUÉES"
"STAT_COMBAT_HEADSHOT": "PLEINE TÊTE"
"coop": "COOP"
"Pimping": "MAC À DAMES"
"Genre string": "ACTION"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "Veux-tu vraiment quitter la sélection du niveau d'activité?"
"STORE_FAT": "GROS {0}%%%%"
"HASH_ABE420A4": "AUCUN DISPONIBLE"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "PAS D'ARME DISPONIBLE"
"VCUST_SPINNER_OPTION": "SPINNERS"
"VCUST_HUBCAP_NUMBER": "ENJOLIVEURS #{0}"
"STAT_MILES_BY_WATERCRAFT": "MILES PARCOURUS EN VÉHICULE AQUATIQUE"
"STATS_NO": "NON"
"STAT_SHOT_HIT_PERCENTAGE": "TIRS RÉUSSIS"
"ESCORT_NAME_13A": "BACKDOOR"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "DÉBLOCABLE"
"TATTOO_LEAVE_FULL": "Veux-tu vraiment quitter Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "ROUES ARRIÈRE"
"STAT_UNIQUE_VEHICLES_OWNED": "VÉHICULES UNIQUES POSSÉDÉS"
"STATS_BLANK_OF_BLANK": "%d SUR %d"
"DROP_COMMANDER": "RECEVOIR COMMANDER"
"BLOODY_MESS": "MASSE SANGUINOLENTE"
"STORE_BRA_WARNING": "AVERTISSEMENT"
"CUST_ITEM_NOTHING": "RIEN"
"HUD_CRIB_CUSTOMIZE": "PERSONNALISER TON HABITATION"
"GARAGE_CAT_4": "ROUES"
"STAT_THROWN_WEAPON_USES": "TIRS D'ARMES LANCÉES"
"ESCORT_NAME_11A": "DRIPPING"
"ESCORT_NAME_2A": "RUSTY"
"Coop Col3_NAME": "CLASSEMENT COOP"
"LOW_GRAVITY_DESC": "Les générateurs de gravité de Stilwater sont au quart de leur puissance."
"CUST_REMOVE_ITEM_BODY": "Es-tu certain de vouloir retirer cet objet?"
"PURCHASEABLE_PROPERTEY_FACTORY": "USINE"
"GARAGE_HELIPORT": "HÉLIPORT"
