"DROP_SPHERE": "SPHÄRE ENTFERNEN"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "BESTE HÖHE"
"Time Played_NAME": "GESPIELTE GESAMTZEIT"
"MainMenu": "IM HAUPTMENÜ"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "RC POSSESSOR GEBEN"
"MASCOT_PEDS": "MASKOTTCHEN"
"STORE_GARAGE_MSG": "ÖFFNEN DEINE GARAGE"
"STAT_GRENADE_KILLS": "GRANATEN-KILLS"
"STAT_MAX_HUMAN_THROWN_DIST": "MAX. WURFDISTANZ EINER PERSON"
"HASH_9A7AD50B": "VORBEIFAHR-WERTUNG"
"EXIT_STRONGHOLD": "FESTUNG VERLASSEN"
"WPN_STORE_PURCHASE_PROMPT": "Möchtest du {0} für {1}$ kaufen?"
"VCUST_SPINNERS_TITLE": "SPEICHEN"
"GANG_CUST_SLOT_2": "PLATZ 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "KOOP: BEENDETE TANDEM-MINISPIELE"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "LÄNGSTE WINDSCHUTZSCHEIBENKANONE"
"STAT_DRIVING_WINDSHIELD": "WINDSCHUTZSCHEIBENKANONE"
"ESCORT_NAME_32A": "BLOODY"
"HASH_AE65D08C": "TODESSTOSS: LÄNGSTE TODES-SERIE"
"TAXI_PURCHASE": "FAHRT KAUFEN"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "KAUFEN"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "DU HAST DEIN FAHRZEUG REPARIERT"
"WPNSTOR_TITLE_WEAPON_CACHE": "ARSENAL"
"STORE_TEXT_DISCARD": "Möchtest du diesen Gegenstand aus deinem Kleiderschrank entfernen?"
"HORDE_MODE_TITLE_FINAL_FAIL": "LETZTE WELLE NICHT GESCHAFFT"
"STAT_SEX_DOLLS_FOUND": "GEFUNDENE SEXPUPPEN"
"STAT_RIFLE_HIT_PCT": "TREFFERQUOTE MIT GEWEHR"
"STAT_DRIVING_WRONGWAY": "FALSCHE RICHTUNG"
"ESCORT_NAME_28B": "DOUBLE-STUFF"
"Diversion Gold Stars_NAME": "GOLDSTERNE"
"FULL_HEALTH": "VOLLE GESUNDHEIT"
"GANG_CUST_EXIT_PROMPT": "Bandenanpassung verlassen\n\nBist du sicher?"
"HORDE_MODE_INVULNERABILITY": "Unverwundbarkeit!"
"ESCORT_NAME_34A": "GREEK"
"OPTION_NO": "NEIN"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "Der Ladevorgang ist gescheitert, da das\nSpeichergerät nicht mehr verfügbar ist."
"ACCEPT_GAME_INVITE_TITLE": "WARNUNG"
"PLAYER_CREATION_LEAVE_FULL": "Möchtest du die Spielererstellung wirklich verlassen?"
"STORE_NAME_NIGHT_CLUB": "NACHTCLUB"
"VCUST_GARAGE_EXIT_PROMPT": "Bist du sicher, dass du die Garage verlassen möchtest?"
"STAT_DRIVING_NEARMISS_RESPECT": "DURCH 'KNAPP VERFEHLT' VERDIENTER RESPEKT"
"STAT_FAVORITE_WEAPON": "LIEBLINGSWAFFE"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "Bist du sicher, dass du dieses Outfit erstellen möchtest?"
"TAXI_INVALID_DESTINATION": "Du kannst keine Fahrt zu diesem Ort kaufen."
"DROP_FIVE0": "FIVE-0 ENTFERNEN"
"GIVE_ALL_WEAPONS_DESC": "Du bekommst ein volles Arsenal."
"BUSHWICK_BILL": "ALLE MÜSSEN GESCHRUMPFT WERDEN"
"NEVER_DIE": "NIEMALS STERBEN"
"HITMAN_NAME": "ZIELNAME"
"STAT_COOP_ACTIVITIES_COMPLETED": "KOOP: AUSGEFÜHRTE AKTIVITÄTEN"
"STAT_MILES_BY_CAR": "MIT AUTO GEFAHRENE MEILEN"
"STAT_FRAUD_DIVES_TAKEN": "VERSICHERUNGSBETRUG: STÜRZE"
"STAT_BARN_FOUND": "GEFUNDENE SCHEUNENSTURMSTELLEN"
"ESCORT_NAME_36A": "FIERY"
"HASH_64463610": "STIL-LEVEL"
"UNLIMITED_CLIP_DESC": "Du musst nie nachladen, denn dein Magazin wird nie leer."
"MEDIUM_RAIN": "MITTLERER REGEN"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "Möchtest du \"%s\" mit \"%s\" austauschen?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "FÜR %ls KAUFEN"
"STAT_TOTAL_CASH_EARNED": "INSGESAMT VERDIENTES GELD"
"STAT_DRIVING_BIGAIR_DISTANCE": "GRÖSSTE WEITE"
"STAT_SHOTS_FIRED": "ABGEGEBENE SCHÜSSE"
"STAT_POLICE_NOTORIETY_TIME": "DAUER HÖCHSTER POLIZEIBEKANNTHEIT"
"DRUNK_PEDS_DESC": "Auf Mixgetränke fahren alle ab."
"DROP_ATTRAZIONE": "ATTRAZIONE ENTFERNEN"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "Die Auswahl einer neuen Vorlage ändert alle anderen\nAuswahlen, die bereits getroffen wurden."
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "Auf dem Speichergerät ist nicht genug freier Platz,\num den Speichervorgang abzuschließen."
"ACT_HITMAN_LEAVE_FULL": "Möchtest du das Attentäterspiel wirklich beenden?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "HUBSCHRAUBERANGRIFF: ZERSTÖRTE ZIELE"
"HASH_4C1CDC12": "TRENCHCOAT IM BESITZ"
"CUST_ICON_PIERCINGS": "PIERCINGS"
"VCUST_PURCHASE_OPTION": "KAUFEN"
"VCUST_RIM_FAMILY_TITLE": "FELGENSORTE"
"STAT_DISTANCE_BY_CAR": "MIT AUTO ZURÜCKGELEGTE STRECKE"
"STAT_THROWN_HIT_PCT": "TREFFERQUOTE MIT WURFWAFFEN"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "BEENDETE SCHUTZENGELAUFTRÄGE"
"STAT_COMBAT_CAR": "AUTO-KILLS"
"GIVE_SWORD": "NOCTURNE GEBEN"
"DROP_STILWATERMUNICIPAL": "STILWATER MUNICIPAL ENTFERNEN"
"DROP_VORTEX": "VORTEX ENTFERNEN"
"VCUST_RETURN_TO_CRIB": "ZURÜCK ZUM DOMIZIL"
"GARAGE_CAT_2": "LACKIERUNG"
"STAT_SNIPER_SHOTS_FIRED": "ABGEFEUERTE SCHARFSCHÜTZENGEWEHRSCHÜSSE"
"STAT_MISSIONS_COMPLETED": "ABSOLVIERTE AUFTRÄGE"
"COMERCIAL_7": "15% RABATT BEI IMPRESSIONS"
"GIVE_SHIELD": "SCHUTZSCHILD GEBEN"
"TOD_Cycle": "TAGESZEIT ÄNDERN"
"INFINITE_AMMO_DESC": "Gibt dir unbegrenzte Munition für alle Waffen."
"ADD_GANG_NOTORIETY": "BANDENBEKANNTHEIT HINZUFÜGEN"
"Wrath_of_God": "DER ZORN GOTTES"
"POC2_WEAPON_UPGRADE_2": "WAFFE VERBESSERN - STUFE 2"
"WPN_STORE_RIFLE_TITLE": "GEWEHRE"
"STORE_ITEM_STYLE_AWARD": "+ {0} STIL"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "HERAUSHOLEN"
"STAT_TEAM_MORNINGSTAR": "MORGENSTERN"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "FAHRZEUGSPRUNG-RANGLISTE"
"SP Diversion Stars Col3_NAME": "MINISPIEL-BESTENLISTE"
"SP Time Col2_NAME": "SPIELZEIT-BESTENLISTE"
"CONTROL_ZOOM_AND_ROTATE": "ZOOM/DREHEN"
"DROP_CHALLENGER": "CHALLENGER ENTFERNEN"
"GIVE_D4THBLOSSOM": "TODESBLÜTE GEBEN"
"MUSIC_DOWNLOADABLE": "HERUNTERGELADEN"
"STORE_EXIT_WARNING_BODY": "Laden verlassen\n\nBist du sicher?"
"PLAYER_CREATION_SAVE_CHANGES": "Möchtest du deine Änderungen speichern?"
"STAT_WHEELIE_LONGEST_DISTANCE": "LÄNGSTE WHEELIE-STRECKE"
"STAT_CIVILIANS_KILLED": "GETÖTETE ZIVILISTEN"
"CONTROL_YES": "JA"
"DROP_JUSTICE": "JUSTICE ENTFERNEN"
"DROP_WIDOWMAKER": "WIDOWMAKER ENTFERNEN"
"POC2_PLAYER_CUSTOMIZATION": "SPIELERMODIFIZIERUNG"
"WPN_STORE_EXIT_PROMPT": "Waffenladen verlassen\n\nBist du sicher?"
"VCUST_BOTH_AXLES_OPTION": "BEIDE ACHSEN"
"STAT_DISTANCE_BY_VEHICLE": "MIT FAHRZEUG ZURÜCKGELEGTE STRECKE"
"STAT_CASH_EARNED_PER_DAY": "VERDIENST PRO STUNDE"
"STAT_FRAUD_BEST_DIVE": "VERSICHERUNGSBETRUG: BESTER STURZ"
"STAT_ACTIVITY_RESPECT_EARNED": "DURCH AKTIVITÄTEN VERDIENTER RESPEKT"
"STAT_HOSPITAL_BILLS": "KRANKENHAUSRECHNUNGEN"
"ESCORT_NAME_8B": "CORKSCREW"
"CONTROL_REMOVE": "ENTFERNEN"
"DROP_REAPER": "REAPER ENTFERNEN"
"GARAGE_EXIT_PROMPT": "Garage verlassen?"
"STAT_MORNINGSTAR_KILLED": "GETÖTETE MORGENSTERNE"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "GELIEFERTE WERKSTATTFAHRZEUGE"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "GESCHAFFTE ILLEGALE HANDELSOPERATIONEN"
"STAT_COMBAT_ENEMY": "GETÖTETE FEINDLICHE BANDENMITGLIEDER"
"STAT_HOLDUP_CASH": "ALS GANOVE VERDIENTES GELD"
"STAT_BASE_JUMP": "BASE JUMPING"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "JA"
"RAINING_PEDS_DESC": "Halleluja, es regnet Fußgänger."
"PED_WAR": "FUSSGÄNGERKRIEG"
"CAR_MASS_HOLE": "SCHWARZES LOCH"
"SURGEON_FINISHED_FULL": "Möchtest du Image As Designed wirklich verlassen?"
"STORE_TATTOO_PARLOR_MSG": "LASSE EINE TÄTOWIERUNG MACHEN"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "LÄNGSTE STRÄHNE MIT HÖCHSTER POLIZEIBEKANNTHEIT"
"ESCORT_NAME_15B": "LOLLIPOP"
"ESCORT_NAME_6B": "TATTOO"
"Vehicle Jump Spin_NAME": "BESTER WIRBEL"
"CONTROL_BTN_BACK": "DIE BACK-TASTE"
"CELL_DRUG_DEALER": "DROGENDEALER"
"CRIB_SHOP_PURCHASED_TEXT": "Dieses Domizil gehört nun dir.\nHier kannst du auf Bargeld, Waffen, Kleidung und Fahrzeuge zugreifen.\nVerändere es, um deinen Stilrang zu verbessern."
"WPN_STORE_PISTOL_TITLE": "PISTOLEN"
"VCUST_WHEEL_SIZE_OPTION": "RADGRÖSSE"
"GARAGE_CRIB_NAME": "GARAGE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "INSGESAMT ZURÜCKGELEGTE STRECKE"
"STAT_DIVERSIONS_COMPLETED": "GESCHAFFTE MINISPIELE"
"STAT_TOTAL_DAMAGE_TAKEN": "INSGESAMT ABBEKOMMENER SCHADEN"
"STAT_MILES_BY_AIRCRAFT": "MIT FLUGZEUG GEFLOGENE MEILEN"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "FÜR ANPASSUNGSGEGENSTÄNDE AUSGEGEBENES GELD"
"STAT_MAX_STUNT_JUMP_SPIN": "MAX SPRUNGWIRBEL"
"SP Throw Distance_NAME": "WURFWEITE-BESTENLISTE"
"HASH_80C0A79A": "BESTENLISTE WECHSELN"
"MAP_ICON_HELI": "HUBSCHRAUBERANGRIFF"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Dein Fahrzeug ist immun gegen Schäden."
"VCUST_PURCHASE_PROMPT": "Möchtest du {0} für {1}$ kaufen?"
"CUST_ITEM_CREATE_OUTFIT": "NEUES OUTFIT ZUSAMMENSTELLEN"
"GARAGE_REPAIR_TEXT": "Möchtest du dieses Fahrzeug reparieren lassen?"
"HORDE_MODE_TITLE_KILLS": "KILLS"
"HORDE_MODE_WAVE_TAG": "WELLE"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: VERDIENTES GELD"
"STAT_PISTOL_SHOTS_FIRED": "ABGEFEUERTE PISTOLENSCHÜSSE"
"STAT_ACTIVITIES_COMPLETED": "AUSGEFÜHRTE AKTIVITÄTEN"
"ESCORT_NAME_17B": "VICE GRIP"
"ESCORT_NAME_4B": "DRAGON"
"HeliAssault": "HUBSCHRAUBERANGRIFF"
"CONTROL_CHANGE_COLUMN": "SPALTE WECHSELN"
"MAP_ICON_PLASTIC_SURGEON": "PLASTISCHER CHIRURG"
"WARDROBE_LEAVE_FULL": "Möchtest du den Kleiderschrank wirklich verlassen?"
"CRIB_HUD_HANGAR_PURCHASE": "FLUGHAFENHANGAR KAUFEN: {0}$"
"VCUST_REGION_TITLE": "REGION (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Damit ziehst du deine Kleidung ganz aus. \nNackt kannst du flitzen gehen. \nBist du sicher?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "Noch mehr Munition für diese Waffe kannst du nicht aus deinem Domizil nehmen: %s."
"STAT_STAG_COMMANDOS_KILLED": "GETÖTETE STAG-KOMMANDOS"
"STAT_FBI_KILLED": "GETÖTETE FBI-LEUTE"
"HASH_D4EBF91C": "ABGESCHLOSSENE VORBEIFAHR-LEVEL"
"TAXI_CANNOT_AFFORD": "Du hast nicht genug Geld, um diese Fahrt zu bezahlen."
"OVL_SHOP_PURCHASED_TITLE": "GEKAUFT"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "SPEICHERN"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "Noch mehr Munition für diesen Waffentyp kannst du nicht tragen."
"STORE_TITLE_INSUFFICIENT_FUNDS": "ZU WENIG GELD"
"STAT_NEIGHBORHOODS_CONTROLLED": "NACHBARSCHAFTEN UNTER KONTROLLE"
"ESCORT_NAME_11B": "SHOCKER"
"ESCORT_NAME_2B": "TRUMPET"
"MAP_ICON_TSS_MISSION": "3RD STREET SAINTS AUFTRAG"
"MAP_ICON_TATTOO_PARLOR": "TÄTOWIERUNGEN"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "DU MUSST DIE KONTROLLE ÜBER DIESE NACHBARSCHAFT ÜBERNEHMEN, BEVOR DU DIESEN LADEN KAUFEN KANNST"
"GANG_CUST_SLOT_3": "PLATZ 3"
"STAT_WEAPON_THROWN": "WURFWAFFE"
"STAT_COOP_KILLS": "KOOP: SPIELER-KILLS"
"STAT_MAYHEM_BEST_ROUND": "VANDALISMUS: BESTE RUNDE"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "SCHUTZENGEL: ANZAHL BESCHÜTZTER PROMIS"
"STAT_COMBAT_MOTORCYCLE": "MOTORRAD-SCHWERT-KILLS"
"STAT_MILES_BY_VEHICLE": "GEFAHRENE MEILEN"
"SP Diversion Stars Col1_NAME": "MINISPIEL-BESTENLISTE"
"CONTROL_CHANGE_STORY": "STORYVERLAUF ÄNDERN"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "LEIBWÄCHTER"
"SMASH_DESC": "Dein Fahrzeug zerstört andere Fahrzeuge."
"DROP_STATUSQUO": "STATUS QUO ENTFERNEN"
"SUPER_EXPLOSIONS": "SUPEREXPLOSIONEN"
"PLAYER_PRATFALLS": "REINFALL"
"POC2_DROP_CAR": "SPORTWAGEN ABSTELLEN"
"VCUST_EXIT_PROMPT": "Bist du sicher, dass du das Fahrzeugtuning verlassen möchtest?"
"VCUST_EXTRA_HIGH_PROFILE": "EXTRAHOCH"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "KATZ & MAUS: HÖCHSTE PUNKTZAHL"
"STAT_SHOTGUN_HIT_PCT": "TREFFERQUOTE MIT SCHROTFLINTE"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "SCHUTZENGEL: ANZAHL GETÖTETER ANGREIFER"
"STAT_MUGGINGS_COMPLETED": "ABGESCHLOSSENE RAUBÜBERFÄLLE"
"ESCORT_NAME_13B": "TWISTER"
"SP Kills Col2_NAME": "KILL-SERIE-BESTENLISTE"
"HIDE_HUD_DESC": "Die Bildschirmanzeige ist ausgeblendet."
"FULL_HEALTH_DESC": "Stellt deine Gesundheit vollständig wieder her."
"INFINITE_SPRINT_DESC": "Du kannst immer sprinten."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "Du kannst während eines Auftrags oder einer Aktivität keinen Wegpunkt festlegen."
"HAIR_NO_CHOICES": "Keine Auswahl in dieser Kategorie."
"CUST_ITEM_VIEW_OUTFITS": "OUTFITS ANSEHEN"
"STAT_COMBAT_MELEE": "NAHKAMPF-KILLS"
"STAT_MUGGINGS_CASH": "ALS RÄUBER VERDIENTES GELD"
"STAT_MILES_ON_FOOT": "GELAUFENE MEILEN"
"NO_OUTFITS_DISPLAY_NAME": "KEINE OUTFITS"
"CONTROL_RETURN_TO_LOBBY": "ZURÜCK ZUR LOBBY"
"PAUSE_MAP_WAYPOINT_REMOVE": "WEGPUNKT ENTFERNEN"
"MAP_ICON_CAR_MECHANIC": "AUTOMECHANIKER"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "VERBESSERUNGEN VERLASSEN?"
"GARAGE_REPAIR_PROMPT": "Möchtest du dieses Fahrzeug für {0}$ reparieren lassen?"
"VCUST_COLOR_GRID_TITLE": "FARBGITTER (3/3)"
"VEHICLE_COLOR_ADVANCED": "STANDARD"
"STORE_CRIB_CLOTHING_MSG": "ÖFFNE DEN KLEIDERSCHRANK"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "INSGESAMTE MEHRFACH-KILLS"
"STAT_FLASHPOINTS_COMPLETED": "ZERSTÖRTE BANDENOPERATIONEN"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "INSGESAMT GEMACHTE SPOTTGESTEN"
"ESCORT_NAME_17A": "HAIRY"
"ESCORT_NAME_4A": "ANGRY"
"TINY_PLAYER_DESC": "Kumpel, du hast dich geschrumpft!"
"GANG_CUST_GANG_STYLE_OPT": "STIL"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "Möchtest du %s bezahlen?"
"Vehicle Jump Distance_NAME": "BESTE SPRUNGWEITE"
"Player_Vehicle_No_Damage": "FAHRZEUG OHNE SCHADEN"
"VCUST_PERFORMANCE_ADD": "VERBESSERUNG"
"WPN_STORE_SHOTGUN_TITLE": "SCHROTFLINTEN"
"WPN_STORE_MELEE_TITLE": "NAHKAMPF"
"GANG_CUST_GANG_SIGN_VOICE": "SPOTTGESTE"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "LÄNGSTE ZEIT BEIM FAHRZEUG-SURFEN"
"STAT_DECKER_SPECIALISTS_KILLED": "GETÖTETE DECKER-SPEZIALISTEN"
"STAT_HOLDUPS_STORES_ROBBED": "AUSGERAUBTE LÄDEN"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "FÜR FAHRZEUGTUNING AUSGEGEBENES GELD"
"STAT_CAT_MOUSE_LOSSES": "KATZ & MAUS: NIEDERLAGEN"
"STAT_DRIVING_BURNOUT_TIME": "LÄNGSTER BURNOUT"
"ESCORT_NAME_15A": "BROWN"
"ESCORT_NAME_6A": "MUSHROOM"
"HASH_269B6FA3": "TODESSTOSS: MEISTE KILLS IN EINER RUNDE"
"MAP_ICON_CRIB": "DOMIZIL"
"GARAGE_LEAVE_FULL": "Möchtest du Rim Jobs wirklich verlassen?"
"CURRENT_AMMO": "AKTUELLE MUNITION"
"STAT_VEHICLE_CAR": "AUTO"
"STAT_TAUNT": "VERSPOTTEN"
"STAT_WATERCRAFT_DESTROYED": "ANZAHL ZERSTÖRTER WASSERFAHRZEUGE"
"STAT_CARS_UNLOCKED": "GEKNACKTE AUTOS"
"STAT_COMBAT_HEADSHOT": "KOPFSCHÜSSE"
"coop": "KOOP"
"Pimping": "ABGREIFEN"
"Genre string": "AKTION"
"DROP_UFO": "ZERSTÖREN"
"ACTIVITY_LEVEL_LEAVE_FULL": "Möchtest du die Levelauswahl für die Aktivitäten wirklich verlassen?"
"STORE_FAT": "DICK {0}%%%%"
"HASH_ABE420A4": "NOCH KEINE VERFÜGBAR"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "KEINE WAFFEN/MUNITION VERFÜGBAR"
"VCUST_SPINNER_OPTION": "SPEICHEN"
"VCUST_HUBCAP_NUMBER": "RADKAPPEN #{0}"
"STAT_MILES_BY_WATERCRAFT": "MIT WASSERFAHRZEUG GEFAHRENE MEILEN"
"STATS_NO": "NEIN"
"STAT_SHOT_HIT_PERCENTAGE": "TREFFERQUOTE"
"ESCORT_NAME_13A": "BACKDOOR"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "FREISCHALTBAR"
"TATTOO_LEAVE_FULL": "Möchtest du Rusty's Needle wirklich verlassen?"
"STAT_DRIVING_WHEELIE": "WHEELIES"
