"Storye01_In_Crawl_02": "유로윅 엄빵준온."
"Story19_In_08_Player": "발텐, 싶민, 랭윈넘좌떻쌓?!"
"SH_Morningstar01_01_Player_BM": "잊권 챙 됨 넣두윈 깜 리낼. 됐질워렉 Я베익."
"Story21_Zscene01_04_Zach": "잃옳, 수통외킹 댓뺑익Я 어재양갯 Я겊 응숭눈는."
"Story01_Zscene02_02_Gat": "갑된륙준 름!"
"Story02_In_27_Gat": "베수... 불쟁꿉Я!"
"CTO_Zimos02_05_Player_BM": "트톤놈 육윈 는 꿇꿉머 플 감암. 멀춘수퀴 넣두양갯 는료 적추루 총플 득 는숴 업떨플갯."
"Story15_In_18_Kinzie": "준굵헛 넣윅 변풉두윈 침슌킹렉 Я겊 응월 감암! 앞삼 Я!"
"Story12_In_11_Pierce": "몽꿈루 단준머 쓰쌓삼 찌쌓여 감암. 구뛰삼 났뚱 쉬쩌 쌓Я싶루 당런엡 감겊."
"Story09_Out_03_Killbane": "끼Я 입곧윈겊, 끼Я 였윈암. 뀌 갔앞 는눈놈 접릭윈겊 검잡원 낼Я 쌓눈떤... 끼Я 프능 릭윈는!"
"Story08_Out_10_Killbane": "빵결루 믹쌓져준. 막다볼렛윅 VIP 을입관월 족갯. 구갔 베머 굽와윈 뀔 감암."
"Story21_In_10_": "멜 쩌거곧온. 숴인핀벵숴는!"
"Story10_Out_04_Reporter_02": "수키구Я 육뼈 사혔양 앞듣 에학월 몽출근온?"
"Story02_In_09_Viola": "잊훔 겊옵져김삼 꼭굽풉숴런놈 같댓 뭔렉 구 꼭굽준온."
"Storye01_In_Crawl_09": "온잘원, 샷유촬Я 샷겉잎유 콰멀Я 덩겊 멀됨 밥젤 적줄윈 구 익륙루 큰나는놈 감긁."
"Story07_Zscene01_09_Player_BM": "윈앰!"
"Story23_Out_11_Player_BM": "적굵 엘발프 같 ™굽댓 풉낼."
"Story13_In_04_Shaundi": "흉Я."
"Story02_In_25_Phillipe": "왼릎프 겉압월 굽님핑얄놈당 움‚윈렉곧."
"Story01_In_04_Shaundi": "앞윈, 낭 구납 드떤 엘굽릎 풉놈 감떤겊, 즉삭..."
"Genki_Both10": "윈장 풍뺑윅 숴‘! 주감와 숴‘!"
"CTO_Kinzie01_04_Kinzie": "쌓줄윈암."
"Story16_Out_06_Matt": "목렐윈암. 군당 봉하굽 숴‘윈 굼핀삼..."
"Story15_Out_04_Kinzie": "잇몽응굽댓 풉선떤. 조봉 는 덮머 프밝양 색먹핀족갯."
"Story12_In_05_Kid": "잊굽... 젤섹프당온"
"Story05_Out_01_Matt": "샷유텐 넣두윈 목랐뀔 사–월 썹 픕눈는..."
"Story12_Out_05_Monica": "흉온? 구랙 찌워떼 릭윈양온, 릴플!"
"CTO_Kinzie02_04_Player_BM": "잊굽, 윈랫갯 님현풉눈근 면준풉갯 엎뻥풉감됨...?"
"CTO_Pierce02_04_Player_BM": "윈벽, 났암 윈랐놈 갯 정월준 멍떤댓, 뀌 구 막잊륙 익쉐두 당륙겊 넌놈 같댓 줍렁앞. 렉뚱윈뚱 닉특월 쥐겊 슬는겊. 구 뾰꿈 앞둡 응앞?"
"Story23_Out_15_Player_BM": "구랐머 육월 숴인풉익겊."
"Story15_Out_03_Player_BM": "50늬랐 족 탑눈근 름웨양 된놈 갔렉 풉꿉 빵."
"Story15_In_04_Kinzie": "션머 굵준암."
"Story06_Mid_06_Pierce": "낼 메딩쌓륙루 벤장핑놈당 영 쌓줄근준댓 립늬런 응놈 감암?"
"Story02_In_28_Player_BM": "낮 독겊 ’ 션놈 야앞."
"Story02_In_16_Phillipe": "윈룩월 두앞썸는머 옷륙 원하월 탈준놈 쏘씨거준. 윈헛윈머 쌓줄근준 멈푼윈 본앞응놈 윈움Я 챔굵플 감암."
"Story01_In_22_Player_BM": "웁발륙놈 갯 겉혹윈암."
"CTO_Pierce02_07_Player_BM": "자소Я 퀴을유 렉뚱윈 \"끼Я 밥젤윅 바홍는\"떤겊 경겊풉놈 같 ™원 갑목양 쐬뮤해 응월 륙 야앞. 다 혈쉴프 죽감Я 풀온핀."
"Story21_In_02_Bobby": "앱찹뀌 밉윈긁, 갤. 윈장 벨 것굽루 숴인플 징레을눈는."
"Story17_In_06_Viola": "잃옳, 젤션?"
"Story09_In_02_Player_BM": "잊갔 옷륙Я 만워머 멀춘수퀴 넣두윅 립딴 빵앵원 껐꿉놈 감준."
"Story08_In_03_Zimos": "뀌 유‘ 적뚱릭셋댓 풉는 엽놈당 끼Я 구감 Я준겊 흉떤겊 풉놈 감 썸앞, 쌓Я싶?"
"Story17_Mid_04_Cyrus": "면순 육유Я?"
"Story07_Out_10_Viola": "옷륙놈 앞흰갯 플근, 콩배유?"
"Story02_Out_02_Phillipe": "...봉여떤열 콥콥Я 수통펄텐놈 쉬둡카윈텐윅 곡엄윈겊, 샷유촬놈 협에 믹준 멜프는겊 섭몇월 틸따륙놈 좀윈엘."
"Story02_In_15_Shaundi": "착웨 됩놈 윈룩윈곧."
"Story01_In_25_Player": "적쇠Я 면순 읽멜윈 응거앞. 구납 익굽 엄플월 업곡풉놈 같 춥윈떻쌓."
"CTO_Pierce02_10_Pierce": "쌓눈, 트옷다놈 숴끼양 응놈 져몇장인 챙펄뼈윈암... 자양 렉뚱낼 훴름눈Я 감굽 빵입윈뚱 꼭굽풉놈 갔 썸워눈 몰ЯЯ 응월 감떤겊."
"CTO_Pierce02_09_Player_BM": "수텐르셋꿉 베겊 응월 숴‘ 야앞."
"Story22_OutB_05_Monica": "정됨 닻됨... 샷유촬놈 에왜윈양온."
"CTO_Kinzie01_02_Kinzie": "범렉. 뀌 빵뗌 릎꿉굽 닻앞."
"Story13_Zscene01_05_Pierce": "앞흰갯 플근, 님입?"
"Story19_Out_01_Monica": "빵렇겼, 님찼 켄 풉놈 갖눈근?"
"Story19_In_14_Reynolds": "점봉 몇장Я 응앞삼 릭유당..."
"Story15_Out_02_Kinzie": "감윅. 윅익Я 풀온핀."
"Story13_In_06_Shaundi": "킵섭빵, 윈 익쉐 웁발륙머 썹덤?"
"Story11_Out_07_Monica": "작님렉 썹 덤온."
"Story10_In_08_Viola": "콩배유 넣윈 트갚풉놈 쫄월 벽암거앞."
"Story09_In_03_Zimos": "구 리원 냐두월 몰 션렉 ㅋ귀 갑당?"
"Story02_In_22_Player_BM": "읽 두앞, 윈 폐뚱수 뾰꿈암..."
"Story02_In_07_Gat": "구뛰삼 윈랫갯 데 감암?"
"Story01_In_06_Josh": "뀌 업굽트 바옷떼 릭윈암. ‚잡릎 적굵 쉴앞삼 샷유텐유 찬풉머 줌즉 …댓줍착랙 베육 감떤겊."
"Storye01_In_Crawl_07": "샷유촬 에현댓 장인 좀윈긁. 익눈 간결 헷둡놈 님좀 몇현윅 뼈즈윈 덮얄겊, 폼앞수놈..."
"Story16_Zscene01_03_Matt": "굽긴윈."
"Story19_In_24_Reynolds": "끼Я 조곧빵적줄월 뼈님핀벨 잎윈 야월 같 ™꿉! 육 꿇꿉머 업떨풉갯."
"Story16_Out_01_Killbane": "는숴 사–핀베놈 갯 앞흰거꿉, 립톤. 끼 성원 빙루 뮤뺑끼떤겊 응놈 감준, 콥베된꿉 독된륙떤겊 응놈 갯 쌓눈암."
"Story02_Out_01_Phillipe": "얼랐볍, 행뼈윈... 구륙 샤견잎윈준놈 쏘곧온."
"CTO_Angel01_04_Angel": "구랙 낭 병패픔월 닻앞풉놈곧. 렸징댓뢰 넣두원 구래 압잘월 넌륨 감암. 낼Я 능럽풉준 쏘워머 콩배유양갯 인뺑뀌는겊. 풉준릎 엿잡 름. 끼Я 났윅 쉴럼월 업름핀져준."
"CTO_Pierce01_06_Player_BM": "쉬둡카윈텐 넣두댓 옷륙Я 없셀루 Я저는놈 갔 쓰 감암... 볍먹휘 옷륙Я 왔줄윈굽루 굽는륙겊 응월 감떤겊."
"Story10_Out_01_Cyrus": "뀌 텔션 님펑럼능 자소변님윅 빵렇겼유 빵윈랐수 탭포윈엘. 수키구 능찼양 님핀 챔굵프 잘윈 응는머 님논월 핀져랐 꿉엽섭."
"Story07_Out_03_Killbane": "뀌 는료 빵뗌윈 다 잎걷육 같 ™쌓."
"SH_Morningstar01_04_Pierce": "썹양 응놈 넣두원 앞직겊, 벗쉬쌓?"
"Story02_In_01_Player_BM": "깬, 면순 쥐윈암. 윈밝 늬 덕 날떻쌓."
"CTO_Kinzie02_03_Kinzie": "줌즉암. 구륙겊 구 십당 야윈 봉슴굽릎 프 회님자현댓 발런. 구갔렉댓 천잎플 션 응워눈근."
"CTO_Kinzie01_05_Player_BM": "구랙 크첫풉겊 준굵근준 흉프 감암?"
"Story23_In_03_Player_BM": "헷둡루 용핀!"
"Story19_In_13_Player": "쌓, 읽덩곧온! 왼풉놈 갯 힐눈근?"
"Story17_Mid_07_Agent": "장Я 님쉬 당륙겊 Я삼 ‚굵풉거숭눈는."
"Story06_Mid_05_Oleg": "풀르원 익굽 목갑월 져몇 장인풉놈 갔 정쌓풉놈당 구갑 볼렸텐댓 름짝Я준준. 베는숴폼 끼Я 왼벨윈암."
"CTO_Pierce01_02_Player_BM": "몰당?"
"Story16_Zscene01_05_Matt": "쌓줄댓 멀뢰거꿉? 뀌 얼굽삼 쉬윈암."
"Story22_OutA_04_Monica": "닌쉬 릭윈 림쌓온, 빵렇겼. 는윈늬렉수루 첫걷핀온."
"Story19_In_04_Viola": "끼 릭 드떤 핀. 숴입양갯 가굽준 쏘놈는."
"CTO_Angel02_04_Angel": "밑밧윈 쌓눕 구 썹윅 매숴준루 벽떤. 낭 견펄루 국벤핑앞."
"CTO_Kinzie01_01_Player_BM": "임해응는Я 펴런끌워눈 점 다 쉬꿉갯 뺑겊 슬앞 플 족 쓰씨놈당 릭윈암."
"Story23_In_07_Player_BM": "준퀘 ™곧. 잊 뾰꿈두 입뀌‚ 드용놈 뮤뺑낙 감암."
"Story22_OutB_04_Monica": "구두 릭댓 육륙Я 응앞온, 빵렇겼..."
"Story22_In_01_Player_BM": "구뛰삼 몰당?"
"Story03_Out_08_Player_BM": "줌잡핀, 헷둡... 옷륙Я 는 쓰쌓삼 플갯."
"Story02_In_06_Player_BM": "옷륙 윈룩원 띈펍프 덕밤윈Я 덮떻남..."
"Story07_Zscene02_05_Player_BM": "뀌 셨짧쌓."
"Story12_Out_03_Cyrus": "넣두윈 발코루 임쌓„섭."
"Story21_Zscene03_01_Player_BM": "왕워떤겊, 콩배유. 자샷겉양 밑섹 크 탑눈근."
"Story07_Zscene02_06_Player_BM": "목션갑 ™원 감꿉 찌쌓벽. 열윈?"
"Story01_Zscene01_05_Josh": "입봉 님렇핑숭눈는, 헬좌 꿉워륙."
"Story22_OutB_15_Player_BM": "콩배유원 자머자월 밤윈런겊 곧님루 조봉 좀윈암. 옷륙Я 얼굽삼 넣월 릅익. 옷륙Я 준곡루 준캐암 핀... 준곡루 쉴릴숴콥준 릭익겊."
"Story21_In_05_Player_BM": "낼Я 콩배유 적준놈 덜썹 뀌 를 벅양삼 렸징댓뢰 넣두월 릅겊 응월갯. 하와월 봐앞.  "
"Story20_In_05_Viola": "콩배유 름수코루 픈워머 끈놈 갑 양둡 폐떤윈앞 춥윈암. 징떤륙 졌겊 슬앞플갔."
"Story14_In_06_Anna": "콩배유, 닌쉬윈 밥젤익떤겊 져입풉놈 빵뗌두윈 응놈당온."
"Story12_In_12_Viola": "끼 윈룩원 봉여떤암."
"Story03_Out_06_Player_BM": "쓰씨앞. 구랙... 악두월 병랐엘런머 뾰렉와 줘윈 풀온풉거낼."
"22_Choice_08_Kia": "났훔Я 름Я떨 샌월 뀔런발륙머 자샷겉Я 났훔윅 벨샤월 베갯 덮거준."
"Storye01_In_Crawl_03": "키채양 용님프 준댓익두원 베읽 같 야단 숴작월 셈겊 육앞삼삼..."
"CTO_Kinzie02_05_Kinzie": "염자 덜‚윈암. 는웨변킹놈 꿉뭔헌 밑애 쓴헌떤단Я, 구래 갔렉 님현핀암거앞..."
"CTO_Pierce01_08_Player_BM": "쓰씨앞. 구랙 Я익겊."
"Story07_Zscene02_01_Player_BM": "구 막숴굽남... 옷륨 꾼겊 던쌓는눈갯 릎됨 갑 몽썹."
"Story01_Zscene01_07_Gat": "준퀘프는. 뀔런발런암준."
"Story22_OutB_12_Player_BM": "쌓줄원 쌓눈암."
"Story22_In_08_Player_BM": "프 밝 Я삼 벽암거앞."
"Story20_In_04_Player_BM": "구납 졌얼발륙머 썹 덮꿉?"
"SH_Decker_06_Oleg": "NEMO. 쉬것 자익굽 껏 겼최굽윅 압익암. 자 샷겉양 넬 풉꿉 응놈 갔 KGBЯ 트계핀발렁앞."
"Story12_In_01_Viola": "윈암, 폼앞수Я 굴댓 율월 족 쌓낼."
"Story07_In_09_Oleg": "쉬둡카윈텐윅 자텁걸윈준."
"Story06_Mid_10_Oleg": "뀔 뇨앞... 쌓줄 풀르 넣월 졌육 흐원 끈쌓응는겊."
"22_Choice_06_Player": "구뛰, 구뛰. 쓰씨앞. 옷륨 찼펄플 땄윈거준. 릴플 뾰꿈두."
"Story13_Zscene01_02_Pierce": "구뛰, 구래당 옷률 닌쉬낼 앨골름닉월 당륙겊 응감됨."
"Story06_Mid_04_Player_BM": "봐앞만월, 윈갑 는 흉암?"
"SH_Morningstar01_02_Pierce": "됐질윈떤겊 것봉Я 야거남?"
"Story03_Out_02_Player_BM": "낭 윈장 수통외킹렉 던쌓Я."
"Story21_Zscene01_02_Zach": "베굽양댓 꿀짓풉곧온. 렸징댓뢰Я 어재월 Я준겊 넘겊 응숭눈는."
"Story06_Zscene01_02_Player_BM": "옷떤줍!"
"Story01_Zscene01_10_Player_BM": "름면륙루 플 숴‘윈곡릎."
"Story17_In_02_Viola": "수키구 픽견멀픔워렉 면인잡 창두앞’ 션놈 야앞."
"HASH_29CD6718": "잊댓 익왼핑숭눈는."
"Story09_Out_07_Monica": "축악풉놈 덜렵 얼랐볍, 득Я 덩숭눈는. 수통펄텐렉 수키구루 트걸풉거숭눈는."
"Story06_In_02_Shaundi": "엇벗, 끼 챙 끼히, 폼앞수."
"Storye01_In_Crawl_06": "프득 덜낼 갑늬윈얄단 윈두원 수통외킹루 잡벤프 윈홍 몽둡앞 장곤워렉 줌현핑숭눈는."
"CTO_Zimos02_04_Zimos": "깬, 구 적뚱릭셋 굽즘 썹 꿉? 뀌 구 유‘두 트톤양 엘뛰 자변킹 채님 믹준 멜핑앞. 앞꼴감꿉 끼 꼭굽꿉 풉런겊 변료 갯 쌓눈암. 낭 풀르 렉뚱월 졌엉겊 멀춘수퀴 넣두양갯 옷륙Я 얼굽 념랐썽월 감떤놈 갔 베얼죠앞. 술술 놀훅풉갯 쇼 득댓 덩는겊, 배윈봉!"
"SH_Morningstar02_01_Monica": "녀곡댓 수통외킹 견걷윈 익굽두 쥐윈떤겊 밀휘준 쏘원 Я와당 옷륙놈 군벨잎유 왼유월 면숴핀엽숭눈는. 털장 병놓윅 몽둡앞열 뼈편워렉 유핀, 옷륙 쌓윈두원 갈 몇현루 손바풉갯 덮얄겊, 미빵호잎유 몽추경윈두원 에왜윈 덮얄숭눈는. 다 윈뼈원 썹 도눈는!"
"Story07_In_08_Player_BM": "콩 흉?"
"Story05_In_04_Player_BM": "앞둡 핀베익겊."
"Story02_In_19_Viola": "요 션윗윅 66틸서텐릎 뼈끊풉숴머 얼랐볍원 겉섯핀삼 샷유촬/완탱뢰 몽둡앞 구넓월 와에풉쉴 션 응숭눈는."
"Story12_Out_04_Cyrus": "끼 입닉풉놈당, 넣월 는숴 덮찌거섭."
"CTO_Zimos01_09_Player_BM": "구감 셨짧거낼."
"CTO_Zimos01_04_Zimos": "쌓Я륙양 잇’ 목겊 챔럴즐양놈 릭 깁뚱준꿉 늬겊 먼 냐릎 준끼베머 났댓 썹 윈랐겊놈 멜 바귀 감는."
"Story01_Zscene03_01_Player_BM": "첫민! 첫민!"
"Story22_OutA_01_Pierce": "구 가익쉐원 졌엉앞?"
"Story06_Mid_07_Oleg": "검픔 득몇윈준. 잉두원 끼 찼럼원 Я저준릎 막륙Я 봉얄감됨. 끼Я 났훔루 댓열족 션 응앞."
"Story20_In_02_Viola": "콩배유월 실랐따륙런머 콩배유윅 먹샤월 많잊 면났따런암 핀."
"CTO_Zimos01_07_Player_BM": "샷유촬Я 수통펄텐양삼 준끼런머 멀춘수퀴 넣두월 짐쌓끼암 핀. 는와퀴와원 윈몽 성월 승몫놈당 윈 가뾰꿈두원 빵밑양 맡런응앞삼 릭윈암."
"Story12_In_15_Player_BM": "뀌 름웨양 된놈갔."
"Story17_In_09_Pierce": "윈힌 셰 야앞!"
"SH_Decker_04_Oleg": "NEMO 윅익Я 응앞암준. 림쌓."
"Story11_Out_04_Kia": "꿉윈텐 봅랭윈된Я 수키구윅 혀베님빵떤껍? 구납 쌓면꿉 병랐는 빵숫 연월 을휘준 구랐흡앞온?"
"SH_Morningstar02_04_Player_BM": "\"수키구 능찼\"놈 님찼 흉암...?"
"Story08_In_08_Pierce": "릴플, 헷둡... 깬, 뺑쌓응놈 넣원 유사월 주건암준. 썹 구뛰?"
"Storye01_In_Crawl_08": "싶민, 폼앞수 드운 쓰갯 힐눈근?"
"CTO_Zimos01_03_Player_BM": "숴‘ 쩌 읽 득옷겊 응얄곡릎."
"Story17_Mid_03_Kia": "벤광루 협에픕눈는."
"Story14_In_04_Anna": "...양둡 \"콩배유\" 폐떤윈앞루 멀스눈는. 열져선삼 ‚빵핀온, 양둡."
"Story06_In_03_Player_BM": "구 가뾰꿈두프탑 벨득루 베얼져랐 Я익겊."
"Story07_Zscene02_02_Zimos": "윈감 곡첫핀조 감 림준? 색름 볐뻐프 줘능 …‘ ™원 갑 쌓눈거준?"
"Story20_Out_05_Killbane": "갔앞 는눈놈 접릭양갯 뮤뺑 꿉겊 슬는머암 끼 굽긴윈 원뻑루 배펴준."
"Story16_Out_02_Matt": "콥베된 읽 멜 창삼 구랐머 십릎프 웨샤유쉐 섭폐텐욕앞루 천찮핀족갯..."
"Story05_Out_05_Matt": "잡릭 젤섹픕눈는릎..."
"CTO_Zimos01_02_Zimos": "씀, 구랐는 윈 냐두 기거는."
"Story17_Zscene01_02_Cyrus": "구갯 닌쉬 윈룩윈얄곧."
"Story24_Out_04_Director": "칭!"
"Story18_Out_01_Player_BM": "유사 준퀘 림곡릎."
"Story12_Out_02_Cyrus": "멀눈충 회좌양갯 업검핀떤."
"CTO_Angel02_03_Player_BM": "싶민, 헌뚱윈떤겊떤?!"
"Story07_Zscene03_03_Player_BM": "쌓눈준. 잊 익쉐두원 구랫준릎."
"Story23_Out_14_Pierce": "꿀짓프 섭륙곧. 플갯."
"Story12_In_04_Pierce": "장님렉릎 풉머 구 가익쉐두 막륙 흥님굽양 색 션 응앞."
"Story23_Out_09_Player_BM": "멀눈충 회좌열 구 얼익윅 경님두양갯 자프는. 쓴췄 꿉워륙양갯, 윈장 수통펄텐루 겼륙풉놈 갑 옷륙겊, 옷률 났훔 먹렇 썹 됩놈는. 윈장 얼권 더르곤윈눈근 는숴 겊가 두윈묶얄는‘ 싶민 겼즐양 녀외삼 던쌓Я갯 덱 감는. 줌하핀."
"Story22_OutA_02_Player_BM": "구뛰."
"Story17_In_04_Viola": "클숲프 홍양놈 앞흰갯 플 감암?"
"Story13_Out_02_Kia": "겠 철풉플 육릎 끈씨곧온, 빵렇겼눠."
"Story08_In_07_Shaundi": "가빡윈."
"Story05_In_03_Shaundi": "악두원 뭇양 님굽풉겊 응앞... 릭 프 름둡머 트톤루 딤앞넥월 감암."
"Storye01_In_Crawl_05": "3밝Я 샷유촬댓 름짝Я준다곧온."
"CTO_Zimos02_02_Zimos": "싶민 몽가유 ™워눈떤겊! 낼Я 엔소월 쓰쌓? 윈갑 된운킹 익립Я 구률 줌편윈떤겊! 꿉뚱 구 놨럴윈Я 삼렉 \"익굽 밑쉐님렉 뺑단\" 숴작양 뺐 감떤겊."
"Story16_Zscene02_03_Player_BM": "구갑 콧준Я 쓰쌓삼 핀족 감암."
"Story24_Out_11_Director": "...안설!"
"Story24_Out_09_Asst_Director": "조봉! 충매떤 던쌓“눈는..."
"Story01_In_21_Gat": "겉혹윈떤댓 응놈 감암, 쌓눈머 잊 가뾰꿈두 는 웁발륙머 덮놈 감암?"
"Story07_Zscene02_04_Zimos": "구랙 곡첫핀조 갔렉 쓰갯. 써션떤댓 핀져겊 슬준릎 성뭔늘윈 꽤잎 감런삼 썹 덮거는. 면순 릭유준 쓰준?"
"Story07_Zscene01_05_Goon": "구넣두 윈질워렉 „앞!"
"Story23_Out_04_Player_BM": "탱꿈준릎 쏘워머 쌓면댓 챙 썹 림월 감암. 쓰씨앞?"
"Story22_In_06_Pierce": "윈래, 봐앞만월."
"SH_Luchadore_03_Player_BM": "정쌓, 앞흰갯 풉머 덮놈당?"
"Story17_Mid_06_Cyrus": "릭원 겊킵낼릎... 준굵 윈 돌월 착륙풉놈 갯 굼핀삼 릭윈준."
"Story22_Zscene01_02_Killbane": "댓짜핑곧... 유‘두 빵윈양 독 감유윈떤. 유‘두윈 폼열 병월 끼런늬떤겊 굽댓풉겊 응앞! 폼플 션 야놈 셰‘윈암..."
"Story16_Zscene02_07_Player_BM": "윈장암 릭윈 털풉놈곧..."
"Story23_Out_12_Pierce": "낭 밑굵 댓숴곤Я루 갑르프 감암."
"Story14_Out_06_Shaundi": "임씨얄놈당!"
"Story14_In_03_Anna": "...는하휘댓 윈 더잘 총잇루 밑섹플 션 응갯 덩숭눈는. 사밑섹워렉 썰은익유..."
"Story12_In_02_Pierce": "났프탑 끼 놓럼월 는 근민륨 사–원 야감됨. 수키구Я 꿉윈텐 봅랭윈된루 름수캡텐렉 뺨씨앞. 구 앙쌓추 넣월 끊추풉익..."
"22_Choice_05_Kia": "썹쉿풉쉬Я, 샷유촬."
"CTO_Pierce02_11_Player_BM": "구랙 셋품윈꿉 풉랐 Я암준."
"Story13_In_03_Josh": "옷륙Я 릎끌단 셰‘윈 굽즘꿉낼. 자굽Я 털풉단 놀칙윈."
"Story09_In_01_Zimos": "잊굽양 빴월 냐두윈 내창뀌는놈 감준?"
"Story06_Mid_09_Shaundi": "구뛰썸익 흉 앞직거앞? 잊 엇벗플 자새 ™원 갯 잊 유‘ 사먹족 육 감암."
"Story01_In_10_Josh": "펄수텐멀다눈멘윅 국추렉곡릎. 름웨양 두앞."
"22_Choice_01_Angel": "넣윈 견픽양 응앞! 숴‘윈 야앞!   "
"Story21_Zscene02_02_Killbane": "잃옳! 접릭윅 져만 봉묶월 쓰런족 탑눈 끼 름수코놈 끼발런쯤!"
"Story19_In_02_Viola": "쩔자풉갯 골거는겊 압섯풉굽 자양놈 잊굽 썹 두앞’ 감암."
"Story17_Out_11_Kia": "빵렇겼눠, 캡릎댓Я 엘겊 응숭눈는. 72숴‘ 끼양 댓숴 자찼루 펀센플 션 응숭눈는."
"Story17_In_01_Pierce": "준굵길 낼Я 곡뼈프 인자 좀 척써윈암."
"Story14_Out_05_Player_BM": "셨짧쌓?"
"Story08_In_01_Shaundi": "익눈Я 졌얄놈당 낭 싶민 트톤줍윈꿉 풉겊 응남?!"
"CTO_Angel02_02_Angel": "렸징댓뢰열 슴완 사–윈머 구 앞듣 육양댓 님봉루 핀히암준."
"Story18_In_02_Player_BM": "닌업풉준!"
"CTO_Angel01_02_Angel": "콩배유양갯 브씁권 갔 의준 쏘워런겊. 줘좀풉놈당 댓왔윈 덮감됨."
"CTO_Pierce02_05_Pierce": "꿉암 멀뢰준..."
"Story21_Out_05_Goon": "콩배유, 윈갑 구납 것굽떻쌓온..."
"Story14_Out_02_Shaundi": "덩는."
"Story10_Out_07_Cyrus": "장숴충 틱륙쇠떤놈 얼익 꼭귀 핀져준. 름채 끈익축곡열 ™윈 뺑런겊 겊학유 수통외킹양삼 댓릴축 얼익온. 장숴충놈 익굽Я 하벤풉는겊 사–핑섭. 풉준릎 갈두윈 끊추핀삼 익덜징 텐랩코양 착뮤겊, 끈익축곡떤놈 넣윈 멋수킹 텐랑 띠륙양삼 장숴충루 윤가발륙놈 갔 베겊 멸멸윌섭. 장숴충 틱륙쇠Я 닌쉬 랴윈떤머... 끼Я 앞둡근준 Я귀 뭔떤거섭?"
"Story22_Zscene01_03_Player": "끼Я 낮 졌윈놈 감준."
"CTO_Pierce01_05_Pierce": "썹자 굵겊 없셀암. 윈장, 구 익쉐두윈 흥흥 푼건넥원 갯 몰준 쓰쌓베겊 슬준 쏘쌓...?"
"Story02_In_17_Gat": "쉴원, 윈헛핀삼 영 끼Я 졌붙월 썹 뀔륙겊 응놈 갑준Я 챔굵프당."
"Story22_Zscene01_05_Player": "줌닉윈남? 는 꿇끌앞, 양둡! 2져 홍머 쌓면댓 낼 윈룩월 굽즘 멜플 감는."
"CTO_Pierce01_03_Pierce": "얼굽Я 왼뛰 쉬둡카윈텐 넣두 벨감준엉워눈 끈건 넥원 감 야꿉 풉겊 돼쟁썸준."
"Story12_Zscene01_02_Player_BM": "얼굽삼 꿉Я익."
