"ACT_WHORED_Z_AGRIZOOPHOBIA": "È un grosso problema."
"ACT_ZOMBIE_HUD_WAVE": "ONDATA: "
"ACT_VANDAL_SUMMARY_PROPERTY": "PROPRIETÀ"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "IL [format][color:red]COMPRATORE[/format] SE N'È ANDATO"
"ACTIVITY_LEVEL_SELECTION": "SELEZIONE LIVELLO MODALITÀ"
"ACT_VANDAL_START_NO_DISTRICT": "Eccoci qui. L'obiettivo è uno solo: massima distruzione!"
"ACT_VANDAL_GANG": "MEMBRO DELLA GANG"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "BONUS AUTO NAZIONALE"
"ACT_TRAFFIC_INVALID_VEHICLE": "NON PUOI CONSEGNARE CON QUEL VEICOLO!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "FERMA IL [format][color:red]VEICOLO[/format] E PRENDI I [format][color:green]CONTATTI[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "HAI SCOPERTO UNA TRAPPOLA! RECLUTA QUELLE [format][color:green]PROSTITUTE[/format] E VATTENE."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "AGGRESSORE IN ARRIVO DA [format][color:red]SINISTRA[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Non ci sono abbastanza auto. Trovane altre."
"ACT_WHORED_ROLLERHOS": "Attento alle zoccole rullanti."
"ACT_WHORED_MINI_BRUTES": "Piccoli ma potenti."
"ACT_WHORED_DRINKING_GAME": "Più uccidi e meno ti ubriachi!"
"ACT_RUNNING_MAN_TRAP_KILL": "UCCISIONE TRAPPOLA"
"ACT_GUARDIAN_ANGEL_FAIL": "IL TUO PROTETTO È MORTO! TIENI D'OCCHIO L'ICONA SULLA TESTA DEI PERSONAGGI PER CONTROLLARE IL LIVELLO DI ENERGIA"
"ACT_VANDAL_COP": "POLIZIOTTO"
"ACT_TRAFFIC_BUYER_DEAD": "UN COMPRATORE È STATO UCCISO"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "VITA DA VIP"
"ACT_FRAUD_BONUS_AIR_TIME": "BONUS VOLO"
"ACT_ESCORT_IRS_SPAWNED": "SFUGGI AL [format][color:red]FISCO[/format]"
"ACT_WHORED_Z_HORS_DOE": "Chi non adora quei piccoli hot dog?"
"COMBO_BREAKER_TEXT": "DISTRUTTORE DI COMBO"
"ACT_VANDALISM_COMBO_JUST_COMBO": "COMBO: "
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "HAI SCOPERTO UNA TRAPPOLA! ELIMINA I [format][color:red]MORNINGSTAR[/format] PRIMA DI RECLUTARE LE [format][color:green]PROSTITUTE[/format]"
"ACT_ESCORT_STICK_ROTATION_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE CHE LA SPOGLIARELLISTA FACCIA LA CATTIVONA"
"ACT_WHORED_Z_10_CENTS": "Raccogli quelle lattine."
"ACT_WHORED_D_COUNTING_CALS": "Gli energy drink uccidono."
"ACT_WHORED_D_SANGENTS": "Affronta gli uomini del mistero"
"ACT_WHORED_GIMPS_FAIL": "Dovresti punirli."
"ACT_WHORED_MINIGUNBRUTE": "Bestioni con mini-gun in arrivo!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "RICEVI UN BONUS PER LA DISTRUZIONE DI: [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONUS: DISTRUGGI %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Secondi bonus ottenuti!"
"ACT_WHORED_A_4TH_JULY": "Razzi e alcol: il passatempo nazionale."
"ACT_WHORED_MINICANS_FAIL": "Sei stato riciclato"
"CHOP_STYLISH_1_RIMS": "CERCHIONI ELEGANTI 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "AUTO SPORTIVE"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]L'AUTO DEL TUO AMICO[/format] È QUASI DISTRUTTA"
"ACT_WHORED_HOBO_SHOTGUN": "Avresti dovuto dare più segnali di cambiamento..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "COMBO:"
"ACT_FRAUD_GOAL": "GUADAGNA %ls ENTRO IL TEMPO LIMITE"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Le macchine richieste sono indicate."
"CELL_PHONE_MUST_ADD_VEHICLES": "Non ci sono veicoli da portare nel tuo garage per il tuo amico. Riporta i veicoli al tuo alloggio e parcheggiali davanti al garage per recuperarli."
"ACT_WHORED_Z_KIRBY": "Tutti nel mondo dei sogni."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "TORNA DAGLI OBIETTIVI!"
"CHOP_RETRO_SPOILER": "ALETTONE POSTERIORE"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Qualcuno sta sparando ai [format][color:green]Saints[/format]. Aiutali a respingere gli [format][color:red]aggressori[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Zombi in fuga."
"MISSION_FAILURE_PARTNER_DIED": "IL TUO COMPAGNO È STATO UCCISO"
"ACT_EARNED_RESPECT_AND_MONEY": "Hai guadagnato %d rispetto e %d denaro!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "Non guadagni nulla se uccidi %ls."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "DISTRUGGI L'[format][color:red]AEREO[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "DISTRAI LA TIGRE!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Angelo della morte sbagliato..."
"ACT_WHORED_BRUTEBOOM": "Spingili oltre il bordo."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "IL TEMPO È SCADUTO PRIMA CHE RAGGIUNGESSI L'USCITA. HAI PERSO I %ls DELLA SCOMMESSA."
"ACT_RUNNING_MAN_COMBO_TOTAL": "TOTALE COMBO: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "IN ATTESA DELL'HOST"
"GAME_COMBO_TEXT": "COMBO: "
"ACT_HELI_BOAT_DELIVER_TEXT": "CONSEGNA AI TUOI AMICI LA DROGA SULLA BARCA."
"HASH_6A207813": "HAI RICONQUISTATO IL QUARTIERE"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]CINEMA A LUCI ROSSE[/format]"
"ACTIVITY_COMPLETED": "COMPLETATA"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Brutale."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "COMPLETA TUTTI I %d COMPITI"
"ACT_FRAUD_BONUS_VEHICLE": "BONUS VEICOLO COLPITO"
"ACT_ESCORT_CAR_SWITCH_MSG": "L'AUTO SEMBRA UN PO' VECCHIA, TROVANE UN'ALTRA AL [format][color:teal]CLUB DI SPOGLIARELLO[/format]"
"ACT_WHORED_D_CANGELS": "Mirano al cuore"
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "PROTEGGI I TUOI [format][color:green]AMICI[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "TOTALE COMBO"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Record truffa distanza in linea: %2f piedi"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "BONUS SUV"
"ACT_VANDAL_BONUS_TEAM": "BONUS SQUADRA"
"ACT_TRAFFIC_DEAL_SUCCESS": "ACQUISTO EFFETTUATO. VAI ALLA [format][color:teal]DESTINAZIONE[/format] SUCCESSIVA."
"ACT_TORCH_START_TEXT3": "INCASSA TEMPO BONUS ATTRAVERSANDO I PUNTI DI CONTROLLO"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "SONO MORTI TROPPI CONTATTI RECLUTALI {RECRUIT_DISMISS_IMG} E ABBANDONA LA ZONA IN FRETTA"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "C'è un carico di armi dei %s in arrivo sull'autostrada. Distruggi i [format][color:red]camion[/format] prima che arrivino a destinazione."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "Nel menu di pausa puoi trovare la lista delle auto richieste."
"ACT_WHORED_BIG_FAIL": "Che schiappa."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Uscita sbloccata!\nContinua a giocare per guadagnare altro denaro o vai all'uscita!"
"ACT_ESCORT_TIGER_ATTACK": "LA TIGRE STA ATTACCANDO IL VOLANTE"
"ACTIVITY_NAME_TANK_MAYHEM": "VANDALISMO BLINDATO"
"ACT_TANK_MAYHEM_COMBO_GSI": "COMBO"
"CHOPSHOP_VEHICLES": "VEICOLI"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "ATTRAVERSA TUTTI I [format][color:teal]PUNTI DI CONTROLLO[/format] ENTRO IL TEMPO LIMITE"
"ACT_ESCORT_CALM_TIGER": "CALMA LA TIGRE"
"ACT_TANK_MAYHEM_FAIL": "USA LE COMBO PER AUMENTARE IL PUNTEGGIO E LE STAZIONI DI RIPARO PER RIMANERE IN VITA"
"STRONGHOLD_SUCCESS_SUB_TEXT": "ROCCAFORTE CONQUISTATA"
"ACT_ZOMBIE_SURVIVOR_DEAD": "UN SOPRAVVISSUTO È MORTO"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "BONUS MOTOCICLETTA"
"ACT_FRAUD_TOTAL_LAST_HIT": "TOTALE ULTIMO COLPO"
"ACT_ESCORT_FAST_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE CHE GUIDI A 55 MPH PER %d SECONDI"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Se vieni morso, non c'è rimedio."
"ACT_WHORED_GRENADIERS_FAIL": "Stanne alla larga."
"ACT_WHORED_SWAG_BAG": "I raduni dei cartoni animati sono sempre originali."
"MISSION_FAILURE_CANCEL_TEXT": "LA MISSIONE È ANNULLATA"
"ACT_HITMAN_NAME": "KILLER"
"ACT_ESCORT_TIGER_NAME": "SCORTA LA TIGRE"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "SCALDA LA SITUAZIONE PORTANDO {ANALOG_RS_IMG} NEL PUNTO CALDO"
"ACT_ZOMBIE_TITLE": "SELEZIONE LIVELLO ZOMBI"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "LO SPACCIATORE VERRÀ ARRESTATO IN 10 SECONDI!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "L'ELICOTTERO È PIENO; PORTA I PASSEGGERI IN UN [format][color:blue]LUOGO SICURO[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Assalitore in arrivo da [format][color:red]sotto[/format] di noi."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "SFUGGI AL [format][color:red]CLIENTE FURIBONDO[/format]"
"ACT_WHORED_D_31DAYS": "Sopravvivi alla zombocalisse."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Grossi, infuriati e non morti."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "PUNTEGGIO MAX: "
"ACT_HELI_NEWS_VAN_KILL_TEXT": "DISTRUGGI I FURGONCINI DEI GIORNALI"
"ACT_TRAFFICKING_TITLE": "SELEZIONE LIVELLO TRAFFICI ILLECITI"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "FERMA IL [format][color:red]VEICOLO[/format] E PRENDI IL [format][color:green]CONTATTO[/format]"
"ACT_PIMPING_CONTACT_OBJECTIVE": "SALVA %d CONTATTI DI KINZIE E RIPORTALI INDIETRO"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "GUIDA RAPIDAMENTE PER TENERE ALLEGRA LA TIGRE E AUMENTARE IL TUO CORAGGIO"
"ACT_WHORED_A_MEAN_GIRLS": "C'è sempre un'ape regina."
"ACT_WHORED_D_PORKCHOP": "FILIAMO! E ALLA SVELTA!"
"ACT_VANDAL_BONUS_COMBO_MULT": "BONUS COMBO"
"ACT_FRAUD_START": "AVVIA LA MODALITÀ FRODE ASSICURATIVA"
"ACT_TRAFFIC_BUYER_FLEE": "IL [format][color:red]COMPRATORE[/format] È SCAPPATO SENZA PAGARE. UCCIDILO."
"ACT_FRAUD_BONUS_WITNESS": "BONUS TESTIMONIANZA DI UN PASSANTE"
"ACT_ESCORT_ESCORTING_MSG": "PORTA IN GIRO IL [format][color:green]CLIENTE[/format] E FALLO DIVERTIRE"
"ACT_WHORED_D_YKANO": "3. 2. 1. Si balla..."
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "IL TUO COMPAGNO È STATO BECCATO"
"GAMEPLAY_PASSED_OUT": "Giù il sipario, bello."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Torna al distretto %ls!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "I TUOI [format][color:green]AMICI[/format] VANNO A OCCUPARSI DEI LORO AFFARI. PROTEGGILI."
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "L'auto dei tuoi [format][color:green]compagni[/format] ha finito la benzina, prendili a bordo e portali a [format][color:teal]casa[/format]."
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "BONUS SURF SU VEICOLI"
"ACT_ESCORT_STOP_MSG": "FERMATI PER %d SECONDI"
"ACT_WHORED_A_END": "I giochi sono arte."
"ACT_WHORED_DILDO": "Prostituta o professionista?"
"HORDE_LEVEL_ANGELS": "CASINÒ DI ANGEL"
"ACTIVITY_NAME_MAYHEM": "VANDALISMO"
"CTS_MESSAGE_GO_FRONT_DOOR": "ANDARE ALLA PORTA PRINCIPALE"
"ACT_ESCORT_START": "AVVIA LA MODALITÀ ESCORT"
"CHOP_HOT_ROD_HOOD": "COFANO HOT ROD"
"ACT_TRAFFIC_OBJECTIVE_1": "PROTEGGI LO [format][color:green]SPACCIATORE[/format] DURANTE LE CONSEGNE"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "I TUOI AMICI SONO MORTI"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "LA SPOGLIARELLISTA È ESAUSTA, CAMBIA RAGAZZA E AUTO AL [format][color:teal]LOCALE DI SPOGLIARELLO[/format]"
"ACT_WHORED_Z_RITA": "FAI CRESCERE IL MIO MOSTRO!"
"ACT_WHORED_D_LILLIPUTIANS": "Grosse soluzioni a piccoli problemi."
"ACT_RUNNING_MAN_START": "AVVIARE LA MODALITÀ PROFESSOR GENKI'S S.E.R.C."
"ACTIVITY_NAME_FRAUD": "TRUFFA"
"ACT_ZOMBIE_CANT_REVIVE": "Ti serve 1 unità di cibo per rianimare qualcuno!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "BERSAGLIO PREFERITO"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} RECLUTA [format][color:green]PROSTITUTE[/format]"
"ACT_FRAUD_BONUS_DONE": "PASSA A UN'ALTRA [format][color:teal]AREA BONUS[/format]"
"HASH_96FF1F21": "IL [format][color:green]CLIENTE[/format] HA FAME, PORTALO AL [format][color:teal]FAST FOOD[/format]"
"ACT_WHORED_D_BE_GUILED": "Dov'è Charlie quando ne hai bisogno?"
"ACT_WHORED_BRUTES": "Scatena i bestioni!"
"ACT_WHORED_AYDIOSMIO": "Due uomini, due lanciagranate e un esercito di mini-luchadores."
"ACT_WHORED_STARPOWER_FAIL": "Troppo potere da gestire."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "ANGELO CUSTODE"
"ACT_TORCH_RACE_TARGETS": "UCCIDI GLI [format][color:red]OBIETTIVI INDICATI[/format]."
"ACT_PIMPING_DRIVE_TO_LOCATION": "RECLUTA LE [format][color:green]PROSTITUTE[/format] E RIPORTALE DA [format][color:teal]ZIMOS[/format]"
"HASH_F2632FA2": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]SEXY SHOP[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "La riunione delle gang."
"ACT_WHORED_D_ITSATRAP": "Ackbar adora le prostitute."
"ACT_WHORED_COMM_SERVICE_FAIL": "Ti sei fatto battere dalle bibite."
"ACT_WHORED_GAT_ATTACK_FAIL": "Più sei grosso, più rumore fai quando cadi."
"ACT_WHORED_MINIZOMBIES_FAIL": "Sono piccoli e morti: metà del lavoro è già fatto..."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "IN ATTESA CHE L'HOST PIAZZI EVENTUALI SCOMMESSE SUL PROSSIMO ROUND"
"ACT_TANK_MAYHEM_START": "AVVIARE LA MODALITÀ VANDALISMO BLINDATO"
"GAMEPLAY_BUSTED": "SEI STATO BECCATO!"
"ACT_VANDAL_SUMMARY_TOTAL": "TOTALE"
"ACT_FRAUD_OBJECTIVE": "Rischia il c...ollo e totalizza $%d di danni entro il tempo limite."
"ACT_WHORED_D_WEENIE_ROAST": "Accendi il falò."
"ACT_WHORED_STRIPPERS": "Arrivano le spogliarelliste!"
"ACT_WHORED_ROUND1_FAIL": "Come?! Alla prima ondata?"
"CONTROL_SELECT_LEVEL": "SELEZIONA LIVELLO"
"ACT_TRAFFIC_DRIVER_LOST": "LO SPACCIATORE È STATO ABBANDONATO."
"ACT_ESCORT_PLEASURE": "PIACERE"
"ACT_ESCORT_KILL_MSG": "UCCIDI IL [format][color:red]BERSAGLIO[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "Parola d'ordine: \"ahhh\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Hai bisogno di rigenerare l'energia? Ai miei tempi esistevano solamente i power-up."
"CHOP_SHOP_SUCCESS_SUB_TEXT": "VEICOLO CONSEGNATO"
"CHOP_LUXERY_BODY_KIT": "KIT CARROZZERIA LUSSO"
"ACT_VANDAL_CAR_LUXURY_MSG": "AUTO DI LUSSO"
"ACT_ESCORT_FAIL_LEFT_CAR": "HAI ABBANDONATO L'AUTO"
"ACT_WHORED_A_GENKI_GAMES": "Via al divertentissimo Super Ethical Reality Explosions!"
"ACT_WHORED_BIG": "Sei più grosso, più tosto e più forte!"
"HORDE_CHARACTER_SUPER": "SUPER"
"ACT_TRAFFIC_OBJECTIVE_2": "LO [format][color:green]SPACCIATORE[/format] DEVE PORTARE A TERMINE %d AFFARI"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "L'hanno presa! È andata."
"ACT_ESCORT_TRIP_MOTEL_MSG": "PORTA IL [format][color:green]CLIENTE[/format] AL [format][color:teal]MOTEL[/format] PER UN PO' DI SPASSO A ORE"
"CHOP_MUSCLE_HOOD": "COFANO MUSCLE-CAR"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "HAI UCCISO UNO DEI CONTATTI"
"GARAGE_FULL": "IL TUO GARAGE È PIENO"
"ACT_WHORED_Z_HOW_ROMANTIC": "I razzi sono i migliori amici delle ragazze."
"ACT_WHORED_A_EYE_BEHOLDER": "Non chiederle quanto pesa."
"YOU_VE_BEEN_CRITICALLY_HIT": "TI HANNO COLPITO GRAVEMENTE!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "ANNULLATO LA CONQUISTA DELLA ROCCAFORTE"
"ACT_FRAUD_NAME": "FRODE ASSICURATIVA"
"ACT_FRAUD_GO_SCORING_AREA": "VAI AL [format][color:teal]DISTRETTO %ls[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Non hai i pugni nel sangue."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ZOMBI RIMASTI: "
"ACT_TRAFFIC_CHASE_HELICOPTER": "HAI PRESO UN [format][color:red]ELICOTTERO DEL NOTIZIARIO[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "L'AIUTO È MORTO"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Alla tua cliente non è piaciuto fare da scudo umano."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "NON LASCIARE CHE QUEI PAPARAZZI RIPRENDANO L'AUTO"
"HASH_F32929A9": "CONTRATTACCO RIUSCITO"
"ACT_WHORED_Z_ONE_SIDED": "Questo è davvero scorretto."
"ACT_WHORED_ZOMBIESATV": "Frantumali."
"ACT_WHORED_ZOMBIEBRUTES": "Grossini questi zombi, eh?!"
"ACT_WHORED_NINJAS": "Hai sentito qualcosa?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "Ce l'ha fatta... eccome!"
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "CERCHIONI FUORISERIE"
"ACT_VANDAL_SUMMARY_CARS": "AUTO"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format] secondi guadagnati!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "I [format][color:green]CONTATTI[/format] SONO STATI PORTATI VIA. VAI A LIBERARLI!"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "RECORD TRUFFA AUTO PAZZE"
"ACT_ESCORT_BUTTON_MASHING_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE IL SERVIZIO SPECIALE SAINTS ROW"
"ACT_ESCORT_RETURN_MSG": "TORNA AL LOCALE DI SPOGLIARELLO"
"ACT_ESCORT_CRASH_MSG": "IL [format][color:green]CLIENTE[/format] VUOLE CHE PROVOCHI %d PUNTI DANNO CON IL TUO VEICOLO"
"ACT_WHORED_A_WRATH_CARDINAL": "Fai vedere a Nyte Blayde come si fa."
