"MP_CANCEL_JOIN": "CANCELAR"
"COOP_CANT_JOIN_YET_CUTSCENE": "%ls no puede unirse mientras estés en una escena.\nSe unirá cuando regreses a la partida normal."
"COOP_REMOTE_CHEAT_KICK": "EXPULSAR A JUGADOR Y CONTINUAR PARTIDA"
"COOP_WAIT_FOR_ANYONE": "ESPERAR A JUGADORES"
"COOP_LOAD_OLD_TEXT": "CARGAR"
"COOP_CANT_JOIN_YET_PROLOGUE": "Debes reiniciar la misión para permitir que %ls se una a tu partida. Si reinicias, perderás el progreso de los puntos de control de esta misión.\n¿Quieres continuar?"
"MULTI_ERROR_SESSION_ERROR": "No has podido unirte a la partida."
"HASH_59B4B8D2": "%ls ha abandonado la partida"
"INVITE_FAILED_TITLE": "ERROR EN LA INVITACIÓN"
"MULTI_NO_ETHERNET": "Se ha producido un error de conexión.\nVas a volver al menú principal."
"COOP_DISCONNECTED_FROM_SERVER": "Te has desconectado del anfitrión, así que debes volver al menú principal.\n¿Quieres guardar la partida antes de salir del nivel?"
"MULTI_ERROR_NO_JOIN_INFO": "No has podido unirte a la partida."
"COOP_REMOTE_CHEAT_SAVE_QUIT": "GUARDAR Y SALIR"
"COOP_KICKED": "¡Has sido expulsado de la partida!"
"MP_JOIN_DENY": "RECHAZAR"
"MP_JOIN_ACCEPT": "ACEPTAR"
"LIVE_PLAYER_LEFT": "%ls HA ABANDONADO LA PARTIDA."
"COOP_HOST_BUSY": "El anfitrión está ocupado y te ha pedido que esperes..."
"COOP_WAIT": "Espera..."
"COOP_CREATE_NEW_TEXT": "CREAR NUEVO"
"MULTI_JOIN_DELAY_MSG": "La partida a la que intentas unirte está en una actividad, misión o fortaleza.\nTe unirás cuando este modo finalice."
"MP_FIND_SERVER_BODY": "Buscando partida..."
"COOP_MAY_HAVE_DROPPED": "VOLVIENDO A CONECTAR CON %ls"
"MULTI_ERROR_SESSION_FULL": "La partida ya no está disponible."
"MULTI_CHAT_DISABLED": "SIN CHARLA"
"MULTI_ONLINE_RESTRICTED_TITLE": "DESCONECTADO"
"MULTI_LOST_CONNECTION_SYS": "Se ha producido un error de conexión.\nVas a volver al menú principal."
"COOP_REMOTE_CHEAT_SAVE_CONTINUE": "GUARDAR Y CONTINUAR PARTIDA"
"MP_WINNERS_YOU_LOSE": "PIERDES"
"MP_DISCONNECT_HOST_LEFT": "El anfitrión ha abandonado la sesión de juego.\nDebes volver al menú principal."
"MP_INVITE_SENDING": "Enviando invitación..."
"MP_INVITE_SENT_BODY": "Invitación enviada a {0}.  "
"MULTI_NOT_SIGNED_IN": "Tienes que iniciar sesión con un perfil de jugador para acceder al contenido."
"INVITE_FAILED_BODY": "No se ha podido enviar invitación a {0}."
"MULTI_NOT_SIGNED_IN_PS3": "Tienes que iniciar sesión con un perfil para acceder al contenido."
