"ACT_WHORED_Z_AGRIZOOPHOBIA": "これはやっかいだ"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "衛星アンテナを破壊しろ"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "倫理上許されない"
"ACT_ZOMBIE_HUD_WAVE": "ウェーブ："
"ACT_VANDAL_SUMMARY_PROPERTY": "物件"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "[format][color:red]バイヤー[/format]に逃げられた"
"ACTIVITY_LEVEL_SELECTION": "タギングレベル選択"
"ACT_VANDAL_START_NO_DISTRICT": "思いっきり暴れてやれ"
"ACT_VANDAL_GANG": "ギャングメンバー"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "国産車ボーナス"
"ACT_TRAFFIC_INVALID_VEHICLE": "その車ではサプリを配達できない！"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "[format][color:red]車[/format]を止めて、[format][color:green]協力者[/format]を連れ出せ"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "罠だ！[format][color:green]エステティシャン[/format]をスカウトして\n脱出しろ"
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "[format][color:red]左[/format]から敵が迫っている"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "車の数が足りない。もう少し調達してこい"
"ACT_WHORED_ROLLERHOS": "ローラーエステティシャンに要注意"
"ACT_WHORED_MINI_BRUTES": "小さくても、パワーはギッシリ"
"ACT_WHORED_DRINKING_GAME": "ヤればヤるほど覚めてくる！"
"ACT_RUNNING_MAN_TRAP_KILL": "トラップキル"
"ACT_GUARDIAN_ANGEL_FAIL": "護衛対象が死亡した！体力の残量は\n対象の頭上に表示されるアイコンで\n確認できるぞ"
"ACT_VANDAL_COP": "警察"
"ACT_TRAFFIC_BUYER_DEAD": "バイヤーが死んでしまった"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "セレブの体力"
"ACT_FRAUD_BONUS_AIR_TIME": "滞空時間ボーナス"
"ACT_ESCORT_IRS_SPAWNED": "[format][color:red]国税局員[/format]をまけ"
"ACT_WHORED_Z_HORS_DOE": "ホットドッグはみんなの好物"
"COMBO_BREAKER_TEXT": "コンボストッパー"
"ACT_VANDALISM_COMBO_JUST_COMBO": "コンボ："
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "罠だ！\n[format][color:green]エステティシャン[/format]をスカウトする前に[format][color:red]スカウト[/format]を全員始末しろ"
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]客[/format]がダンサーのウィキッド・ウィックを見たがっている"
"ACT_WHORED_Z_10_CENTS": "空き缶を集めろ"
"ACT_WHORED_D_COUNTING_CALS": "エナジードリンクもほどほどに"
"ACT_WHORED_D_SANGENTS": "ミステリーなメンズ"
"ACT_WHORED_GIMPS_FAIL": "お仕置きは君の役目だ"
"ACT_WHORED_MINIGUNBRUTE": "ミニガン持ったブルートの登場だ！"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "破壊ボーナス対象：[format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "ボーナス：%sを破壊した（X%d）"
"ACT_TORCH_TIME_BONUS_EARNED": "ボーナスタイムを獲得した！"
"ACT_WHORED_A_4TH_JULY": "ロケットに酒"
"ACT_WHORED_MINICANS_FAIL": "君は再利用された"
"CHOP_STYLISH_1_RIMS": "スタイリッシュリム1"
"ACT_VANDAL_CAR_SPORTS_MSG": "スポーツカー"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]仲間の車[/format]が壊れそうだ"
"ACT_WHORED_HOBO_SHOTGUN": "小銭をケチるからこんなことに..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "コンボ："
"ACT_FRAUD_GOAL": "時間内に%lsを獲得しろ"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "必要な車は目立って表示される"
"CELL_PHONE_MUST_ADD_VEHICLES": "ガレージには車両がありません。登録したい車両をアジトに戻しガレージに停めましょう"
"ACT_WHORED_Z_KIRBY": "ドリームランドへ送ってやれ"
"ACT_TANK_MAYHEM_STRAYING_AWAY": "ターゲットの近くへ戻れ！"
"CHOP_RETRO_SPOILER": "レトロスポイラー"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "[format][color:green]セインツ[/format]が襲撃を受けている。\n加勢して[format][color:red]襲撃者[/format]を排除しろ"
"ACT_WHORED_Z_UNDEAD_MARATHON": "ゾンビマラソン"
"MISSION_FAILURE_PARTNER_DIED": "パートナーがやられた"
"ACT_EARNED_RESPECT_AND_MONEY": "リスペクト%dとキャッシュ%dドルを獲得した！"
"ACT_VANDAL_TEAM_PENALTY_MSG": "%lsを片付けても金にはならない"
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "[format][color:red]飛行機[/format]を破壊しろ"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "トラの注意をそらせ！"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "何か違った死の天使"
"ACT_WHORED_BRUTEBOOM": "ヤツらを追い詰めろ"
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "制限時間内に出口にたどり着けなかった。掛け金%lsは没収された"
"ACT_RUNNING_MAN_COMBO_TOTAL": "コンボ合計：%ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "ホスト待ち"
"GAME_COMBO_TEXT": "コンボ："
"ACT_HELI_BOAT_DELIVER_TEXT": "ボートのサプリを仲間に届けろ"
"HASH_6A207813": "縄張り奪回成功"
"ACT_PIMPING_CONTACTS_SLASH": "／"
"ACT_ESCORT_TRIP_THEATER_MSG": "[format][color:green]客[/format]を[format][color:teal]映画館[/format]へ連れて行け"
"ACTIVITY_COMPLETED": "クリア！"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "まさにブルート"
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "%d個の任務をすべて完了しろ"
"ACT_FRAUD_BONUS_VEHICLE": "車両衝突ボーナス"
"ACT_ESCORT_CAR_SWITCH_MSG": "この車は飽きた。[format][color:teal]クラブ[/format]で新しい車を調達しろ"
"ACT_WHORED_D_CANGELS": "ハートを狙ってくるぞ"
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "[format][color:green]仲間[/format]を護衛しろ"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "コンボ合計"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "保険金詐欺距離記録：%.2fフィート"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "SUVボーナス"
"ACT_VANDAL_BONUS_TEAM": "チームボーナス"
"ACT_TRAFFIC_DEAL_SUCCESS": "取引完了！次の[format][color:teal]場所[/format]へ向かえ"
"ACT_TORCH_START_TEXT3": "チェックポイントを通過して\nタイムボーナスを獲得しろ"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "協力者を死なせすぎた。新しくスカウトし{RECRUIT_DISMISS_IMG}すぐにそこから逃げろ"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "%sが高速道路を使って武器を輸送している\n目的地に到着する前に[format][color:red]トラック[/format]を破壊しろ"
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "必要な車のリストはポーズメニューでチェックできる"
"ACT_WHORED_BIG_FAIL": "強さはまだ足りないかもしれん"
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "出口が開放された。このままプレイして稼ぎ続けるか、出口に向かえ！"
"ACT_ESCORT_TIGER_ATTACK": "トラにハンドル操作を妨害されている"
"ACTIVITY_NAME_TANK_MAYHEM": "タンクメイヘム"
"ACT_TANK_MAYHEM_COMBO_GSI": "コンボ"
"CHOPSHOP_VEHICLES": "車"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "制限時間内にすべての[format][color:teal]チェックポイント[/format]を通過しろ"
"ACT_ESCORT_CALM_TIGER": "トラを落ち着かせろ"
"ACT_TANK_MAYHEM_FAIL": "コンボで高得点をゲット！修理ステーションを利用して生き延びろ"
"STRONGHOLD_SUCCESS_SUB_TEXT": "拠点制圧"
"ACT_ZOMBIE_SURVIVOR_DEAD": "サバイバーが死んでしまった"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "バイクボーナス"
"ACT_FRAUD_TOTAL_LAST_HIT": "今回獲得した保険金"
"ACT_ESCORT_FAST_MSG": "[format][color:green]客[/format]からのリクエストだ\n時速55マイルで%d秒間飛ばせ"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "噛まれたら終わりだ"
"ACT_WHORED_GRENADIERS_FAIL": "捕まえようとするな"
"ACT_WHORED_SWAG_BAG": "着ぐるみ大会で景品をゲット"
"MISSION_FAILURE_CANCEL_TEXT": "ミッションがキャンセルされた"
"ACT_HITMAN_NAME": "ヒットマン"
"ACT_ESCORT_TIGER_NAME": "タイガーエスコート"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "{ANALOG_RS_IMG}でツボを探せ"
"ACT_ZOMBIE_TITLE": "ゾンビレベル選択"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "あと10秒でディーラーが逮捕される！"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "ヘリは満員だ\n乗客を[format][color:blue]安全な場所[/format]へ連れて行け"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "[format][color:red]下[/format]から敵が迫っている"
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "[format][color:red]激怒した客[/format]をまけ"
"ACT_WHORED_D_31DAYS": "デッドな夜明け"
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "デカくて、怒ってて、完全には死んでない"
"ACT_ZOMBIE_HUD_HIGH_SCORE": "ハイスコア："
"ACT_HELI_NEWS_VAN_KILL_TEXT": "TV中継車を破壊しろ"
"ACT_TRAFFICKING_TITLE": "デリバリーレベル選択"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "[format][color:red]車[/format]を止めて、[format][color:green]協力者[/format]を連れ出せ"
"ACT_PIMPING_CONTACT_OBJECTIVE": "キンジーの協力者を%d人救助し、連れ戻せ"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "高速で運転し、度胸を鍛えながらトラの機嫌も取れ"
"ACT_WHORED_A_MEAN_GIRLS": "かならず1人はいるよな"
"ACT_WHORED_D_PORKCHOP": "とにかく逃げろ！"
"ACT_VANDAL_BONUS_COMBO_MULT": "コンボボーナス"
"ACT_FRAUD_START": "保険金詐欺を開始"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]バイヤー[/format]が金を払わずに逃げた\n始末しろ！"
"ACT_FRAUD_BONUS_WITNESS": "歩行者目撃ボーナス"
"ACT_ESCORT_ESCORTING_MSG": "[format][color:green]客[/format]を乗せてそのまま流せ"
"ACT_WHORED_D_YKANO": "スリーツーワン　ゴー！"
"HORDE_CHARACTER_CYRIL": "シリル"
"MISSION_FAILURE_PARTNER_BUSTED": "パートナーが捕まった"
"GAMEPLAY_PASSED_OUT": "さ、おねんねだ"
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "%ls地区に戻れ！"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "取引に向かう[format][color:green]仲間[/format]を、敵の襲撃から守れ"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "[format][color:green]仲間[/format]の車がガス欠だ。仲間をひろって[format][color:teal]家[/format]まで送ってやれ"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "カーサーフィンボーナス"
"ACT_ESCORT_STOP_MSG": "%d秒停止しろ"
"ACT_WHORED_A_END": "ゲームは芸術だ"
"ACT_WHORED_DILDO": "プロのエステティシャンになる必要はない"
"HORDE_LEVEL_ANGELS": "エンジェル・カジノ"
"ACTIVITY_NAME_MAYHEM": "メイヘム"
"CTS_MESSAGE_GO_FRONT_DOOR": "入口に行く"
"ACT_ESCORT_START": "エスコートを開始"
"CHOP_HOT_ROD_HOOD": "ホットロッドボンネット"
"ACT_TRAFFIC_OBJECTIVE_1": "配達中の[format][color:green]ディーラー[/format]を守れ"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "仲間が死んでしまった"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "彼女はヘトヘトだ。[format][color:teal]クラブ[/format]で新しいダンサーと新しい車を調達しろ"
"ACT_WHORED_Z_RITA": "心の野獣を呼び覚ませ"
"ACT_WHORED_D_LILLIPUTIANS": "荒療治が必要だ"
"ACT_RUNNING_MAN_START": "天才ゲンキ博士の超絶有頂天倫理委員会を開始"
"ACTIVITY_NAME_FRAUD": "保険金詐欺"
"ACT_ZOMBIE_CANT_REVIVE": "生き返らせるには食料アイテムが必要だ！"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "お気に入りのターゲット"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG}で[format][color:green]エステティシャン[/format]をスカウトしろ"
"ACT_FRAUD_BONUS_DONE": "別の[format][color:teal]ボーナスエリア[/format]へ移動しろ"
"HASH_96FF1F21": "[format][color:green]客[/format]が腹を空かしている\n[format][color:teal]ファーストフード店[/format]へ連れて行け"
"ACT_WHORED_D_BE_GUILED": "チャーリーはどこだ"
"ACT_WHORED_BRUTES": "ブルートを送り込め！"
"ACT_WHORED_AYDIOSMIO": "男2人のグレネードランチャーとミニチュア版ルチャドールの大群が襲い来る"
"ACT_WHORED_STARPOWER_FAIL": "調子に乗りすぎた？"
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "ガーディアンエンジェル"
"ACT_TORCH_RACE_TARGETS": "[format][color:red]標的[/format]を始末しろ"
"ACT_PIMPING_DRIVE_TO_LOCATION": "[format][color:green]エステティシャン[/format]をスカウトして\n[format][color:teal]ズィーモス[/format]の所に連れ戻せ"
"HASH_F2632FA2": "[format][color:green]客[/format]を[format][color:teal]専門店[/format]へ連れて行け"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "家族再会"
"ACT_WHORED_D_ITSATRAP": "アクバーのお気に入り"
"ACT_WHORED_COMM_SERVICE_FAIL": "相手は人間ですらないのに..."
"ACT_WHORED_GAT_ATTACK_FAIL": "デカいほど、失敗したときのダメージもデカい"
"ACT_WHORED_MINIZOMBIES_FAIL": "小さいし、死んでるし... 負けるわけないだろ...？"
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "ホストが次のラウンドの掛け金を決めている。そのまま待機しろ"
"ACT_TANK_MAYHEM_START": "タンクメイヘムを開始"
"GAMEPLAY_BUSTED": "捕まったぞ！"
"ACT_VANDAL_SUMMARY_TOTAL": "合計"
"ACT_FRAUD_OBJECTIVE": "思いつく限りに危険な事をやり、制限時間内に%dドル分の傷を負え"
"ACT_WHORED_D_WEENIE_ROAST": "キャンプファイヤー"
"ACT_WHORED_STRIPPERS": "ダンサーの登場だ！"
"ACT_WHORED_ROUND1_FAIL": "まだ一発目だぜ！？"
"CONTROL_SELECT_LEVEL": "レベル選択"
"ACT_TRAFFIC_DRIVER_LOST": "ディーラーから離れすぎた"
"ACT_ESCORT_PLEASURE": "満足度"
"ACT_ESCORT_KILL_MSG": "[format][color:red]ターゲット[/format]を殺せ"
"ACT_WHORED_D_SAUSAGE_FEST": "セーフワードは「痛い」"
"ACT_WHORED_OLD_SCHOOL_FAIL": "自然回復がないとムリ？近頃の若い者は..."
"CHOP_SHOP_SUCCESS_SUB_TEXT": "車両を引き渡した"
"CHOP_LUXERY_BODY_KIT": "高級エアロパーツ"
"ACT_VANDAL_CAR_LUXURY_MSG": "高級車"
"ACT_ESCORT_FAIL_LEFT_CAR": "車から離れすぎた"
"ACT_WHORED_A_GENKI_GAMES": "超絶有頂天倫理委員会GO！"
"ACT_WHORED_BIG": "より大きく、よりタフで、より強くなった！"
"HORDE_CHARACTER_SUPER": "スーパー"
"ACT_TRAFFIC_OBJECTIVE_2": "[format][color:green]ディーラー[/format]が成功させなければならない取引：%d件"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "やられた！客が死んでしまった"
"ACT_ESCORT_TRIP_MOTEL_MSG": "[format][color:green]客[/format]がリラックスしたいそうだ\n[format][color:teal]モーテル[/format]へ連れて行け"
"CHOP_MUSCLE_HOOD": "マッスルカーボンネット"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "協力者の1人を殺してしまった！"
"GARAGE_FULL": "ガレージが満車だ"
"ACT_WHORED_Z_HOW_ROMANTIC": "ロケットは女子の友"
"ACT_WHORED_A_EYE_BEHOLDER": "体重は聞かないで！"
"YOU_VE_BEEN_CRITICALLY_HIT": "クリティカルヒットを食らった！"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "拠点制圧がキャンセルされた"
"ACT_FRAUD_NAME": "保険金詐欺"
"ACT_FRAUD_GO_SCORING_AREA": "[format][color:teal]%ls地区[/format]へ行け"
"ACT_WHORED_BEERMUSCLES_FAIL": "パンチはマスターすべきだ"
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "残りのゾンビ："
"ACT_TRAFFIC_CHASE_HELICOPTER": "[format][color:red]報道ヘリ[/format]に乗り込んだ！"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "助手が死んでしまった"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "客は盾にされるのがお気に召さなかったようだ"
"ACT_ESCORT_FIRST FOOTAGE_MSG": "TV中継車に撮影されるな"
"HASH_F32929A9": "奪回阻止成功"
"ACT_WHORED_Z_ONE_SIDED": "まったくフェアじゃない"
"ACT_WHORED_ZOMBIESATV": "挽き肉にしろ"
"ACT_WHORED_ZOMBIEBRUTES": "大きなゾンビのお出ましだ！"
"ACT_WHORED_NINJAS": "今の音聞いたか？"
"ACT_WHORED_MEGA_TRANNY_FAIL": "満足させすぎた"
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "ローライダーリム"
"ACT_VANDAL_SUMMARY_CARS": "車"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format]秒獲得！"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "[format][color:green]協力者[/format]が連れ去られた。救助しろ！"
"ACT_PIMPING_HOS_SLASH": "／"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "保険金詐欺悪質運転記録"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]客[/format]がセインツロウスペシャルをご所望だ"
"ACT_ESCORT_RETURN_MSG": "クラブに戻れ"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]客[/format]からのリクエストだ\n他の車に衝突して%dポイントのダメージを与えろ"
"ACT_WHORED_A_WRATH_CARDINAL": "ナイトブレイドなんてめじゃない"
"OPPONENT_CRITICALLY_HIT": "敵にクリティカルヒット！"
"ACT_HOSTAGE_RANSOM": "身代金：[format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "バンを守れなかった"
"CHOP_MUSCLE_RIMS": "マッスルカーリム"
"ACT_TRAFFIC_DRIVE_HOME": "[format][color:green]ディーラー[/format]が[format][color:teal]家[/format]に到着するまで護衛しろ"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "悪質運転ボーナス"
"HASH_49748FAB": "[format][color:green]客[/format]が[format][color:teal]指定する場所[/format]で車を停めろ"
"ACT_WHORED_Z_FOOD_TRUCK": "ひんむけ！"
"ACT_RUNNING_MAN_FAILURE_TIME": "制限時間内に出口にたどり着けなかった"
"TUT_ACT_INTRO_TANK_MAYHEM": "時間内に%lsドルの損害額を\n叩き出せ。連続で物を破壊すると\nコンボボーナスを獲得できる"
"ACT_HELI_BOAT_HUD_TEXT": "残りのサプリ"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "セレブを殺してしまった。敵は大喜びだ！"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "保険金詐欺滞空時間記録"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "ギャングボーナス"
"ACT_CHOP_LIST": "リスト上の車を[format][color:green]ヤミ改造工場[/format]に持って行け"
"ACT_WHORED_D_DRINKING_GAME": "飲み会ゲーム"
"ACT_WHORED_D_WELCOME": "ラースも納得"
"CHOP_SHOP_VIEW_LIST": "ヤミ改造工場リストを閲覧"
"ACT_HELI_KILL_CARS_START_MESSAGE": "[format][color:red]車[/format]を破壊しろ"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]客[/format]からのリクエストだ\n%d秒間{HANDBRAKE_IMG}ドリフトをキめろ"
"ACT_WHORED_A_WELL_DONE": "焼き加減はいかが？"
"ACT_WHORED_DILDO_FAIL": "スタミナ不足？"
"ACT_RUNNING_MAN_HEALTH_TARGET": "元気一発！"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "修理"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "%d秒以内に[format][color:green]車両[/format]に戻れ"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "ピックアップトラック"
"ACT_VANDAL_COMBO_BREAKER_MSG": "コンボストッパー！"
"ACT_TRAFFIC_DRIVER_DEAD": "ディーラーが死んでしまった"
"ACT_TORCH_OBJECTIVE_02": "ダメージを与えてからチェックポイントを通過して、タイムボーナスを獲得しろ"
"ACT_HUMAN_TORCH_START": "ファイアレースを開始"
"ACT_WHORED_D_CYPRIAN_ORDER": "主の名において"
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "ターゲットを護衛し、任務の遂行を手助けしろ"
"ACT_VANDAL_CIVILIAN_MSG": "一般市民"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "[format][color:red]警察[/format]につけられた！"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_5SEC": "5..."
"ACT_TORCH_LOST_TIME": "時間切れだ"
"ACT_WHORED_A_TINY_PROBLEMS": "やっかいな問題"
"ACT_WHORED_A_BOOM_HEADSHOT": "仕留めるにはヘッドショットだ"
"ACTIVITY_SUCCESS_SUB_TEXT": "クリア！"
"ACT_VANDAL_SUMMARY_DESTRUCTION": "破壊"
"ACT_WHORED_NUTSHOOT_FAIL": "まだ反応が遅いぞ"
"ACT_PIMP_START": "スカウトを開始"
"ACT_TRAFFIC_BUYER_FLEE_GETTING_AWAY": "[format][color:red]バイヤー[/format]が逃げようとしている"
"ACT_PIMPING_TRAP_SPRUNG_GET_CONTACTS": "罠だ！[format][color:green]協力者[/format]たちをスカウトして脱出しろ"
