"Storye01_In_Crawl_02": "L'histoire de l'humanité."
"Story15_Out_03_Player_BM": "Je te donne 50 dollars, choisis-en un beau."
"Story15_In_04_Kinzie": "Interdit de dormir."
"Story06_Mid_06_Pierce": "Pourquoi t'es là s'ils ont déjà cloné ta gueule?"
"Story02_In_28_Player_BM": "Pas sans toi."
"Story02_In_16_Phillipe": "Forcément, sinon, vous n'auriez pas braqué notre banque. Vous vous demandez sûrement pourquoi vous êtes encore en vie?"
"Story01_In_22_Player_BM": "C'est mon plan."
"CTO_Pierce02_07_Player_BM": "Loren est un stratège, il va pas se planquer dans un bâtiment typique d'un génie du crime. Je veux une info concrète."
"Story21_In_02_Bobby": "C'est une soirée incroyable, Zach, et l'heure du grand match est arrivée."
"Story17_In_06_Viola": "Pardon?! Des prisonniers?"
"Story09_In_02_Player_BM": "Quand il sera à nous, le business du sexe des Étoiles du matin sera fini."
"Story08_In_03_Zimos": "J'ai servi de monture dans un show de poneys humains, et tu m'as vu chialer?"
"Story17_Mid_04_Cyrus": "Quoi de neuf?"
"Story07_Out_10_Viola": "Qu'est-ce que tu veux qu'on fasse, Killbane?"
"Story02_Out_02_Phillipe": "Viola et Kiki vont répandre la nouvelle : Steelport appartient au Syndicat, et les Saints ne sont pas les bienvenus."
"Story02_In_15_Shaundi": "Jamais entendu parler."
"Story01_In_25_Player": "Arrête un peu avec Josh, il travaille juste son rôle."
"CTO_Pierce02_10_Pierce": "Non, Powder, c'est une armurerie dans le centre... J'ai vu des mecs de Loren parler au proprio. Y'a anguille sous roche."
"CTO_Pierce02_09_Player_BM": "J'ai pas le temps pour les strip-teaseuses."
"Story22_OutB_05_Monica": "C'est indéniable. Les Saints sont des héros."
"CTO_Kinzie01_02_Kinzie": "Pas vraiment. Je hais les gens."
"Story13_Zscene01_05_Pierce": "Qu'est-ce qu'on fait, patron?"
"Story19_Out_01_Monica": "Commandant, qu'est-ce que vous faites?!"
"Story19_In_14_Reynolds": "J'ai un problème de zombies qu'il faut..."
"Story15_Out_02_Kinzie": "Presque. J'ai besoin d'un fauteuil."
"Story13_In_06_Shaundi": "Bon sang, est-ce que je peux le buter?"
"Story11_Out_07_Monica": "Pas question."
"Story10_In_08_Viola": "Je veux voir Killbane souffrir."
"Story09_In_03_Zimos": "Comment on va déplacer toutes ces meufs?"
"Story02_In_22_Player_BM": "Écoute, espère de sale grenouille française..."
"Story02_In_07_Gat": "C'est tout ce qui compte?"
"Story01_In_06_Josh": "Je suis un acteur appliqué. Si je veux être crédible en Saint, je dois tout faire pour que ce soit réaliste."
"Storye01_In_Crawl_07": "Un film Saints est en développement. JOHNNY GAT et SHAUNDI sont des icônes populaires. Et PIERCE..."
"Story16_Zscene01_03_Matt": "Avec plaisir."
"Story19_In_24_Reynolds": "J'ai déjà eu à me montrer plus malin qu'une organisation paramilitaire! Appelez-moi quand ce sera fait."
"Story16_Out_01_Killbane": "J'aimerais bien que tu réfléchisses, Matty. Mes mains sont faites pour taper sur des gens, pas sur un clavier."
"Story02_Out_01_Phillipe": "Eh bien, les négociations n'ont pas été... une réussite."
"CTO_Angel01_04_Angel": "Bon, t'aimes avoir ton confort. C'est le genre de faiblesse que les Luchadores exploitent. Si tu t'endurcis pas, Killbane va t'écraser. Mais t'en fais pas, je vais faire de toi une bête."
"CTO_Pierce01_06_Player_BM": "Le Syndicat doit savoir qu'on a les clefs. Il doit attendre qu'on bouge."
"Story10_Out_01_Cyrus": "Je suis Cyrus Temple, commandant des STAG, l'unité spéciale tactique antigang. Je suis là pour répondre aux questions sur l'initiative STAG."
"Story07_Out_03_Killbane": "Je pensais à quelqu'un d'autre."
"SH_Morningstar01_04_Pierce": "Et à l'intérieur, tête d'ampoule?"
"Story02_In_01_Player_BM": "C'est quoi ce bordel? On a payé ce mois-ci."
"CTO_Kinzie02_03_Kinzie": "Je suis sérieuse. Et tu devrais balancer ton téléphone de bourge. Je peux te repérer avec."
"CTO_Kinzie01_05_Player_BM": "Qu'est-ce que tu fais depuis ta sortie?"
"Story23_In_03_Player_BM": "À Shaundi!"
"Story19_In_13_Player": "Oh, euh, super! Vous avez besoin de quoi?"
"Story17_Mid_07_Agent": "Je peux les emmener en détention pour vous, Monsieur."
"Story06_Mid_05_Oleg": "Phillipe aime ses trucs sur mesure. Et pour ses brutes, je suis son modèle."
"CTO_Pierce01_02_Player_BM": "Qu'est-ce que c'est?"
"Story16_Zscene01_05_Matt": "Tu comprends pas? Je suis Dieu ici."
"Story22_OutA_04_Monica": "Vous aviez raison, Commandant. Amenez le Dédale."
"Story19_In_04_Viola": "Répète après moi : je n'embêterai pas le maire."
"CTO_Angel02_04_Angel": "La méthode ne doit pas faire oublier le message. Tu as maîtrisé ta peur."
"CTO_Kinzie01_01_Player_BM": "Je pensais que quelqu'un qui sort de captivité voudrait faire un peu la fête."
"Story23_In_07_Player_BM": "On s'en fout. On va bousiller leur joujou."
"Story22_OutB_04_Monica": "Ils ont raison, Commandant..."
"Story22_In_01_Player_BM": "Quoi de neuf?"
"Story03_Out_08_Player_BM": "Du calme, Shaundi. On a tout prévu."
"Story02_In_06_Player_BM": "Notre marque vaut un paquet de pognon."
"Story07_Zscene02_05_Player_BM": "C'est bon."
"Story12_Out_03_Cyrus": "Ils ont Birk."
"Story21_Zscene03_01_Player_BM": "Souris, Killbane, on va faire la une!"
"Story07_Zscene02_06_Player_BM": "Trouve une lingette ou un truc comme ça. Quoi de neuf?"
"Story01_Zscene01_05_Josh": "J'ai des outils ici, les gars."
"Story22_OutB_15_Player_BM": "Killbane prépare son armée pour une grosse attaque. On va l'arrêter. Notre planète a besoin de nous... Faut pas l'abandonner."
"Story21_In_05_Player_BM": "Je serai près du ring pour empêcher les Luchadores de t'emmerder pendant que tu finis Killbane. Bonne chance, mec."
"Story20_In_05_Viola": "Prends le masque de Killbane et il restera juste Eddie Pryor. C'est pire que de le tuer."
"Story14_In_06_Anna": "Killbane, certains prétendent que vous êtes un criminel."
"Story12_In_12_Viola": "Je m'appelle Viola."
"Story03_Out_06_Player_BM": "D'accord. Bon... Si on veut rassembler les gars, il nous faut un nouvel endroit."
"22_Choice_08_Kia": "Une fois que vous aurez fait sauter la Magarac Island, le monde entier verra votre vrai visage."
"Storye01_In_Crawl_03": "Depuis la nuit des temps, de grands leaders ont connu de bons débuts, mais ont commencé à..."
"CTO_Kinzie02_05_Kinzie": "Je suis d'accord. On devrait utiliser le dialecte Navajo..."
"CTO_Pierce01_08_Player_BM": "Allons-y."
"Story07_Zscene02_01_Player_BM": "Désolés de t'avoir demandé, hum... de nous traîner."
"Story01_Zscene01_07_Gat": "Du tout, on l'explose."
"Story22_OutB_12_Player_BM": "Pas encore."
"Story22_In_08_Player_BM": "Il faut qu'on descende."
"Story20_In_04_Player_BM": "On peut pas juste le tuer?"
"SH_Decker_06_Oleg": "OEMN : oniroscope électromagnétique neurologique. Le KGB a détruit le seul qui existait."
"Story12_In_01_Viola": "Oh, waouh! Pierce sait lire."
"Story07_In_09_Oleg": "C'est le chien d'attaque du Syndicat."
"Story06_Mid_10_Oleg": "Croyez-moi, je suis assez fort pour tuer Phillipe."
"22_Choice_06_Player": "Ouais ouais, j'ai pigé. Tu vas nous arrêter, la grosse affaire."
"Story13_Zscene01_02_Pierce": "Ouais, mais on a ta star fétiche."
"Story06_Mid_04_Player_BM": "C'est quoi ce bordel?"
"SH_Morningstar01_02_Pierce": "Tu crois que l'arrière est pas gardé?"
"Story03_Out_02_Player_BM": "Maintenant, tu rentres à Stilwater."
"Story21_Zscene01_02_Zach": "C'est difficile à regarder. Les Luchadores massacrent Angel."
"Story06_Zscene01_02_Player_BM": "Bon sang!"
"Story01_Zscene01_10_Player_BM": "Allez, on se met au boulot."
"Story17_In_02_Viola": "On peut pas s'aventurer comme ça sur un porte-avions des STAG."
"HASH_29CD6718": "Moi, je l'ai fait."
"Story09_Out_07_Monica": "Mes chers collègues, c'est l'heure... Nous avons déployé des STAG à Steelport."
"Story06_In_02_Shaundi": "Donne-moi ce putain de flingue, Pierce."
"Storye01_In_Crawl_06": "Depuis la conquête de Stilwater, le jadis petit gang de rue a évolué et est devenu un empire médiatique."
"CTO_Zimos02_04_Zimos": "Merde, tu te rappelles du show de poneys? Je suis plus dans leurs petits papiers depuis longtemps. Bon, je t'ai pas fait venir pour parler de moi. Tu as tué Phillipe Loren et t'as montré aux Étoiles du matin que t'étais là pour régner. Faut que tu te relaxes!"
"SH_Morningstar02_01_Monica": "Aucun groupe n'a revendiqué l'attaque de Stilwater et nous avons ignoré ses causes profondes. Nos médias incontrôlables et les produits vendus à nos enfants ont favorisé la culture des gangs et transformé des sociopathes en héros. Assez!"
"Story07_In_08_Player_BM": "Kill-quoi?"
"Story05_In_04_Player_BM": "Allons-y."
"Story02_In_19_Viola": "Vous continuerez à diriger le groupe Saints/Ultor en échange de 66 pour cent de vos revenus mensuels."
"Story12_Out_04_Cyrus": "Madame, je vous promets qu'on le ramènera."
"CTO_Zimos01_09_Player_BM": "Génial."
"CTO_Zimos01_04_Zimos": "Si t'avais eu droit à un bâillon et à une queue de cheval sur le cul pendant plusieurs années, t'aurais besoin de décompresser."
"Story01_Zscene03_01_Player_BM": "Go! Go! Go!"
"Story22_OutA_01_Pierce": "T'as tué ce salopard?"
"Story06_Mid_07_Oleg": "Les copies sont nazes. Ils ont mes muscles, mais pas mon cerveau. Je peux vous aider."
"Story20_In_02_Viola": "Si tu veux faire mal à Killbane, faut faire mal à sa réputation."
"CTO_Zimos01_07_Player_BM": "Si les Saints veulent rester à Steelport, il faut qu'on dégage les Étoiles du matin. J'ai déjà travaillé dans le centre, mais ces connards sont partout."
"Story12_In_15_Player_BM": "Ça me va."
"Story17_In_09_Pierce": "Ah non!"
"SH_Decker_04_Oleg": "Un fauteuil OEMN."
"Story11_Out_04_Kia": "Nyte Blayde fait la promo des STAG? Pourquoi pas mettre une marionnette, aussi?"
"SH_Morningstar02_04_Player_BM": "C'est quoi, l'initiative STAG?"
"Story08_In_08_Pierce": "Putain... La vie, c'est fait pour s'éclater, tu crois pas?"
"Storye01_In_Crawl_08": "Bien, on s'en balance de Pierce?"
"CTO_Zimos01_03_Player_BM": "Tu perds pas de temps."
"Story17_Mid_03_Kia": "Bienvenue, Monsieur."
"Story14_In_04_Anna": "... Eddie \"Killbane\" Pryor. Merci d'être venu, Eddie."
"Story06_In_03_Player_BM": "On va donner une bonne leçon à ce bâtard."
"Story07_Zscene02_02_Zimos": "C'est un sauvetage, hein? C'est pas un putain de plan élaboré pour un gang bang?"
"Story20_Out_05_Killbane": "Si tu veux te faire massacrer par le destructeur, j'en serais ravi."
"Story16_Out_02_Matt": "Si c'est le clavier qui te soucie, je peux te recommander un bon logiciel de reconnaissance vocale."
"Story05_Out_05_Matt": "Avec tout le respect que..."
"CTO_Zimos01_02_Zimos": "Chut, réveille pas les putes."
"Story17_Zscene01_02_Cyrus": "Ah, c'est ça, votre nom."
"Story24_Out_04_Director": "COUPEZ!"
"Story18_Out_01_Player_BM": "Ras le bol."
"Story12_Out_02_Cyrus": "Passez-moi Monica Hughes."
"CTO_Angel02_03_Player_BM": "UN PUTAIN DE TIGRE?!"
"Story07_Zscene03_03_Player_BM": "Non, mais eux, si."
"Story23_Out_14_Pierce": "C'est une idée horrible. D'accord!"
"Story12_In_04_Pierce": "Prépare ça et on va massacrer ces salopards."
"Story23_Out_09_Player_BM": "J'ai un message pour Monica Hughes et ses larbins. Chère pouffiasse, Steelport a de nouveaux chefs, et on t'obéit pas. T'es pas chez toi, ici. Si tu reviens dans ma ville, t'en repartiras entre quatre planches. À plus."
"Story22_OutA_02_Player_BM": "Ouais."
"Story17_In_04_Viola": "Et une fois que tu es à bord?"
"Story13_Out_02_Kia": "Vous pouvez nous féliciter, Commandant."
"Story08_In_07_Shaundi": "Mouais..."
"Story05_In_03_Shaundi": "La bande est prête en bas. Donne le signal et on leur casse la gueule."
"Storye01_In_Crawl_05": "Et c'était pareil pour les THIRD STREET SAINTS."
"CTO_Zimos02_02_Zimos": "Putain de philistin! Qu'est-ce que tu connais à l'art? C'est une peinture des surs DeWynter! J'ai acheté ça quand les jumelles et moi on s'entendait bien..."
"Story16_Zscene02_03_Player_BM": "Je pense que Kinzie peut le faire."
"Story24_Out_11_Director": "Et... ACTION!"
"Story24_Out_09_Asst_Director": "On se prépare! Ça tourne..."
"Story01_In_21_Gat": "T'as un plan ou on descend juste tous ces bâtards?"
"Story07_Zscene02_04_Zimos": "OK pour le sauvetage. Je te serrerais bien la main, mais le sol est un peu collant, si tu vois ce que je veux dire."
"Story07_Zscene01_05_Goon": "Ils sont partis par là!"
"Story23_Out_04_Player_BM": "Personne ne s'enfuit, personne ne se fait tirer dessus, compris?"
"Story22_In_06_Pierce": "Bordel!"
"SH_Luchadore_03_Player_BM": "D'accord, comment on fait ça?"
"Story17_Mid_06_Cyrus": "Merci... mais... Je dois m'occuper de ces deux-là tout de suite."
"Story22_Zscene01_02_Killbane": "Nous y voilà... Deux Titans parmi les hommes, adulés des mortels pour avoir répandu le sang et le feu! Cet instant était inévitable..."
"Story16_Zscene02_07_Player_BM": "Là, tu commences à m'intéresser."
"Story23_Out_12_Pierce": "Ben, tu viens juste de déclarer que tu contrôlais la ville."
"Story14_Out_06_Shaundi": "Je le tenais!"
"Story14_In_03_Anna": "... Heureusement, ces images exclusives ont été dévoilées et nous avons avec nous le responsable..."
"Story12_In_02_Pierce": "Hé, j'ai pas à me justifier. Les STAG utilisent Nyte Blayde comme mascotte. On kidnappe ce blaireau..."
"22_Choice_05_Kia": "Allo, Saint."
"CTO_Pierce02_11_Player_BM": "Allons faire des courses."
"Story13_In_03_Josh": "Je l'ai senti quand on s'est rencontrés. Ce lien entre nous."
"Story09_In_01_Zimos": "Y'a de la meuf sur ce bateau."
"Story06_Mid_09_Shaundi": "Qu'est-ce qu'il pourrait faire? Ces câbles et cette merde le gardent sûrement en vie."
"Story01_In_10_Josh": "De l'ultra-post-modernisme. J'adore ça."
"22_Choice_01_Angel": "Il est à l'aéroport, il reste plus beaucoup de temps!  "
"Story21_Zscene02_02_Killbane": "Attends! Je te donnerai le secret de l'A-poing-calypse, laisse-moi mon masque!"
"Story19_In_02_Viola": "On n'entrera pas tant que t'auras pas promis de bien te comporter."
"Story17_Out_11_Kia": "Monsieur, les commandos sont en route. On aura bouclé toute la ville dans 72 heures."
"Story17_In_01_Pierce": "C'est la pire idée que tu aies jamais eue."
"Story14_Out_05_Player_BM": "Ça va?"
"Story08_In_01_Shaundi": "Johnny est mort et tu fais une putain de fête?!"
"CTO_Angel02_02_Angel": "Si tu veux affronter les Luchadores, tu dois pouvoir tout anticiper."
"Story18_In_02_Player_BM": "C'est clair!"
"CTO_Angel01_02_Angel": "Pour ne pas oublier ce que Killbane m'a pris. Ça m'aide à me concentrer."
"CTO_Pierce02_05_Pierce": "Aucune idée."
"Story21_Out_05_Goon": "Killbane, c'est qu'un match..."
"Story14_Out_02_Shaundi": "Chopé."
"Story10_Out_07_Cyrus": "Laissez-moi vous parler de Jessica Parish, une fille de Stilwater qui a fui son foyer pour vivre avec son copain délinquant. Jessica aimait bien sa vie, jusqu'à ce qu'un membre de gang la kidnappe, la balance dans un coffre de voiture et ricane en voyant son copain détruire la voiture lors d'un rallye. Si Jessica était votre fille, jusqu'où voudriez-vous que j'aille?"
"Story22_Zscene01_03_Player": "Tout comme le fait que je vais te tuer."
"CTO_Pierce01_05_Pierce": "Des clefs de consigne. Tu veux pas savoir ce qu'ils ont planqué?"
"Story02_In_17_Gat": "En fait, je me demande pourquoi mon poing est pas dans ta gueule."
"Story22_Zscene01_05_Player": "Tu déconnes? C'est fini, Eddie! D'ici deux semaines, personne ne se souviendra de ton nom."
"CTO_Pierce01_03_Pierce": "Étant donné que c'était une planque du Syndicat, je me suis dit que j'allais la fouiller."
"Story12_Zscene01_02_Player_BM": "Tirons-nous d'ici."
"Story21_In_07_Bobby": "C'est clair... C'est des vagues de haine qu'ils déchaînent. Après ce que leur chef a fait à Stilwater, ils ont de la chance que leurs fans ne les poignardent pas sur le chemin du ring!"
"Story13_In_01_Josh": "Pose ton flingue. Je m'enfuirai pas."
"Story07_In_01_Monica": "Quand j'ai quitté Stilwater pour le Sénat, j'ai juré de ne pas oublier ma ville. Mon mari a donné sa vie en combattant les gangs de Stilwater. C'est un grand privilège d'honorer sa mémoire avec ce pont."
"Story01_In_12_Josh": "PERSONNE NE BOUGE ET Y'AURA PAS DE CASSE!"
"CTO_Pierce02_03_Pierce": "... et je suis le plus beau mec du coin."
"Story21_Zscene03_02_Killbane": "NON!"
"Story07_Out_01_Killbane": "Mesdames et Messieurs, Phillipe est mort et nous sommes à un point déterminant. La question est : qui mènera le Syndicat vers une nouvelle ère?"
"Story24_Out_08_Director": "Allez, tout le monde, on sourit, c'est le happy end."
"CTO_Kinzie02_11_Kinzie": "N'oublie pas de jeter ton téléphone!"
"Story19_In_01_Player": "Qu'est-ce qu'on attend?"
"SH_Decker_03_Kinzie": "Ensuite, tu pourras interagir avec les avatars des utilisateurs et corrompre les représentations des données qui sont la pierre angulaire de leur opération en ligne. Pour faire ça, il me faut..."
"Story14_Out_08_Player_BM": "Merde!"
"Story12_In_14_Viola": "Tu rigoles?"
"CTO_Kinzie01_10_Kinzie": "Continue juste à jouer à ce foutu jeu et je pourrai localiser les Deckers dans le monde réel."
"Story18_In_01_Viola": "Il y a sûrement un moyen plus simple de faire ça!"
"Story12_In_03_Player_BM": "Et on attire les STAG."
"Story22_OutB_09_Cyrus": "Ils peuvent donner les clefs de cette putain de ville à ton gang, mais si vous merdez, on reviendra. Et la prochaine fois, les STAG vous éclateront."
"Story21_In_04_Bobby": "Franchement, Zach, ce type est vraiment dingue. Je crois qu'il a étranglé le médecin avec son cordon ombilical quand il est venu au monde. C'est un putain de taré."
"SH_Decker_02_Kinzie": "Je veux diffuser ton subconscient sur le Usernet des Deckers."
"SH_Morningstar02_12_Player_BM": "Tu rêves."
"Story05_Out_06_Matt": "En l'air, on dirait pas..."
"Story01_In_14_Josh": "Désolé, j'ai sauté sa réplique. On peut recommencer?"
"Story21_In_03_Zach": "Le voilà, Bobby, Eddie \"Killbane\" Pryor, le destructeur en personne. On se demande comment la légende de Stilwater va tenir le coup."
"Story16_Out_03_Killbane": "Tu m'as soutenu quand je suis revenu comme un phénix après Phillipe. Toi et moi, on est liés."
"Story13_Out_05_Kia": "Ils vont se terrer... Ça ne va pas être facile de les débusquer."
"Story12_In_07_Player_BM": "C'est quoi, ce bordel?"
"Story10_In_16_Kia": "Les Saints se sont mis à couvert avec une des surs DeWynter. On est sur le point d'y aller."
"Story08_Out_08_Killbane": "Viola, t'es sur la mauvaise pente, mais c'est pas trop tard. T'as le temps de choper le chariot d'Apollon et de faire exploser ce connard en vol. Tu piges?"
"Story02_Out_03_Phillipe": "M. Killbane, rassemblez vos Luchadores et apportez-moi la tête du boss des Saints. M. Miller, piratez leurs comptes et videz tout."
"Story01_In_26_Shaundi": "J'espère qu'il a signé une décharge."
"CTO_Pierce02_02_Pierce": "Et alors? La bière est pas chère."
"CTO_Zimos01_06_Zimos": "J'imagine que t'es pas là pour parler cul."
"Story07_Zscene01_01_Pierce": "Comment on va trouver Zimos? Faut chercher celui qui est pas ravi de bouffer un bâillon-boule?"
"Story21_Out_04_Bobby": "Quelle soirée, Zach. QUELLE SOIRÉE!"
"Story19_In_16_Reynolds": "De zombies."
"Story15_In_10_Kinzie": "Si je pouvais m'infiltrer dans leur système, je ferais plein de saloperies. Mais j'ai pas le matos pour ça."
"Story06_Mid_12_Pierce": "Tu veux des fringues, mec?"
"Story02_In_08_Viola": "On en revient toujours au fric, M. Gat."
"Story12_In_09_Player_BM": "Rappelle-moi d'appeler Lee à ce sujet."
"Story10_In_05_Player_BM": "OK. Johnny est mort à cause de toi."
"Story06_Mid_14_Pierce": "Comme je disais, la dernière fois qu'un gros mec à poil..."
"Story01_In_24_Shaundi": "Je n'ai aucun problème avec le film des Saints, mais on doit vraiment se coltiner cet enfoiré d'acteur?"
"Storye01_In_Crawl_04": "Faire chier."
"Story11_Out_08_Cyrus": "Ce gamin va finir par se faire tuer."
"Story07_Out_05_Viola": "Quoi?"
"Story02_In_02_Cop": "Quelqu'un a payé plus."
"Story21_Zscene04_02_Bobby": "BORDEL! KILLBANE ABANDONNE!"
"Story19_In_06_Player": "Franchement, il se prend pour qui, ce type?"
"Story17_Mid_02_Cyrus": "La ferme."
"SH_Morningstar02_09_Zimos": "C'est une invitation à frapper les Étoiles du matin à coups de pompes dans le cul. Ils organisent une vente aux enchères ce soir. Avec cette carte, tu pourras entrer."
"Story06_In_01_Pierce": "C'est un peu gros pour toi."
"Story01_In_01_Josh": "Les pubs japonaises. Y'a pas plus facile pour se faire du fric."
"Story13_In_08_Player_BM": "T'as le matos, Pierce?"
"Story11_In_04_Player_BM": "Égalité."
"Story08_Out_09_Viola": "Oui, Killbane."
"Story02_In_14_Phillipe": "Quelle ressemblance, hein? Ces nanas sont Viola et Kiki. Et je suis Phillipe Loren, directeur d'une organisation multinationale, le Syndicat."
"Story13_Zscene01_03_Player_BM": "Je veux que les STAG se tirent de ma ville."
"Story23_In_06_Kinzie": "Bon, s'ils font péter tous les bâtiments, on sera forcément dans l'un deux."
"Story19_In_15_Viola": "Quoi? Un problème de QUOI?"
"Story15_In_05_Player_BM": "Qu'est-ce que les Deckers ont fait à l'hélico?"
"Story14_In_12_Kinzie": "Je devrais pouvoir trianguler le lieu si tu vas aux tours de transmission et que..."
"Story06_Mid_13_Oleg": "Pas le temps."
"Story06_Mid_08_Pierce": "La dernière fois qu'un gros mec à poil m'a dit qu'il m'aiderait, ça s'est mal fini."
"CTO_Angel01_06_Angel": "En te faisant sentir la pire douleur qui soit... Allez, il est temps pour toi de jouer dans les embouteillages."
"CTO_Angel01_05_Player_BM": "Comment?"
"Story12_Zscene01_01_Josh": "Vous voulez qu'on s'échauffe avant de tourner? Hé, on se connaît, non?"
"Story22_OutB_03_Player_BM": "À moins que tu craches un \"merci\", on va avoir un sérieux problème."
"Story21_In_01_Zach": "On a eu droit à une belle soirée et ce n'est pas fini, Bobby!"
"SH_Decker_11_Player_BM": "La minute geek est finie! C'est quoi ce truc? Et Kinzie, bordel, fais simple!"
"Story10_Out_03_Cyrus": "Il n'y a pas d'occupation. Nous avons le soutien du maire Reynolds."
"Story02_In_18_Phillipe": "Que ça te plaise ou non, Gat, notre organisation s'étend à Stilwater. Je t'offre la chance de troquer vos biens contre votre vie. Mesdames?"
"Storye01_In_Crawl_01": "Conquête."
"CTO_Angel02_06_Angel": "Tout est prêt pour que tu affrontes Killbane, mais il faut s'occuper des Luchadores. Tu sais où me trouver si tu veux t'entraîner."
"Story13_In_05_Josh": "Cet amour interdit."
"Story01_In_16_Josh": "On se met en rang, pouffiasse!"
"22_Choice_09_Player": "Je ne veux pas te décevoir, pouffiasse, mais les Saints ne font pas de terrorisme domestique."
"CTO_Angel01_01_Player_BM": "Bon sang... Pourquoi tu vis dans ce trou à rats?"
"Story21_Zscene03_03_Zach": "On se souvient d'Angel De LaMuerte alors que Killbane a perdu son masque!"
"Story01_Zscene01_06_Josh": "Alors, le plan B, on le perce?"
"Story15_In_02_Player_BM": "C'est... accueillant."
"Story09_Out_01_Killbane": "Mais à quoi tu pensais, Matty?"
