"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Disfrázate de soldado Morningstar."
"DLC2_M02_DESTORY_GENERATOR": "DESTRUYE EL [format][color:kill]GENERADOR[/format]"
"DLC2_OUTRO_PC_10": "¡Vale, Jenny! Jenny, ¡dime algo!"
"CUST_ITEM_DLC_FOOT_SLASHER": "BOTAS DE APUÑALADOR"
"DLC2_M03_TUT_ALIEN_AIRCRAFT": "{HELI_UP_IMG} AUMENTAR ELEVACIÓN\n{HELI_DOWN_IMG} REDUCIR ELEVACIÓN\n{VTOL_TRANSITION_IMG} CAMBIAR MODO DE VUELO"
"DLC2_M02_USE_MACHINE_TRG_MSG": "DESHABILITAR"
"DLC2_M02_EXPLOSION_WARNING": "MANTENTE A UNA DISTANCIA DE SEGURIDAD"
"DLC2_M01_OBJ_JUMP": "SALTA"
"DLC2_M01_OBJ_GO_TO_ARMORY": "VE AL [format][color:location]HELIPUERTO DE LA GUARDIA[/format]"
"CUST_ITEM_DLC_SHOES_WEREWOLF": "PIES DE HOMBRE LOBO"
"UNL_DESC_DLC2_VEHICLE_SPACE_JET_BIKE": "Ya dispones de la moto a reacción Scythe en el garaje de tu casa."
"UNL_DLC2_GANG_ALIENS": "PERSONALIZACIÓN"
"UNL_DLC2_ASSET05_CLOTHING": "OBJETOS: MÁSCARAS DE TERROR"
"CUST_ITEM_DLC_SUIT_DKRSPCL": "ESPECIALISTA DECKER"
"CUST_ITEM_ZOMBIE_UBDY_M_SHIRT": "CAMISETA DE ZOMBI"
"DLC2_ACHIEVE_SR3_SHOOT_THAT_GREEN_STUFF": "La venganza del navegador"
"DLC2_INTRO_KWILANNA_16": "No... ¡La haré yo!"
"DLC2_INTRO_DIRECTOR_13": "¡¿QUIÉN ES ESTA EXTRA Y POR QUÉ ME HABLA?!"
"HOMIE_DESC_DLC2_SPACE_BRUTINA": "Da un buen puñetazo con esta belleza extraterrestre."
"CUST_ITEM_DLC_GLOVES_WEREWOLF": "GUANTES DE HOMBRE LOBO"
"UNL_DESC_DLC2_ASSET05_CLOTHING": "Más máscaras para tus conjuntos del pack de Terror."
"UNL_DLC2_ASSET05_ALERT": "PACK DE TERROR"
"UNL_DESC_DLC2_ASSET06_ALERT": "Nuevas descargas de contenido disponibles en el guardarropa y garaje de tu casa."
"CUST_ITEM_DLC_HAT_SKELETON": "MÁSCARA DE ESQUELETO"
"DLC2_M03_EXECUTE_VIRUS": "EJECUTA EL [format][color:kill]VIRUS[/format]"
"DLC2_M03_DESTROY_SHIELDS": "DESTRUYE LOS [format][color:kill]ESCUDOS DEL TRANSMISOR[/format]"
"DLC2_M02_GO_TO_BACKSTAGE": "VE AL [format][color:location]BACKSTAGE[/format]"
"DLC2_M01_HUD_LEAVE_HELI_AREA": "EL DIRECTOR QUIERE QUE ENTRES A LA ZONA POR EL NORTE"
"DLC2_M01_OBJ_DESTROY_PURSUERS": "ELIMINA A LOS [format][color:kill]PERSEGUIDORES[/format]"
"DLC2_ACHIEVE_SR3_BLOWING_THE_BUDGET": "Toma de contacto"
"DLC2_OUTRO_PC_02": "Por ahora."
"DLC2_WPN_LASERCANNON_DESCRIPT": "FUSIL RESERVADO PARA LAS GUERRERAS DE ÉLITE DE LAS AMAZONAS ESPACIALES"
"cm_dkr01_suit": "SOLDADO DECKER"
"UNL_DLC2_HOMIE_SPACE_BRUTINA": "COLEGA: BRUTINA ESPACIAL"
"UNL_DESC_DLC2_GANG_ALIENS": "Ahora puedes tener alienígenas en tu banda."
"DLC2_M02_BOARD_SAUCER": "SUBE A BORDO DE LA [format][color:use]NAVE[/format]"
"DLC2_M02_PROGRESS_02": "CAMBIO DE CABLEADO"
"DLC2_ACHIEVE_SR3_MAN_POWER": "Princesa guerrera"
"DLC2_OUTRO_PC_12": "Vale, pero te ha quedado un tanto exagerado."
"DLC2_M02_RETURN_TO_HOMIE": "VUELVE ANTE KWILANNA"
"DLC2_M01_OBJ_GO_TO_CRIB": "HUYE A LA [format][color:location]CASA[/format]"
"DLC2_INTRO_PC_08": "Yo que tú no me emocionaría tanto. En cámara quedarás como Shaundi o Pierce. Me va a dar un chungo de intentar meterme el guion este en la cabeza."
"DLC2_INTRO_KWILANNA_04": "Mmm... ¿perdón?"
"CUST_ITEM_ALIEN_HAT": "CASCO DE CONTROL MENTAL"
"cm_msspcl_suit": "ESPECIALISTA MORNINGSTAR"
"CUST_ITEM_MSFEM02_GLOVES": "GUANTES MORNINGSTAR"
"DLC2_M03_BARNSTORM_UNDER_BRIDGE": "VUELA POR DEBAJO DEL [format][color:location]PUENTE[/format]"
"DLC2_M01_FAIL_ESCAPE_CAR_DESTROYED": "¡TU VEHÍCULO DE HUIDA HA SIDO DESTRUIDO!"
"DLC2_M01_NAME": "¡RÁPIDO, MÁS INTENSO!"
"DLC2_INTRO_KWILANNA_14": "Vaya, Sr. Zhen, hago de Kwilanna..."
"DLC2_INTRO_DIRECTOR_11": "¡Genial! ¡Queda como un puto documental! ¡Vas a clavarlo!"
"DLC2_WPN_LASERCANNON": "CAÑÓN LÁSER"
"CUST_ITEM_LUSPEC_OUTFIT": "ESPECIALISTA LUCHADOR"
"DLC2_M02_GET_PISTOL": "CONSIGUE LA [format][color:use]PISTOLA LÁSER[/format]"
"DLC2_M01_OBJ_DEFEND_BULLDOG": "DEFIENDE EL [color:defend][format]VEHÍCULO[/format]"
"DLC2_ACHIEVE_SR3_LIGHTS_CAMERA_ACTION": "¡Luces! ¡Cámara! ¡Acción!"
"UNL_DESC_DLC2_ASSET03_OUTFITS01": "Disfrázate de soldado Luchador de Killbane con este conjunto completo."
"DLC2_WPN_LASERPISTOL_DESCRIPT": "ARMA REGLAMENTARIA DE LAS SOLDADOS DE LAS AMAZONAS ESPACIALES"
"CM_DKR02_OUTFIT": "ESPECIALISTA DECKER"
"cm_dkr01_hdphones": "AURICULARES DECKER  "
"UNL_DLC2_ASSET05_OUTFITS02": "CONJUNTO: EL APUÑALADOR"
"CUST_ITEM_LUSPEC_MASK": "MÁSCARA DE ESPECIALISTA LUCHADOR"
"DLC2_M03_TUT_TITLE_NEAR_CRASH": "CASI ACCIDENTE"
"DLC2_M02_SEARCH_CODE": "BUSCA EL [format][color:use]CÓDIGO[/format]"
"DLC2_M02_PLAYER_DESTROY_MACHINE": "DESTRUYE LA [format][color:kill]MÁQUINA DE CONTROL MENTAL[/format]"
"DLC2_M01_HUD_JUMP": "SALTAR"
"DLC2_ACHIEVE_SR3_PEW_PEW_PEW": "¡Bang, bang!"
"DLC2_ACHIEVE_SR3_NO_STUNTMAN_REQUIRED": "Yo hago mis escenas de riesgo"
"DLC2_OUTRO_KWILANNA_06": "¡Voy a matar a ese hijo de puta!"
"DLC2_INTRO_PC_06": "¿Cómo debo tomarme esa afirmación?"
"DLC2_M03_TUT_TITLE_ALIEN_AIRCRAFT": "NAVE ALIENÍGENA"
"DLC2_M03_DESTROY_SHIELD": "DESTRUYE EL [format][color:kill]ESCUDO DE LOS TRANSMISORES[/format]"
"DLC2_M02_GO_TO_SERVER": "VE AL [format][color:location]SERVIDOR[/format]"
"DLC2_INTRO_PC_01": "Voy a matar a ese hijo de puta..."
"UNL_DLC2_ASSET06_VEHICLES": "VEHÍCULO: VEHÍCULOS DE GENKI CHICAS"
"DLC2_M03_GOTO_VIRUS_LOCATION": "VE A LA [format][color:location]UBICACIÓN DE EJECUCIÓN[/format]"
"DLC2_M02_MISSION_FAIL_HOMIE_DIED": "¡KWILANNA HA MUERTO!"
"DLC2_M01_PRE_MISSION_OBJ": "VE AL [format][color:location]ESTUDIO[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS06": "Disfrázate de especialista Decker de Matt Miller."
"DLC2_OUTRO_KWILANNA_11": "Estoy cansada. ¡Cansada de que intente matarnos, de que sea tan malo, y de esa mierda de bufanda que lleva!"
"DLC2_INTRO_DIRECTOR_18": "Mirad, Esta Fulanita no te decepcionará, te lo prometo. ¡Y que se le ocurra! ¿Entendido? Tú métete en el papel, vas a clavarlo."
"UNL_DESC_DLC2_GANG_PENTHOUSE": "Ya puedes tener a las modelos en tu banda."
"UNL_DLC2_GANG_PENTHOUSE": "PERSONALIZACIÓN"
"CM_DKR01_OUTFIT": "SOLDADO DECKER"
"UNL_DESC_DLC2_ASSET05_OUTFITS01": "Únete a los no muertos con este traje y esta máscara."
"UNL_DESC_DLC2_ASSET06_VEHICLES": "Vehículos de Genki chicas."
"CUST_ITEM_MSFEM02_SUIT": "SOLDADO MORNINGSTAR"
"DLC2_M02_SELF_DESTRUCT": "AUTODESTRUCCIÓN ACTIVADA"
"DLC2_M01_FAIL_KWILANNA_DISMISSED": "¡KWILANNA HA SIDO DESPEDIDA!"
"DLC2_M01_OBJ_PREPARE_JUMP": "PREPÁRATE PARA [color:location][format]SALTAR[/format]"
"DLC2_INTRO_KWILANNA_07": "Ay, madre, estarán de broma. ¡Mi primera peli y voy a coprotagonizarla junto al líder de los Saints!"
"DLC2_M02_APPROACH_SAUCER": "LLEGA HASTA LA [format][color:location]NAVE[/format]"
"DLC2_M01_OBJ_BREACH_HELIPORT": "IRRUMPE EN EL [format][color:location]HELIPUERTO DE LA GUARDIA[/format]"
"DLC2_M02_KILL_BRUTINA": "MATA A LA BESTIA ALIENÍGENA"
"DLC2_WPN_AUTOLASER": "METRALLETA LÁSER"
"UNL_DESC_DLC2_HOMIE_KWILANNA": "Puedes encontrar a Jenny en el menú \"TELÉFONO\" de tu móvil. Ayudará a los Saints en combate."
"UNL_DLC2_HOMIE_KWILANNA": "COLEGA: JENNY"
"CUST_ITEM_ZOMBIE_LBDY_M_PANTS": "PANTALONES DE ZOMBI"
"DLC2_M02_WAIT_FOR_HOMIE": "ESPERA A [format][color:location]KWILANNA[/format]"
"DLC2_OUTRO_PC_01": "La Tierra está a salvo..."
"DLC2_INTRO_DIRECTOR_15": "¿En serio? Creí que contrataríamos a alguien de renombre."
"CUST_ITEM_DLC_HAT_DEVIL": "MÁSCARA DE DIABLO"
"DLC2_M03_ESCAPE": "[format][color:location]HUYE[/format] DEL RADIO DE LA SEÑAL"
"DLC2_M02_PROGRESS_01": "PIRATEANDO..."
"DLC2_M02_APPROACH_MACHINE_COOP": "VE A LA [format][color:location]MÁQUINA DE CONTROL MENTAL[/format]"
"DLC2_M02_MISSION_NAME": "HANGAR 18 1/2"
"HOMIE_DESC_DLC2_KWILANNA": "Patea culos con un mito intergaláctico."
"DLC2_M02_GET_FINAL_WEAPON": "CONSIGUE EL [format][color:use]CAÑÓN LÁSER[/format]"
"DLC2_OUTRO_DIRECTOR_07": "¡ESA LÍNEA NO ES TUYA! POR DIOS SANTO, NO ESTARÁS IMPROVISANDO..."
"DLC2_INTRO_PC_02": "Voy a matar a ese hijo de puta..."
"DLC2_M03_KILL_NATIONAL_GUARD": "DESTRUYE LA [format][color:kill]TRAMPA DE LA GUARDIA DE STEELPORT[/format]"
"DLC2_M02_GO_TO_CONSOLE": "VE AL [format][color:location]PANEL DE SEGURIDAD[/format]"
"DLC2_M02_GET_SMG": "CONSIGUE LA [format][color:use]METRALLETA LÁSER[/format]"
"DLC2_M01_OBJ_GO_TO_HELICOPTER": "LLEGA HASTA EL [format][color:use]HELICÓPTERO[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS05": "Disfrázate de soldado Decker de Matt Miller."
"UNL_DESC_DLC2_CUST01_ALERT": "Nueva descarga de contenido en tu casa."
"CUST_ITEM_MSFEM02_OUTFIT": "SOLDADO MORNINGSTAR"
"UNL_DESC_DLC2_ITEM_MIND_CONTROL_HELMET": "Se ha añadido el casco de control mental al guardarropa de tu casa."
"UNL_DESC_DLC2_ASSET05_OUTFITS02": "El conjunto perfecto de villano de peli de miedo con varias máscaras y guantes."
"DLC2_M02_GO_TO_HANGER": "VE AL [format][color:location]HANGAR[/format]"
"DLC2_M02_PROTECT_HOMIE": "PROTEGE A [format][color:protect]KWILANNA[/format]"
"DLC2_M01_HUD_UNTIE_ALIEN": "DESATA A LA ALIENÍGENA"
"UNL_DESC_DLC2_ASSET03_OUTFITS02": "Disfrázate de especialista Luchador de Killbane con este conjunto completo."
"DLC2_OUTRO_PC_08": "Eh, Jenny, otra vez pones cara de loca."
"UNL_DLC2_CUST01_ALERT": "PACK PENTHOUSE"
"CM_MSSPCL_OUTFIT": "ESPECIALISTA MORNINGSTAR"
"UNL_DESC_DLC2_HOMIE_SPACE_BRUTINA": "Puedes encontrar a Brutina Espacial en el menú \"TELÉFONO\" de tu móvil. Ayudará a los Saints en combate."
"UNL_DLC2_ASSET05_OUTFITS01": "CONJUNTO: ZOMBI CARNÍVORO"
"CUST_ITEM_DLC_HAT_HOCKEY": "MÁSCARA DE HOCKEY"
"DLC2_M03_TUT_NEAR_CRASH": "Vuela cerca de los edificios para realizar un Casi accidente."
"DLC2_M02_USE_REWIRE": "CAMBIAR EL CABLEADO"
"DLC2_M02_MISSION_FAIL_DIDNT_PROTECT_HOMIE": "¡NO HAS PROTEGIDO A KWILANNA!"
"DLC2_OUTRO_PC_18": "Vaya."
"DLC2_WPN_LASERPISTOL": "PISTOLA LÁSER"
"CUST_ITEM_DLC_OUTFIT_WEREWOLF": "HOMBRE LOBO"
"DLC2_M03_GOTO_THIRD_TRANSMITTER": "VE AL [format][color:location]TERCER TRANSMISOR[/format]"
"DLC2_M01_FAIL_KWILANNA_DIED": "¡KWILANNA HA MUERTO!"
"DLC2_OUTRO_DIRECTOR_05": "¿QUÉ COÑO ESTÁ PASANDO AQUÍ? JENNY, ¡DI LA PUTA LÍNEA!"
"DLC2_INTRO_DIRECTOR_09": "¿Algún problema con el guion? ¡Si quieres que quitemos algo no tienes más que decirlo!"
"CUST_ITEM_CM_DLC_ZOMBIE1": "ZOMBI CARNÍVORO"
"DLC2_M02_SECURITY_ACTIVATING": "ACTIVACIÓN DE SEGURIDAD"
"DLC2_M01_OBJ_KILL_NAT_GUARD": "MATA A LA [format][color:kill]GUARDIA DE STEELPORT[/format]"
"DLC2_ACHIEVE_SR3_MDK3000": "¡Haz un barril!"
"DLC2_OUTRO_DIRECTOR_15": "¡YA TE HAS CARGADO LA TOMA, VUELVE AL UNO!"
"DLC2_INTRO_DIRECTOR_19": "Muy bien. ¡RODEMOS DE UNA PUTA VEZ!"
"DLC2_INTRO_PC_10": "No, está bien, es solo que... Necesitaré un montón de chuletas."
"DLC2_M03_BARNSTORM_THROUGH_BRIDGE": "ATRAVIESA EL [format][color:location]PUENTE[/format] VOLANDO"
"DLC2_M03_PRE_CALL_OBJ": "VE AL [format][color:location]DECORADO DE LA PELÍCULA[/format]"
"DLC2_ACHIEVE_SR3_A_LISTER": "Celebridad del tres al cuarto"
"DLC2_OUTRO_KWILANNA_17": "Clavándolo."
"UNL_DLC2_ASSET05_OUTFITS03": "CONJUNTO: HOMBRE LOBO"
"UNL_DESC_DLC2_ASSET05_ALERT": "Nuevas descargas de contenido disponibles en el guardarropa y garaje de tu casa."
"UNL_DLC2_ASSET06_ALERT": "PACK GENKI CHICA"
"DLC2_M02_GO_TO_CONTROL_ROOM": "VE A LA [format][color:location]SALA DE CONTROL[/format]"
"DLC2_M02_GO_TO_SERVER_ROOM": "VE A LA [format][color:location]SALA DE SERVIDORES[/format]"
"DLC2_M02_REWIRE_EXPLOSIVES": "CAMBIA EL CABLEADO DE LOS [format][color:use]EXPLOSIVOS[/format]"
"DLC2_M01_FAIL_DIRECTOR_UNHAPPY": "¡EL DIRECTOR NO ESTÁ CONTENTO CON EL RESULTADO!"
"DLC2_M01_OBJ_LAND_TARGET": "ATERRIZA EN EL [format][color:location]OBJETIVO[/format]"
"DLC2_OUTRO_PC_14": "Eh, punto."
"DLC2_INTRO_KWILANNA_05": "Ah, ¡hola! Soy Jenny. ¡Solo quería que supieras que estoy que no quepo en mí de gozo de estar aquí!"
"CUST_ITEM_CM_DLC_LU02": "SOLDADO LUCHADOR"
"CUST_ITEM_DLC_HAT_LU02": "MÁSCARA DE SOLDADO LUCHADOR"
"DLC2_M02_PROGRESS_LABEL": "PROGRESO"
"DLC2_M02_APPROACH_MACHINE_LOCAL": "VE A LA [format][color:location]MÁQUINA DE CONTROL MENTAL[/format]"
"DLC2_M01_OBJ_GO_TO_BULLDOG": "LLEGA HASTA EL [format][color:use]VEHÍCULO[/format]"
"DLC2_OUTRO_PC_04": "Eh... ¿Kwilanna?"
"CUST_ITEM_DLC_MASK_WEREWOLF": "MÁSCARA DE HOMBRE LOBO"
"UNL_DLC2_VEHICLE_SPACE_JET_BIKE": "VEHÍCULO: SCYTHE"
"UNL_DESC_DLC2_STORY01_ALERT": "Hay nuevas misiones disponibles en el teléfono móvil."
"CUST_ITEM_MSFEM02_EAR": "PENDIENTES MORNINGSTAR"
"DLC2_M03_GET_TO_AIRCRAFT": "ENTRA EN LA [format][color:use]NAVE ALIENÍGENA[/format]"
"DLC2_M01_OBJ_RESCUE_ALIEN": "RESCATA A [format][color:use]KWILANNA[/format]"
"DLC2_INTRO_DIRECTOR_17": "De puta madre..."
"DLC2_INTRO_KWILANNA_12": "¡Un placer conocerlo, Sr. Zhen!"
"CUST_ITEM_DLC_SUIT_WEREWOLF": "HOMBRE LOBO"
"CUST_ITEM_DLC_SUIT_LU02": "SOLDADO LUCHADOR"
"DLC2_M02_PROGRESS_03": "BUSCANDO..."
"DLC2_M02_GO_TO_SET": "VE AL [format][color:location]DECORADO[/format]"
"DLC2_M02_MISSION_FAIL_OUT_OF_TIME": "¡SE TE HA ACABADO EL TIEMPO!"
"DLC2_M01_OBJ_ESCAPE_NG": "HUYE DE LA [format][color:location]GUARDIA DE STEELPORT[/format]"
