"ACT_WHORED_Z_AGRIZOOPHOBIA": "It's a big problem."
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "THE [format][color:green]CONTACTS[/format] HAVE BEEN TAKEN AWAY, RESCUE THEM"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "FRAUD CRAZY CARS RECORD"
"ACT_ESCORT_BUTTON_MASHING_MSG": "[format][color:green]CLIENT[/format] WANTS THE SAINTS ROW SPECIAL"
"ACT_ESCORT_RETURN_MSG": "RETURN TO THE STRIP CLUB"
"ACT_ESCORT_CRASH_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO CAUSE %d POINTS OF DAMAGE TO OTHER CARS WITH YOUR VEHICLE"
"ACT_WHORED_A_WRATH_CARDINAL": "Show Nyte Blayde how it's done."
"OPPONENT_CRITICALLY_HIT": "OPPONENT CRITICALLY HIT!"
"ACT_HOSTAGE_RANSOM": "RANSOM: [format][color:orange]%s[/format]"
"ACT_HELI_PROTECTION_DRIVER_DIED": "YOU FAILED TO PROTECT THE VAN"
"CHOP_MUSCLE_RIMS": "MUSCLE RIMS"
"ACT_TRAFFIC_DRIVE_HOME": "PROTECT THE [format][color:green]DEALER[/format] WHILE DRIVING [format][color:teal]HOME[/format]"
"ACT_FRAUD_BONUS_CRAZY_DRIVER": "CRAZY DRIVER BONUS"
"ACT_WHORED_Z_FOOD_TRUCK": "Flay 'em."
"ACT_RUNNING_MAN_FAILURE_TIME": "YOU RAN OUT OF TIME BEFORE REACHING THE EXIT."
"TUT_ACT_INTRO_TANK_MAYHEM": "Do $%ls in property damage before time runs out. If you destroy things in quick succession, you will earn a combo bonus."
"ACT_HELI_BOAT_HUD_TEXT": "DRUG DELIVERIES LEFT TO MAKE"
"ACT_GUARDIAN_ANGEL_PLAYER_KILLED_CLIENT_MESSAGE": "You killed the celeb, the enemy rejoices!"
"ACT_FRAUD_MESSAGE_AIRTIME_MULT_TYPE": "FRAUD AIRTIME RECORD"
"ACT_FRAUD_BONUS_COOP_GANGBANG": "GANGBANG BONUS"
"ACT_CHOP_LIST": "Bring cars from the list back to the [format][color:green]chop shop[/format]."
"ACT_WHORED_D_DRINKING_GAME": "Every time you shoot a beer bottle, take a drink."
"ACT_WHORED_D_WELCOME": "Make Lars proud."
"CHOP_SHOP_VIEW_LIST": "VIEW CHOP SHOP LIST"
"ACT_HELI_KILL_CARS_START_MESSAGE": "DESTROY THE [format][color:red]CARS[/format]"
"ACT_ESCORT_DRIFT_MSG": "[format][color:green]CLIENT[/format] WANTS YOU TO {HANDBRAKE_IMG} POWERSLIDE FOR %d SECONDS"
"ACT_WHORED_A_WELL_DONE": "The best way to enjoy meat."
"ACT_WHORED_DILDO_FAIL": "Need more stamina maybe?"
"ACT_RUNNING_MAN_HEALTH_TARGET": "HEALTHY CLIMAX!"
"TUT_TITLE_ACT_TANK_MAYHEM_REPAIR": "REPAIR"
"CRITICAL_VEHICLE_TIME_TO_RETURN_TEXT": "YOU HAVE %d SECONDS TO RETURN TO THE [format][color:green]VEHICLE[/format]"
"ACT_VANDAL_TRUCK_SMALL_PICKUPS_MSG": "PICKUP TRUCKS"
"ACT_VANDAL_COMBO_BREAKER_MSG": "COMBO BREAKER!"
"ACT_TRAFFIC_DRIVER_DEAD": "THE DEALER WAS KILLED."
"ACT_TORCH_OBJECTIVE_02": "EARN EXTRA TIME BY DOING DAMAGE, THEN CROSSING CHECKPOINTS"
"ACT_HUMAN_TORCH_START": "START TRAIL BLAZING"
"ACT_WHORED_D_CYPRIAN_ORDER": "Kick ass for the Lord."
"TUT_ACT_INTRO_GUARDIAN_ANGEL": "Protect the target from enemies as they finish their objectives."
"ACT_VANDAL_CIVILIAN_MSG": "CIVILIANS"
"ACT_TRAFFIC_POLICE_STING_ESCAPE": "THE [format][color:red]COPS[/format] ARE TAILING YOU!"
