"MENU_LEFT_MOUSE": "LPM"
"M14_FAILURE_VAN_DESTROYED_PC": "WÓZ TRANSMISYJNY ZNISZCZONY!\nZBLIŻ SIĘ DO WOZU I WEŹ GO NA CEL KAMERĄ."
"CAA_HELI_DRIVE_LEFT_RIGHT_NEG": "   RUCH W LEWO"
"PLT_MENU_PAUSE_FOCUS": "PAUZA PRZY PRZEŁĄCZANIU"
"PC_DOF_NORMAL": "NORMALNE"
"PC_CAMERA_UNLOCKED": "KAMERA ODBLOKOWANA"
"DPAD_UP_TXT": "PRZYCISK A"
"PCACTION_WEAPON_4": "BROŃ 4"
"HASH_AEB9EE85": "Nie można było odnaleźć żadnych gier poprzez GOG matchmaking."
"MENU_CAMERA_SMART": "AUTO"
"PC_RECORD_VIDEO": "NAGRAJ FILM"
"MAINMENU_DISCONNECTED_FROM_SERVICE": "Utracono połączenie z internetem."
"MENU_MOUSE_WHEEL_DOWN": "Kółko w dół"
"MENU_MOUSE_BUTTON_5": "Mysz 5"
"MENU_CONTROLLER_SCHEMES": "SCHEMAT STEROWANIA"
"PLT_MENU_DISPLAY_MODE": "TRYB WYŚWIETLANIA"
"PCACTION_RADIO_NEXT": "NASTĘPNE RADIO"
"PC_RECORD_MODE_PROGRESS": "ZAPISYWANIE FILMU - UKOŃCZONO: %d%%%%"
"PLT_MENU_REMAP_CONFLICTS_DETECTED": "Wystąpił konflikt ustawień. Nastąpi anulowanie przypisania następujących czynności:"
"MENU_STEAM_STORE": "SKLEP STEAM"
"CBA_GAC_TAKE_SCREENSHOT": "   ZRZUT EKRANU"
"PLT_MENU_HIGH_DX10_ONLY": "WYSOKIE (DX10+)"
"PC_EXIT_EXPLANATION": "Wyjść z edytora klipów? Utracisz wszystkie niezapisane zmiany."
"HUD_HOLD_DPADUP_PARTY_DISMISS": "ROZWIĄŻ EKIPĘ"
"PLT_MENU_APPLY": "ZASTOSUJ"
"TUT_NP_MOTORCYCLE_CONTROLS_PC": "{ACCELERATE_IMG} PRZYŚPIESZENIE \n{BRAKE_REVERSE_IMG} HAMOWANIE/WSTECZNY \nUżyj {LEAN_BACK_IMG} i {LEAN_FORWARD_IMG}, aby zmieniać pozycję, co przydaje się przy manewrach takich jak wheelie czy stójka."
"CBA_MENU_PC_PUSH_TO_TALK": "   WCIŚNIJ, BY MÓWIĆ"
"CBA_OFC_WALK": "   CHODZENIE (PRZYTRZ.)"
"CBA_OFC_TAUNT_THREE": "   KOMPLEMENT"
"CBA_VDC_TANK_FIRE_SECONDARY": "   STRZAŁ - BROŃ 2"
"COOP_JOIN_CHEAT": "Twój partner w trybie współpracy używa kodów. W nowych zapisach gry będą włączone kody.\nAutozapis został wyłączony; zdobywanie osiągnięć nie będzie możliwe."
"PC_TOD_DEFAULT": "DOMYŚLNE"
"PC_CAM_MODE": "TRYB KAMERY"
"PAUSE_MENU_RECORD_MODE": "NAGRAJ KLIPY KINOWE"
"GAME_PROFILE_SAVING": "Trwa zapisywanie. "
"CBA_VDC_HELI_FIRE_SECONDARY": "   STRZAŁ - BROŃ 2"
"MULTI_LOBBY_TITLE_SYSLINK": "POCZEKALNIA SIECI LOKALNEJ"
"SAVELOAD_LOADING_MESSAGE_EXPOSITION": "Wczytywanie zawartości. Proszę czekać."
"PC_ADVANCED_MODE_HINT": "UDOSTĘPNIA BARDZIEJ ZAAWANSOWANE TECHNIKI EDYCYJNE"
"BTN_LTRIGGER_TXT": "PRZYCISK A"
"BTN_WHITE_TXT": "PRZYCISK A"
"PCACTION_JUMP": "SKOK"
"HASH_D889CE89": "WYBIERZ ROZDZIELCZOŚĆ"
"HASH_70DB6EC9": "ONLINE"
"TUT_ACT_INS_FRAUD_FIRST_HIT_PC": "{PRATFALL_ALT_IMG} / {PRATFALL_IMG} EFEKT MANEKINA \n{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} PO ZNALEZIENIU SIĘ W POWIETRZU"
"CONTROL_L_STICK": "LEWY DRĄŻEK"
"CBA_OFC_SHOULDER_CAMERA": "   PRZYBLIŻ (PRZYTRZ.)"
"CAA_HELI_DRIVE_LEFT_RIGHT_POS": "   RUCH W PRAWO"
"PC_CLIP_ACTIONS": "ZDECYDUJ, CO CHCESZ ZROBIĆ Z TYM KLIPEM"
"PC_CA_CLONE": "UTWÓRZ KOPIĘ"
"PC_DOF_WIDE": "SZEROKIE"
"PC_EDIT_WARNING": "UWAGA"
"PC_SHOW_KEYS": "POKAŻ KLAWISZE"
"HUD_REPLACE_BLANK_WITH_BLANK_MESSAGE": ", BY ZAMIENIĆ \"%ls\" NA \"%ls\""
"PCACTION_ACCELERATE": "GAZ"
"PCACTION_CONSUME_RIGHT": "KONSUMUJ (PRAWO)"
"PC_RECORD_MODE_QUALITY_MED": "720p (ŚREDNIA)"
"PC_RECORD_MODE_ERROR_NO_BUFFER": "FILM ZAPISANY. CZĘŚĆ MATERIAŁU MOGŁA ZOSTAĆ UTRACONA. NAGRYWAJ FILMY NA NIŻSZYCH USTAWIENIACH JAKOŚCI, ABY UNIKNĄĆ UTRATY DANYCH."
"CBA_OFC_ATTACK_SECONDARY": "   RZUT GRANATEM"
"PLT_ANISOTROPIC_SIXTEEN": "ANIZOTR. 16X"
"PC_PROPS_EXIT_HINT": "ZAMKNIJ OKNO WŁAŚCIWOŚCI"
"HASH_342C548B": "ZAPROSZENIE"
"CELL_CHEAT_ACTIVIATE_DIALOG_BODY": "[format][color:#edc300FF]{0}[/format]\n{1}Używanie kodów uniemożliwia zdobywanie osiągnięć oraz powoduje wyłączenie autozapisu. \n\nCzy mimo to chcesz włączyć kod?"
"CBA_VDC_PLANE_TURN_LEFT2": "   ODCHYLENIE W LEWO"
"PLT_MENU_AMBIENT_OCCLUSION_TOOLTIP": "JEDNA KLATKA LUB SUMARYCZNIE"
"PLT_MENU_DISPLAY_PRESET_TOOLTIP": "WYBIERZ POZIOM DZIAŁANIA SPRZĘTU"
"PC_UNBOUND_KEY": "NIEPRZYPISANE"
"PLT_MENU_STANDARD": "STANDARD"
"MULTI_MENU_SYSLINK": "GRA W SIECI LOKALNEJ"
"PC_CAM_MODE_HINT": "SPOSÓB ZACHOWANIA KAMERY W TEJ STREFIE"
"PCACTION_WEAPON_1": "BROŃ 1"
"SAVE_CLIP_NAME": "Podaj nazwę klipu"
"PLT_MENU_VIEW_GAMERCARD": "OBEJRZYJ PROFIL STEAM"
"CBA_GAC_WEAPON_SELECT_1": "   BROŃ 1"
"CBA_OFC_WALK_TOGGLE": "   CHODZENIE (PRZEŁĄCZ)"
"CBA_OFC_CROUCH": "   KUCANIE (PRZYTRZ.)"
"CBA_VDC_BRAKE_REVERSE": "   HAMULEC/COFANIE"
"PLT_MENU_VSYNC": "VSYNC"
"OPTIONS_MENU_AUTO_DETECT_DESC": "Zastąpi to twoje ustawienia ustawieniami domyślnymi i wybierze tryb działania gry zależny od twojej karty graficznej. Na pewno tego chcesz?"
"PLT_MENU_DISPLAY_3": "TRZECIORZĘDNY"
"PLT_MENU_AUDIO_VOICE_ENABLE": "CZAT GŁOSOWY"
"PC_EASE_HINT": "PRZEŁĄCZAJ SIĘ MIĘDZY RODZAJAMI ANIMACJI ŁĄCZENIA"
"PC_DELETE_CZ_HINT": "USUŃ AKTUALNĄ STREFĘ KAMERY"
"BTN_A_TXT": "PRZYCISK A"
"MENU_VIDEO_RECORD_MODE": "TRYB NAGRYWANIA"
"PC_RECORD_MODE_ERROR_NO_MEMORY": "Nie można uruchomić trybu nagrywania. Potrzebne jest więcej pamięci."
"COMMUNITY_BLURB_HEADER": "Dołącz do społeczności Saints Row na stronie SaintsRow.com "
"SAVING_CONTENT_TITLE": "Trwa zapisywanie."
"MENU_CONTROLS_STICK": "LEWY DRĄŻEK GAZ/HAMULEC"
"PLT_MENU_REFLECTIONS_TOOLTIP": "PRZEŁĄCZA MIĘDZY REGULARNYMI A GEOMETRYCZNYMI ODBICIAMI SHADERA"
"PLT_MENU_SCENE_DETAIL_TOOLTIP": "KONTROLUJE ILOŚĆ SZCZEGÓŁÓW ELEMENTÓW SCENY"
"MULTI_GAMETYPE_1": "GRA W SIECI LOKALNEJ"
"PC_TOD_NOON": "POŁUDNIE"
"PC_TOD": "PORA DNIA"
"PC_GS_PEOPLE": "LUDZIE"
"PC_POSITION_CAMERA_HINT": "USTAW KAMERĘ ZA POMOCĄ PRZYCISKÓW STEROWANIA"
"BTN_LTHUMB_TXT": "LEWY DRĄŻEK"
"PC_RECORD_MODE_ERROR_NO_CODEC": "Brakuje kodeka wideo wymaganego przez ten tryb. Zapoznaj się z informacjami z pliku readme, aby go zainstalować."
"MENU_PRIMARY_ASSIGNMENT": "GŁÓWNE PRZYPISANIE KLAWISZY"
"CBA_VDC_PLANE_BRAKE_REVERSE": "   HAMULEC / WSTECZNY"
"PLT_MENU_SCENE_DETAIL": "    SZCZEGÓŁY SCEN"
"PC_OUTPUT_ONLY": "POKAŻ TYLKO EFEKT KOŃCOWY"
"PC_GS_PLAYER": "GRACZ"
"PC_CM_FOLLOW": "PODĄŻAJĄCA"
"PC_CAMERA_LOCKED": "KAMERA ZABLOKOWANA"
"MENU_CHANGES_MADE_TITLE": "ZASTOSOWAĆ ZMIANY?"
"CBA_VDC_PLANE_ROLL_TURN_SELECT": "   OSTRZEJSZE  SKRĘTY"
"CAA_PLANE_PITCH_UP_DOWN_NEG2": "   OPADANIE"
"PC_W_CLEAR": "POGODNIE"
"PC_CAMERA_ZONE": "STREFA KAMERY"
"BTN_Y_TXT": "PRZYCISK A"
"MENU_OPTIONS_GAMEPLAY_SUBTITLES_TIP": "WŁĄCZ LUB WYŁĄCZ PODPISY"
"TUT_MIS_02_SKYDIVE_FLIP_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} RUCH\nWIDOK\n{SKYDIVE_FLIP_IMG} OBRÓT W GÓRĘ LUB W DÓŁ"
"MENU_RESTORE_ALL_DEFAULTS": "PRZYWRÓĆ DOMYŚLNE DLA WSZYSTKICH KATEGORII"
"CAA_TANK_DRIVE_LEFT_RIGHT_NEG": "   RUCH W PRAWO"
"MAINMENU_NEW_GAME_NO_SPACE_EXPOSITION": "Dysk twardy ma za mało wolnego miejsca.\nW przypadku kontynuacji zapis nie będzie możliwy.\nKontynuować?"
"PC_ZT_BLEND": "ŁĄCZENIE"
"PC_SAVE_HINT": "ZAPISZ KLIPY"
"PC_COPY_NEXT_HINT": "UTWÓRZ NOWĄ STREFĘ KAMERY NA BAZIE KOLEJNEJ"
"PCACTION_STRAFE_RIGHT": "UNIK W PRAWO"
"MENU_GAMEPLAY": "ROZGRYWKA"
"MENU_MOUSE_CONTROLS_VERT_SENS": "CZUŁOŚĆ W PIONIE"
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM_TEXT": "Czy chcesz zachować te ustawienia?\nZostaną automatycznie cofnięte za 15 sekund."
"PLT_MENU_DISPLAY_INDEX_TOOLTIP": "KTÓREGO MONITORA UŻYWAĆ DO PEŁNEGO EKRANU"
"PC_DOF": "GŁĘBIA POLA"
"RECORD_MODE_WARNING_TEXT": "Włączenie trybu nagrywania spowoduje wyłączenie wszystkich misji, akcji, sklepów i muzyki do chwili powrotu do menu głównego. Chcesz go włączyć?"
"PC_HIDE_KEYS": "UKRYJ KLAWISZE"
"TUT_TITLE_SPRINT": "PRZYCISK ZAJEBIOZY"
"PC_COMMUNITY_AGE_FIELD": "WIEK (MM.DD.RRRR)"
"MENU_OPTIONS_REMAP": "USTAW KLAWISZE"
"CBA_OFC_ZOOM_OUT": "   ODDAL CELOWNIK"
"PLT_MENU_RESOLUTIONS": "ROZDZIELCZOŚĆ"
"DPAD_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad][/format]"
"DPAD_DOWN_TXT": "PRZYCISK A"
"PCACTION_WEAPON_5": "BROŃ 5"
"PCACTION_ATTACK_SECONDARY": "ATAK DRUGORZĘDNY"
"HUD_ZOMBIE_BITE_ESCAPE": "Wciskaj szybko dowolny przycisk, by uciec!"
"MENU_AIRPLANE_HANDLING": "STEROWANIE SAMOLOTEM"
"MENU_MOUSE_BUTTON_4": "Mysz 4"
"CBA_GAC_GRENADE_SELECT_1": "   GRANAT 1"
"CBA_OFC_JUMP_CLIMB": "   SKOK/WSPINANIE SIĘ"
"PC_ROTATION_SENSITIVITY": "CZUŁOŚĆ OBROTU"
"PC_SLOWMO": "ODTWARZANIE"
"MENU_OPTIONS_REMAP_CATEGORIES_TIP": "PRZEŁĄCZA MIĘDZY RÓŻNYMI KATEGORIAMI STEROWANIA"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "WYŚWIETL PROFIL STEAM GRACZA"
"MENU_CONTROLLER_OPTIONS": "OPCJE KONTROLERA"
"PC_EDIT_PROPS_HINT": "WYŚWIETL OKNO WŁAŚCIWOŚCI STREFY KAMERY"
"PC_ADDITIONAL_PROPS": "WŁAŚCIWOŚCI DODATKOWE"
"PC_NEW_ZONE": "NOWA STREFA"
"MENU_OPTIONS_MOUSE": "STEROWANIE"
"CBA_GAC_WEAPON_SELECT_5": "   BROŃ 5"
"CBA_VDC_PLANE_ACCELERATE": "   GAZ"
"MENU_CATEGORY": "KATEGORIA"
"PLT_MENU_ASPECT_TOOLTIP": "PROPORCJE OBRAZU MOŻNA ZMIENIĆ TYLKO W GŁÓWNYM MENU"
"PC_CM_DEFAULT": "DOMYŚLNA"
"PC_COPY_CURRENT": "KOPIUJ BIEŻĄCĄ"
"COMMUNITY_EXISTING_FOUND_TEXT": "Znaleziono ID THQ powiązane z twoim kontem Steam. Zaloguj się na istniejące konto."
"CBA_VDC_PREV_RADIO": "   POPRZEDNIA STACJA RADIOWA"
"PLT_MENU_POST_PROCESSING_DETAIL": "    EFEKTY POSTPROCESSINGU"
"BTN_RTHUMB_TXT": "PRAWY DRĄŻEK"
"BTN_X_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-x][/format]"
"PCACTION_BACKWARD": "RUCH DO TYŁU"
"HASH_0AEDCF17": "Wystąpił błąd sieci.\nPowrót do głównego menu."
"PC_VIDEO_QUALITY": "JAKOŚĆ FILMU"
"M17_ERROR_SCREEN_CONTINUE_MSG_PC": "Zaczyna sie prawdziwa gra >:) \n\nWcisnij dowolny przycisk, aby kontynuowac"
"CBA_VDC_LOOK_BEHIND": "   KAMERA DO TYŁU"
"CBA_VDC_HELI_DRIVE_TURN_SELECT": "   OBRÓT"
"CBA_VDC_PLANE_ROLL_TURN_SELECT2": "   ODCHYLENIE"
"PLT_MENU_PAUSE_FOCUS_TOOLTIP": "AUTOMATYCZNIE WSTRZYMUJE GRĘ PRZY PRZEŁĄCZANIU APLIKACJI"
"PC_ROTATION_SENSITIVITY_HINT": "CZUŁOŚĆ OBROTU KAMERY"
"PCACTION_ATTACK_PRIMARY": "ATAK PODSTAWOWY"
"TUT_SPRINT": "{SPRINT_IMG} SPRINT\nSprint zajebiście wpływa na inne działania - wypróbuj jego kombinacje z różnymi przyciskami."
"NOT_LOGGED_IN": "Przejdź do trybu online w usłudze Steam, aby korzystać z tej funkcjonalności lub połącz się ponownie z internetem."
"CBA_GAC_GRENADE_SWITCH": "   NASTĘPNY GRANAT"
"CBA_GAC_MAP_MENU": "   KOMÓRKA"
"PLT_MENU_VSYNC_TOOLTIP": "SYNCHRONIZACJA PIONOWA ZAPOBIEGAJĄCA SMUŻENIU W TRYBIE PEŁNOEKRANOWYM"
"MENU_OFF": "WYŁ."
"PLT_MENU_VOICE_ALWAYS_ON": "ZAWSZE WŁĄCZONY"
"PLT_QUIT_GAME_WARNING": "Czy na pewno chcesz wyjść na pulpit?"
"PC_TOD_NIGHT": "NOC"
"PC_TOD_HINT": "USTAWIENIA OŚWIETLENIA"
"PC_DOF_CLOSEUP": "ZBLIŻENIE"
"PC_OPTIONS_HINT": "WYŚWIETL OKNO OPCJI OGÓLNYCH"
"PC_SHOW_HUD": "WYŚWIETL HUD"
"PCACTION_HORN": "KLAKSON"
"CONTROLS_FORCE_FEED": "WIBRACJE"
"STATS_CORRUPT_BODY": "Twoje statystyki są uszkodzone i muszą zostać wyzerowane.\nNie wpłynie to na zdobyte osiągnięcia."
"PC_PLAY_SLOW_HINT": "ODTWÓRZ NAGRANĄ ROZGRYWKĘ W ZWOLNIONYM TEMPIE"
"HASH_C407C71A": "Utracono połączenie z usługą GOG.\nPowrót do głównego menu."
"TUT_COMBAT_MELEE_2": "Podczas ATAKU CIĘŻKIEGO wciśnij wyświetlany przycisk, by zadać większe obrażenia i zdobyć większy szacun."
"MENU_OPTIONS_GAMEPLAY_MINIMAP_TIP": "USTAW, CZY MINIMAPA MA SIĘ OBRACAĆ WRAZ Z WIDOKIEM KAMERY"
"CONTROL_R_STICK": "PRAWY DRĄŻEK"
"MENU_CHANGES_MADE_BODY": "Dokonano zmian. Czy chcesz zastosować obecne zmiany?"
"PLT_MENU_SHADOW_DETAIL_TOOLTIP": "ROZDZIELCZOŚĆ MAP CIENI"
"PLT_MENU_REFLECTIONS": "    ODBICIA"
"PLT_MENU_DISPLAY_2": "DRUGORZĘDNY"
"PC_CREATE_CHAR_HINT": "UTWÓRZ LUB IMPORTUJ NOWY MODEL POSTACI"
"PC_CAM_TILT": "PRZECHYŁ KAMERY"
"HUD_PICK_UP_MESSAGE": "PODNIEŚ %ls"
"MENU_DISCARD": "ODRZUĆ"
"PC_CM_STATIC": "STATYCZNA"
"PC_FOV": "POLE WIDZENIA"
"PCACTION_FINE_AIM": "PRECYZYJNE CELOWANIE"
"HASH_A87943DC": "ALT"
"HASH_5770315C": "%ls (PRAWY)"
"CBA_GAC_GRENADE_SELECT_4": "   GRANAT 4"
"CBA_VDC_FIREARM": "   STRZAŁ Z BRONI"
"MENU_PC_CHAT": "ROZMOWA"
"PC_DOF_DIST": "ODLEGŁOŚĆ GP"
"PLAYBACK_MODE_WARNING": "EDYTUJ KLIPY KINOWE"
"BTN_B_TXT": "PRZYCISK A"
"PCACTION_BREAK": "HAMULEC RĘCZNY"
"PC_RECORD_MODE_ERROR_NO_SPACE": "Nie można zapisać filmu. Wymagane jest więcej miejsca."
"CAA_TANK_DRIVE_LEFT_RIGHT_POS": "   RUCH W PRAWO"
"MENU_CATEGORY_ONFOOT": "PIESZO"
"PLT_MENU_DISPLAY_INDEX": "MONITOR"
"HUD_DUAL_WIELD_MESSAGE": ", BY PODNIEŚĆ %ls I STRZELAĆ Z DWÓCH RĄK"
"ANALOG_RS_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_r][/format]"
"DPAD_LEFT_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-l][/format]"
"DPAD_RIGHT_TXT": "PRZYCISK A"
"MENU_OPTIONS_GAMEPLAY_CAMERA_TIP": "USTAL JAK SZYBKO KAMERA MA WRÓCIĆ DO DOMYŚLNEGO WIDOKU"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "Twoje konto Steam nie jest powiązane z THQ ID."
"TL_MIS_21_RIDE_KILLBANE_PC": "{WALK_FORW_BACK_IMG} / {WALK_LEFT_RIGHT_IMG} RUCH \n{ATTACK_PRIMARY_IMG} UDERZENIE PIĘŚCIĄ \nUderz Killbane'a pięścią, żeby poruszał się we wskazanym kierunku."
"PLT_MENU_DISPLAY_OPTIONS_CONFIRM": "ZAAKCEPTOWAĆ USTAWIENIA?"
"PLT_MENU_VSYNC_GAMEPLAY_TOOLTIP": "SYNCHRONIZACJA PIONOWA W CZASIE GRY"
"PLT_MENU_WINDOWED": "W OKNIE"
"PLT_MENU_DISPLAY_PRESET": "USTAWIENIA AUTOMATYCZNE"
"PC_DOF_RANGE": "GP ZAKRESU OGNISKOWEGO"
"PC_FOV_HINT": "POLE WIDZENIA KAMERY"
"PC_HANDYCAM_HINT": "SIŁA WSTRZĄSÓW KAMERY Z RĘKI"
"BTN_BACK_TXT": "PRZYCISK A"
"DPAD_LR_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-dpad-lr][/format]"
"PLT_MENU_REMAP_X_UNDER_Y": "do"
"CBA_VDC_BIKE_LEAN_BACK": "   WYCHYLENIE DO TYŁU"
"CBA_VDC_PLANE_TURN_RIGHT": "   OBRÓT W PRAWO"
"MENU_CATEGORY_CAR": "WÓZ/MOTOR/ŁÓDŹ"
"PC_W_DEFAULT": "DOMYŚLNE"
"PC_WEATHER_HINT": "USTAWIENIA POGODOWE"
"PC_DOF_ZOOM": "ZBLIŻ"
"PC_PAUSE_HINT": "ZATRZYMAJ ODTWARZANIE"
"COMMUNITY_SUCCESS_LINK_EXT": "Udało się powiązać twoje obecne konto Steam z twoim THQ ID."
"COMMUNITY_ERROR_PLATFORM_ID_MISMATCH": "Użyte konto Steam jest powiązane z innym THQ ID."
"CBA_GAC_WEAPON_SELECT_3": "   BROŃ 3"
"CBA_VDC_WATERCRAFT_FIRE_SECONDARY": "   STRZAŁ - BROŃ 2"
"CAA_PLANE_PITCH_UP_DOWN_NEG": "   WZNOSZENIE"
"CAA_PLANE_PITCH_UP_DOWN_POS2": "   WZNOSZENIE"
"PLT_MENU_DISPLAY_1": "PODSTAWOWY"
"SAVELOAD_CANNOT_SAVE_TO_FULL_DEVICE": "Dysk twardy jest pełny.\nWybierz inne miejsce zapisu."
"PC_VOICE_HINT": "WŁ./WYŁ. WSZYSTKIE ODGŁOSY"
"PC_ZT_CUT": "CIĘCIE"
"CBA_MENU_PC_TEXT_CHAT": "   ROZMOWA TEKSTOWA"
"PLT_MENU_LIGHTING_DETAIL_TOOLTIP": "ROZDZIELCZOŚĆ BŁYSKAWIC"
"PLT_MENU_DISPLAY_CHANGES_FAILED": "Nie udało się zmienić ustawień graficznych. Zmiany zostały wycofane."
"PLT_MENU_VOICE_DISABLED": "WYŁĄCZONY"
"START_GAME_OUT_OF_SAVE_SLOTS_TEXT": "Brak wolnych miejsc na zapisy gry. Musisz nadpisać inny zapis lub wskazać nowe miejsce zapisu."
"PC_EXPORT_LOCK": "EKSPORTUJ BLOKADĘ"
"PC_EXPORT_SETTINGS": "USTAWIENIA EKSPORTU"
"BTN_LTRIGGER_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox-ctrl-lt][/format]"
"BTN_WHITE_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-lb][/format]"
"PC_CLIP_DELETE_CONFIRM": "Czy na pewno chcesz skasować ten klip? Tej czynności nie będzie można cofnąć."
"TUT_COMBAT_WEAPONS_0_PC": "{NEXT_WEAPON_IMG} WYBIERZ NASTĘPNA BROŃ\n{PREV_WEAPON_IMG} WYBIERZ POPRZEDNIĄ BROŃ"
"CBA_OFC_SHOULDER_CAMERA_TOGGLE": "   PRZYBLIŻ (PRZEŁĄCZ)"
"CBA_VDC_PLANE_TURN_LEFT": "   OBRÓT W LEWO "
"PLT_ANISOTROPIC_TWO": "ANIZOTR. 2X"
"PLT_MENU_MED_DX10_ONLY": "ŚREDNIE (DX10+)"
"PC_WATERMARK": "ZNAK WODNY"
"PC_SELECT_TARGET_HINT": "WYBIERZ CEL KLAWISZAMI STEROWANIA"
"PC_DOF_OFF": "WYŁ."
"PC_AV_OPTIONS_HINT": "WYŚWIETL OKNO OPCJI ŚRODOWISKOWYCH"
"PC_PLAY_FAST_HINT": "SZYBKIE ODTWARZANIE NAGRANEJ ROZGRYWKI"
"PCACTION_CONSUME_DOWN": "KONSUMUJ (DÓŁ)"
"PCACTION_RELOAD": "PRZEŁADUJ BROŃ"
"MENU_OPTIONS_GAMEPLAY_FOCUS_TIP": "AUTOMATYCZNA PAUZA, JEŻELI NASTĄPI PRZEŁĄCZENIE Z OKNA Z GRĄ"
"CBA_OFC_SPRINT": "   SPRINT (PRZYTRZ.)"
"PLT_ANISOTROPIC_FOUR": "ANIZOTR. 4X"
"PLT_MENU_VOICE_PUSH_TO_TALK": "WCIŚNIJ, BY MÓWIĆ"
"PC_SM_FAST": "SZYBKIE"
"PC_CAMERA_DONE": "GOTOWE"
"PLAYBACK_MODE_WARNING_TEXT": "Spowoduje to przerwanie aktualnego nagrania i pozwoli ci je edytować, zapisywać i eksportować. W celu nagrania nowego klipu będziesz musiał wrócić do menu głównego. Chcesz przejść do edytora klipów?"
"PCACTION_FORWARD": "RUCH DO PRZODU"
"PC_RECORD_MODE_QUALITY_HIGH": "1080p (WYSOKA)"
"PC_RECORD_MODE_CANCELLED_EXPORT": "ZAPIS ANULOWANY."
"STATS_CORRUPT_TITLE": "STATYSTYKI USZKODZONE"
"COMMUNITY_SITE_BLURB": "Prześlij swoją pierwszą postać, aby zdobyć osiągnięcie.\nPrzeglądaj postacie online i graj nimi w grze.\nBierz udział w wyzwaniach, aby odblokowywać treści w grze.\nŚledź aktywność społeczności na mapie społecznościowej i korzystaj z własnej spersonalizowanej mapy.\nOtrzymuj wyjątkowe oferty na rozszerzenia gry i gadżety."
"CBA_OFC_TAUNT_TWO": "   DRWINA"
"CAA_WALK_TURN_LEFT_RIGHT_POS": "   RUCH W PRAWO"
"PC_PLAY_HINT": "ODTWÓRZ NAGRANĄ ROZGRYWKĘ"
"PC_EXPORTING_VIDEO": "EKSPORTOWANIE OBRAZU"
"BTN_LTHUMB_IMG": "[format][scale:1][color:full_bright][image:uhd_ui_xbox_ctrl-stick_l][/format]"
