"CUST_ITEM_CF_HAIR_MED": "ALLE SPALLE"
"VEHICLE_COLOR_TINT_60": "TINTA 60%%"
"CUST_ITEM_CM_LPE_FOOT_M_MBOOTS": "STIVALI SOLDATO DEL FUTURO"
"CUST_TATTOO_TORSO_CHEST": "TORSO"
"CUST_MOVEMENT_FACIAL_EXPRESSION": "ESPRESSIONE FACCIALE"
"PLAYER_MORPH_NOSTRIL_LENGTH_TEXT": "LUNGHEZZA NARICI"
"RIM_SET_018": "SET DI CERCHIONI 18"
"HAIR_COLOR_GRAY_MATTE": "GRIGIO OPACO"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2E": "CAMICIA URBAN SAFARI"
"CUST_VARIANT_HOOD_AND_POCKET": "CAPPUCCIO E TASCA"
"CUST_VARIANT_SILK": "SETA"
"CUST_VARIANT_LATEX": "LATTICE"
"CUST_ITEM_IMPRESSIONS_MALE_O": "STILE MANHATTAN"
"CUST_ITEM_CM_STAG": "STAG D'ELITE"
"PLAYER_MORPH_CHIN_SHAPE_TEXT": "FORMA MENTO"
"CUST_COLOR_CLOTHING_GREENS_3": "VERDE 3"
"SLOT_BULL_HORNS": "CORNA"
"LOGO_UNIVERSITY_4": "U DI STILWATER 4"
"CUST_VARIANT_NO_DECALS": "LISCIO"
"CUST_SKIN_BLUE_3": "BLU CIELO"
"CUST_COMPLIMENT_X": "SU LE MANI"
"CUST_VARIANT_STYLE_B": "STILE 2"
"CUST_VARIANT_MATERIAL__25": "CUST_VARIANT_MATERIAL_#25"
"CUST_ITEM_CF_DLC_SPACE_UBDY_F_BOOTS": "STIVALI DA PRINCIPESSA SPAZIALE"
"CUST_ITEM_CM_LLN_EYES_M_DSUNGLASSES": "OCCHIALI 5.0"
"CUST_ITEM_CF_PSH_UBDY_F_TTOPCOMBO": "LA MUSICA È LA MIA DROGA"
"CUST_COLOR_GRAY_3": "GRIGIO 3"
"CUST_VARIANT_FADE_UP_JEANS": "SCOLORITI"
"CUST_TATTOO": "TATUAGGIO"
"PLAYER_MORPH_EYEBALLS_SIZE_TEXT": "MISURA BULBO"
"PLAYER_MORPH_FOREHEAD_DEPTH_TEXT": "PROF. FRONTE"
"CUST_TATTOO_RARM_8": "UN POCO DI TUTTO"
"VEHICLE_PAINT_HEROMATTE_PAINT": "OPACO"
"VEHICLE_PAINT_MATTE_MATERIAL": "MATERIALE OPACO"
"SLOT_GRILL_COLOR": "COLORE GRIGLIA"
"SLOT_SIDE_MIRRORS": "SPECCHIETTI LATERALI"
"SLOT_DECAL_2": "DECALCOMANIA 2"
"CUST_VARIANT_BASIC": "BASE"
"CUST_CAT_MAKEUP": "TRUCCO"
"CUST_COLOR_CLOTHING_BLUES_2": "BLU 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ROSSO ARANCIONE 4"
"VEHICLE_COLOR_MORPH_BROWN": "MARRONE"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STILE 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "CASANOVA"
"CUST_CAT_BACKPACK": "ZAINO"
"STORE_WEAPON_LEVEL": "LIVELLO {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Aumenta il rateo di fuoco e la capienza dei caricatori. Mirino laser per spari dall'anca più precisi."
"CUST_VARIANT_DIRTY": "SPORCO"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "CAMICIA DA NIGHTCLUB"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "CANOTTA URBAN SAFARI"
"CUST_FACIAL_ITEMS": "OGGETTI"
"CUST_VARIANT_SMALL_HEARTS": "CUORICINI"
"CUST_VARIANT_GLOSSY": "LUCIDO"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "TAGLIO GOLA"
"CUST_EYE_COLOR": "COLORE OCCHI"
"CUST_COLOR_CLOTHING_GREENS_7": "VERDE 7"
"CUST_COMP_FACE_SCAR_3": "CICATRICE GRANDE 3"
"CUST_COLOR_BRUNETTE": "BRUNI"
"LOGO_MUSEUM_ART": "MUSEO D'ARTE"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI CON T-SHIRT GIROCOLLO"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "POLSIERA ROCK"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "GRIGIO SECCHIO"
"CUST_VARIANT_BOWTIE": "NORMALE"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "STIVALI DEATHCORE"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "PULITO"
"CUST_WEAR_UNZIPPED_HOOD_UP": "LAMPO APERTA, CAPPUCCIO ALZATO"
"cm_toilet": "CESSO"
"CUST_ITEM_BANK_HEIST": "RAPINA IN BANCA"
"CUST_MENU_GLOBAL": "CORPO"
"PLAYER_MORPH_EAR_LOBE_TEXT": "LOBO ORECCHIO"
"VEHICLE_COLOR_BLUE_DARK_TINT": "TINTA BLU SCURO"
"CUST_VARIANT_LIGHT_SILVER": "ARGENTO CHIARO"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "BERRETTO DA RAPPER"
"CUST_ITEM_CM_BASIC_PARACHUTE": "PARACADUTE BASE"
"PLAYER_FAT_TEXT": "GRASSO"
"CUST_COLOR_CLOTHING_BLUES_6": "BLU 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "VERDE SALVIA SCURO"
"Blonde": "BIONDI"
"CUST_VARIANT_LEOPARD": "LEOPARDATO"
"CUST_ITEM_LEATHER_LACE_MALE_O": "COMPLETO DA ZERO A CENTO"
"CUST_COMP_TEST_MUSTACHE": "TEST BAFFI"
"SLOT_ADJUSTABLE_SUSPENSION": "SOSPENSIONE REGOLABILE"
"SLOT_DECAL_6": "DECALCOMANIA 6"
"SLOT_JUNK/CLUTTER": "ROBACCIA"
"CUST_COLOR_BLUE_2": "BLU 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "ELMETTO STAG"
"COLOR_SLOT_PAINT_3": "VERNICE 3"
"COLOR_SLOT_INTERIOR_3": "INTERNI 3"
"SLOT_SPINNERS_REAR": "ROTORI POSTERIORI"
"COMPONENT_OPTION_C": "OPZIONE C"
"LOGO_VOLITION_1": "VOLITION 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "PANTALONI DI PELLE DA MOTOCICLISTA"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "POLSIERA LEATHER & LACE"
"CUST_ITEM_CF_CURLERS": "CASALINGA ANNI 50"
"CUST_SAMEDI_COMPLIMENT_B": "COMPLIMENTO SAMEDI 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "FIAMME VIOLA"
"CUST_TATTOO_RIGHT_ARM": "TUTTO IL BRACCIO DESTRO"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "ALTEZZA NARICE"
"VEHICLE_COLOR_COPPER_OXIDE": "OSSIDO DI RAME"
"SLOT_EXHAUST": "SCARICHI"
"CUST_WEAR_LEFT_ROLLED_LOW": "SINISTRA ARROTOLATA, BASSI"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "GUANTI DA PADRONA"
"CUST_SKIN_SMURF": "BLU ELFO"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "PROFONDITÀ PONTE"
"SURGEON_CAT_EXPORT": "ESPORTA"
"SLOT_GRILL": "GRIGLIE"
"FEMALE_HUGE": "FEMMINA ENORME"
"CUST_ITEM_FEMALE_LP_BRA_4": "RAGAZZA GLAM"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BRACCIALETTO NIGHTCLUB"
"CUST_SKIN_RED_YELLOW_3": "ROSA PRINCIPESSA"
"CUST_SKIN_METAL_4": "SMERALDO"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "MISURA IRIDI"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "PROFONDITÀ FRONTE"
"CUST_COLOR_CLOTHING_RED_5": "ROSSO 5"
"FEMALE_OBESE": "FEMMINA OBESA"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "RIGA IN MEZZO LUNGHI"
"PLAYER_CREATION_COLOR": "COLORE"
"IRIDESCENT_5": "IRIDESCENTE 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "LUPO CATTIVO"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "GIACCA CON CAPPUCCIO SAINTS (SOTTO)"
"STORE_WEAPON_AVAILABLE": "DISPONIBILE"
"PLAYER_CREATION_ADVANCED": "AVANZATO"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "BLU MARE"
"VEHICLE_COLOR_BROWN_DARK_TINT": "TINTA MARRONE SCURO"
"VEHICLE_COLOR_CARBON_STEEL": "ACCIAIO AL CARBONIO"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "VERNICE 2 E VERNICE 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "CAPPELLO 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LET'S PRETEND UOMO B"
"FACIAL_EXPRESSION_SURPRISED": "SORPRESO"
"CUST_COLOR_YELLOW_2": "GIALLO 2"
"CUST_VARIANT_SHARKS": "SQUALI"
"CUST_WEAR_AGAINST SKIN": "PELLE"
"CUST_TATTOO_STOMACH_1": "STRADA DELL'ONORE"
"CUST_COMP_MUSTACHE_7": "ADOLESCENTE"
"CUST_VARIANT_STRIPES_B": "STRISCE 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "FUORI, CHIUSA"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "UOMO IMPORTANTE"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "OCCHIALI DA SOLE DA MOTOCICLISTA"
"CUST_ITEM_CF_HAIR_LONGASYM": "RIGA DI LATO"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "GONNA CASUAL"
"CUST_GENDER": "SESSO"
"CUST_TATTOO_LEGS": "GAMBE"
"CUST_COMPLIMENT_T": "APACHE"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "DISTANZA GUANCIA"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "VIOLA BLU 3"
"CUST_VARIANT_VERTICAL": "STRISCE VERTICALI"
"CUST_WEAR_ZIPPED_HOOD_UP": "LAMPO CHIUSA, CAPPUCCIO ALZATO"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BERRETTO DA BOWLING"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "ANELLI STILE SAINTS"
"CUST_COMP_FINGERNAILS_R": "SMALTO PER UNGHIE DESTRA"
"RIM_SET_014": "SET DI CERCHIONI 14"
"SLOT_LEFT_SIDE": "FIANCATA SIN."
"SLOT_REAR_BUMPER_EXTRAS": "MODIFICHE AL PARAURTI POSTERIORE"
"CUST_VARIANT_PATTERN_B": "STILE 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "CAPPELLO ACID HOUSE"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "GIACCA POCKET ROCKET"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "ELEVAZIONE BOCCA"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "BLU VERDE 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Aumenta capienza munizioni."
"CUST_GANG_CLUBBER": "NIGHTCLUB"
"CUST_COLOR_RED_1": "ROSSO 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "GIACCA CON CAPPUCCIO GANGSTA"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "CANOTTA SPOGLIARELLISTA"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "LARG. FRONTE"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ROSSO ARANCIONE 8"
"SLOT_FRONT_BUMPER_EXTRAS": "MODIFICHE AL PARAURTI ANTERIORE"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "FUORI, APERTA, CRAVATTA"
"CUST_ITEM_CF_RING_F_RAVERSET": "ANELLI ACID HOUSE"
"CUST_TATTOO_UPPER_ARM_LEFT": "BRACCIO SINISTRO IN ALTO"
"CUST_TATTOO_RARM_4": "CAVALIERE 3RD STREET"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LECCALECCA"
"CUST_VARIANT_THICK_EYESHADOW": "SPESSA"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "LAMPO APERTA A DX, ALTI"
"CUST_SKIN_ASIAN_02": "ASIATICO 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "SINISTRA ARROTOLATA, ALTI"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "ROCKER IN PENSIONE"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "PANTALONI SADOMASO"
"FACIAL_EXPRESSION_PAIN": "DOLORE"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "MUSCOLI"
"PLAYER_MORPH_ASIAN_TEXT": "ASIATICO"
"CUST_ITEM_PLASTIC_SANDALS": "SANDALI DI PLASTICA"
"CUST_SKIN_CAUCASIAN_03": "CAUCASICO 3"
"CUST_GANG_BIKER": "MOTOCICLISTI"
"CUST_COMP_MUSTACHE_24": "BALBO"
"VEHICLE_COLOR_BRASS": "OTTONE"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "ROTORI ANTERIORI"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "PALESTRA DIPENDENTE"
"VEHICLE_COLOR_DRAGON_BLUE": "BLU DRAGO"
"CUST_COLOR_BRIGHT_BLUE": "BLU BRILLANTE"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "CAPPELLO DA PAPPONE STILE Z"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "GIACCA DI PELLE MAMBA"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "ALTEZZA MENTO"
"CUST_TATTOO_LFORARM_6": "PELLE CORAZZATA"
"SLOT_ROOF": "TETTUCCI"
"SLOT_LOGO": "MARCHI"
"HAIR_COLOR_REDHEAD": "ROSSI"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "SPACCIATORE"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "GUANTI EROINA STEELPORT"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Aumenta capienza munizioni."
"CUST_VARIANT_LIGHT_STEEL": "ACCIAIO CHIARO"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "TUTTA LA SCHIENA"
"PLAYER_MORPH_CROWN_TEXT": "CORONA"
"WARDROBE_NONE": "NIENTE"
"CUST_COLOR_CLOTHING_VIOLET_5": "VIOLA 5"
"CUST_COMP_EYES_GREY": "GRIGI"
"SLOT_REAR_WHEELS": "RUOTE POSTERIORI"
"CUST_COLOR_AUBURN": "RAMATI"
"CUST_VARIANT_08_DEFAULT": "VARIANTE 8"
"CUST_WEAR_BACK_LEFT": "INDIETRO A SINISTRA"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "PERLINE DI BISCOTTI"
"CUST_ITEM_SHADES_11": "OCCHIALI ORRIBILI"
"CUST_CAT_FINGERNAILS": "UNGHIE"
"CUST_TATTOO_HEAD_TOP": "VISO"
"CUST_BRO_COMPLIMENT_D": "COMPLIMENTO BROTHERHOOD 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "GIALLO 6"
"CUST_TATTOO_RUPPARM_6": "AMORE PER MAMMA"
"LOGO_RHOMBUS_1": "RHOMBUS 1"
"CUST_VARIANT_HORIZONTAL": "STRISCE ORIZZONTALI"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAO"
"CUST_ITEM_CM_DECKERSHEADSET": "ASTRO A40 DECKERS HEADSET"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "BERRETTO STRADE DI STEELPORT"
"VEHICLE_COLOR_WET_LEAF_BROWN": "MARRONE FOGLIA SECCA"
"SLOT_MUDFLAP": "PARAFANGHI"
"CUST_ITEM_FEMALE_LL_BRA_1": "INNAMORATO PAZZO"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALLSTREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BRACCIALETTO NIGHTCLUB"
"PLAYER_CREATION_AGE_MIDDLE": "DI MEZZA ETÀ"
"PLAYER_MORPH_NOSE_YAW_TEXT": "PIEGA NASO"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "BIANCO ULTRA-BRILLANTE"
"CUST_WEAR_TATTOO_BARBED_WIRE": "FILO SPINATO"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "LUNGHEZZA NASO"
"SLOT_CASKET": "BARA"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "DENTRO, CHIUSA, VITA BASSA, SENZA BRETELLE"
"CUST_ITEM_CF_RING_F_EYEBALL": "ANELLO OCCHIO MALOCCHIO"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "PERIZOMA SAINTS STRIMINZITO"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "POLSIERA DI SPUGNA"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Mirino laser per una maggiore precisione negli spari dall'anca. I proiettili perforanti trapassano le corazze."
"CUST_COMP_MUSTACHE_20": "CAPRA"
"VEHICLE_PAINT_SHINY_MATERIAL": "MATERIALE LUCIDO"
"LOGO_DRAGON": "DRAGO"
"CUST_VARIANT_FADEUP_JEANS": "SCOLORITI"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "FUORI, PRIMO BOTTONE, CRAVATTA"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "FELPA GANGSTA"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "STREET FIGHTER"
"CUST_ITEM_6_LOOPS_LEFT": "6 ANELLI"
"CUST_WEAR_HOOP": "CERCHIO"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "INVENTORE STEAMPUNK"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "PIEGA PALPEBRA"
"CUST_GANG_DECKER": "DECKERS"
"CUST_TATTOO_LFORARM_2": "CHIAVE D'OTTONE"
"COLOR_SLOT_TRIM_1": "RIFINITURA 1"
"SLOT_FRONT_MODS": "MODIFICHE DAVANTI"
"CUST_COLOR_BRIGHT_PURPLE": "VIOLA BRILLANTE"
"COMPONENT_PAINT_3": "VERNICE 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "BELLEZZA PERFETTA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS UOMO C"
"CUST_ITEM_BASEBALL_CAP": "CAPPELLO DA BASEBALL"
"CUST_COLOR_CLOTHING_YELLOWS_2": "GIALLO 2"
"CUST_TATTOO_RUPPARM_2": "GAT 8 BIT"
"CUST_VARIANT_LOOPS": "ANELLI"
"CUST_VARIANT_FLAMES": "FIAMME"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "TUTA ADERENTE"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "CAPPELLO DA CAPITANO"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "INCLIN. LABBRO SUP."
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "FORMA NASO"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "LARGHEZZA DORSO NASALE"
"CUST_COLOR_CLOTHING_VIOLET_1": "VIOLA 1"
"HAIR_COLOR_PURPLE_MATTE": "VIOLA OPACO"
"CUST_ITEM_CF_HAIR_PIGTAILS": "TRECCINE"
"FACIAL_EXPRESSION_PAIN_B": "TORMENTO"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "LARG. SOPRACCIGLIA"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Aumenta capienza munizioni. Supporto per ridurre il rinculo."
"COLOR_SLOT_WINDOW_TINT": "TINTA FINESTRINI"
"LOGO_COFFEE": "CAFFÈ"
"LOGO_SHARKS_1": "SQUALI 1"
"CUST_WEAR_FORWARD_LEFT": "AVANTI A SINISTRA"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ROSSO 9"
"CUST_VARIANT_TRACK_A2": "STILE 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "DENTRO, CHIUSA, VITA BASSA, SENZA BRETELLE, CRAVATTA"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "POLSIERA"
"CUST_ITEM_FEMALE_LL_BRA_5": "COPRITI I CAPEZZOLI"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "SCARPE DA PASSEGGIO SAINTS"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "VIOLA BLU 7"
"SLOT_KNEECAPPERS_DESC": "Con lame retrattili nelle ruote, guidare vicino a persone e veicoli può provocare danni."
"CUST_VARIANT_TRACK_PANTS": "SOLIDO"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "SCARPE MODELLO UOMO"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "MISURA PUNTA"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "LUNGHEZZA MENTO"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Infligge più danni."
"CUST_TATTOO_STOMACH_5": "PIPISTRELLI ANARCHICI"
"CUST_COMP_MUSTACHE_3": "SCERIFFO"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "COPRICERCHI ANTERIORI"
"CUST_COLOR_BRIGHT_RED": "ROSSO BRILLANTE"
"LOGO_FIST": "PUGNO"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "PANTALONI ADERENTI SCURI"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "BERRETTO GIGLIO SAINTS"
"CUST_COMPLIMENT_P": "PROIETTILE D'ARGENTO"
"COMPONENT_ADD_SUSPENSION": "SOSPENSIONI REGOLABILI"
"SLOT_KNEECAPPERS": "GAMBIZZATORI"
"SLOT_SPEED_UPGRADE": "POTENZIAMENTO VELOCITÀ"
"CUST_COLOR_ROSE_1": "ROSA 1"
"CUST_VARIANT_HEARTS_BIG": "GROSSI CUORI"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "MASCHERA SUPEREROE"
"VEHICLE_COLOR_TOREADOR_RED": "ROSSO TOREADOR"
"RIM_SET_010": "SET DI CERCHIONI 10"
"CUST_VARIANT_THIN_STRIPES": "STRISCE SPESSE"
"CUST_MENU_EXIT": "INIZIA PARTITA"
"VEHICLE_COLOR_PLATINUM": "PLATINO"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "MAGLIONE RUNWAY SELVAGGIO"
"VEHICLE_PAINT_MATTE_PAINT": "VERNICE SEMI-OPACA"
"SLOT_REINFORCED_FRAME_DESC": "Un telaio potenziato consente al tuo veicolo di incassare colpi incredibili prima di esplodere e diventare un rottame."
"SLOT_ANTENNA": "ANTENNE"
"CUST_VARIANT_SEMI_GLOSSY": "SEMI PATINATO"
"PLAYER_MORPH_FOREHEAD_ELEVATION_TEXT": "ALTEZZA FRONTE"
"PLAYER_MORPH_CHEEKBONES_TEXT": "ZIGOMI"
"COMPONENT_NONE": "NIENTE"
"CUST_VARIANT_MULTICOLOR_SMALL": "VARIOPINTO PICCOLO"
"CUST_ITEM_CF_IMPR_UBDY_F_JTURTLENCK": "GIACCA HILLS ALLA FRANCESE"
"PLAYER_MORPH_NOSE_HEIGHT_TEXT": "ALTEZZA NASO"
"SLOT_EXTRAS": "EXTRA"
"Cornhole": "CORNROW"
"STRAWBERRY_BLONDE": "BIONDO RAMATO"
"COLOR_SLOT_RIM_1": "SLOT COLORE CERCHIONE 1"
"CUST_VARIANT_BADGELESS": "NESSUN DISTINTIVO"
"CUST_VARIANT_STRIPES": "STRISCE ORIZZONTALI"
"VEHICLE_COLOR_PINK_LIGHT_TINT": "TINTA ROSA CHIARO"
"HAIR_COLOR_LIGHT_BROWN_MATTE": "CASTANO CHIARO OPACO"
"UNLOCALIZED_WHITE": "WHITE"
"CUST_ITEM_FEMALE_LL_UNDWEAR_4": "PERIZOMA DA CORTEGGIATRICE"
"CUST_ITEM_WOMEN_S_BONDAGE_TOP_1": "GIACCA ELEGANTE DONNA"
