"CUST_ITEM_CF_HAIR_MED": "PO RAMENA"
"SLOT_DECAL_2": "POTISK 2"
"CUST_VARIANT_BASIC": "ZÁKLADNÍ"
"CUST_CAT_MAKEUP": "MAKE-UP"
"CUST_COLOR_CLOTHING_BLUES_2": "MODRÁ 2"
"CUST_COLOR_CLOTHING_RED-ORANGE_4": "ČERVENOORANŽOVÁ 4"
"VEHICLE_COLOR_MORPH_BROWN": "MORFIOVĚ HNĚDÁ"
"LOGO_GENX": "GENX 89"
"CUST_VARIANT_TANK_TOP_1": "STYL 1"
"CUST_ITEM_LEATHER_LACE_MALE_K": "MILÁČEK ŽEN"
"CUST_CAT_BACKPACK": "BATOH"
"STORE_WEAPON_LEVEL": "ÚROVEŇ {0}"
"CUST_WPN_UPGRADE_DESC_SHOTGUN_POLICE_4": "Zvyšuje kadenci a velikost zásobníku. Laserový zaměřovač pro přesnější střelbu od boku. "
"CUST_VARIANT_DIRTY": "ŠPINAVÉ"
"CUST_ITEM_CF_IMPR_UBDY_F_SHRTBTTNS": "KOŠILE DO NOČNÍHO KLUBU"
"CUST_ITEM_CF_IMPO_UBDY_F_SHIRT2A": "TÍLKO URBAN SAFARI"
"CUST_FACIAL_ITEMS": "DOPLŇKY"
"CUST_VARIANT_SMALL_HEARTS": "MALÁ SRDCE"
"CUST_VARIANT_GLOSSY": "LESKLÁ"
"CUST_VARIANT_MATERIAL_13": "CUST_VARIANT_MATERIAL#13"
"CUST_INSULT_S": "PODŘÍZNUTÍ"
"CUST_EYE_COLOR": "BARVA OČÍ"
"CUST_COLOR_CLOTHING_GREENS_7": "ZELENÁ 7"
"CUST_COMP_FACE_SCAR_3": "VELKÁ JIZVA 3"
"CUST_COLOR_BRUNETTE": "HNĚDÁ"
"LOGO_MUSEUM_ART": "MUZEUM UMĚNÍ"
"CUST_ITEM_CF_IMPO_UBDY_F_COMBO2B": "URBAN SAFARI S TRIČKEM"
"CUST_ITEM_CF_NLMD_LWRST_F_WRISTBAND": "PÁSKA NA ZÁPĚSTÍ RAWK"
"VEHICLE_COLOR_WATER_BUCKET_GRAY": "ŠEĎ ŠPINAVÉ VODY"
"CUST_VARIANT_BOWTIE": "NORMÁLNÍ"
"CUST_ITEM_CM_NLMD_FOOT_M_SPIKEDBOOTS": "BOTY DEATHCORE"
"CUST_VARIANT_MATERIAL__172": "CUST_VARIANT_MATERIAL_#172"
"CUST_VARIANT_CLEAN": "ČISTÝ"
"CUST_WEAR_UNZIPPED_HOOD_UP": "ROZEPNUTÉ, KAPUCE NAHOŘE"
"cm_toilet": "TOALETA"
"CUST_ITEM_BANK_HEIST": "BANKOVNÍ LOUPEŽ"
"CUST_MENU_GLOBAL": "TĚLO"
"PLAYER_MORPH_EAR_LOBE_TEXT": "UŠNÍ LALŮČEK"
"VEHICLE_COLOR_BLUE_DARK_TINT": "TMAVĚ MODRÝ ODSTÍN"
"CUST_VARIANT_LIGHT_SILVER": "LEHKÉ STŘÍBRO"
"CUST_ITEM_CM_PSF_HAT_M_SRCAP": "FRAJERSKÁ ČEPICE"
"CUST_ITEM_CM_BASIC_PARACHUTE": "PADÁK"
"PLAYER_FAT_TEXT": "TUK"
"CUST_COLOR_CLOTHING_BLUES_6": "MODRÁ 6"
"VEHICLE_COLOR_DEEP_SAGE_GREEN": "SYTĚ ZELENÁ"
"Blonde": "BLOND"
"CUST_VARIANT_LEOPARD": "LEOPARD"
"CUST_ITEM_LEATHER_LACE_MALE_O": "OBLEK Z NULY NA STO"
"CUST_COMP_TEST_MUSTACHE": "TESTOVACÍ KNÍR"
"SLOT_ADJUSTABLE_SUSPENSION": "NASTAVITELNÉ PÉROVÁNÍ"
"SLOT_DECAL_6": "POTISK 6"
"SLOT_JUNK/CLUTTER": "HARAMPÁDÍ/KRÁMY"
"CUST_COLOR_BLUE_2": "MODRÁ 2"
"CUST_ITEM_CM_HAT_M_STAGHELMET": "HELMA STAGU"
"COLOR_SLOT_PAINT_3": "LAK 3"
"COLOR_SLOT_INTERIOR_3": "INTERIÉR 3"
"SLOT_SPINNERS_REAR": "ZADNÍ MATKY"
"COMPONENT_OPTION_C": "OPTION C (SHOULD NOT BE USED)"
"LOGO_VOLITION_1": "ROZHODNUTÍ 1"
"CUST_ITEM_CF_LLT_LBDY_F_LTHRPANTS": "KOŽENÉ MOTORKÁŘSKÉ KALHOTY"
"CUST_ITEM_CM_LLB_RWRST_M_LTHRWRISTBAND": "NÁRAMEK LEATHER AND LACE"
"CUST_ITEM_CF_CURLERS": "DOMÁCÍ PUŤKA"
"CUST_SAMEDI_COMPLIMENT_B": "POKLONA SYNŮ SAMEDIHO 2"
"CUST_ITEM_FEMALE_NLM_BRA_2": "PURPUROVÉ PLAMENY"
"CUST_TATTOO_RIGHT_ARM": "CELÁ PRAVÁ RUKA"
"PLAYER_MORPH_NOSTRIL_HEIGHT_TEXT": "VÝŠKA NOSNÍCH DÍREK"
"VEHICLE_COLOR_COPPER_OXIDE": "OXIDOVANÁ MĚĎ"
"SLOT_EXHAUST": "VÝFUKY"
"CUST_WEAR_LEFT_ROLLED_LOW": "SROLOVAT LEVOU, NÍZKÉ"
"CUST_ITEM_WOMEN_S_FORMAL_LATEX_GLOVES": "RUKAVICE PRO DOMINU"
"CUST_SKIN_SMURF": "MODRÝ ELF"
"PLAYER_MORPH_BRIDGE_DEPTH_TEXT": "HLOUBKA KOŘENE NOSU"
"SURGEON_CAT_EXPORT": "EXPORT"
"SLOT_GRILL": "MŘÍŽKY CHLADIČE"
"FEMALE_HUGE": "VELKÁ ŽENA"
"CUST_ITEM_FEMALE_LP_BRA_4": "GLAM HOLKA"
"CUST_ITEM_CF_PSG_LWRST_F_BRACELET": "BEEP BOOP NÁRAMEK"
"CUST_SKIN_RED_YELLOW_3": "PANENKOVSKÁ RŮŽOVÁ"
"CUST_SKIN_METAL_4": "SMARAGDOVÁ"
"PLAYER_MORPH_IRIS_SIZE_TEXT": "VELIKOST DUHOVKY"
"PLAYER_MORPH_BROW_DEPTH_TEXT": "HLOUBKA OBOČÍ"
"CUST_COLOR_CLOTHING_RED_5": "ČERVENÁ 5"
"FEMALE_OBESE": "OBÉZNÍ ŽENA"
"CUST_ITEM_CF_HAIR_LONGPARTEDCENTER": "MARŠA"
"PLAYER_CREATION_COLOR": "BARVA"
"IRIDESCENT_5": "DUHOVÁ 5"
"CUST_ITEM_CM_LPG_MASK_M_MASKWOLF": "VELKÝ ZLÝ VLK"
"CUST_ITEM_CF_PSA_UBDY_F_GFXHOODIEDOWN": "BUNDA SVATÝCH S KAPUCÍ 2"
"STORE_WEAPON_AVAILABLE": "DOSTUPNÉ"
"PLAYER_CREATION_ADVANCED": "POKROČILÁ"
"VEHICLE_COLOR_DEEP_OCEAN_BLUE": "TMAVÁ MOŘSKÁ MODŘ"
"VEHICLE_COLOR_BROWN_DARK_TINT": "TMAVĚ HNĚDÝ NÁDECH"
"VEHICLE_COLOR_CARBON_STEEL": "NÍZKOUHLÍKOVÁ OCEL"
"COLOR_SLOT_PAINT_2_AND_PAINT_3": "LAK 2 A LAK 3"
"LOGO_KRHYME": "KRHYME 95.4"
"CUST_WEAR_HAT2": "KLOBOUK 2"
"CUST_ITEM_MALE_LETSPRETEND_OUTFIT_B": "LETS PRETEND MUŽ B"
"FACIAL_EXPRESSION_SURPRISED": "PŘEKVAPENÝ"
"CUST_COLOR_YELLOW_2": "ŽLUTÁ 2"
"CUST_VARIANT_SHARKS": "ŽRALOČÍ"
"CUST_WEAR_AGAINST SKIN": "NA KŮŽI"
"CUST_TATTOO_STOMACH_1": "CESTA CTI"
"CUST_COMP_MUSTACHE_7": "KRTČÍ KNÍR"
"CUST_VARIANT_STRIPES_B": "PROUŽKY 2"
"CUST_WEAR_UNTUCKED_BUTTONED": "NEZASTRČENÉ, ZAPNUTÉ"
"CUST_ITEM_CM_HAIR_SLICKEDBACK": "MAFIÁN"
"CUST_ITEM_CM_LLL_EYES_M_BIKERSSHADES": "MOTORKÁŘSKÉ BRÝLE"
"CUST_ITEM_CF_HAIR_LONGASYM": "DLOUHÉ ROZHOZENÉ"
"CUST_ITEM_CF_IMPK_LBDY_F_SKIRT": "POHODLNÁ SUKNĚ"
"CUST_GENDER": "POHLAVÍ"
"CUST_TATTOO_LEGS": "NOHY"
"CUST_COMPLIMENT_T": "APAČ"
"PLAYER_MORPH_CHEEKS_SPACING_TEXT": "ROZESTUP TVÁŘÍ"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_3": "MODROFIALOVÁ 3"
"CUST_VARIANT_VERTICAL": "SVISLÉ PRUHY"
"CUST_WEAR_ZIPPED_HOOD_UP": "ZAPNUTÉ, KAPUCE NAHOŘE"
"CUST_ITEM_CM_DLC_HAT_ABOY": "BUŘINKA"
"CUST_ITEM_CF_RING_F_LGSAINTSSET": "PRSTENY VE STYLU SVATÝCH"
"CUST_COMP_FINGERNAILS_R": "NALAKOVANÉ NEHTY PRAVÉ"
"RIM_SET_014": "SADA RÁFKŮ 14"
"SLOT_LEFT_SIDE": "LEVÁ STRANA"
"SLOT_REAR_BUMPER_EXTRAS": "ÚPRAVY ZADNÍCH NÁRAZNÍKŮ"
"CUST_VARIANT_PATTERN_B": "STYL 2"
"CUST_ITEM_CM_NLMC_HAT_M_CHAT": "ČEPICE ACID HOUSE"
"CUST_ITEM_CM_LLO_UBDY_M_SBLJACKET": "BUNDA POCKET ROCKET"
"PLAYER_MORPH_MOUTH_ELEVATION_TEXT": "POSAZENÍ ÚST"
"CUST_COLOR_CLOTHING_BLUE-GREEN_8": "MODROZELENÁ 8"
"CUST_WPN_UPGRADE_DESC_SPECIAL_RCGUN_2": "Větší kapacita munice."
"CUST_GANG_CLUBBER": "CLUBBER"
"CUST_COLOR_RED_1": "ČERVENÁ 1"
"CUST_ITEM_CM_NLMG_UBDY_M_OG": "GANGSTERSKÉ TRIKO S KAPUCÍ"
"CUST_ITEM_CF_NLMH_UBDY_F_SHORTTANKTOP": "TÍLKO CANDY GIRL"
"PLAYER_MORPH_FOREHEAD_WIDTH_TEXT": "ŠÍŘKA ČELA"
"CUST_COLOR_CLOTHING_RED-ORANGE_8": "ČERVENOORANŽOVÁ 8"
"SLOT_FRONT_BUMPER_EXTRAS": "ÚPRAVY PŘEDNÍCH NÁRAZNÍKŮ"
"CUST_WEAR_UNTUCKED_UNBUTTONED_TIE": "NEZASTRČENÉ, ROZEPNUTÉ, KRAVATA"
"CUST_ITEM_CF_RING_F_RAVERSET": "PRSTENY ACID HOUSE"
"CUST_TATTOO_UPPER_ARM_LEFT": "LEVÁ PAŽE NAHOŘE"
"CUST_TATTOO_RARM_4": "RYTÍŘ Z TŘETÍ ULICE"
"RIM_150": "ADVOCATE"
"LOGO_LOLLIPOP": "LÍZÁTKO"
"CUST_VARIANT_THICK_EYESHADOW": "ŠIROKÝ"
"CUST_WEAR_HIGH_LEFT_ZIPPED_RIGHT_UNZIPPED": "ROZEPNOUT PRAVOU, VYSOKO"
"CUST_SKIN_ASIAN_02": "ASIAT 2"
"CUST_WEAR_HIGH_LEFT_ROLLED_RIGHT_ZIPPED": "SROLOVAT LEVOU, VYSOKO"
"CUST_ITEM_CF_NLMB_UBDY_F_MOHAWKSKULL": "TRIČKO S PANKÁČSKOU LEBKOU"
"CUST_ITEM_CF_LLK_LBDY_F_LATEXPANTS": "LATEXOVÉ KALHOTY"
"FACIAL_EXPRESSION_PAIN": "BOLEST"
"CUST_MENU_LOGO": "LOGO"
"PLAYER_MUSCLE_TEXT": "SVALNATOST"
"PLAYER_MORPH_ASIAN_TEXT": "ASIAT"
"CUST_ITEM_PLASTIC_SANDALS": "UMĚLOHMOTNÉ SANDÁLY"
"CUST_SKIN_CAUCASIAN_03": "BĚLOCH 3"
"CUST_GANG_BIKER": "MOTORKÁŘ"
"CUST_COMP_MUSTACHE_24": "BALBO"
"VEHICLE_COLOR_BRASS": "MOSAZ"
"RIM_175": "SD EDV1"
"SLOT_SPINNERS_FRONT": "PŘEDNÍ MATKY"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_F": "HOLKA Z POSILOVNY"
"VEHICLE_COLOR_DRAGON_BLUE": "DRAČÍ MODŘ"
"CUST_COLOR_BRIGHT_BLUE": "SVĚTLE MODRÁ"
"CUST_ITEM_CM_DLC_HAT_M_PIMPHAT": "PASÁCKÁ ČEPICE VE STYLU ZET"
"CUST_ITEM_CF_LLT_UBDY_F_LTHRJACKET": "KOŽENÁ BUNDA MAMBA"
"PLAYER_MORPH_CHIN_HEIGHT_TEXT": "VÝŠKA BRADY"
"CUST_TATTOO_LFORARM_6": "ZBROJ"
"SLOT_ROOF": "STŘECHY"
"SLOT_LOGO": "LOGA"
"HAIR_COLOR_REDHEAD": "ZRZAVÁ"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_G": "DROGOVÝ DEALER"
"CUST_ITEM_CF_LPC_HAND_F_FEMHEROGLOVES": "RUKAVICE SUPERHRDINKY"
"CUST_WPN_UPGRADE_DESC_EXPLOSIVE_LAUNCHER_4": "Větší kapacita munice."
"CUST_VARIANT_LIGHT_STEEL": "LEHKÁ OCEL"
"CUST_ITEM_CM_UBDY_M_VOLITION": "VOLITION"
"CUST_TATTOO_TORSO_BACK": "CELÁ ZÁDA"
"PLAYER_MORPH_CROWN_TEXT": "TEMENO"
"WARDROBE_NONE": "ŽÁDNÉ"
"CUST_COLOR_CLOTHING_VIOLET_5": "FIALOVÁ 5"
"CUST_COMP_EYES_GREY": "ŠEDÁ"
"SLOT_REAR_WHEELS": "ZADNÍ KOLA"
"CUST_COLOR_AUBURN": "KAŠTANOVÁ"
"CUST_VARIANT_08_DEFAULT": "VARIANTA 8"
"CUST_WEAR_BACK_LEFT": "VZADU VLEVO"
"CUST_ITEM_CF_NLMH_NECK_F_BEADNECKLACE": "NÁHRDELNÍK DISCO BUSCUIT"
"CUST_ITEM_SHADES_11": "ŠKAREDÉ BRÝLE"
"CUST_CAT_FINGERNAILS": "NEHTY"
"CUST_TATTOO_HEAD_TOP": "HLAVA NAHOŘE"
"CUST_BRO_COMPLIMENT_D": "POKLONA BRATRSTVA 4"
"CUST_COLOR_CLOTHING_YELLOWS_6": "ŽLUTÁ 6"
"CUST_TATTOO_RUPPARM_6": "MILUJU MÁMU"
"LOGO_RHOMBUS_1": "KOSOČTVEREC 1"
"CUST_VARIANT_HORIZONTAL": "VODOROVNÉ PRUHY"
"CUST_WEAR_TATTOO_MAO_DESIGN": "MAŮV NÁVRH"
"CUST_ITEM_CM_DECKERSHEADSET": "SLUCHÁTKA DECKERŮ ASTRO A40"
"CUST_ITEM_CF_PSE_HEAD_F_SAINTSCAP": "ČAPKA STEELPORT STREET"
"VEHICLE_COLOR_WET_LEAF_BROWN": "BARVA SPADANÉHO LISTÍ"
"SLOT_MUDFLAP": "LAPAČE NEČISTOT"
"CUST_ITEM_FEMALE_LL_BRA_1": "ZAMILOVANÁ"
"CUST_ITEM_CM_HAIR_FEATHEREDEXEC": "WALL STREET"
"CUST_ITEM_CF_PSG_RWRST_F_BRACELET": "BEEP BOOP NÁRAMEK"
"PLAYER_CREATION_AGE_MIDDLE": "STŘEDNÍ VĚK"
"PLAYER_MORPH_NOSE_YAW_TEXT": "VYBOČENÍ NOSU"
"VEHICLE_COLOR_ULTRA_BRIGHT_WHITE": "ULTRASVĚTLÁ BÍLÁ"
"CUST_WEAR_TATTOO_BARBED_WIRE": "OSTNATÝ DRÁT"
"PLAYER_MORPH_NOSE_LENGTH_TEXT": "DÉLKA NOSU"
"SLOT_CASKET": "SCHRÁNKA"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS": "ZASTRČENÉ, ZAPNUTÉ, NÍZKÉ KALHOTY, BEZ KŠAND"
"CUST_ITEM_CF_RING_F_EYEBALL": "PRSTEN SOUKROMÉHO OČKA"
"CUST_ITEM_FEMALE_PS_UNDWEAR_4": "SKORO NEVIDITELNÁ TANGA"
"CUST_ITEM_CF_PSG_RWRST_F_SBAND": "POTÍTKO"
"CUST_WPN_UPGRADE_DESC_PISTOL_POLICE_4": "Laserový zaměřovač pro přesnější střelbu od boku. Průrazné střely prostřelí zbroje a pancíř."
"CUST_COMP_MUSTACHE_20": "BRADKA"
"VEHICLE_PAINT_SHINY_MATERIAL": "LESKLÝ MATERIÁL"
"LOGO_DRAGON": "DRAK"
"CUST_VARIANT_FADEUP_JEANS": "VYBLEDLÉ"
"CUST_WEAR_UNTUCKED_TOP_BUTTON_TIE": "NEZASTRČENÉ, KRAVATA"
"CUST_ITEM_CM_NLMG_UBDY_M_SWEATSHIRT": "GANGSTERSKÉ TRIKO"
"CUST_ITEM_FEMALE_PLANETSAINTS_OUTFIT_B": "POULIČNÍ RVÁČKA"
"CUST_ITEM_6_LOOPS_LEFT": "6 SMYČEK"
"CUST_WEAR_HOOP": "KROUŽEK"
"CUST_ITEM_CF_NLMF_HAT_F_HATGOGGLES": "STEAMPUNKOVÝ VYNÁLEZCE"
"PLAYER_MORPH_EYELID_FOLD_TEXT": "ZÁHYB VÍČKA"
"CUST_GANG_DECKER": "DECKER"
"CUST_TATTOO_LFORARM_2": "KLÍČEK"
"COLOR_SLOT_TRIM_1": "LEMOVÁNÍ 1"
"SLOT_FRONT_MODS": "ÚPRAVY PŘEDKU"
"CUST_COLOR_BRIGHT_PURPLE": "SVĚTLE FIALOVÁ"
"COMPONENT_PAINT_3": "LAK 3"
"CUST_ITEM_CF_RING_F_DIAMOND": "DOKONALÁ KRÁSA"
"CUST_ITEM_MALE_PLANETSAINTS_OUTFIT_C": "PLANET SAINTS MUŽ C"
"CUST_ITEM_BASEBALL_CAP": "BASEBALLOVÁ ČEPICE"
"CUST_COLOR_CLOTHING_YELLOWS_2": "ŽLUTÁ 2"
"CUST_TATTOO_RUPPARM_2": "8BITOVÝ GAT"
"CUST_VARIANT_LOOPS": "KROUŽKY"
"CUST_VARIANT_FLAMES": "PLAMENY"
"CUST_ITEM_LEATHER_LACE_FEMALE_K": "KOČIČÍ OBLEK"
"CUST_ITEM_CM_LPH_HAT_M_PIRATEHAT": "KAPITÁNSKÝ KLOBOUK"
"PLAYER_MORPH_UPPER_LID_SLANT_TEXT": "SKLON HORNÍHO VÍČKA"
"PLAYER_MORPH_NOSE_SHAPE_TEXT": "TVAR NOSU"
"PLAYER_MORPH_BRIDGE_WIDTH_TEXT": "ŠÍŘKA KOŘENE NOSU"
"CUST_COLOR_CLOTHING_VIOLET_1": "FIALOVÁ 1"
"HAIR_COLOR_PURPLE_MATTE": "MATNÁ FIALOVÁ"
"CUST_ITEM_CF_HAIR_PIGTAILS": "POD ZÁKONEM"
"FACIAL_EXPRESSION_PAIN_B": "MUKA"
"PLAYER_MORPH_BROW_WIDTH_TEXT": "ŠÍŘKA OBOČÍ"
"CUST_WPN_UPGRADE_DESC_SPECIAL_SNIPER_3": "Zvětšení zásobníku. Dvojnožka pro snižení zpětného rázu."
"COLOR_SLOT_WINDOW_TINT": "ODSTÍN OKNA"
"LOGO_COFFEE": "KÁVA"
"LOGO_SHARKS_1": "ŽRALOCI 1"
"CUST_WEAR_FORWARD_LEFT": "DOPŘEDU VLEVO"
"CUST_ITEM_CF_HATHAIR_PULLEDINTOHAT": ""
"CUST_COLOR_CLOTHING_RED_9": "ČERVENÁ 9"
"CUST_VARIANT_TRACK_A2": "STYL 1"
"CUST_WEAR_TUCKED_BUTTONED_LOW_PANT_NO_SUSPENDERS_TIE": "ZASTRČENÉ, ZAPNUTÉ, NÍZKÉ KALHOTY, BEZ KŠAND, KRAVATA"
"CUST_ITEM_CF_LLI_RWRST_F_WRISTBAND": "PÁSKA NA ZÁPĚSTÍ"
"CUST_ITEM_FEMALE_LL_BRA_5": "ZAKRYTÉ BRADAVKY"
"CUST_ITEM_CM_PSI_FOOT_M_COLSNEAKERS": "POCHODOVKY SVATÝCH"
"CUST_COLOR_CLOTHING_VIOLET-BLUE_7": "MODROFIALOVÁ 7"
"SLOT_KNEECAPPERS_DESC": "Zasouvací čepele v pneumatikách způsobí nepěkné škody, i když se o někoho jen otřeš."
"CUST_VARIANT_TRACK_PANTS": "SOLIDNÍ"
"CUST_ITEM_CM_IMPL_FOOT_M_DSREPTILESHS": "STŘEVÍCE PRO MODELA"
"PLAYER_MORPH_TIPS_SIZE_TEXT": "VELIKOST ŠPIČEK UŠÍ"
"PLAYER_MORPH_CHIN_LENGTH_TEXT": "DÉLKA BRADY"
"CUST_WPN_UPGRADE_DESC_GRENADE_EXPLOSIVE_4": "Zvýší sílu zbraně."
"CUST_TATTOO_STOMACH_5": "NETOPÝŘI ANARCHIE"
"CUST_COMP_MUSTACHE_3": "POLICEJNÍ KNÍR"
"RIM_200": "RBP STRIKER 3 PIECE"
"SLOT_HUBCAPS_FRONT": "PŘEDNÍ POKLICE"
"CUST_COLOR_BRIGHT_RED": "SVĚTLE ČERVENÁ"
"LOGO_FIST": "PĚST"
"CUST_ITEM_CM_PSD_LBDY_M_SKINNYSLACKS": "TENKÉ KALHOTY"
"CUST_ITEM_CM_PSC_HAT_M_BCAP": "ČEPICE S LILIÍ"
"CUST_COMPLIMENT_P": "STŘÍBRNÁ KULKA"
"COMPONENT_ADD_SUSPENSION": "NASTAVITELNÉ PÉROVÁNÍ"
"SLOT_KNEECAPPERS": "BODÁKY"
"SLOT_SPEED_UPGRADE": "VYLEPŠENÍ RYCHLOSTI"
"CUST_COLOR_ROSE_1": "RŮŽOVÁ 1"
"CUST_VARIANT_HEARTS_BIG": "VELKÁ SRDCE"
"CUST_ITEM_CM_LPC_MASK_M_MASK": "MASKA SUPERHRDINY"
"VEHICLE_COLOR_TOREADOR_RED": "TOREADORSKÁ RUDÁ"
"RIM_SET_010": "SADA RÁFKŮ 10"
"CUST_VARIANT_THIN_STRIPES": "TENKÉ PRUHY"
"CUST_MENU_EXIT": "POKRAČOVAT VE HŘE"
"VEHICLE_COLOR_PLATINUM": "PLATINA"
"RIM_154": "LX-9"
"CUST_ITEM_CM_IMPL_UBDY_M_SWEATER2": "DIVOKÝ SVETR RUNWAY"
"VEHICLE_PAINT_MATTE_PAINT": "MATNÝ LAK"
"SLOT_REINFORCED_FRAME_DESC": "Vylepšený rám je klíčem k tomu, aby tvé vozidlo vydrželo pořádný nářez, než se rozpadne na hromadu šrotu."
