"DROP_SPHERE": "DAR ESFERA"
"Partners in Crime_HOWTO": "HAZ EN MODO COOPERATIVO TODAS LAS MISIONES DE CAMPAÑA"
"MAP_IMG_CLOTHING": "[format][scale:1.0][image:map_store_clothing][/format]"
"TAT_REG_R_SHOULDER": "HOMBRO DER."
"CUST_ITEM_WEAR": "VESTIR PRENDA"
"STAT_MOST_HATED_GANG": "BANDA MÁS ODIADA"
"ESCORT_NAME_20B": "ALUD DE LODO"
"MAP_ICON_TANK_MAYHEM": "CAOS DE TANQUE"
"COMERCIAL_8": "25% DE DESCUENTO EN IMPRESSIONS"
"PURCHASEABLE_PROPERTEY_BROTHEL2": "HERBOLARIO RED ONION"
"GARAGE_CAT_3": "RENDIMIENTO"
"STAT_DRIVING_BIGAIR_HEIGHT": "ALTURA MÁXIMA"
"CUST_GANG_NAME_PIMP": "CHULOS Y CHICAS"
"GOLDEN_GUN": "PISTOLA DE ORO"
"GIVE_RESPECT": "REGALO DE RESPETO"
"DROP_KENSHIN": "DAR KENSHIN"
"VCUST_PERFORMANCE_REMOVE": "DE SERIE"
"UNLOCKABLE_TITLE_CAPS": "DESBLOQUEADO"
"GARAGE_CUST_NAME": "RIM JOBS"
"STAT_COMBAT_THROWN_RESPECT": "RESPETO GANADO POR MATAR CON ARMAS ARROJADIZAS"
"ESCORT_NAME_22B": "ESPELEÓLOGO"
"Coop Meta Game Points_NAME": "PUNTOS EN JUEGO EXTRA"
"CONTROL_RESUME": "REANUDAR"
"WRATH_OF_GOD_DESC": "¡Un rayo!"
"DROP_SHARK": "DAR SHARK"
"WPNSTOR_CRIB_TAKE_BLANK_FULL": "¿Quieres llevarte \"%s\" de tu casa?"
"VEHICLE_COLOR": "COLOR"
"GARAGE_RETRIEVE_TEXT": "¿De verdad quieres sacar este coche?"
"STAT_CAT_MOUSE_LONGEST_KILL_STREAK": "GATO Y RATÓN: CADENA DE MUERTOS MÁS LARGA"
"STAT_HELI_ASSAULT_LEVELS_COMPLETED": "ASALTO AÉREO COMPLETADO"
"STAT_DIVERSION_RESPECT_EARNED": "RESPETO GANADO EN DISTRACCIONES"
"STAT_ENEMY_GANG_KILLED": "MIEMBROS DE BANDAS ENEMIGAS MUERTOS"
"ZOMBIE_PEDS": "ZOMBIS"
"VCUST_RIM_SIZE_OPTION": "TAMAÑO DE LLANTAS"
"PCS_RETURN_MAIN": "VOLVER AL MENÚ PRINCIPAL"
"Total Cop Kills_NAME": "TOTAL DE POLIS MUERTOS"
"THQ": "THQ"
"SMASH": "VEHÍCULO MARTILLO"
"MILK_BONES_DESC": "Los ataques cuerpo a cuerpo son letales."
"VEHICLE_PAINT_TYPE": "TIPO DE PINTURA"
"STAT_HUMAN_SHIELD_KILLS": "ESCUDOS HUMANOS MUERTOS"
"ESCORT_NAME_30A": "LLAMEANTE"
"RADIO_STATION_GENX": "GENERATION X"
"Vehicle Jump Height_NAME": "MÁXIMA ALTURA"
"Time Played_NAME": "TIEMPO TOTAL JUGADO"
"MainMenu": "EN MENÚ PRINCIPAL"
"MAP_IMG_UNKOWN_STORE": "[format][scale:1.0][image:map_other_hidden_store][/format]"
"GIVE_RCGUN": "DAR RC POSSESSOR"
"MASCOT_PEDS": "MASCOTAS"
"STORE_GARAGE_MSG": "ENTRAR EN EL GARAJE"
"STAT_GRENADE_KILLS": "MUERTOS POR GRANADA"
"STAT_MAX_HUMAN_THROWN_DIST": "DISTANCIA MÁS LARGA DE PERSONA LANZADA"
"HASH_9A7AD50B": "CLASIFICACIÓN DE CONDUCCIÓN"
"EXIT_STRONGHOLD": "SALIR FORTALEZA"
"WPN_STORE_PURCHASE_PROMPT": "¿Quieres comprar {0} por {1} $?"
"VCUST_SPINNERS_TITLE": "ASPAS"
"GANG_CUST_SLOT_2": "RANURA 2"
"STAT_COOP_TANDEM_DIVERSIONS_COMPLETED": "COOP.: DISTRACCIONES CONJUNTAS REALIZADAS"
"STAT_DRIVING_WINDSHIELD_DISTANCE": "CAÑÓN DE PARABRISAS MÁS LARGO"
"STAT_DRIVING_WINDSHIELD": "CAÑÓN DE PARABRISAS"
"ESCORT_NAME_32A": "SANGRIENTO"
"HASH_AE65D08C": "MARCA DE MUERTE: CADENA DE MUERTES PROPIAS MÁS LARGA"
"TAXI_PURCHASE": "COMPRAR VIAJE"
"TAXI_CAB_3": "TNA TAXIS"
"STORE_PURCHASE_ITEM": "COMPRAR"
"PURCHASEABLE_PROPERTEY_ESTATES": "HAVEMAYER ESTATES"
"PURCHASEABLE_PROPERTEY_SERVICE": "HANDY J'S LUBE & TUBE"
"VEHICLE_REPAIR_HUD_MESSAGE": "HAS REPARADO TU VEHÍCULO"
"WPNSTOR_TITLE_WEAPON_CACHE": "DEPÓSITO DE ARMAS"
"STORE_TEXT_DISCARD": "¿Quieres deshacerte de este objeto de tu armario ropero?"
"HORDE_MODE_TITLE_FINAL_FAIL": "OLEADA FINAL NO SUPERADA"
"STAT_SEX_DOLLS_FOUND": "MUÑECAS SEXUALES ENCONTRADAS"
"STAT_RIFLE_HIT_PCT": "PORCENTAJE DE ACIERTOS DE FUSIL"
"STAT_DRIVING_WRONGWAY": "SENTIDO CONTRARIO"
"ESCORT_NAME_28B": "DOBLE"
"Diversion Gold Stars_NAME": "ESTRELLAS DE ORO"
"FULL_HEALTH": "TODA LA SALUD"
"GANG_CUST_EXIT_PROMPT": "Salir de Personalización de banda.\n\n¿Seguro?"
"HORDE_MODE_INVULNERABILITY": "¡Invencible!"
"ESCORT_NAME_34A": "GRIEGO"
"OPTION_NO": "NO"
"SAVELOAD_LOAD_DEVICE_UNAVAILABLE_FULL": "El proceso de carga ha fracasado porque el dispositivo\nde almacenamiento predeterminado ya no está disponible."
"ACCEPT_GAME_INVITE_TITLE": "ATENCIÓN"
"PLAYER_CREATION_LEAVE_FULL": "¿De verdad quieres salir de la creación de jugador?"
"STORE_NAME_NIGHT_CLUB": "CLUB NOCTURNO"
"VCUST_GARAGE_EXIT_PROMPT": "¿Seguro que quieres salir del garaje?"
"STAT_DRIVING_NEARMISS_RESPECT": "RESPETO GANADO POR CASI CHOQUES"
"STAT_FAVORITE_WEAPON": "ARMA FAVORITA"
"CUSTOM_CONFIRM_OUTFIT_CREATION": "¿Seguro que quieres crear este traje?"
"TAXI_INVALID_DESTINATION": "No puedes pagarte un viaje a esa ubicación."
"DROP_FIVE0": "TRAER FIVE-0"
"GIVE_ALL_WEAPONS_DESC": "Te da un cargamento entero de armas."
"BUSHWICK_BILL": "TODO EL MUNDO DEBE ENCOGER."
"NEVER_DIE": "INMORTAL"
"HITMAN_NAME": "NOMBRE OBJETIVO"
"STAT_COOP_ACTIVITIES_COMPLETED": "COOP.: ACTIVIDADES REALIZADAS"
"STAT_MILES_BY_CAR": "MILLAS RECORRIDAS EN COCHE"
"STAT_FRAUD_DIVES_TAKEN": "FRAUDE AL SEGURO: ACCIDENTES PROVOCADOS"
"STAT_BARN_FOUND": "UBICACIONES PARA VUELO ACROBÁTICO ENCONTRADAS"
"ESCORT_NAME_36A": "ENCENDIDO"
"HASH_64463610": "NIVEL DE ESTILO"
"UNLIMITED_CLIP_DESC": "No hay que recargar porque el cargador dura eternamente."
"MEDIUM_RAIN": "LLUVIA"
"WPNSTOR_TEXT_REPLACE_BLANK_WITH_BLANK": "¿Quieres sustituir \"%s\" por \"%s\"?"
"HUD_SHOP_PURCHASE_BLANK_FOR_BLANK": "COMPRAR POR %ls"
"STAT_TOTAL_CASH_EARNED": "DINERO GANADO EN TOTAL"
"STAT_DRIVING_BIGAIR_DISTANCE": "DISTANCIA MÁXIMA"
"STAT_SHOTS_FIRED": "DISPAROS EFECTUADOS"
"STAT_POLICE_NOTORIETY_TIME": "TIEMPO CON LA PEOR REPUTACIÓN ANTE LA POLICÍA"
"DRUNK_PEDS_DESC": "Todos se han puesto hasta arriba."
"DROP_ATTRAZIONE": "TRAER ATTRAZIONE"
"PLAYER_CREATION_NEW_PRESET_TEXT_FULL": "¡Si seleccionas una nueva configuración predefinida\nse cancelarán todos los cambios efectuados hasta ahora!"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION_FULL": "No hay suficiente espacio libre en el dispositivo de almacenamiento\npredeterminado para completar el proceso de guardado."
"ACT_HITMAN_LEAVE_FULL": "¿De verdad quieres salir de Sicario?"
"PURCHASEABLE_PROPERTEY_CHOP_SHOP": "CURLY'S CHOP BLOCK"
"STAT_HELI_ASSAULT_TARGETS_DESTROYED": "ASALTO AÉREO: BLANCOS DESTRUIDOS"
"HASH_4C1CDC12": "TRINCHERA CONTROLADA"
"CUST_ICON_PIERCINGS": "PIERCINGS"
"VCUST_PURCHASE_OPTION": "COMPRAR"
"VCUST_RIM_FAMILY_TITLE": "FAMILIA DE LLANTAS"
"STAT_DISTANCE_BY_CAR": "DISTANCIA EN COCHE"
"STAT_THROWN_HIT_PCT": "PORCENTAJE DE ACIERTOS DE ARMAS ARROJADIZAS"
"STAT_GUARDIAN_ANGEL_LEVELS_COMPLETED": "ÁNGEL DE LA GUARDIA COMPLETADO"
"STAT_COMBAT_CAR": "MUERTOS CON COCHE"
"GIVE_SWORD": "DAR NOCTURNO"
"DROP_STILWATERMUNICIPAL": "TRAER STILWATER MUNICIPAL"
"DROP_VORTEX": "TRAER VORTEX"
"VCUST_RETURN_TO_CRIB": "VOLVER A CASA"
"GARAGE_CAT_2": "COLORES"
"STAT_SNIPER_SHOTS_FIRED": "DISPAROS DE FUSIL DE FRANCOTIRADOR"
"STAT_MISSIONS_COMPLETED": "MISIONES CUMPLIDAS"
"COMERCIAL_7": "15% DE DESCUENTO EN IMPRESSIONS"
"GIVE_SHIELD": "DAR ESCUDO ANTIDISTURBIOS"
"TOD_Cycle": "CAMBIO DE HORA"
"INFINITE_AMMO_DESC": "Munición ilimitada para todas las armas."
"ADD_GANG_NOTORIETY": "AÑADE MALA REPUTACIÓN ANTE LAS BANDAS"
"Wrath_of_God": "IRA DE DIOS"
"POC2_WEAPON_UPGRADE_2": "MEJORAR ARMA - NIVEL 2"
"WPN_STORE_RIFLE_TITLE": "FUSILES"
"STORE_ITEM_STYLE_AWARD": "+ ESTILO {0}"
"IMAGE_DESIGNED_NAME": "IMAGE AS DESIGNED"
"GARAGE_RETRIEVE": "SACAR"
"STAT_TEAM_MORNINGSTAR": "MORNINGSTAR"
"ESCORT_NAME_19B": "JIMMY"
"SP Vehicle Jumps Col2_NAME": "MARCADOR DE SALTOS CON VEHÍCULOS"
"SP Diversion Stars Col3_NAME": "MARCADOR DE DISTRACCIONES"
"SP Time Col2_NAME": "MARCADOR DE TIEMPO DE PARTIDA"
"CONTROL_ZOOM_AND_ROTATE": "ZOOM / GIRAR"
"DROP_CHALLENGER": "DAR CHALLENGER"
"GIVE_D4THBLOSSOM": "DAR D4TH BLOSSOM"
"MUSIC_DOWNLOADABLE": "DESCARGADO"
"STORE_EXIT_WARNING_BODY": "Salir de la tienda\n\n¿Seguro?"
"PLAYER_CREATION_SAVE_CHANGES": "¿Quieres guardar los cambios?"
"STAT_WHEELIE_LONGEST_DISTANCE": "CABALLITO MÁS LARGO"
"STAT_CIVILIANS_KILLED": "CIVILES MUERTOS"
"CONTROL_YES": "SÍ"
"DROP_JUSTICE": "TRAER JUSTICE"
"DROP_WIDOWMAKER": "DAR WIDOWMAKER"
"POC2_PLAYER_CUSTOMIZATION": "PERSONALIZACIÓN DE JUGADOR"
"WPN_STORE_EXIT_PROMPT": "Salir de la tienda de armas.\n\n¿Seguro?"
"VCUST_BOTH_AXLES_OPTION": "AMBOS EJES"
"STAT_DISTANCE_BY_VEHICLE": "DISTANCIA EN VEHÍCULO"
"STAT_CASH_EARNED_PER_DAY": "GANADO POR HORA"
"STAT_FRAUD_BEST_DIVE": "FRAUDE AL SEGURO: MEJOR ACCIDENTE"
"STAT_ACTIVITY_RESPECT_EARNED": "RESPETO GANADO EN ACTIVIDADES"
"STAT_HOSPITAL_BILLS": "PAGOS AL HOSPITAL"
"ESCORT_NAME_8B": "SACACORCHOS"
"CONTROL_REMOVE": "ELIMINAR"
"DROP_REAPER": "TRAER REAPER"
"GARAGE_EXIT_PROMPT": "¿Salir del garaje?"
"STAT_MORNINGSTAR_KILLED": "MORNINGSTAR MUERTOS"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "VEHÍCULOS ROBADOS ENTREGADOS"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "TRÁFICO DE DROGAS COMPLETADO"
"STAT_COMBAT_ENEMY": "MIEMBROS DE BANDAS ENEMIGAS MUERTOS"
"STAT_HOLDUP_CASH": "DINERO GANADO COMO ATRACADOR"
"STAT_BASE_JUMP": "SALTO RADICAL"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "SÍ"
"RAINING_PEDS_DESC": "Aleluya, llueven peatones."
"PED_WAR": "GUERRA DE PEATONES"
"CAR_MASS_HOLE": "BOCAZAS EN COCHE"
"SURGEON_FINISHED_FULL": "¿De verdad quieres salir de Image As Designed?"
"STORE_TATTOO_PARLOR_MSG": "HACERTE UN TATUAJE"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "RACHA MÁS LARGA CON LA PEOR REPUTACIÓN ANTE LA POLICÍA"
"ESCORT_NAME_15B": "PIRULETA"
"ESCORT_NAME_6B": "TATUAJE"
"Vehicle Jump Spin_NAME": "MEJOR GIRO"
"CONTROL_BTN_BACK": "EL BOTÓN BACK"
"CELL_DRUG_DEALER": "CAMELLO"
"CRIB_SHOP_PURCHASED_TEXT": "Ahora esta casa es tuya. \nAquí puedes acceder a tu dinero, armas, ropa y vehículos. \nPersonalízala para aumentar su nivel de estilo."
"WPN_STORE_PISTOL_TITLE": "PISTOLAS"
"VCUST_WHEEL_SIZE_OPTION": "TAMAÑO DE RUEDAS"
"GARAGE_CRIB_NAME": "GARAJE"
"STAT_TOTAL_DISTANCE_TRAVELLED": "DISTANCIA RECORRIDA EN TOTAL"
"STAT_DIVERSIONS_COMPLETED": "DISTRACCIONES COMPLETADAS"
"STAT_TOTAL_DAMAGE_TAKEN": "DAÑO RECIBIDO EN TOTAL"
"STAT_MILES_BY_AIRCRAFT": "MILLAS RECORRIDAS EN VEHÍCULO AÉREO"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "GASTADO EN PERSONALIZACIÓN DE OBJETOS"
"STAT_MAX_STUNT_JUMP_SPIN": "GIRO MÁXIMO DE SALTO"
"SP Throw Distance_NAME": "MARCADOR DE DISTANCIA DE LANZAMIENTO"
"HASH_80C0A79A": "CAMBIAR DE MARCADOR"
"MAP_ICON_HELI": "ASALTO DE HELICÓPTERO"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "TAXI"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "Tu vehículo es inmune al daño."
"VCUST_PURCHASE_PROMPT": "¿Quieres comprar {0} por {1} $?"
"CUST_ITEM_CREATE_OUTFIT": "GUARDAR CONJUNTO"
"GARAGE_REPAIR_TEXT": "¿Quieres reparar este coche?"
"HORDE_MODE_TITLE_KILLS": "MUERTOS"
"HORDE_MODE_WAVE_TAG": "OLEADA"
"STAT_RUNNING_MAN_CASH_EARNED": "PROF. GENKI: DINERO OBTENIDO"
"STAT_PISTOL_SHOTS_FIRED": "DISPAROS DE PISTOLA"
"STAT_ACTIVITIES_COMPLETED": "ACTIVIDADES COMPLETADAS"
"ESCORT_NAME_17B": "ALICATES"
"ESCORT_NAME_4B": "DRAGÓN"
"HeliAssault": "ASALTO DE HELICÓPTERO"
"CONTROL_CHANGE_COLUMN": "CAMBIAR DE COLUMNA"
"MAP_ICON_PLASTIC_SURGEON": "CIRUGÍA PLÁSTICA"
"WARDROBE_LEAVE_FULL": "¿De verdad quieres salir del ropero?"
"CRIB_HUD_HANGAR_PURCHASE": "COMPRAR EL HANGAR DEL AEROPUERTO: {0} $"
"VCUST_REGION_TITLE": "REGIÓN (1/3)"
"CUST_DIALOG_DISROBE_BODY": "Esto eliminará toda tu ropa actual. \nEstando desnudo puedes hacer exhibicionismo integral. \n¿Estás seguro?"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "No puedes llevar de tu casa más munición para el siguiente objeto: \"%s.\""
"STAT_STAG_COMMANDOS_KILLED": "COMANDOS DE LA STAG MUERTOS"
"STAT_FBI_KILLED": "AGENTES DEL FBI MUERTOS"
"HASH_D4EBF91C": "NIVELES DE CONDUCCIÓN SUPERADOS"
"TAXI_CANNOT_AFFORD": "No tienes suficiente dinero para pagar este viaje."
"OVL_SHOP_PURCHASED_TITLE": "COMPRADO"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "GUARDAR"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "No puedes llevar más munición de este tipo."
"STORE_TITLE_INSUFFICIENT_FUNDS": "FONDOS INSUFICIENTES"
"STAT_NEIGHBORHOODS_CONTROLLED": "BARRIOS CONTROLADOS"
"ESCORT_NAME_11B": "DESASTRE"
"ESCORT_NAME_2B": "TROMPETA"
"MAP_ICON_TSS_MISSION": "MISIÓN DE 3RD STREET SAINTS"
"MAP_ICON_TATTOO_PARLOR": "SALÓN DE TATUAJES"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "TOMA EL CONTROL DEL BARRIO PARA PODER COMPRAR ESTA TIENDA"
"GANG_CUST_SLOT_3": "RANURA 3"
"STAT_WEAPON_THROWN": "ARROJADIZA"
"STAT_COOP_KILLS": "COOP.: MUERTES DEL JUGADOR"
"STAT_MAYHEM_BEST_ROUND": "CAOS: MEJOR RONDA"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "ÁNGEL DE LA GUARDA: NÚMERO DE CELEBRIDADES PROTEGIDAS"
"STAT_COMBAT_MOTORCYCLE": "MUERTOS POR ESPADA EN MOTOCICLETA"
"STAT_MILES_BY_VEHICLE": "VIAJADO EN VEHÍCULO"
"SP Diversion Stars Col1_NAME": "MARCADOR DE DISTRACCIONES"
"CONTROL_CHANGE_STORY": "CAMBIAR DE HISTORIA"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "GUARDAESPALDAS"
"SMASH_DESC": "Tu vehículo aplasta otros vehículos."
"DROP_STATUSQUO": "TRAER STATUS QUO"
"SUPER_EXPLOSIONS": "SÚPER EXPLOSIONES"
"PLAYER_PRATFALLS": "PORRAZOS DE JUGADOR"
"POC2_DROP_CAR": "DEJAR EL DEPORTIVO"
"VCUST_EXIT_PROMPT": "¿Seguro que quieres salir de la personalización de vehículos?"
"VCUST_EXTRA_HIGH_PROFILE": "PERFIL EXTRA ALTO"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "GATO Y RATÓN: MÁS PUNTOS OBTENIDOS"
"STAT_SHOTGUN_HIT_PCT": "PORCENTAJE DE ACIERTOS DE ESCOPETA"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "ÁNGEL DE LA GUARDA: NÚMERO DE AGRESORES MUERTOS"
"STAT_MUGGINGS_COMPLETED": "ATRACOS COMPLETADOS"
"ESCORT_NAME_13B": "HURACÁN"
"SP Kills Col2_NAME": "MARCADOR DE MATA TODO LO QUE SE MUEVE"
"HIDE_HUD_DESC": "El HUD está oculto."
"FULL_HEALTH_DESC": "Recuperas toda la salud."
"INFINITE_SPRINT_DESC": "Puedes correr sin límite."
"PAUSE_MAP_CANT_WAYPOINT_FULL": "¡No puedes situar un punto intermedio durante una misión o actividad!"
"HAIR_NO_CHOICES": "No hay opciones en esta categoría."
"CUST_ITEM_VIEW_OUTFITS": "VER CONJUNTOS"
"STAT_COMBAT_MELEE": "MUERTOS EN COMBATE CUERPO A CUERPO"
"STAT_MUGGINGS_CASH": "DINERO GANADO COMO ATRACADOR"
"STAT_MILES_ON_FOOT": "RECORRIDO A PIE"
"NO_OUTFITS_DISPLAY_NAME": "NO HAY CONJUNTOS"
"CONTROL_RETURN_TO_LOBBY": "VOLVER A SALA DE ESPERA"
"PAUSE_MAP_WAYPOINT_REMOVE": "ELIMINAR PUNTO INTERMEDIO"
"MAP_ICON_CAR_MECHANIC": "MECÁNICO DE COCHES"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "¿SALIR DE MEJORAS?"
"GARAGE_REPAIR_PROMPT": "¿Quieres reparar este vehículo por {0} $?"
"VCUST_COLOR_GRID_TITLE": "PALETA DE COLOR"
"VEHICLE_COLOR_ADVANCED": "BÁSICO"
"STORE_CRIB_CLOTHING_MSG": "ACCEDER AL ARMARIO"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "MUERTES MÚLTIPLES EN TOTAL"
"STAT_FLASHPOINTS_COMPLETED": "OPERACIONES DE BANDA COMPLETADAS"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "PROVOCACIONES EN TOTAL"
"ESCORT_NAME_17A": "PELUDO"
"ESCORT_NAME_4A": "ENFADADO"
"TINY_PLAYER_DESC": "Colega, has encogido."
"GANG_CUST_GANG_STYLE_OPT": "ESTILO"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "¿Quieres pagar %s?"
"Vehicle Jump Distance_NAME": "DISTANCIA DE MEJOR SALTO"
"Player_Vehicle_No_Damage": "VEHÍCULO INDESTRUCTIBLE"
"VCUST_PERFORMANCE_ADD": "MEJORA"
"WPN_STORE_SHOTGUN_TITLE": "ESCOPETAS"
"WPN_STORE_MELEE_TITLE": "CUERPO A CUERPO"
"GANG_CUST_GANG_SIGN_VOICE": "PROVOCACIÓN"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "TIEMPO MÁXIMO SURFEANDO VEHÍCULOS"
"STAT_DECKER_SPECIALISTS_KILLED": "ESPECIALISTAS DECKERS MUERTOS"
"STAT_HOLDUPS_STORES_ROBBED": "TIENDAS ROBADAS"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "GASTADO EN PERSONALIZACIÓN DE VEHÍCULOS"
"STAT_CAT_MOUSE_LOSSES": "GATO Y RATÓN: DERROTAS"
"STAT_DRIVING_BURNOUT_TIME": "QUEMAR RUEDAS MÁS LARGO"
"ESCORT_NAME_15A": "MARRÓN"
"ESCORT_NAME_6A": "SETA"
"HASH_269B6FA3": "MARCA DE MUERTE: MÁXIMO DE MUERTOS EN UNA RONDA"
"MAP_ICON_CRIB": "CASA"
"GARAGE_LEAVE_FULL": "¿De verdad quieres salir de Rim Jobs?"
"CURRENT_AMMO": "MUNICIÓN ACTUAL"
"STAT_VEHICLE_CAR": "COCHE"
"STAT_TAUNT": "PROVOCACIÓN"
"STAT_WATERCRAFT_DESTROYED": "NÚMERO DE VEHÍCULOS ACUÁTICOS DESTRUIDOS"
"STAT_CARS_UNLOCKED": "COCHES DESBLOQUEADOS"
"STAT_COMBAT_HEADSHOT": "TIROS EN LA CABEZA"
"coop": "COOPERATIVO"
"Pimping": "CHULEO"
"Genre string": "ACCIÓN"
"DROP_UFO": "DESTROY"
"ACTIVITY_LEVEL_LEAVE_FULL": "¿De verdad quieres salir de la selección del nivel de actividad?"
"STORE_FAT": "GORDO {0}%%%%"
"HASH_ABE420A4": "NO ESTÁ DISPONIBLE AÚN"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "NO HAY ARMAS DISPONIBLES"
"VCUST_SPINNER_OPTION": "ASPAS"
"VCUST_HUBCAP_NUMBER": "TAPACUBOS {0}"
"STAT_MILES_BY_WATERCRAFT": "MILLAS RECORRIDAS EN VEHÍCULO ACUÁTICO"
"STATS_NO": "NO"
"STAT_SHOT_HIT_PERCENTAGE": "DISPAROS ACERTADOS"
"ESCORT_NAME_13A": "PUERTA TRASERA"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "DESBLOQUEABLE"
"TATTOO_LEAVE_FULL": "¿De verdad quieres salir de Rusty's Needle?"
"STAT_DRIVING_WHEELIE": "CABALLITOS"
"STAT_UNIQUE_VEHICLES_OWNED": "VEHÍCULOS DISTINTOS CONSEGUIDOS"
"STATS_BLANK_OF_BLANK": "%d DE %d"
"DROP_COMMANDER": "DAR COMMANDER"
"BLOODY_MESS": "MATANZA SANGRIENTA"
"STORE_BRA_WARNING": "ATENCIÓN"
"CUST_ITEM_NOTHING": "NADA"
"HUD_CRIB_CUSTOMIZE": "PERSONALIZAR TU CASA"
"GARAGE_CAT_4": "RUEDAS"
"STAT_THROWN_WEAPON_USES": "ARMAS ARROJADIZAS USADAS"
"ESCORT_NAME_11A": "PRINGUE"
"ESCORT_NAME_2A": "OXIDADO"
"Coop Col3_NAME": "MARCADOR DE MODO COOPERATIVO"
