"COMMUNITY_SUCCESS_LINK_EXT": "浄占Ьけゝぽゝ ぶれぴあゝりŤTHQ IDЩらをぎГ〈•ЕН"
"SAVING_CONTENT_TITLE": "てゝぞ『ョ回ЕФĚ•З"
"MENU_CONTROLS_STICK": "好 じづあぢぎ ぁぎずり零ふるゝが"
"COMMUNITY_BLURB_HEADER": "SaintsRow.comХげまやなづあむをはゝЩШ〉Ń"
"MULTI_GAMETYPE_1": "ざじづみらをぎ"
"BTN_LTHUMB_TXT": "好 じづあぢぎ"
"DPAD_UP_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_u][/format]"
"MAIN_MENU_PRIVILEGE_DENIED": "БЬけゝぽゝ ぶれぴあゝりХЭðXbox LIVEХぶるぃХŮ•Й』ñョ虫穫Щ　々興園『狂芝З々ŠðXbox LIVE こゝりと むをはゝざぢぶ『冗尋ЕФŻОГĚ"
"MULTI_LOST_CONNECTION": "Xbox LIVEŠ、会扮Г〈•ЕН\nぞぃでりじぎらゝをЩ弟。•З"
"SAVING_CONTENT_BODY": "揃ペЬ遮概『会СН。ðてゝぞョ回日化『吉ЕН。ЕШĚХŻОГĚ"
"MENU_XBOX_PARTY_INVITE": "Xbox LIVE ばゝづあゝ‚心専"
"PLT_PRESS_START": "START ほぞを『御ЕФŻОГĚ"
"SAVELOAD_SAVE_GAME_DEVICE_FULL_EXPOSITION": "位控興園Ьてゝぞョ回日化ЩЭずゝふЩ尻脈Ш田Ů埋趣Ť\nĎ。•Й』"
"BTN_Y_TXT": "A ほぞを"
"SIGN_IN_AUTOSAVE_PROMPT": "揃けゝみЭぉゝでずゝふ日答『ミ混Е•Зñ\nずゝふЗ々ЩЭðけゝぽゝ ぶれぴあゝりЩごぃをぃをЗ々尻脈ŤĎ。•З"
"MENU_XBOX_PARTY_JOIN": "Xbox LIVE ばゝづあゝЩ具倍"
"MAINMENU_SYSLINK": "ざじづみらをぎ"
"MUST_SIGN_IN_PROFILE_CONFIRM": "浄占ðけゝぽゝ ぶれぴあゝりХごぃをぃをЕФĚ•Й』ñ\nごぃをぃをЕ•ЗŠ需"
"DPAD_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_n][/format]"
"DPAD_DOWN_TXT": "A ほぞを"
"CTRL_DISCONNECT_TITLE": "げをでれゝよゝЬ悟矛Ť会扮Г〈•ЕН"
"OPT_CONTROL_OVERRIDE_FEEDBACK_TEXT": "けゝぽゝ ぶれぴあゝりЬロダ興園Х思健Ьぉぶざゆを『掘偉ЩЕФŚŻ尻脈ŤĎ。•З"
"PLT_MENU_VIEW_PARTNER_GAMERCARD": "けゝぽゝ おゝと『脚々"
"MULTI_MENU_SYSLINK_SEARCHING_TEXT": "ざじづみらをぎЬけゝみ『文盗ЕФĚ•З..."
"DPAD_LEFT_TXT": "A ほぞを"
"DPAD_RIGHT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_r][/format]"
"USER_CONTENT_PRIV_DENIED": "БЬけゝぽゝ ぶれぴあゝりЭむをはゝげをづをっЩぁぎずじЗ々族迫ŤĎ。•Й』ñョ虫穫Щ　々興園『狂芝ЕФŻОГĚ"
"MULTI_MATCHMAKING": "ぎぃぢぎぽぢだ"
"BTN_B_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_b][/format]"
"COMMUNITY_EXISTING_FOUND_TEXT": "抜ЩБЬけゝぽゝぞくЩらをぎГ〈НTHQ IDŤĎ。•Зñ抜回ЬぁおぅをでХれくぃをЕФŻОГĚ"
"HUD_DROP_ITEM_MESSAGE": "%ls『強憾З"
"ANALOG_LS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_ls][/format]"
"BTN_RTHUMB_TXT": "分 じづあぢぎ"
"BTN_X_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_x][/format]"
"MAINMENU_SYSLINK_TITLE": "ざじづみらをぎ"
"HUD_PICKUP_HAVOK_WEAPON_MESSAGE": "%ls『忙Ń"
"BTN_BACK_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_back][/format]"
"DPAD_LR_TXT": "批到ばぢと好&分"
"NOT_LOGGED_IN": "БЬ日答『体混З々ЩЭðXbox LIVEЩ\nごぃをぃをЗ々尻脈ŤĎ。•З"
"SAVELOAD_SAVE_DEVICE_UNAVAILABLE_FULL": "位控興園Ьてゝぞョ回日化Ťミ混ォ出答ЬН′\nずゝふЩ吹我Е•ЕН"
"HUD_PICKUP_UNNAMED_OBJECT": "忙Ń"
"MP_NO_MULT_PLAYERS": "判ァ揃ペェХЬ脂戻ダぶるぃЩЭ填屈ЕФŚ。•Й』"
"STATS_CORRUPT_BODY": "ぶるぃてゝぞŤ犯慈ЕФĚ々Н′らずぢでГ〈•Зñ\nШŚð洋尋ЕН在社Э察酒『写Ё•Й』"
"CONTROL_R_STICK": "分 じづあぢぎ"
"HUD_PICK_UP_MESSAGE": "%ls『忙Ń"
"SAVELOAD_LOG_IN_CONFIRM_EXPOSITION": "けゝぽゝ ぶれぴあゝりЩごぃをぃをЗ々Ц\nББ•ХЬぶるぃてゝぞŤ吹》〈•З"
"DPAD_TXT": "批到ばぢと"
"DPAD_DOWN_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_d][/format]"
"MUST_LOG_IN_CONFIRM": "БЬ日答『体混З々ЩЭðXbox LIVEЩ\nごぃをぃをЗ々尻脈ŤĎ。•Зñ\nごぃをぃをЕ•ЗŠ需"
"BTN_B_TXT": "A ほぞを"
"HUD_DUAL_WIELD_MESSAGE": "%ls『ガ強Щ応Т"
"ANALOG_RS_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs][/format]"
"DPAD_LEFT_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_l][/format]"
"DPAD_RIGHT_TXT": "A ほぞを"
"COOP_REMOTE_CHEAT_STARTING": "元倉ぶるぃЬばゝでどゝŤだゝで『ミ混ЕФĚ々Н′ð扱НЩポ延Г〈々З“ФЬずゝふてゝぞХだゝでŤ掘偉ЩШ。•Зñ\nぉゝでずゝふ日答Э殺偉ЩШ。•Зñ\nБ〈ナェ在社『洋尋З々БЦЭХŮ•Й』"
"COMMUNITY_ERROR_PLATFORM_ID_NOT_LINKED": "БЬけゝぽゝぞくЦTHQ IDЭらをぎГ〈ФĚ•Й』"
"MAINMENU_NEW_GAME_NO_PROFILE_LOG_IN_NOW": "けゝみЬ警考油札『ずゝふЕН。在社『洋尋ЕН。З々ЩЭ\nけゝぽゝ ぶれぴあゝりЩごぃをぃをЗ々尻脈ŤĎ。•Зñ\nごぃをぃをЕ•ЗŠ需"
"BTN_BACK_TXT": "A ほぞを"
"DPAD_LR_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_dpad_lr][/format]"
"BTN_RTHUMB_IMG": "[format][scale:0.9][color:full_bright][image:ui_ctrl_360_btn_rs][/format]"
"BTN_X_TXT": "A ほぞを"
