"UNL_DESC_DLC2_ASSET03_OUTFITS03": "Переоденьтесь в солдата Моргенштерна."
"UNL_DESC_DLC2_ASSET05_CLOTHING": "НОВЫЕ МАСКИ ДЛЯ ВАШЕГО НАБОРА УЖАСОВ."
"UNL_DLC2_ASSET05_ALERT": "НАБОР УЖАСОВ"
"UNL_DESC_DLC2_ASSET06_ALERT": "В вашем гардеробе и гараже доступен новый загружаемый контент."
"CUST_ITEM_DLC_HAT_SKELETON": "МАСКА СКЕЛЕТА"
"DLC2_M03_EXECUTE_VIRUS": "УНИЧТОЖЬТЕ [format][color:kill]ВИРУС[/format]."
"DLC2_M03_DESTROY_SHIELDS": "УНИЧТОЖЬТЕ [format][color:kill]ЩИТЫ ПЕРЕДАТЧИКА[/format]."
"DLC2_M02_GO_TO_BACKSTAGE": "ИДИТЕ [format][color:location]ЗА СЦЕНУ[/format]"
"DLC2_M01_HUD_LEAVE_HELI_AREA": "РЕЖИССЕР ХОЧЕТ, ЧТОБЫ ВЫ ВОШЛИ В ЗОНУ С СЕВЕРА"
"DLC2_M01_OBJ_DESTROY_PURSUERS": "УНИЧТОЖЬТЕ [format][color:kill]ПРЕСЛЕДОВАТЕЛЕЙ[/format]"
"DLC2_ACHIEVE_SR3_BLOWING_THE_BUDGET": "Первый контакт"
"DLC2_OUTRO_PC_02": "Пока."
"DLC2_WPN_LASERCANNON_DESCRIPT": "ВИНТОВКА ЭЛИТНЫХ КОСМИЧЕСКИХ ВОИТЕЛЬНИЦ-АМАЗОНОК."
"cm_dkr01_suit": "СОЛДАТ ДЕКЕРОВ"
"UNL_DLC2_HOMIE_SPACE_BRUTINA": "БРАТОК - КОСМОЗВЕРЮГА"
"UNL_DESC_DLC2_GANG_ALIENS": "Теперь в вашей банде могут быть космические пришельцы."
"DLC2_M02_BOARD_SAUCER": "ПРОНИКНИТЕ  [format][color:use]НА КОРАБЛЬ[/format]"
"DLC2_M02_PROGRESS_02": "ПЕРЕНАСТРОЙКА"
"DLC2_ACHIEVE_SR3_MAN_POWER": "Королева воинов"
"DLC2_OUTRO_PC_12": "Ну ладно. Хотя, кажется, немного экстремально. "
"DLC2_M02_RETURN_TO_HOMIE": "ВОЗВРАЩАЙТЕСЬ К КВИЛАННЕ"
"DLC2_M01_OBJ_GO_TO_CRIB": "СБЕГИТЕ В  [format][color:location]ЖИЛИЩЕ[/format]"
"DLC2_INTRO_PC_08": "Ну, я бы не стал так радоваться. Работать на камеру - это скорее для Шаунди или Пирса. Я кучу времени провозился с этим сценарием."
"DLC2_INTRO_KWILANNA_04": "Хм, прошу прощения?.."
"CUST_ITEM_ALIEN_HAT": "ШЛЕМ КОНТРОЛЯ РАЗУМА"
"cm_msspcl_suit": "СПЕЦИАЛИСТ \"МОРГЕНШТЕРНА\""
"CUST_ITEM_MSFEM02_GLOVES": "ПЕРЧАТКИ \"МОРГЕНШТЕРНА\""
"DLC2_M03_BARNSTORM_UNDER_BRIDGE": "ПРОЛЕТИТЕ ПОД [format][color:location]МОСТОМ[/format]"
"DLC2_M01_FAIL_ESCAPE_CAR_DESTROYED": "ВАША МАШИНА ДЛЯ БЕГСТВА УНИЧТОЖЕНА!"
"DLC2_M01_NAME": "БЫСТРЕЕ И СИЛЬНЕЕ!"
"DLC2_INTRO_KWILANNA_14": "О, мистер Чжен, я играю Квиланну..."
"DLC2_INTRO_DIRECTOR_11": "Прекрасно! Вот это, мать ее, киноправда! Вы произведете фурор!"
"DLC2_WPN_LASERCANNON": "ЛАЗЕРНАЯ ПУШКА"
"CUST_ITEM_LUSPEC_OUTFIT": "ЛУЧАДОРСКИЙ СПЕЦИАЛИСТ"
"DLC2_M02_GET_PISTOL": "ВОЗЬМИТЕ [format][color:use]ЛАЗЕРНЫЙ ПИСТОЛЕТ[/format]"
"DLC2_M01_OBJ_DEFEND_BULLDOG": "ЗАЩИЩАЙТЕ [color:defend][format]МАШИНУ[/format]"
"DLC2_ACHIEVE_SR3_LIGHTS_CAMERA_ACTION": "Свет! Камера! Мотор!"
"UNL_DESC_DLC2_ASSET03_OUTFITS01": "Это прикид позволит вам переодеться в солдата-лучадора Киллбейна."
"DLC2_WPN_LASERPISTOL_DESCRIPT": "ЛЮБИМОЕ ОРУЖИЕ КОСМИЧЕСКИХ АМАЗОНОК"
"CM_DKR02_OUTFIT": "ДЕКЕР-СПЕЦИАЛИСТ"
"cm_dkr01_hdphones": "ДЕКЕРСКИЕ НАУШНИКИ  "
"UNL_DLC2_ASSET05_OUTFITS02": "ПРИКИД - КРОМСАТЕЛЬ"
"CUST_ITEM_LUSPEC_MASK": "МАСКА ЛУЧАДОРСКОГО СПЕЦИАЛИСТА"
"DLC2_M03_TUT_TITLE_NEAR_CRASH": "БЛИЗКО К СТОЛКНОВЕНИЮ"
"DLC2_M02_SEARCH_CODE": "ИЩИТЕ [format][color:use]КОД[/format]"
"DLC2_M02_PLAYER_DESTROY_MACHINE": "УНИЧТОЖЬТЕ [format][color:kill]МАШИНУ УПРАВЛЕНИЯ РАЗУМОМ[/format]"
"DLC2_M01_HUD_JUMP": "ПРЫГНУТЬ"
"DLC2_ACHIEVE_SR3_PEW_PEW_PEW": "Пиу-пиу-пиу!"
"DLC2_ACHIEVE_SR3_NO_STUNTMAN_REQUIRED": "У меня свои трюки"
"DLC2_OUTRO_KWILANNA_06": "Я убью этого сукина сына!"
"DLC2_INTRO_PC_06": "Это хорошо или плохо?"
"DLC2_M03_TUT_TITLE_ALIEN_AIRCRAFT": "КОРАБЛЬ ПРИШЕЛЬЦЕВ"
"DLC2_M03_DESTROY_SHIELD": "УНИЧТОЖЬТЕ [format][color:kill]ЩИТ ПЕРЕДАТЧИКА[/format]."
"DLC2_M02_GO_TO_SERVER": "ИДИТЕ  [format][color:location]К СЕРВЕРУ[/format]"
"DLC2_INTRO_PC_01": "Я убью этого сукина сына..."
"UNL_DLC2_ASSET06_VEHICLES": "МАШИНА - ДЕВИЧЬИ МАШИНЫ ДЖЕНКИ"
"DLC2_M03_GOTO_VIRUS_LOCATION": "ОТПРАВЛЯЙТЕСЬ К  [format][color:location]МЕСТУ ПРОВЕДЕНИЯ ОПЕРАЦИИ[/format]."
"DLC2_M02_MISSION_FAIL_HOMIE_DIED": "КВИЛАННА МЕРТВА!"
"DLC2_M01_PRE_MISSION_OBJ": "ИДИТЕ НА [format][color:location]СТУДИЮ[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS06": "Переоденьтесь в специалиста-декера Мэтта Миллера."
"DLC2_OUTRO_KWILANNA_11": "Я устала. Я устала от того, что он пытается нас убить, я устала от того, что он такой вредный, и устала от его дурацкоого ебучего шарфа!"
"DLC2_INTRO_DIRECTOR_18": "Слушайте! Эта мисс МакНикто ничего не испортит - обещаю! Я ей просто не дам! Договорились? Просто будьте самим собой, это будет нечто!"
"UNL_DESC_DLC2_GANG_PENTHOUSE": "Теперь вы можете брать в банду кисок Penthouse."
"UNL_DLC2_GANG_PENTHOUSE": "ИЗМЕНЕНИЕ БАНДЫ"
"CM_DKR01_OUTFIT": "ДЕКЕРСКИЙ СОЛДАТ"
"UNL_DESC_DLC2_ASSET05_OUTFITS01": "Вступите в ряды армии мертвецов, надев этот костюм."
"UNL_DESC_DLC2_ASSET06_VEHICLES": "Девичьи машины Дженки."
"CUST_ITEM_MSFEM02_SUIT": "СОЛДАТ \"МОРГЕНШТЕРНА\""
"DLC2_M02_SELF_DESTRUCT": "МЕХАНИЗМ САМОУНИЧТОЖЕНИЯ АКТИВИРОВАН"
"DLC2_M01_FAIL_KWILANNA_DISMISSED": "КВИЛАННА УВОЛЕНА!"
"DLC2_M01_OBJ_PREPARE_JUMP": "ПРИГОТОВЬТЕСЬ К  [color:location][format]ПРЫЖКУ[/format]"
"DLC2_INTRO_KWILANNA_07": "О, боже мой, вы меня разыгрываете? Моя первая роль - и я сразу играю с лидером Святых!"
"DLC2_M02_APPROACH_SAUCER": "ЗАХВАТИТЕ  [format][color:location]КОРАБЛЬ[/format]"
"DLC2_M01_OBJ_BREACH_HELIPORT": "ПРОБЕЙТЕСЬ НА [format][color:location]ВЕРТОЛЕТНУЮ ПЛОЩАДКУ ГВАРДИИ[/format]"
"DLC2_M02_KILL_BRUTINA": "УБЕЙТЕ ИНОПЛАНЕТНУЮ ЗВЕРЮГУ"
"DLC2_WPN_AUTOLASER": "АВТОЛАЗЕР"
"UNL_DESC_DLC2_HOMIE_KWILANNA": "Дженни можно найти в меню \"ТЕЛЕФОН\" вашего мобильника. Она поможет Святым в бою."
"UNL_DLC2_HOMIE_KWILANNA": "БРАТОК - ДЖЕННИ"
"CUST_ITEM_ZOMBIE_LBDY_M_PANTS": "ШТАНЫ ЗОМБИ"
"DLC2_M02_WAIT_FOR_HOMIE": "ПОДОЖДИТЕ  [format][color:location]КВИЛАННУ[/format]"
"DLC2_OUTRO_PC_01": "Земля в безопасности."
"DLC2_INTRO_DIRECTOR_15": "В самом деле? Мне казалось, на роль Квиланны мы позвли актрису, у которой есть имя!"
"CUST_ITEM_DLC_HAT_DEVIL": "МАСКА ДЬЯВОЛА"
"DLC2_M03_ESCAPE": "[format][color:location]ВЫЙДИТЕ[/format] ЗАТ ПРЕДЕЛЫ РАДИУСА ДЕЙСТВИЯ СИГНАЛА."
"DLC2_M02_PROGRESS_01": "ВЗЛОМ"
"DLC2_M02_APPROACH_MACHINE_COOP": "ИДИТЕ К [format][color:location]МАШИНЕ УПРАВЛЕНИЯ РАЗУМОМ[/format]"
"DLC2_M02_MISSION_NAME": "АНГАР 18 1/2"
"HOMIE_DESC_DLC2_KWILANNA": "Эта межгалактическая злодейка надерет любому задницу."
"DLC2_M02_GET_FINAL_WEAPON": "ВОЗЬМИТЕ  [format][color:use]ЛАЗЕРНУЮ ПУШКУ[/format]"
"DLC2_OUTRO_DIRECTOR_07": "ЭТО НЕ ТВОЯ РЕПЛИКА! ТЫ, ЧЕРТ ВОЗЬМИ, ВООБЩЕ ОТ СЦЕНАРИЯ ОТХОДИШЬ?"
"DLC2_INTRO_PC_02": "Я!.. убью этого сукина сына..."
"DLC2_M03_KILL_NATIONAL_GUARD": "УНИЧТОЖЬТЕ [format][color:kill]ЛОВУШКУ СТИЛПОРТСКОЙ ГВАРДИИ[/format]."
"DLC2_M02_GO_TO_CONSOLE": "ИДИТЕ  [format][color:location]К КОНСОЛИ БЕЗОПАСНОСТИ[/format]"
"DLC2_M02_GET_SMG": "ВОЗЬМИТЕ [format][color:use]АВТОЛАЗЕР[/format]"
"DLC2_M01_OBJ_GO_TO_HELICOPTER": "СЯДЬТЕ В [format][color:use]ВЕРТОЛЕТ[/format]"
"UNL_DESC_DLC2_ASSET03_OUTFITS05": "Переоденьтесь в солдата-декера Мэтта Миллера."
"UNL_DESC_DLC2_CUST01_ALERT": "В вашем жилище доступен новый загружаемый контент."
"CUST_ITEM_MSFEM02_OUTFIT": "СОЛДАТ \"МОРГЕНШТЕРНА\""
"UNL_DESC_DLC2_ITEM_MIND_CONTROL_HELMET": "Теперь в гардеробе вашего жилища вы сможете найти шлем управления разумом."
"UNL_DESC_DLC2_ASSET05_OUTFITS02": "Одежда образцового злодея из фильмов ужасов."
"DLC2_M02_GO_TO_HANGER": "ИДИТЕ В  [format][color:location]АНГАР[/format]"
"DLC2_M02_PROTECT_HOMIE": "ЗАЩИТИТЕ  [format][color:protect]КВИЛАННУ[/format]"
"DLC2_M01_HUD_UNTIE_ALIEN": "РАЗВЯЗАТЬ ПРИШЕЛЬЦА"
"UNL_DESC_DLC2_ASSET03_OUTFITS02": "Это прикид позволит вам переодеться в специалиста-лучадора Киллбейна."
"DLC2_OUTRO_PC_08": "Эй, Дженни, у тебя опять безумные глаза."
"UNL_DLC2_CUST01_ALERT": "НАБОР PENTHOUSE"
"CM_MSSPCL_OUTFIT": "СПЕЦИАЛИСТ \"МОРГЕНШТЕРНА\""
"UNL_DESC_DLC2_HOMIE_SPACE_BRUTINA": "Космозверюгу можно найти в меню \"ТЕЛЕФОН\" вашего мобильника. Она поможет Святым в бою."
"UNL_DLC2_ASSET05_OUTFITS01": "ПРИКИД - ХИЩНЫЙ ЗОМБИ"
"CUST_ITEM_DLC_HAT_HOCKEY": "ХОККЕЙНАЯ МАСКА"
"DLC2_M03_TUT_NEAR_CRASH": "Чтобы выполнить трюк \"Близко к столкновению\", пролетайте как можно ближе к зданиям."
"DLC2_M02_USE_REWIRE": "ПЕРЕНАСТРОИТЬ"
"DLC2_M02_MISSION_FAIL_DIDNT_PROTECT_HOMIE": "ВЫ НЕ ЗАЩИТИЛИ КВИЛАННУ!"
"DLC2_OUTRO_PC_18": "Ого."
"DLC2_WPN_LASERPISTOL": "ЛАЗЕРНЫЙ ПИСТОЛЕТ"
"CUST_ITEM_DLC_OUTFIT_WEREWOLF": "ОБОРОТЕНЬ"
"DLC2_M03_GOTO_THIRD_TRANSMITTER": "ОТПРАВЛЯЙТЕСЬ К [format][color:location]ТРЕТЬЕМУ ПЕРЕДАТЧИКУ[/format]."
"DLC2_M01_FAIL_KWILANNA_DIED": "КВИЛАННА МЕРТВА!"
"DLC2_OUTRO_DIRECTOR_05": "ЧТО ТУТ БЛЯДЬ ПРОИСХОДИТ? ДЖЕННИ, ЧИТАЙ СВОЮ ЧЕРТОВУ РЕПЛИКУ!"
"DLC2_INTRO_DIRECTOR_09": "А что не так со сценарием? Вы только скажите - немедленно подрежем!"
"CUST_ITEM_CM_DLC_ZOMBIE1": "ХИЩНЫЙ ЗОМБИ"
"DLC2_M02_SECURITY_ACTIVATING": "АКТИВАЦИЯ СИСТЕМЫ БЕЗОПАСНОСТИ"
"DLC2_M01_OBJ_KILL_NAT_GUARD": "УНИЧТОЖЬТЕ [format][color:kill]СТИЛПОРТСКУЮ ГВАРДИЮ[/format]"
"DLC2_ACHIEVE_SR3_MDK3000": "Сделай бочку!"
"DLC2_OUTRO_DIRECTOR_15": "ТЫ УЖЕ ЗАПОРОЛА ДУБЛЬ, СНАЧАЛА НАЧИНАЕМ!"
"DLC2_INTRO_DIRECTOR_19": "Хорошо! СНИМАЕМ, НАХЕР!"
"DLC2_INTRO_PC_10": "Нет, все круто, я просто... Мне дохера карточек с подсказками понадобится."
"DLC2_M03_BARNSTORM_THROUGH_BRIDGE": "ПРОЛЕТИТЕ ПОД [format][color:location]МОСТОМ[/format]"
"DLC2_M03_PRE_CALL_OBJ": "ИДИТЕ НА [format][color:location]СЪЕМОЧНУЮ ПЛОЩАДКУ[/format]"
"DLC2_ACHIEVE_SR3_A_LISTER": "Второсортная знаменитость"
"DLC2_OUTRO_KWILANNA_17": "Мы производим фурор."
"UNL_DLC2_ASSET05_OUTFITS03": "ПРИКИД - ОБОРОТЕНЬ"
"UNL_DESC_DLC2_ASSET05_ALERT": "В вашем гардеробе и гараже доступен новый загружаемый контент."
"UNL_DLC2_ASSET06_ALERT": "ДЕВИЧИЙ КОМПЛЕКТ ДЖЕНКИ"
"DLC2_M02_GO_TO_CONTROL_ROOM": "ИДИТЕ В  [format][color:location]МАШИННЫЙ ЗАЛ[/format]"
"DLC2_M02_GO_TO_SERVER_ROOM": "ИДИТЕ [format][color:location]В СЕРВЕРНУЮ КОМНАТУ[/format]"
"DLC2_M02_REWIRE_EXPLOSIVES": "ЗАМЕНИТЕ ПРОВОДКУ ДЛЯ [format][color:use]ВЗРЫВЧАТКИ[/format]"
"DLC2_M01_FAIL_DIRECTOR_UNHAPPY": "ДИРЕКТОР НЕДОВОЛЕН ДУБЛЕМ!"
"DLC2_M01_OBJ_LAND_TARGET": "ПРИЗЕМЛИТЕСЬ НА [format][color:location]ЦЕЛЬ[/format]"
"DLC2_OUTRO_PC_14": "Да, хороший аргумент. "
"DLC2_INTRO_KWILANNA_05": "О, приветик! Я Дженни, и я просто хотела сказать, что я очень рада и очень волнуюсь!"
"CUST_ITEM_CM_DLC_LU02": "ЛУЧАДОРСКИЙ СОЛДАТ"
"CUST_ITEM_DLC_HAT_LU02": "МАСКА ЛУЧАДОРСКОГО СОЛДАТА"
"DLC2_M02_PROGRESS_LABEL": "ПРОГРЕСС"
"DLC2_M02_APPROACH_MACHINE_LOCAL": "ИДИТЕ К [format][color:location]МАШИНЕ УПРАВЛЕНИЯ РАЗУМОМ[/format]"
"DLC2_M01_OBJ_GO_TO_BULLDOG": "СЯДЬТЕ В  [format][color:use]МАШИНУ[/format]"
"DLC2_OUTRO_PC_04": "Э-э... Квиланна?"
"CUST_ITEM_DLC_MASK_WEREWOLF": "МАСКА ОБОРОТНЯ"
"UNL_DLC2_VEHICLE_SPACE_JET_BIKE": "МАШИНА - КОСА"
"UNL_DESC_DLC2_STORY01_ALERT": "Загляните в свой мобильник, чтобы ознакомиться с новыми заданиями."
"CUST_ITEM_MSFEM02_EAR": "СЕРЬГИ \"МОРГЕНШТЕРНА\""
"DLC2_M03_GET_TO_AIRCRAFT": "ВОЙДИТЕ  В [format][color:use]К+N10682[/format]."
"DLC2_M01_OBJ_RESCUE_ALIEN": "СПАСИТЕ [format][color:use]КВИЛАННУ[/format]"
"DLC2_INTRO_DIRECTOR_17": "Ну прекрасно, блядь. "
"DLC2_INTRO_KWILANNA_12": "Приятно с вами познакомиться, мистер Чжен!"
"CUST_ITEM_DLC_SUIT_WEREWOLF": "ОБОРОТЕНЬ"
"CUST_ITEM_DLC_SUIT_LU02": "СОЛДАТ ЛУЧАДОРОВ"
"DLC2_M02_PROGRESS_03": "ПОИСК..."
"DLC2_M02_GO_TO_SET": "ИДИТЕ [format][color:location]НА СЪЕМОЧНУЮ ПЛОЩАДКУ[/format]"
"DLC2_M02_MISSION_FAIL_OUT_OF_TIME": "У ВАС КОНЧИЛОСЬ ВРЕМЯ!"
"DLC2_M01_OBJ_ESCAPE_NG": "СБЕГИТЕ ОТ  [format][color:location]СТИЛПОРТСКОЙ ГВАРДИИ[/format]"
