"Storye01_In_Crawl_02": "La storia dell'umanità."
"Story15_Out_03_Player_BM": "Ti do 50 dollari. Scegline una carina."
"Story15_In_04_Kinzie": "È vietato dormire."
"Story06_Mid_06_Pierce": "Perché sei ancora qui legato se ti hanno già clonato?"
"Story02_In_28_Player_BM": "Non senza di te."
"Story02_In_16_Phillipe": "Ovviamente no, altrimenti non avreste rapinato la nostra banca. Probabilmente vi state chiedendo perché non vi abbiamo ancora uccisi."
"Story01_In_22_Player_BM": "Il piano è proprio quello."
"CTO_Pierce02_07_Player_BM": "Loren è un uomo scaltro, non andrebbe a nascondersi in un edificio così prevedibile. Mi serve qualcosa di concreto."
"Story21_In_02_Bobby": "Una notte incredibile, Zach, e sta per iniziare l'evento principale."
"Story17_In_06_Viola": "Hai detto... prigionieri?"
"Story09_In_02_Player_BM": "Quando sarà nostra, i Morningstar dovranno chiudere i battenti."
"Story08_In_03_Zimos": "Mi hanno trasformato in un pony per uno spettacolino, ma io non mi sono messo a frignare, capito ragazzina?"
"Story17_Mid_04_Cyrus": "Come butta?"
"Story07_Out_10_Viola": "Che cosa dobbiamo fare, Killbane?"
"Story02_Out_02_Phillipe": "... Viola e Kiki spargeranno la voce: Steelport appartiene ai Syndicate e i Saints qui non sono i benvenuti."
"Story02_In_15_Shaundi": "Mai sentita."
"Story01_In_25_Player": "Dagli tregua! Josh sta semplicemente studiando la sua parte."
"CTO_Pierce02_10_Pierce": "Ma no, Powder è un popolare negozio di armi in città. Ho visto alcuni degli scagnozzi di Loren che parlavano con il proprietario. Deve esserci qualcosa."
"CTO_Pierce02_09_Player_BM": "Non ho tempo per gli spogliarelli."
"Story22_OutB_05_Monica": "Che le piaccia o no... i Saints sono degli eroi."
"CTO_Kinzie01_02_Kinzie": "No, odio la gente."
"Story13_Zscene01_05_Pierce": "Che ne pensi, capo?"
"Story19_Out_01_Monica": "Comandante, che diavolo sta facendo?!"
"Story19_In_14_Reynolds": "Avrei un problema di zombi e..."
"Story15_Out_02_Kinzie": "Quasi. Mi serve una sedia."
"Story13_In_06_Shaundi": "Oddio, posso sparargli?"
"Story11_Out_07_Monica": "Assolutamente no."
"Story10_In_08_Viola": "Voglio veder soffrire Killbane."
"Story09_In_03_Zimos": "Come hai intenzione di trasportarle tutte?"
"Story02_In_22_Player_BM": "Ascoltami bene, francese di merda..."
"Story02_In_07_Gat": "Quindi si tratta solo di soldi?"
"Story01_In_06_Josh": "Sono un attore serio. Se devo calarmi nel ruolo di un Saints ed essere credibile, devo fingere che sia reale."
"Storye01_In_Crawl_07": "Un film sui Saints è in produzione. JOHNNY GAT e SHAUNDI sono icone della cultura pop. E PIERCE..."
"Story16_Zscene01_03_Matt": "Con piacere."
"Story19_In_24_Reynolds": "Come se non avessi già dovuto mettere nel sacco un'organizzazione paramilitare! Chiamami quando hai finito."
"Story16_Out_01_Killbane": "Vorrei che ci ripensassi, Matt. Le mie mani sono fatte per spezzare ossa, non per battere su una tastiera."
"Story02_Out_01_Phillipe": "Signori, le trattative sono andate... peggio di quanto sperassi."
"CTO_Angel01_04_Angel": "Quindi ti piacciono le comodità. I Luchadores approfitteranno di questa tua debolezza. Se non tiri fuori le palle, Killbane ti ridurrà a pezzi. Ma non ti preoccupare, grazie a me avrai la durezza di un diamante."
"CTO_Pierce01_06_Player_BM": "I Syndicate sapranno che abbiamo le chiavi. Aspetteranno la nostra mossa successiva."
"Story10_Out_01_Cyrus": "Sono Cyrus Temple, comandante dell'unità tattica speciale anti gang e sono qui per rispondere alle vostre domande sull'iniziativa STAG."
"Story07_Out_03_Killbane": "Avevo in mente qualcun altro."
"SH_Morningstar01_04_Pierce": "E dentro, testa di cazzo?"
"Story02_In_01_Player_BM": "Cazzo succede?! Avevamo pagato la mazzetta."
"CTO_Kinzie02_03_Kinzie": "Dico sul serio. Dovresti anche buttare via il tuo costosissimo cellulare perché ti posso rintracciare anche con quello."
"CTO_Kinzie01_05_Player_BM": "Che cosa hai fatto da quando sei stata liberata?"
"Story23_In_03_Player_BM": "Per Shaundi!"
"Story19_In_13_Player": "Oh, certo. Fantastico! Di che hai bisogno?"
"Story17_Mid_07_Agent": "Potrei farlo io, signore."
"Story06_Mid_05_Oleg": "Phillipe ha il pallino della clonazione e io sono... il prototipo dei suoi bestioni."
"CTO_Pierce01_02_Player_BM": "Che succede?"
"Story16_Zscene01_05_Matt": "Non l'hai capito? Io qui sono un dio."
"Story22_OutA_04_Monica": "Aveva ragione, comandante. Metta in funzione il Daedalus."
"Story19_In_04_Viola": "Ripeti dopo di me: niente casini con il sindaco."
"CTO_Angel02_04_Angel": "Non perdere di vista l'obiettivo. Hai superato le tue paure."
"CTO_Kinzie01_01_Player_BM": "Credevo che avresti voluto festeggiare un po' visto che sei stata appena liberata."
"Story23_In_07_Player_BM": "Col cazzo. Romperemo il loro giocattolino."
"Story22_OutB_04_Monica": "Ha ragione, comandante..."
"Story22_In_01_Player_BM": "Novità?"
"Story03_Out_08_Player_BM": "Calmati, Shaundi. Abbiamo un piano."
"Story02_In_06_Player_BM": "Il nostro marchio vale un botto..."
"Story07_Zscene02_05_Player_BM": "Non ce ne è bisogno."
"Story12_Out_03_Cyrus": "Hanno rapito Birk."
"Story21_Zscene03_01_Player_BM": "Sorridi Killbane, siamo in onda in tutto il Paese."
"Story07_Zscene02_06_Player_BM": "Cerca una salvietta umidificata o roba simile. Che succede?"
"Story01_Zscene01_05_Josh": "Ho qua gli strumenti, compagni."
"Story22_OutB_15_Player_BM": "Killbane sta preparando un esercito per un attacco senza esclusione di colpi. Lo fermeremo. Il pianeta ha bisogno di noi."
"Story21_In_05_Player_BM": "Io resterò a bordo ring per toglierti dalle palle i Luchadores mentre tu finisci Killbane. In bocca al lupo."
"Story20_In_05_Viola": "Senza la maschera, è soltanto Eddie Pryor. Per lui è peggio della morte."
"Story14_In_06_Anna": "Killbane, alcune persone dicono che lei è un criminale."
"Story12_In_12_Viola": "Mi chiamo Viola."
"Story03_Out_06_Player_BM": "Ho capito. Beh, se dovremo far intervenire gli altri, ci servirà una nuova base."
"22_Choice_08_Kia": "Quando farete saltare in aria Magarac Island, la gente vi vedrà per quello che siete."
"Storye01_In_Crawl_03": "Fin dai tempi più remoti i grandi leader nacquero da umili origini per diventare..."
"CTO_Kinzie02_05_Kinzie": "Sono d'accordo. Dovremmo usare un codice segreto..."
"CTO_Pierce01_08_Player_BM": "Andiamo."
"Story07_Zscene02_01_Player_BM": "Spiacente se ti abbiamo usato per... scarrozzarci."
"Story01_Zscene01_07_Gat": "No, cazzo. La facciamo saltare in aria."
"Story22_OutB_12_Player_BM": "Non ancora."
"Story22_In_08_Player_BM": "Dobbiamo andare."
"Story20_In_04_Player_BM": "Non basta ucciderlo?"
"SH_Decker_06_Oleg": "NEMO, cioè un dispositivo onirico neurologico elettromagnetico. Il KGB ha distrutto l'unico esemplare."
"Story12_In_01_Viola": "Oh, guarda. Pierce sa leggere."
"Story07_In_09_Oleg": "Il braccio destro dei Syndicate."
"Story06_Mid_10_Oleg": "Fidatevi, sono abbastanza forte da uccidere Phillipe."
"22_Choice_06_Player": "Certo, certo. Se credi di poterci arrestare, ti sbagli di grosso!"
"Story13_Zscene01_02_Pierce": "Sì, ma noi abbiamo il vostro bamboccio."
"Story06_Mid_04_Player_BM": "Che diavolo è tutta questa roba?"
"SH_Morningstar01_02_Pierce": "Non sarà sorvegliato anche lì?"
"Story03_Out_02_Player_BM": "Tu dovrai tornare a Stilwater."
"Story21_Zscene01_02_Zach": "Che spettacolo atroce. I Luchadores stanno malmenando Angel."
"Story06_Zscene01_02_Player_BM": "Dannazione!"
"Story01_Zscene01_10_Player_BM": "Forza, all'opera."
"Story17_In_02_Viola": "Non possiamo semplicemente arrivare a piedi sulla portaerei degli STAG."
"HASH_29CD6718": "Fate come me."
"Story09_Out_07_Monica": "Miei esimi colleghi. Il momento è giunto... Abbiamo schierato gli STAG a Steelport."
"Story06_In_02_Shaundi": "Dammi quella fottuta arma, Pierce."
"Storye01_In_Crawl_06": "Dalla conquista di Stilwater, la piccola gang è diventata un caso mediatico."
"CTO_Zimos02_04_Zimos": "Merda, ti ricordi dello spettacolo del pony? Non sono nelle loro grazie da un sacco di tempo. Comunque non ti ho chiamato qui per parlare di me. Hai ucciso Phillipe Loren e dimostrato ai Morningstar che non hai intenzione di andartene. Rilassati un po'!"
"SH_Morningstar02_01_Monica": "Finora nessuna banda ha rivendicato l'attacco di Stilwater e la causa ci è ancora sconosciuta. I media senza freni e le mode hanno reso popolare la cultura delle gang tra i giovani, trasformando questi gruppi di sociopatici in eroi. Ma non lo permetteremo!"
"Story07_In_08_Player_BM": "Kill... chi?"
"Story05_In_04_Player_BM": "Procediamo."
"Story02_In_19_Viola": "Potrete continuare a svolgere le attività del gruppo Saints/Ultor come meglio credete, in cambio del 66 per cento delle vostre rendite mensili."
"Story12_Out_04_Cyrus": "Signora, le garantisco che lo salveremo."
"CTO_Zimos01_09_Player_BM": "Per me va bene."
"CTO_Zimos01_04_Zimos": "Se avessi indossato un bavaglio con morso e una coda da asino per qualche anno, avresti bisogno anche tu di sfogarti un po'."
"Story01_Zscene03_01_Player_BM": "Via! Via! Via!"
"Story22_OutA_01_Pierce": "Hai ucciso quel figlio di puttana?"
"Story06_Mid_07_Oleg": "Le copie sono difettose. Hanno i miei muscoli, ma non il cervello. Posso aiutarvi."
"Story20_In_02_Viola": "Per colpire Killbane, devi colpire la sua reputazione."
"CTO_Zimos01_07_Player_BM": "Perché i Saints possano restare a Steelport, i Morningstar dovranno andarsene. Ho già sistemato la situazione a Downtown, ma quegli stronzi sono ovunque."
"Story12_In_15_Player_BM": "Per me va bene."
"Story17_In_09_Pierce": "Cazzo, no!"
"SH_Decker_04_Oleg": "... Sedia NEMO, è ovvio."
"Story11_Out_04_Kia": "Nyte Blayde è il testimonial degli STAG? Perché non metterci qualcuno travestito da asino allora?"
"SH_Morningstar02_04_Player_BM": "Che diavolo è l'iniziativa STAG...?"
"Story08_In_08_Pierce": "Dannazione... Bisogna continuare a vivere, capisci che intendo?"
"Storye01_In_Crawl_08": "Be', chi cazzo se ne frega di Pierce..."
"CTO_Zimos01_03_Player_BM": "Tu non perdi tempo..."
"Story17_Mid_03_Kia": "Bentornato, signore."
"Story14_In_04_Anna": "... Eddie \"Killbane\" Pryor. Grazie per essere venuto, Eddie."
"Story06_In_03_Player_BM": "Quel figlio di puttana capirà con chi ha a che fare."
"Story07_Zscene02_02_Zimos": "Questo è un salvataggio, giusto? Non una qualche trama elaborata per una scopata di gruppo..."
"Story20_Out_05_Killbane": "Se vuoi che l'Apocalisse che Cammina ti spezzi le ossa, lo farò con piacere."
"Story16_Out_02_Matt": "Se digitare rappresenta un problema, posso consigliarti un programma di riconoscimento vocale."
"Story05_Out_05_Matt": "Con tutto il rispetto..."
"CTO_Zimos01_02_Zimos": "Sssh, non svegliare le puttane."
"Story17_Zscene01_02_Cyrus": "Quindi è così che ti chiami."
"Story24_Out_04_Director": "STOP!"
"Story18_Out_01_Player_BM": "Porca troia."
"Story12_Out_02_Cyrus": "Mi metta in contatto con Monica Hughes."
"CTO_Angel02_03_Player_BM": "UNA FOTTUTA TIGRE?!"
"Story07_Zscene03_03_Player_BM": "Però loro sì."
"Story23_Out_14_Pierce": "Pessima idea. Ci sto."
"Story12_In_04_Pierce": "Se ci organizziamo, possiamo anticipare quegli stronzi."
"Story23_Out_09_Player_BM": "Ho un messaggio per Monica Hughes e i suoi scagnozzi. Cara puttana, Steelport ha cambiato gestione e noi non siamo al tuo servizio. Consideralo territorio straniero e se metti di nuovo piede nella mia città, te ne tornerai a casa in una bara. Vi restituisco la linea."
"Story22_OutA_02_Player_BM": "Già."
"Story17_In_04_Viola": "Che cosa faresti una volta a bordo?"
"Story13_Out_02_Kia": "Devo farle i miei complimenti, comandante."
"Story08_In_07_Shaundi": "Fate come cazzo vi pare."
"Story05_In_03_Shaundi": "Gli altri sono giù, pronti a rovinare la festa. Aspettano i tuoi ordini."
"Storye01_In_Crawl_05": "E così fu per i THIRD STREET SAINTS."
"CTO_Zimos02_02_Zimos": "Razza d'incompetente! Che cosa ne capisci di arte? Quello è un originale delle sorelle DeWynter! L'ho acquistato ai tempi in cui io e loro eravamo per il \"vivi e lascia vivere\"."
"Story16_Zscene02_03_Player_BM": "Kinzie troverà un modo."
"Story24_Out_11_Director": "E... AZIONE!"
"Story24_Out_09_Asst_Director": "Ciak!"
"Story01_In_21_Gat": "Hai un piano o spariamo addosso a tutti questi figli di puttana?"
"Story07_Zscene02_04_Zimos": "Ok per il salvataggio allora. Ti stringerei la mano, ma questi pavimenti sono un po' appiccicosi, se capisci che intendo."
"Story07_Zscene01_05_Goon": "Sono andati da questa parte!"
"Story23_Out_04_Player_BM": "Fermi tutti, non ci costringete a sparare. Chiaro?!"
"Story22_In_06_Pierce": "Porca puttana."
"SH_Luchadore_03_Player_BM": "Come vuoi farlo?"
"Story17_Mid_06_Cyrus": "Grazie ma... vorrei sbattere questi due in gattabuia il prima possibile."
"Story22_Zscene01_02_Killbane": "Eccoci qua... Due titani tra gli uomini, venerati dagli infimi mortali perché abbiamo il potere del sangue e del fuoco. Questo momento era inevitabile..."
"Story16_Zscene02_07_Player_BM": "Adesso si ragiona..."
"Story23_Out_12_Pierce": "Beh, hai praticamente dato vita a una città-stato."
"Story14_Out_06_Shaundi": "Lo avevo in pugno!"
"Story14_In_03_Anna": "... Fortunatamente è emerso questo video esclusivo e con noi in diretta c'è la persona che lo ha filmato..."
"Story12_In_02_Pierce": "Senti, non devo renderne conto a te. Gli STAG stanno usando Nyte Blayde come mascotte. Noi lo rapiamo..."
"22_Choice_05_Kia": "Pronto..."
"CTO_Pierce02_11_Player_BM": "Andiamo a fare spesa."
"Story13_In_03_Josh": "L'ho sentito subito: abbiamo un legame speciale."
"Story09_In_01_Zimos": "C'è un sacco di fica su quella nave."
"Story06_Mid_09_Shaundi": "Che potrebbe fare? Probabilmente questi tubi e questa roba lo tengono in vita."
"Story01_In_10_Josh": "Postmodernismo ai massimi livelli: mi piace!"
"22_Choice_01_Angel": "È all'aeroporto. Non ci resta molto tempo!  "
"Story21_Zscene02_02_Killbane": "Aspetta, ti dirò il segreto del Pugno Apocalittico, ma non mi togliere la maschera."
"Story19_In_02_Viola": "Non entreremo finché non avrai promesso di comportarti bene."
"Story17_Out_11_Kia": "Signore, i commando sono entrati in azione. La città sarà inavvicinabile nel giro di 72 ore."
"Story17_In_01_Pierce": "Questa è l'idea peggiore che tu abbia mai avuto."
"Story14_Out_05_Player_BM": "Stai bene?"
"Story08_In_01_Shaundi": "Johnny è morto e voi organizzate una cazzo di festa?!"
"CTO_Angel02_02_Angel": "Per affrontare i Luchadores bisogna essere pronti a tutto."
"Story18_In_02_Player_BM": "Sicuramente!"
"CTO_Angel01_02_Angel": "Per ricordarmi di ciò che Killbane mi ha sottratto. Mi aiuta a mantenere la concentrazione."
"CTO_Pierce02_05_Pierce": "Non lo so..."
"Story21_Out_05_Goon": "Killbane, è solo un incontro..."
"Story14_Out_02_Shaundi": "Eccolo!"
"Story10_Out_07_Cyrus": "Permettetemi di raccontarvi di Jessica Parish, una ragazza di Stilwater scappata di casa insieme al suo ragazzo. Jessica credeva di essere fortunata finché il membro di una gang l'ha rapita, rinchiusa nel baule di una macchina e ha lasciato che fosse uccisa dal suo ragazzo in un rally. Se Jessica Parish fosse vostra figlia... che cosa vorreste da me?"
"Story22_Zscene01_03_Player": "Come la tua morte."
"CTO_Pierce01_05_Pierce": "Chiavi delle cassette di sicurezza. Non ti interessa sapere che cosa hanno messo in cassaforte?"
"Story02_In_17_Gat": "In realtà mi sto chiedendo perché non ti ho ancora preso a calci in culo."
"Story22_Zscene01_05_Player": "Ma non te ne rendi conto? Per te è finita Eddie! Tra due settimane, nessuno si ricorderà più il tuo nome."
"CTO_Pierce01_03_Pierce": "Questo era un alloggio dei Syndicate, quindi ho pensato di dare un'occhiata per vedere che cosa si sono lasciati dietro."
"Story12_Zscene01_02_Player_BM": "Andiamocene da qui."
"Story21_In_07_Bobby": "Certo, la gente li odia, a maggior ragione dopo quello che il loro capo ha fatto a Stilwater. Sono fortunati se i fan non cercano di accoltellarli prima che salgano sul ring!"
"Story13_In_01_Josh": "Metti giù l'arma, non scapperò."
"Story07_In_01_Monica": "Quando ho lasciato Stilwater per il senato, ho giurato che non avrei dimenticato le mie origini. Mio marito ha dato la vita per difendere Stilwater dalla violenza delle bande ed è mio grande privilegio dedicargli questo ponte."
"Story01_In_12_Josh": "CHE NESSUNO SI MUOVA!!!"
"CTO_Pierce02_03_Pierce": "... E io qui sono il più fico di tutti."
"Story21_Zscene03_02_Killbane": "NO!"
"Story07_Out_01_Killbane": "Bene, signori e signore. Phillipe è morto. Siamo a un punto di svolta. La domanda è: chi guiderà i Syndicate verso una nuova era?"
"Story24_Out_08_Director": "Forza gente, sorridete. È una storia a lieto fine."
"CTO_Kinzie02_11_Kinzie": "Ricordati di buttare via il telefono!"
"Story19_In_01_Player": "Che stiamo aspettando?"
"SH_Decker_03_Kinzie": "In questo modo potrai interagire con gli avatar degli utenti e danneggiare le rappresentazioni astratte dei dati sui quali si basa la loro operazione online. Per farlo avrò bisogno di una..."
"Story14_Out_08_Player_BM": "Merda!"
"Story12_In_14_Viola": "Stai scherzando...?!"
"CTO_Kinzie01_10_Kinzie": "Gioca con quel coso e io ti saprò dire dove si trovano i Deckers nella realtà."
"Story18_In_01_Viola": "Deve esserci un modo più semplice!"
"Story12_In_03_Player_BM": "E così gli STAG escono allo scoperto."
"Story22_OutB_09_Cyrus": "Prenditi pure la chiave di questa maledetta città, ma fai un passo falso e torneremo. La prossima volta gli STAG non risparmieranno nessuno."
"Story21_In_04_Bobby": "Ti dirò una cosa Zach: l'antagonista non scherza. Ha iniziato a fare strage fin dalla nascita, strangolando praticamente il dottore in sala parto con il cordone ombelicale."
"SH_Decker_02_Kinzie": "Voglio introdurre il tuo subconscio nella rete dei Deckers."
"SH_Morningstar02_12_Player_BM": "Fanculo."
"Story05_Out_06_Matt": "Non direi che sono tutto fumo."
"Story01_In_14_Josh": "Scusa, ho fregato la battuta. Ripetiamo?"
"Story21_In_03_Zach": "Eccolo là, Bobby! Eddie \"Killbane\" Pryor, l'Apocalisse che Cammina in carne e ossa. Chissà se l'antagonista sarà alla sua altezza."
"Story16_Out_03_Killbane": "Quando sono rinato dalle ceneri di Phillipe come una fenice, io e te abbiamo stabilito un legame particolare."
"Story13_Out_05_Kia": "Finiranno per trovarci, mentre scovarli non sarà facile."
"Story12_In_07_Player_BM": "E questo che cazzo è?"
"Story10_In_16_Kia": "I Saints si sono nascosti con una delle sorelle DeWynter. Stiamo per intervenire."
"Story08_Out_08_Killbane": "Viola, per te il sole sta per tramontare, ma non è ancora troppo tardi. Puoi ancora scegliere di salire sul carro di Apollo e riportarlo tra gli astri. Mi hai capito?"
"Story02_Out_03_Phillipe": "Signor Killbane, chiami a raccolta i suoi Luchadores. Voglio la testa del loro capo. Signor Miller, entri nei conti correnti dei Saints e li svuoti."
"Story01_In_26_Shaundi": "Spero che abbia firmato una clausola di rinuncia."
"CTO_Pierce02_02_Pierce": "Che ha di male? La birra costa poco."
"CTO_Zimos01_06_Zimos": "Scommetto che non sei qui per la fica."
"Story07_Zscene01_01_Pierce": "Come facciamo a riconoscere Zimos? Dobbiamo cercare uno che non sia eccitato di avere un bavaglio con morso?"
"Story21_Out_04_Bobby": "Che nottata, Zach. Sen-sa-zio-na-le."
"Story19_In_16_Reynolds": "Zombi."
"Story15_In_10_Kinzie": "Se riuscissi ad accedere al loro computer centrale potrei fare un po' di casino, ma non ho l'attrezzatura adatta."
"Story06_Mid_12_Pierce": "Amico, vuoi dei vestiti?"
"Story02_In_08_Viola": "Si è sempre trattato di soldi, signor Gat."
"Story12_In_09_Player_BM": "Ricordami di chiamare l'avvocato Lee per discuterne."
"Story10_In_05_Player_BM": "Giusto. Johnny è morto per colpa tua."
"Story06_Mid_14_Pierce": "Senti, davvero: l'ultima volta che un tipaccio nudo mi..."
"Story01_In_24_Shaundi": "Va bene che vogliono girare un film sui Saints, ma dobbiamo proprio portarci dietro questo attore cazzone?"
"Storye01_In_Crawl_04": "Un cazzo."
"Story11_Out_08_Cyrus": "Quel ragazzino finirà per ammazzarsi."
"Story07_Out_05_Viola": "Prego?"
"Story02_In_02_Cop": "Qualcuno ha pagato di più."
"Story21_Zscene04_02_Bobby": "CAZ... CASPITA! KILLBANE SI È SOTTOMESSO!"
"Story19_In_06_Player": "Insomma, chi cazzo sarà mai questo tizio?"
"Story17_Mid_02_Cyrus": "Silenzio."
"SH_Morningstar02_09_Zimos": "Questo invito ci permetterà di fottere i Morningstar. Stanotte ci sarà un'asta. Basta avere soldi per entrare."
"Story06_In_01_Pierce": "È un po' troppo grande per te."
"Story01_In_01_Josh": "Pubblicità giapponese. Un modo facile per fare soldi."
"Story13_In_08_Player_BM": "Hai la roba, Pierce?"
"Story11_In_04_Player_BM": "Consideratelo un pareggio."
"Story08_Out_09_Viola": "Sì, Killbane."
"Story02_In_14_Phillipe": "Una somiglianza straordinaria. Queste visioni sono Viola e Kiki. Io sono Phillipe Loren, presidente dei Syndicate, un'organizzazione multinazionale."
"Story13_Zscene01_03_Player_BM": "Voglio gli STAG fuori dalla mia città."
"Story23_In_06_Kinzie": "Beh, se faranno saltare in aria tutti gli edifici, ci finiremo di mezzo sicuramente."
"Story19_In_15_Viola": "Stop! Riavvolgi... Che???"
"Story15_In_05_Player_BM": "Che cazzo hanno fatto i Deckers all'elicottero?"
"Story14_In_12_Kinzie": "Potrei fare una triangolazione se qualcuno andasse alle torri di trasmissione e..."
"Story06_Mid_13_Oleg": "Non c'è tempo."
"Story06_Mid_08_Pierce": "L'ultima volta che un tipaccio nudo mi ha detto che mi avrebbe aiutato, non è finita bene."
"CTO_Angel01_06_Angel": "Facendoti provare sofferenze inimmaginabili... Forza, è il momento di darsi da fare."
"CTO_Angel01_05_Player_BM": "E come?"
"Story12_Zscene01_01_Josh": "Ragazzi, vi volete riscaldare un po' prima di cominciare? Ehi, tu hai un'aria familiare..."
"Story22_OutB_03_Player_BM": "Se non hai intenzione di ringraziarci, ti consiglio di chiudere il becco."
"Story21_In_01_Zach": "Questa notte è stata spettacolare e non è ancora finita, Bobby!"
"SH_Decker_11_Player_BM": "OK, se magari voi nerd la smettete! Spiegatemi di che si tratta... Kinzie, per favore, con parole semplici!"
"Story10_Out_03_Cyrus": "Non si tratta di occupazione. Abbiamo l'appoggio del sindaco Reynolds."
"Story02_In_18_Phillipe": "Che le piaccia o no, signor Gat, la nostra organizzazione sta prendendo piede a Stilwater. Vi sto offrendo la possibilità di cedere una parte del vostro patrimonio in cambio dell'incolumità. Signore?"
"Storye01_In_Crawl_01": "Conquista."
"CTO_Angel02_06_Angel": "Ora potrai affrontare Killbane, ma bisogna ancora occuparsi dei Luchadores. Se vuoi allenarti ancora, sai dove trovarmi."
"Story13_In_05_Josh": "Amore proibito."
"Story01_In_16_Josh": "Stai ferma, puttana!"
"22_Choice_09_Player": "Mi dispiace contraddirti, puttana, ma i Saints non hanno niente a che fare con il terrorismo nostrano."
"CTO_Angel01_01_Player_BM": "Dannazione... Perché vivi in questo merdaio?"
"Story21_Zscene03_03_Zach": "Una reminiscenza di ciò che accadde ad Angel De LaMuerte. Killbane è stato smascherato!"
