"DLC3_OUTRO_08_TAG": "ダンサーポール？"
"UNL_DESC_DLC3_CUST02_CLOTHING": "自分の内面に隠したニンジャ、ホットドッグ、天使、悪魔をファッションで表現しよう。"
"DLC3_INTRO_17_PLAYER": "ダチを探すんだ！"
"DLC3_INTRO_08_JIMMY": "ジョニー？"
"DLC3_INTRO_05_JIMMY": "サングラス　噛んだガム　油っこいクシ..."
"DLC3_ACHIEVE_SR3_SEND_CLONES": "飲み過ぎ注意"
"DLC3_M02_OBJ_CALM_TAG": "ハチランチャーで[format][color:kill]タグ[/format]を落ち着かせろ"
"DLC3_M02_KILL_HELIS": "[format][color:kill]警備隊[/format]を撃破しろ"
"DLC3_M01_GOTO_CAR": "[format][color:location]ジミーの車[/format]に乗り込め"
"DLC3_ACHIEVE_SR3_PUBLIC_ENEMY": "社会の敵"
"CUST_ITEM_DLC_HOTDOG": "ホットドッグ"
"CUST_ITEM_DLC_SUIT_NINJA": "ニンジャ"
"DLC3_M03_TUT_SUPER_POWERS": "{SPRINT_IMG}長押しでスーパーダッシュ\n{ATTACK_SECONDARY_IMG}でファイアーボール発射\n{ATTACK_PRIMARY_IMG}でスーパーパンチだ！"
"DLC3_M02_GOTO_TRUCK": "[format][color:location]トルビトロン[/format]に乗れ"
"UNL_DESC_DLC3_STORY03_ALERT": "携帯電話に新しいミッションが追加された"
"UNL_DLC3_CUST02_ALERT": "魔女とウィンナー"
"DLC3_M03_GOTO_BRIDGE": "[format][color:location]橋[/format]のタグを探せ"
"DLC3_M02_OBJ_CALM_LABEL": "進行"
"DLC3_INTRO_13_JIMMY": "今話すよ！"
"DLC3_INTRO_12_PLAYER": "それで　いったい..."
"UNL_DESC_DLC3_CUST02_ALERT": "クローゼットとガレージで新しいダウンロード コンテンツが利用できるようになった"
"DLC3_M02_FAIL_TAG_ESCAPE": "ジョニー・タグが逃げてしまった！"
"DLC3_M01_GOTO_STRIP_CLUB": "[format][color:location]TECHNICALLY LEGAL[/format]へ行け"
"DLC3_M01_OBJ_MISSION_START": "[format][color:location]SMILING JACK'S[/format]へ行け"
"DLC3_INTRO_09_TAG": "アイーシャ！"
"UNL_DESC_DLC3_HOMIE_AISHA_BRUTELLA": "アイーシャ・ブルテラの連絡先が携帯電話の電話帳に追加された\n呼び出せば一緒に戦ってくれる"
"DLC3_M02_OBJ_GET_BEE_GUN": "[format][color:location]ハチランチャー[/format]を入手しろ"
"DLC3_M02_REVIVE_TAG": "[format][color:use]タグ[/format]を蘇生しろ"
