"DROP_SPHERE": "SPHERE"
"WPN_STORE_EXIT_PROMPT": "武器ショップを出ます\n\nよろしいですか？"
"VCUST_BOTH_AXLES_OPTION": "前後車軸"
"STAT_DISTANCE_BY_VEHICLE": "乗り物での移動距離合計"
"STAT_CASH_EARNED_PER_DAY": "1時間あたりの獲得金額"
"STAT_FRAUD_BEST_DIVE": "保険金詐欺：ベストダイブ"
"STAT_ACTIVITY_RESPECT_EARNED": "アクティビティで獲得したリスペクト"
"STAT_HOSPITAL_BILLS": "医療費"
"ESCORT_NAME_8B": "コークスクリュー"
"CONTROL_REMOVE": "削除"
"DROP_REAPER": "REAPER"
"GARAGE_EXIT_PROMPT": "ガレージを出ますか？"
"STAT_MORNINGSTAR_KILLED": "倒したモーニングスター"
"STAT_CHOP_SHOP_VEHICLES_DELIVERED": "納品したヤミ改造工場用車両"
"STAT_DRUG_TRAFFICKING_LEVELS_COMPLETED": "クリアしたデリバリー"
"STAT_COMBAT_ENEMY": "ギャングキル"
"STAT_HOLDUP_CASH": "銃で脅して稼いだ金額"
"STAT_BASE_JUMP": "パラシュート降下"
"RADIO_STATION_THE_MIX": "THE MIX"
"OPTION_YES": "はい"
"RAINING_PEDS_DESC": "人が降ってくる"
"PED_WAR": "歩行者戦争"
"CAR_MASS_HOLE": "無限質量"
"SURGEON_FINISHED_FULL": "IMAGE AS DESIGNEDから出ますか？"
"STORE_TATTOO_PARLOR_MSG": "タトゥーを入れる"
"STAT_MAX_POLICE_NOTORIETY_STREAK": "警察悪評度MAX連続最長"
"ESCORT_NAME_15B": "ロリポップ"
"ESCORT_NAME_6B": "タトゥー"
"Vehicle Jump Spin_NAME": "最大スピン"
"CONTROL_BTN_BACK": "BACKボタン"
"CELL_DRUG_DEALER": "サプリディーラー"
"CRIB_SHOP_PURCHASED_TEXT": "アジトを手に入れた。\nここから金庫、武器、洋服、車両にアクセスできる。\nアジトをカスタマイズしてスタイルランクを上げろ"
"WPN_STORE_PISTOL_TITLE": "ピストル"
"VCUST_WHEEL_SIZE_OPTION": "ホイールのサイズ"
"GARAGE_CRIB_NAME": "ガレージ"
"STAT_TOTAL_DISTANCE_TRAVELLED": "移動距離合計"
"STAT_DIVERSIONS_COMPLETED": "クリアしたデバージョン"
"STAT_TOTAL_DAMAGE_TAKEN": "受けたダメージ合計"
"STAT_MILES_BY_AIRCRAFT": "飛行機で飛行した距離"
"STAT_CUSTOM_ITEMS_CASH_SPENT": "カスタマイズアイテムに費やした金額"
"STAT_MAX_STUNT_JUMP_SPIN": "ジャンプ最高スピン"
"SP Throw Distance_NAME": "投てき距離ランキング"
"HASH_80C0A79A": "ランキングを変更する"
"MAP_ICON_HELI": "ヘリアサルト"
"TAXI_CAB_2": "EAGLELINE YELLOW"
"CELL_TAXI_CAB": "タクシー"
"PLAYER_VEHICLE_NO_DAMAGE_DESC": "乗り物がダメージを受けなくなる"
"VCUST_PURCHASE_PROMPT": "{0}を{1}ドルで\n購入しますか？"
"CUST_ITEM_CREATE_OUTFIT": "衣服セットを保存する"
"GARAGE_REPAIR_TEXT": "車両を修理しますか？"
"HORDE_MODE_TITLE_KILLS": "キル"
"HORDE_MODE_WAVE_TAG": "ウェーブ"
"STAT_RUNNING_MAN_CASH_EARNED": "ゲンキ博士：獲得したキャッシュ"
"STAT_PISTOL_SHOTS_FIRED": "ピストル発砲回数"
"STAT_ACTIVITIES_COMPLETED": "クリアしたアクティビティ"
"ESCORT_NAME_17B": "バイス・グリップ"
"ESCORT_NAME_4B": "ドラゴン"
"HeliAssault": "ヘリアサルト"
"CONTROL_CHANGE_COLUMN": "コラムを変更する"
"MAP_ICON_PLASTIC_SURGEON": "美容外科"
"WARDROBE_LEAVE_FULL": "クローゼットから出ますか？"
"CRIB_HUD_HANGAR_PURCHASE": "AIRPORT HANGARを購入：{0}ドル"
"VCUST_REGION_TITLE": "リージョン（1/3）"
"CUST_DIALOG_DISROBE_BODY": "現在の衣服を下着以外消去します。\n下着になるとストリーキングができるようになります。\nよろしいですか？"
"WPNSTOR_TEXT_MAX_AMMO_CRIB": "次の武器の弾薬はこれ以上アジトから持ち出せません：「%s」"
"STAT_STAG_COMMANDOS_KILLED": "倒したSTAGコマンドー"
"STAT_FBI_KILLED": "倒したFBI"
"HASH_D4EBF91C": "クリアしたドライブバイのレベル"
"TAXI_CANNOT_AFFORD": "この距離を走るには所持金が足りません"
"OVL_SHOP_PURCHASED_TITLE": "を購入した"
"PURCHASEABLE_PROPERTEY_AIRPORT": "WESLEY CUTTER INTERNATIONAL"
"TRIGGER_SAVE": "セーブ"
"WPNSTOR_TEXT_MAX_AMMO_STORE": "この武器の弾薬はこれ以上持てません"
"STORE_TITLE_INSUFFICIENT_FUNDS": "資金不足"
"STAT_NEIGHBORHOODS_CONTROLLED": "制圧した縄張り"
"ESCORT_NAME_11B": "ショッカー"
"ESCORT_NAME_2B": "トランペット"
"MAP_ICON_TSS_MISSION": "サードストリートセインツミッション"
"MAP_ICON_TATTOO_PARLOR": "タトゥーパーラー"
"CELL_IMAGE": "IMAGE AS DESIGNED"
"HUD_SHOP_NEED_HOOD_OWNERSHIP": "店を買うにはまず縄張りを支配する必要がある"
"GANG_CUST_SLOT_3": "スロット3"
"STAT_WEAPON_THROWN": "投てき武器"
"STAT_COOP_KILLS": "協力プレイ：プレイヤーキル"
"STAT_MAYHEM_BEST_ROUND": "メイヘム：ベストラウンド"
"STAT_GUARDIAN_ANGEL_CELEBS_PROTECTED": "ガーディアンエンジェル：護衛したセレブ"
"STAT_COMBAT_MOTORCYCLE": "めった切り"
"STAT_MILES_BY_VEHICLE": "乗り物での移動距離"
"SP Diversion Stars Col1_NAME": "デバージョンランキング"
"CONTROL_CHANGE_STORY": "テキストを送る"
"MAP_IMG_SURGEON": "[format][scale:1.0][image:map_store_surgeon][/format]"
"CUST_GANG_NAME_BODYGUARD": "ボディガード"
"SMASH_DESC": "ぶつかった乗り物をすぐ破壊できる"
"DROP_STATUSQUO": "STATUS QUO"
"SUPER_EXPLOSIONS": "大爆発"
"PLAYER_PRATFALLS": "ズッコケ"
"POC2_DROP_CAR": "スポーツカーを入手する"
"VCUST_EXIT_PROMPT": "車両カスタマイズを終了します\nよろしいですか？"
"VCUST_EXTRA_HIGH_PROFILE": "超厚型"
"STAT_CAT_MOUSE_MOST_POINTS_EARNED": "キャット&マウス：最高獲得ポイント"
"STAT_SHOTGUN_HIT_PCT": "ショットガン命中率"
"STAT_GUARDIAN_ANGEL_ATTACKERS_KILLED": "ガーディアンエンジェル：始末した敵"
"STAT_MUGGINGS_COMPLETED": "路上強盗の成功回数"
"ESCORT_NAME_13B": "ツイスター"
"SP Kills Col2_NAME": "連続キルランキング"
"HIDE_HUD_DESC": "HUDが非表示になる"
"FULL_HEALTH_DESC": "体力が完全回復する"
"INFINITE_SPRINT_DESC": "走り続けられるようになる"
"PAUSE_MAP_CANT_WAYPOINT_FULL": "ミッションやアクティビティの途中で目標地点を設定することはできません！"
"HAIR_NO_CHOICES": "カテゴリに選択肢がありません"
"CUST_ITEM_VIEW_OUTFITS": "衣服セットを見る"
"STAT_COMBAT_MELEE": "格闘キル"
"STAT_MUGGINGS_CASH": "路上強盗で稼いだ金額"
"STAT_MILES_ON_FOOT": "徒歩での移動距離"
"NO_OUTFITS_DISPLAY_NAME": "衣服がありません"
"CONTROL_RETURN_TO_LOBBY": "ロビーに戻る"
"PAUSE_MAP_WAYPOINT_REMOVE": "目標地点削除"
"MAP_ICON_CAR_MECHANIC": "整備工場"
"TAXI_CAB_1": "BIG WILLY'S CAB"
"STORE_EXIT_UPGRADES": "アップグレードを終了？"
"GARAGE_REPAIR_PROMPT": "この車両を{0}ドルで修理しますか？"
"VCUST_COLOR_GRID_TITLE": "カラーグリッド"
"VEHICLE_COLOR_ADVANCED": "基本"
"STORE_CRIB_CLOTHING_MSG": "クローゼットを見る"
"STAT_MULTI_KILL_TOTAL_MULTI_KILLS": "マルチキル合計"
"STAT_FLASHPOINTS_COMPLETED": "クリアした抗争スポット"
"STAT_TAUNTING_TOTAL_TAUNTS_GIVEN": "挑発した人数"
"ESCORT_NAME_17A": "ヘアリー"
"ESCORT_NAME_4A": "アングリー"
"TINY_PLAYER_DESC": "自分が小さくなる"
"GANG_CUST_GANG_STYLE_OPT": "スタイル"
"PLANET_SAINTS_NAME": "PLANET SAINTS"
"GARAGE_REPAIR_COST": "%sドル払いますか？"
"Vehicle Jump Distance_NAME": "ジャンプ最長距離"
"Player_Vehicle_No_Damage": "車両ダメージなし"
"VCUST_PERFORMANCE_ADD": "アップグレード"
"WPN_STORE_SHOTGUN_TITLE": "ショットガン"
"WPN_STORE_MELEE_TITLE": "格闘"
"GANG_CUST_GANG_SIGN_VOICE": "挑発"
"STAT_VEHICLE_SURFING_LONGEST_TIME": "最長カーサーフィン時間"
"STAT_DECKER_SPECIALISTS_KILLED": "倒したデッカースペシャリスト"
"STAT_HOLDUPS_STORES_ROBBED": "強盗に入った店舗"
"STAT_CAR_CUSTOMIZATION_CASH_SPENT": "車のカスタマイズに使った金額"
"STAT_CAT_MOUSE_LOSSES": "キャット&マウス：敗北"
"STAT_DRIVING_BURNOUT_TIME": "最長バーンアウト"
"ESCORT_NAME_15A": "ブラウン"
"ESCORT_NAME_6A": "マッシュルーム"
"HASH_269B6FA3": "デスタグ：1ラウンド最多キル"
"MAP_ICON_CRIB": "アジト"
"GARAGE_LEAVE_FULL": "RIM JOBSから出ますか？"
"CURRENT_AMMO": "現在の弾数"
"STAT_VEHICLE_CAR": "車"
"STAT_TAUNT": "挑発"
"STAT_WATERCRAFT_DESTROYED": "破壊した船舶"
"STAT_CARS_UNLOCKED": "解除した車"
"STAT_COMBAT_HEADSHOT": "ヘッドショット"
"coop": "協力プレイ"
"Pimping": "スカウト"
"Genre string": "アクション"
"DROP_UFO": "デストロイ"
"ACTIVITY_LEVEL_LEAVE_FULL": "アクティビティレベル選択を終了しますか？"
"STORE_FAT": "太め{0}%%%%"
"HASH_ABE420A4": "利用可能オプションなし"
"WPN_STORE_NO_WEAPONS_AVAILABLE": "なし"
"VCUST_SPINNER_OPTION": "スピナー"
"VCUST_HUBCAP_NUMBER": "ホイールキャップ{0}"
"STAT_MILES_BY_WATERCRAFT": "船舶で航行した距離"
"STATS_NO": "いいえ"
"STAT_SHOT_HIT_PERCENTAGE": "命中率"
"ESCORT_NAME_13A": "バックドア"
"MAP_IMG_CRIB": "[format][scale:1.0][image:map_other_crib][/format]"
"CELL_LEATHER_AND_LACE": "LEATHER AND LACE"
"MUSIC_UNLOCKABLE": "アンロックボーナス曲"
"TATTOO_LEAVE_FULL": "RUSTY'S NEEDLEから出ますか？"
"STAT_DRIVING_WHEELIE": "ウィリー"
"STAT_UNIQUE_VEHICLES_OWNED": "所有改造車"
"STATS_BLANK_OF_BLANK": "%d／%d"
"DROP_COMMANDER": "COMMANDER"
"BLOODY_MESS": "血みどろモード"
"STORE_BRA_WARNING": "警告"
"CUST_ITEM_NOTHING": "なし"
"HUD_CRIB_CUSTOMIZE": "アジトをカスタマイズ"
"GARAGE_CAT_4": "ホイール"
"STAT_THROWN_WEAPON_USES": "投てき武器使用回数"
"ESCORT_NAME_11A": "ドリッピング"
"ESCORT_NAME_2A": "ラスティ"
"Coop Col3_NAME": "協力プレイランキング"
"LOW_GRAVITY_DESC": "スティルウォーターの重力が4分の1になる"
"CUST_REMOVE_ITEM_BODY": "このアイテムを消去してもよろしいですか？"
"PURCHASEABLE_PROPERTEY_FACTORY": "FACTORY "
"GARAGE_HELIPORT": "ヘリポート"
"HORDE_MODE_ALL_ENEMIES_KILLED": "敵を消去した！"
"STAT_WEAPON_RIFLE": "ライフル"
"STAT_COOP_STRONGHOLDS_COMPLETED": "協力プレイ：クリアした拠点制圧"
"GENERAL_YOU": "お前"
"HASH_631F9AA8": "協力プレイ メタゲーム：ポイント"
"MUSIC_ARTIST_UNKNOWN": "不明"
"STAT_GARAGES_ACQUIRED": "獲得したガレージ"
"STAT_CAT_MOUSE_KILLS": "キャット&マウス：キル"
"STAT_RIFLE_SHOTS_FIRED": "ライフル発砲回数"
"CUST_GANG_NAME_COLLEGE": "大学生"
"GOD_MODE_DESC": "とにかく強くなる"
"ACT_CHOP_SHOP_LEAVE_FULL": "ヤミ改造工場から出ますか？"
"GARAGE_CAT_1": "ボディ改造"
"STORE_CLOTHING_STORE_MSG": "服を購入"
"STRONGHOLD_START_TEXT": "%s：%sの拠点からスタート"
"ADD_GANG_NOTORIETY_DESC": "ギャング悪評度が増加する"
"Overcast": "曇り"
"TAXI_CONFIRM_PURCHASE_FULL": "%lsドルで乗車しますか？"
"MENU_SWAP_WEAPONS_CACHE": "武器庫"
"STORE_TITLE_PURCHASING": "購入"
"STAT_VEHICLES_HIJACKED": "強奪した車両"
"STAT_HOSTAGE_CASH": "人質で稼いだ金額"
"CONTROL_ROTATE": "回転"
"DROP_SANDSTORM": "SANDSTORM"
"GIVE_DILDO": "怪しいバット"
"GIVE_GRENADE": "手榴弾"
"TIME_SET_MIDNIGHT": "時間設定 深夜"
"STORE_CHOOSE_A_CATEGORY": "カテゴリーを選択"
"STORE_ZOOM_ROTATE": "ズーム／回転"
"STAT_DRUG_PACKAGES_FOUND": "見つけたサプリパッケージ"
"Coop Col1_NAME": "協力プレイランキング"
"HASH_BD9681AC": "協力プレイ メタゲーム：1ラウンド最多ポイント"
"CONTROL_EXIT_PLAYER_CREATION": "作成を終了する"
"CONTROL_OKAY": "OK"
"CELL_NEWS_VAN": "TV中継車"
"STORE_PRICE": "価格${0}"
"STORE_TEXT_DISCARD_OUTFIT_WARNING": "このアイテムをクローゼットから削除すると、このアイテムを含む衣服セットも削除されます"
"CRIB_WARDROBE_EXIT": "クローゼットを出ます\n\nよろしいですか？"
"STORE_EXIT_CLIPBOARD": "切り抜きの閲覧を終了しますか？"
"STAT_HITMAN_TARGETS_ELIMINATED": "始末したヒットマンのターゲット"
"STAT_BIKES_DESTROYED": "破壊したバイク"
"STAT_MELEE_KILLS": "格闘で倒した人数"
"STATS_YES": "はい"
"ESCORT_NAME_8A": "ゴールデン"
"HASH_84FAC22D": "フラッシングで獲得したリスペクト"
"CELL_RUSTYS_NEEDLE": "RUSTY'S NEEDLE"
"LOW_GRAVITY": "低重力"
"CUST_ICON_SUITS": "スーツ"
"CUST_ICON_RINGS": "リング"
"CUSTOMIZE_ITEM_SAVE_CHANGES_EXIT_FULL": "終了する前に変更をセーブ\nしますか？ "
"STAT_SMG_SHOTS_FIRED": "サブマシンガン発砲回数"
"STAT_SWAT_KILLED": "倒したSWAT隊員"
"CONTROL_RETURN_TO_MAIN_MENU": "メインメニューに戻る"
"CONTROL_ZOOM": "ズーム"
"CONTROL_PURCHASE": "買う"
"MAP_ICON_CRIB_PURCHASE": "売り出し中の物件"
"CHEAT_CHARACTER_DESC": "このキャラクターに変更する"
"MUSIC_ELECTRONICA": "エレクトロニカ"
"POC2_WEAPON_UPGRADE_1": "武器のアップグレード - レベル1"
"STORE_BUILD": "体型"
"COMPLETION_STYLE_BONUS": "スタイルボーナス"
"PURCHASEABLE_PROPERTEY_THUNDER": "THUNDER PUMP"
"STAT_TANK_MAYHEM_DAMAGE_DONE": "タンクメイヘム：与えた損害額"
"STAT_TIME_AT_MAX_POLICE_NOTORIETY": "最大警察悪評度（時間）"
"STAT_LONGEST_POWERSLIDE_TIME": "ドリフトの最長時間"
"STAT_TOTAL_MONEY": "取得金額総計"
"ESCORT_NAME_19A": "スピッティング"
"HASH_2B28212F": "最長連続ハイドロ"
"CONTROL_EXIT_WARDROBE": "クローゼットを出る"
"MAP_ICON_HITMAN": "ヒットマン"
"GIVE_TEKZ10": "テック Z10"
"TOD_CYCLE_DESC": "朝昼夜の設定を変更する"
"SAVELOAD_CONTINUE_NO_FILES_FOUND": "セーブデータが見つかりませんでした。\n新たにゲームを開始しますか？"
