"UNL_DESC_RESPECT_LUCHA_3": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 15%%."
"UNL_DESC_HOMIE_ZGAT": "МОЗГИИИИИИ"
"UNL_DESC_INCOME_EURO_3": "Вы получаете бонус 15%% к почасовому доходу с района Центр."
"UNL_DESC_WEAPON_KILLBANES_GLOVES": "Теперь вы сможете найти среди одежды в вашем жилище борцовские перчатки Киллбейна, Кулаки Апокалипсиса."
"UNL_DESC_WIPE_NOTORIETY_POLICE": "Вся дурная слава у полиции обнуляется."
"TUT_WHORED_Z_THEME_PARK": "БОЙНЯ В ЛУНА-ПАРКЕ"
"TUT_AIRPLANE_CONTROL": "{PLANE_ACCELERATE_IMG} УСКОРЕНИЕ\n{PLANE_BRAKE_REVERSE_IMG} ТОРМОЗ/ЗАДНИЙ ХОД\nИспользуйте {ANALOG_LS_IMG} для управления движением самолета."
"HUD_FLIP_VEHICLE_INSTRUCTIONS": "НАЖМИТЕ {ACTION_IMG}, ЧТОБЫ ПОДПРЫГНУТЬ НА МАШИНЕ."
"UNL_DESC_INCOME_DECKER_1": "Вы получаете бонус 5%% к почасовому доходу с района Стэнфилд."
"UNL_DESC_ZOMBIE_BACKUP": "Во время боя вы можете вызвать на помощь группу зомби."
"UNL_WEP_SONIC_WAVE_GUN": "ОРУЖИЕ - ЗВУКОВОЙ УДАР"
"TUT_TITLE_COMBAT_MELEE_BASH": "ЯИЧНАЯ АТАКА"
"SATELLITE_FIRE_MISSILES": "ЗАЖИГАТЕЛЬНЫЕ РАКЕТЫ"
"HUD_RESPECT_RANK_009": "ИГРОК"
"USE_TRIGGER_GANG_CUSTOMIZE": "ИЗМЕНИТЬ СВОЮ БАНДУ"
"HUD_DIVERSION_POINTS": "ОЧКИ"
"UNL_INCOME_MSTAR_2": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_FASTER_RELOAD_2": "Все оружие перезаряжается быстрее."
"TUT_WHORED_D_ITS_A_TRAP": "ЭТО ЛОВУШКА"
"TUT_TITLE_NEW_MISSIONS": "НОВЫЕ ЗАДАНИЯ"
"THEATER_STRONGHOLD": "КРЕПОСТИ"
"UNL_DESC_SAINTSHQ": "Пентхаус теперь стал Укрытием Святых. Здесь вы сможете заглянуть в свой оружейный тайник, поменять стиль своей банды и машины."
"HUD_USE_CRIB": "СИСТЕМА ДОСТУПА"
"HUD_PRESS_BACK_CANCEL_ACTIVITY": "УДЕРЖИВАЙТЕ %ls - ПОКИНУТЬ ЗАДАНИЕ"
"TUT_WHORED_D_TOKYO_BEWARE": "БЕРЕГИСЬ, ТОКИО"
"TUT_STRONGHOLD_CUSTOMIZATION": "Система модификации крепости позволяет вам превратить ее в огромное здание с обширной жилищной функциональностью и другими бонусами."
"TUT_TITLE_HYDRAULICS": "ГИДРАВЛИКА"
"TUT_GENERAL_BUSTED": "Вас поймали! \nКогда вас ловят, с вас взимают штраф, выпускают и игра возобновляется у полицейского учатска."
"UNL_DESC_GANG_NPC_SPACE": "Теперь в вашей банде могут быть Космические Святые."
"UNL_DLC_MEDIA01_ALERT": "НАБОР \"В ЯБЛОЧКО\""
"UNL_DESC_CLOTHING_BLOWUP": "Костюм надувной куклы был добавлен в ваш гардероб"
"UNL_VEHICLE_MARS_ROVER": "МАШИНА - МАРСОХОД"
"TUT_WHORED_D_YKANO": "И. КАНО"
"PLAYER_CHOICE_M22_OPTION1_TITLE": "[format][color:red]ОТПРАВИТЬСЯ В АЭРОПОРТ[/format]"
"PLAYER_CHOICE_M09_OPTION2_TITLE": "[format][color:Purple]СОХРАНИТЬ ШЛЮХ ДЛЯ СВЯТЫХ[/format]"
"PLAYER_CHOICE_M06_OPTION1_TITLE": "[format][color:red]ПОДОРВАТЬ ЗДАНИЕ[/format]"
"TUT_TITLE_ACT_INTRO_HELI_ASSAULT": "АТАКА С ВЕРТОЛЕТА"
"HUD_HELIPORT_NEED_VEHICLES": "ДОБАВИТЬ ВЕРТОЛЕТЫ ДЛЯ ДОСТУПА К ВЕРТОЛЕТНОЙ ПЛОЩАДКЕ"
"UNL_FASTER_HOMIE_REVIVE_2": "ВОЗРОЖДЕНИЕ - СКОРОСТЬ 2"
"UNL_UPGRADE_AMMO_SHOTGUN_1": "ПАТРОНЫ - ДРОБОВИК"
"UNL_DESC_HOMIE_PIERCE": "Номер Пирса есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"TUT_CRIB_CARSTORAGE_1": "Это ваш гараж. \nЗдесь вы можете хранить свой транспорт."
"HOMIES_DRIVEUP_DESC": "Пусть вам немедленно доставят одну из тачек, что стоят в гараже вашего жилища."
"UNL_DLC_PREORDER02_WEAPONS": "ОРУЖИЕ - ПИЖОНСКИЙ ДРОБОВИК"
"UNL_DESC_PLAYER_HEALTH_1": "Уровень здоровья игрока увеличивается на 25%%."
"UNL_DESC_INSTANT_RELOAD_SHOTGUN": "Ваши дробовики перезаряжаются мгновенно."
"TUT_TITLE_DLC_MONEYSHOT": "ТОГО-13"
"TUT_NAG_FINE_AIM": "ПОМНИТЕ! ЧТОБЫ ПОПАСТЬ В ДАЛЕКОСТОЯЩЕГО ПРОТИВНИКА, ИСПОЛЬЗУЙТЕ тОЧНЫЙ ПРИЦЕЛ {ANALOG_RS_IMG}. "
"HOMIES_VTOL_DESC": "Пусть браток скинет вам СВВП."
"DISTRICT_NORTH_WEST": "СТЭНФИЛД"
"UNL_ESCORT": "ЭСКОРТ"
"UNL_SAINTS_BACKUP": "БРАТКИ - РЕЗЕРВ СВЯТЫХ"
"UNL_UNLIMITED_AMMO_EXPLOSIVES": "ВЗРЫВЧАТКА 4"
"UNL_DESC_CRIB_3COUNT": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде, а также изменить свою банду."
"PLAYER_CHOICE_M13_OPTION2_BODY": "НАГРАДА: Ночной Клинок - ваш браток"
"TUT_TITLE_UNDERCOVER": "ВНЕДРЕНИЕ"
"TUT_COMBAT_WEAPONS_1": "{PICKUP_RELOAD_IMG} ПЕРЕЗАРЯДКА"
"TUT_TITLE_NP_MOTORCYCLE_CONTROLS": "УПРАВЛЕНИЕ МОТОЦИКЛОМ"
"HUD_RESPECT_RANK_007": "ПИЖОН"
"UNL_DLC_ASSET05_ALERT": "НАБОР УЖАСОВ"
"UNL_DESC_DLC_ASSET03_OUTFITS03": "Костюм солдата \"Моргенштерна\"."
"UNL_DESC_HOMIE_NYTEBLAYDE": "Номер Ночного Клинка есть в меню \"ТЕЛЕФОН\" вашего мобильника. Он поможет Святым в бою."
"PLAYER_CHOICE_M22_OPTION2_BODY": "Спасите Шаунди, но тогда улизнет Киллбейн"
"PLAYER_CHOICE_M19_OPTION1_TITLE": "[format][color:blue]ВЕРНУТЬ ВИРУС ЗОМБИ ОЛЕГУ[/format]"
"PLAYER_CHOICE_M16_OPTION2_TITLE": "[format][color:blue]ЗАХВАТИТЬ ПРОИЗВОДИТЕЛЯ ОРУЖИЯ[/format]"
"TUT_TITLE_ACT_INTRO_ESCORT": "ЭСКОРТ"
"UNL_DESC_UPGRADE_STORE": "В меню \"МАГАЗИН\" вашего телефона вы сможете изучить новые способности или навыки и получить бонусы."
"UNL_RESPECT_EURO_1": "БОНУС АВТОРИТЕТА"
"UNL_DESC_HOMIE_WEAPONS": "В вашем телефоне есть номер братка-оружейника. Он поможет Святым в бою и принесет целый арсенал оружия."
"TUT_TITLE_VEHICLE_ENTRY": "СЕСТЬ В МАШИНУ"
"TUT_STORE_INTRO_WEAPONS": "В \"Веселой пуле\" вы можете купить оружие и патроны, а также модернизировать свое оружие и гранаты."
"RESPECT_UPGRADE": "УЛУЧШЕНИЕ"
"EXPLOSIVE_ROCKETLAUNCHER": "АННИГИЛЯТОР"
"UNL_DLC_ASSET03_OUTFITS04": "КОСТЮМ - СПЕЦ \"МОРГЕНШТЕРНА\""
"UNL_PLAYER_HEALTH_3": "УВЕЛИЧЕНИЕ ЗДОРОВЬЯ 3"
"TUT_WHORED_A_LEAF_BLOWER": "МЕКС"
"SHOTGUN_POLICE": "AS3 УЛЬТИМАКС"
"OVL_IN_USE": "ИСПОЛЬЗУЕТСЯ"
"HASH_23ADDA1C": "Нажмите {ANALOG_RS_IMG}, чтобы найти особую цель. \nЖмите {ANALOG_RS_IMG}, а затем {ANALOG_LS_IMG}, одновременно со стрелками, чтобы попасть в цель."
"HOOD_DT_03": "САНСЕТ-ПАРК"
"UNL_SAINTSBOOK": "КНИГА СВЯТЫХ"
"UNL_VEHICLE_STAG_NFORCER": "МАШИНА - ШТУРМОВИК КАБАНА"
"UNL_SPRINT_3": "УЛУЧШЕННЫЙ БЕГ 3"
"TUT_SPRINT_RECHARGE": "Когда счетчик бега обнуляется, нужно дождаться, когда он снова заполнится, прежде чем делать рывок снова."
"GARAGE_TOO_SMALL": "ГАРАЖ СЛИШКОМ МАЛ ДЛЯ ЭТОГО ТРАНСПОРТА."
"MAP_HIDDENNAME_STORE": "ПОСТАВИТЬ"
"HOMIES_EMERGENCY_DESC": "Вызовите врача"
"UNL_INCOME_DECKER_3": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_DAMAGE_MELEE_3": "Урон, наносимый вами в ближнем бою, увеличивается на 50%%."
"UNL_DESC_CRIB_POWDER": "Теперь это место является жильем Святых. Здесь вы можете получить доступ к вашему оружию и одежде, а также изменить свою банду."
"TL_MIS_21_RIDE_KILLBANE": "{ANALOG_LS_IMG} УПРАВЛЕНИЕ\n{ATTACK_PRIMARY_IMG} УДАР\nУдарьте Киллбейна, чтобы заставить его двигаться в нужном направлении."
"HUD_METERS_ABR": "М"
"UNL_DESC_DTL_STRONGHOLD_03_CUSTOMIZATION": "Эта крепость ваша!\nВы можете изменять и модернизировать ее в жилище \"Реакторы Бернс-хилл\", чтобы расширять влияние Святых и получить огромные бонусы модернизации."
"UNL_PROFGENKI": "ПРОФЕССОР ДЖЕНКИ"
"UNL_RESPECT_BONUS_PURCHASE2": "БОНУС - АВТОРИТЕТ 2"
"UNL_DESC_DAMAGE_FALL_1": "Урон от падений снижается на 10%%."
"TUT_TITLE_STORE_INTRO_CLOTHES": "МАГАЗИНЫ ОДЕЖДЫ"
"ACHIEVE_SR3_A_BETTER_PERSON": "ЛУЧШЕ - НЕ ХУЖЕ  "
"HUD_AMT_POINTS": "+{0} ОЧК."
"UNL_INCOME_LUCHA_3": "ПОЧАСОВОЙ ДОХОД С РАЙОНА"
"UNL_DESC_UNLIMITED_AMMO_GRENADE": "Можно переносить неограниченное количество гранат."
"TUT_WHORED_D_APOTHEOSIS": "АПОФЕОЗ"
"TUT_TITLE_MIS_02_SKYDIVE_CONTROLS": "СКАЙДАЙВИНГ"
"TUT_ACT_INTRO_SNATCH_KINZIE": "Доставьте своих информаторов в целости и сохранности от Декеров."
"ACHIEVE_SR3_THIRD_AND_30": "ТРИ И ТРИДЦАТЬ"
"COOP_WAITING_ON_PLAYER": "Ожидание других игроков..."
"WPN_AIR_STRIKE_DESCRIPT": "Используйте лазерную \"указку\", чтобы отметить цель, а затем наблюдайте, как на нее обрушивается смертельный ливень. Возможно, стоит отойти подальше..."
"UNL_DESC_GANG_NPC_WREST": "Теперь в вашей банде могут быть рестлеры."
"UNL_CYPHER_WEAPON": "ОРУЖИЕ - МЕРТВОСТРЕЛ"
"TUT_WHORED_MINI_BRUTES": "МИНИ-АМБАЛЫ"
"TUT_COMBAT_MELEE_1": "{MELEE_POWER_ATTACK_IMG} ТЯЖЕЛЫЙ УДАР \n{ATTACK_PRIMARY_IMG} ЛЕГКИЙ УДАР"
"COOP_KICK_PLAYER_CONFIRM": "Вы уверены, что хотите исключить %ls из игры?\nЛюбая несохраненная миссия или задание будут потеряны."
"UNL_RESPECT_LUCHA_3": "БОНУС АВТОРИТЕТА"
"UNL_UPGRADE_AMMO_SPECIAL_1": "ОСОБЫЕ ПАТРОНЫ"
"UNL_VEHICLE_SPOTLIGHT": "МАШИНА - SPOTLIGHT"
"UNL_DESC_DBNO_EXTRA_TIME_1": "Союзники истекают кровью на 10 секунд дольше."
"UNL_DESC_HOMIE_SHAUNDI": "Номер Шаунди есть в меню \"ТЕЛЕФОН\" вашего мобильника. Она поможет Святым в бою."
"HUD_HOLD_BACK_CANCEL_TAGGING": "ПОКИНУТЬ РИСОВАНИЕ ГРАФФИТИ"
"HYDRAULICS_TOGGLE": "%ls ДЛЯ ПЕРЕКЛЮЧЕНИЯ"
"UNL_DESC_CASH_LIMIT_LUCHA_3": "За улучшение жилья \"Казино Раз-Два-Три\" ваш лимит перевода денег увеличивается."
"UNL_DLC_ASSET03_ALERT": "КОМПЛЕКТ \"БАНДЫ СТИЛПОРТА\""
"UNL_DESC_FASTER_HOMIE_REVIVE_3": "Последователи возрождаются на 30%% быстрее."
"UNL_CRIB_ANGELS": "ЖИЛЬЕ - АНХЕЛЬ"
"UNL_FOLLOWER3": "БАНДА - ПОСЛЕДОВАТЕЛИ 3"
"TUT_WHORED_ZOMBIE_INFERNO": "ЗОМБИ-АПОКАЛИПСИС"
"TUT_WHORED_NINJAS": "НИНДЗЯ"
"TUT_TITLE_LOW_AMMO": "МАЛО ПАТРОНОВ"
"PLAYER_CHOICE_M19_OPTION1_BODY": "НАГРАДА: зомби-братки"
"TUT_TITLE_ACT_INTRO_DRUG_TRAFFICKING": "НАРКОТРАФИК"
"TUT_DIV_INTRO_HOSTAGE": "Едьте на высокой скорости, избегая полицейских, до тех пор, пока заложник не заплатит. Если вы сбавите скорость, заложник сбежит."
"ACHIEVE_SR3_GOTTA_BREAK_EM_IN": "МЫ ИХ ОБЛОМАЕМ"
"HUD_RESPECT_RANK_001": "СВЕЖАЯ КРОВЬ"
"HOMIES_KINZIE": "КИНЗИ"
"UNL_DESC_INCOME_EURO_1": "Вы получаете бонус 5%% к почасовому доходу с района Центр."
"UNL_DESC_VEHICLE_CYRUS_VTOL": "Теперь в гараже вашего жилища есть СВВП Сайруса."
"UNL_DESC_UNLIMITED_AMMO_SMG": "Количество патронов для автомата неограниченно."
"TUT_WHORED_A_LITTLE_NIKITA": "МАЛЕНЬКАЯ НИКИТА"
"TUT_WHORED_ZOMBIE_SLAYER": "УБИЙЦА ЗОМБИ"
"TUT_WHORED_BIG": "БЕРЕГИСЬ, ТОКИО"
"WPN_SONIC_WAVE_GUN_DESCRIPT": "Направленные звуковые волны снесут практически все на вашем пути. Зарядите пушку и посмотрите, что выйдет!"
"UNL_DESC_HOMIE_HEALTH_1": "Уровень здоровья всех последователей увеличивается 10%%."
"UNL_HOMIE_VTOL": "БРАТОК - СВВП"
"HUD_LOCKON_TARGET_LOCKED": "ЦЕЛЬ ЗАФИКСИРОВАНА"
"WPN_SMGCYBER_DESCRIPT": "Рабочая модель автомата Декеров из общей хакерской сети."
"RESTRICTED_ZONE_ENTER": "ВХОД В ЗАПРЕЩЕННУЮ ЗОНУ"
"UNL_CLOTHING_SPACE_COSTUME": "ПРЕДМЕТ - КОСМИЧЕСКИЙ СКАФАНДР"
"UNL_DESC_CASH_BONUS_MODIFIER": "Вы получаете бонус к получаемым деньгам в размере 10%% за захват штаб-квартиры Моргенштерна."
"UNL_HEALTH_REGEN_1": "ВОССТАНОВЛЕНИЕ ЗДОРОВЬЯ"
"UNL_DESC_NOTORIETY_LUCHA_3": "Уровень дурной славы в отношениях с Лучадорами снижается быстрее."
"TUT_TITLE_HOMIE_REVIVE": "ИСЦЕЛЕНИЕ БРАТКА"
"Flashbang": "ВЗРЫВПАКЕТ"
"UNL_DESC_STRONGHOLD_02_CUSTOMIZATION": "Вносите изменения в эту крепость в жилище \"Стоп-слово\", чтобы получить огромные бонусы."
"UNL_DESC_DLC_GAMEPLAY03_ALERT03": "Награды, связанные с решениями в мисии Лучадоров, получены. Проверьте свой гардероб и арсенал."
"TUT_WHORED_Z_BRUTE_ACTION": "ФИГУРКИ ЗВЕРЯ"
"ACHIEVE_SR3_KILL_DECKERS_EXE": "KILL-DECKERS.EXE"
"TUT_WHORED_ROLLERHOS": "РОЛЛЕР-ШЛЮХИ"
"TUT_WHORED_MINI_NINJAS": " МИНИ-НИНДЗЯ"
"PISTOL_POLICE": "КА-1 КОБРА"
"UNL_AMMO_EURO_1": "СКЛАД ОРУЖИЯ - БОЕПРИПАСЫ"
"TUT_TITLE_MINIMAP": "МИНИ-КАРТА"
"TUT_NP_TANK_CONTROLS": "{ANALOG_LS_IMG} ПЕРЕМЕЩЕНИЕ \n{ANALOG_RS_IMG} ПРИЦЕЛИВАНИЕ \n{TANK_FIRE_SECONDARY_IMG} ВЫСТРЕЛ ИЗ ОСНОВНОГО ОРУЖИЯ\n{TANK_FIRE_PRIMARY_IMG} ВЫСТРЕЛ ИЗ ВСПОМОГАТЕЛЬНОГО ОРУЖИЯ"
"PLAYER_ALL_HEALED": "Все вылечены!"
"HOMIES_PIERCE_DESC": "Попросите Пирса прикрыть вас."
"HOMIES_POLICE_NOTORIETY": "ПРОЩЕНИЕ ПОЛИЦИИ"
"UNL_DESC_DLC_PREORDER01_WEAPONS": "Кусачие, взрывные, захватывающие мозг осьминоги!"
"UNL_VAMPIRE": "НАВЫК - ВАМПИР"
"TUT_WHORED_A_KEEP_AWAY": "ДЕРЖИСЬ ПОДАЛЬШЕ"
"TUT_WHORED_BRUTES": "ВОССОЕДИНЕНИЕ СЕМЬИ ОЛЕГА"
"HUD_TARGET_ELIMINATED": "ЦЕЛЬ УНИЧТОЖЕНА"
"HASH_C7FCA82B": "ВЫПОЛНИТЕ ПОВТОРНОЕ ПОДКЛЮЧЕНИЕ ГЕЙМПАДА И НАЖМИТЕ {PAUSE_MENU_IMG}, ЧТОБЫ ПРОДОЛЖИТЬ"
"UNL_CASH_LIMIT_MSTAR_1": "ЛИМИТ ТРАНСФЕРА"
"UNL_MUSCLES_1": "БЛИЖНИЙ БОЙ - МЫШЦЫ"
"UNL_RESPECT_BONUS_PURCHASE4": "БОНУС - АВТОРИТЕТ ВИП"
"UNL_DESC_NOTORIETY_MSTAR_2": "Уровень дурной славы в отношениях с Моргенштерном снижается быстрее."
"UNL_DESC_CASH_FOR_RESPECT_1": "Заплатить налом за 4000 ед. авторитета."
"TUT_TITLE_STORE_INTRO_TATTOO": "ТАТУ-САЛОНЫ"
"CS_TITLE_SYNDICATE_JET": "САМОЛЕТ СИНДИКАТА"
"USE_TRIGGER_PENTHOUSE": "ИДИТЕ В ПЕНТХАУС"
"RADIO_OFF": "ВЫКЛ."
"UNL_DESC_RESPECT_LUCHA_1": "За приобретение жилья \"Казино Раз-Два-Три\" количество любого зарабатываемого вами авторитета увеличивается на 5%%."
"UNL_DESC_CASH_LIMIT_MSTAR_2": "За улучшение жилья \"Бордель МЕГА\" ваш лимит перевода денег увеличивается."
"UNL_VEHICLE_CYBER_TANK": "МАШИНА - КИБЕРТАНК"
"UNL_CASH_FOR_RESPECT_2": "ПОДМЕНА - НАЛИК ЗА АВТОРИТЕТ 2"
"UNL_HOMIE_ANGEL": "БРАТОК - АНХЕЛЬ ДЕ ЛА МУЭРТЕ"
"UNL_DESC_WEP_AIRSTRIKE": "Взять целеуказатель для авианалета SA3 вы сможете на оружейном складе в вашем жилище."
