"Storye01_In_Crawl_02": "それは人類の歴史の物語"
"Story12_In_11_Pierce": "エサが良けりゃ向こうから寄ってくる　だからお前と新入りを呼んだ"
"Story09_Out_03_Killbane": "将軍は俺だ　俺が皇帝だ　俺は「歩く黙示録」だぞ！\n俺が決める...　勝手なマネをするな！"
"Story08_Out_10_Killbane": "クヨクヨするな　お前にはマーダーブロウルのVIP招待券をやろう"
"Story21_In_10_": "まもなく始まります！"
"Story10_Out_04_Reporter_02": "STAGが日常生活に与える影響は？"
"Story02_In_09_Viola": "ボスがあなたに会いたがってるわ　お金の話でね"
"Storye01_In_Crawl_09": "要するにセインツは世界の注目の的であり\n今やすべての犯罪組織がその輝かしき地位を欲している"
"Story07_Zscene01_09_Player_BM": "ハイヤー！"
"Story23_Out_11_Player_BM": "ちょっと話を盛りすぎたかもな"
"Story13_In_04_Shaundi": "何が"
"Story02_In_25_Phillipe": "合理的なビジネス契約を結びたかったのだがね..."
"Story01_In_04_Shaundi": "あんたは見学でしょ..."
"Genki_Both10": "お楽しみバトルタイム　スタート！"
"CTO_Kinzie01_04_Kinzie": "まだよ"
"Story16_Out_06_Matt": "同感　じゃあ　飛行機に遅れるから..."
"Story15_Out_04_Kinzie": "ナイスジョーク　設定が済んだら説明するわ"
"Story12_In_05_Kid": "あああ　あの..."
"Story05_Out_01_Matt": "セインツは　しぶとい..."
"Story12_Out_05_Monica": "何ですって？　すぐに探して！"
"CTO_Kinzie02_04_Player_BM": "もうちょっとマトモに会話できないか？"
"CTO_Pierce02_04_Player_BM": "お前はのんびりくつろぎたいかもしれねえが　お遊びには飽き飽きだ\n今すぐローレンを始末するぞ　居場所はわかるか？"
"Story23_Out_15_Player_BM": "さっそく仕事だ"
"Story15_Out_03_Player_BM": "50ドルやるから　好きなの買えよ"
"Story15_In_04_Kinzie": "睡眠は禁止"
"Story06_Mid_06_Pierce": "クローンが完成したなら　お前はもういらなくねえか？"
"Story02_In_28_Player_BM": "一緒に"
"Story02_In_16_Phillipe": "知っていれば我々の銀行を襲うこともなかっただろう\nまだ命があることに感謝したまえ"
"Story01_In_22_Player_BM": "撃ちまくる"
"CTO_Pierce02_07_Player_BM": "戦略家のローレンが　そんなわかりやすいところに隠れるか？\nもうちょっと確かな情報はねえのかよ"
"Story21_In_02_Bobby": "まったくだよ　ザック！　さあついにメインイベントだ！"
"Story17_In_06_Viola": "待って...　捕虜？"
"Story09_In_02_Player_BM": "横取りすれば　モーニングスターのサロンは倒産だぜ"
"Story08_In_03_Zimos": "俺なんか人間ポニーショーの見せもんにされても　引きずってないだろ？"
"Story17_Mid_04_Cyrus": "よう　元気か？"
"Story07_Out_10_Viola": "じゃあ　何をしてほしいわけ？"
"Story02_Out_02_Phillipe": "メッセージはヴィオラとキキが広める\nスティールポートは我々の縄張り　セインツはお呼びでない"
"Story02_In_15_Shaundi": "知らないね"
"Story01_In_25_Player": "大目にみてやれよ　手本にしたいだけだ"
"CTO_Pierce02_10_Pierce": "違げえよ　POWDERはデザイナーブランドの銃を扱うダウンタウンの店だ\nローレンの手下とオーナーが話してんのを見た　怪しいぜ"
"CTO_Pierce02_09_Player_BM": "だからパーティーは仕事が済んで..."
"Story22_OutB_05_Monica": "セインツは...　ヒーローだわ"
"CTO_Kinzie01_02_Kinzie": "人ごみは嫌いなの"
"Story13_Zscene01_05_Pierce": "ボス　どうする？"
"Story19_Out_01_Monica": "いったい何をしているの！？"
"Story19_In_14_Reynolds": "実はゾンビの問題が..."
"Story15_Out_02_Kinzie": "まだよ　イスがいるわ"
"Story13_In_06_Shaundi": "もう　コイツ撃っていい？"
"Story11_Out_07_Monica": "許可できないわ"
"Story10_In_08_Viola": "キルベインを潰してやりたいの"
"Story09_In_03_Zimos": "あんなに大勢どうやって運ぶ？"
"Story02_In_22_Player_BM": "このフランス野郎..."
"Story02_In_07_Gat": "金がすべてなのか？"
"Story01_In_06_Josh": "僕はリアル志向の俳優さ　セインツの一員を演じるなら　本気で取り組まないと"
"Storye01_In_Crawl_07": "セインツの映画が製作され　ギャットとショーンディは\n今やポップカルチャーの象徴となっていた　そしてピアース..."
"Story16_Zscene01_03_Matt": "望むところだ"
"Story19_In_24_Reynolds": "民兵組織も出し抜けないで　市長が務まると思うか？　済んだら連絡してくれ"
"Story16_Out_01_Killbane": "マット　考え直してくれ\n俺様の手は敵の骨を砕くためにある　タイピング用じゃない"
"Story02_Out_01_Phillipe": "諸君　交渉は...　実に残念な結果に終わった"
"CTO_Angel01_04_Angel": "甘えるな　ルチャドールはそういう弱みにつけ込む\n心を鍛えねえと　キルベインに潰されるぞ\n俺がたたき直してやる"
"CTO_Pierce01_06_Player_BM": "だが連中も　カギを手に入れたと気づくはず　どうせ待ち伏せしてるぜ"
"Story10_Out_01_Cyrus": "私はサイラス・テンプル　対ギャング特殊部隊STAGの司令官だ\nSTAGイニシアチブへの質問があれば受け付けよう　"
"Story07_Out_03_Killbane": "決めるのは俺だ"
"SH_Morningstar01_04_Pierce": "中はどうなんだよ"
"Story02_In_01_Player_BM": "今月分の金は払ったはずだ"
"CTO_Kinzie02_03_Kinzie": "それに　その無駄に高級な携帯電話もやめるべきね\n簡単に逆探知できるんだから"
"CTO_Kinzie01_05_Player_BM": "あれから毎日何やってたんだよ？"
"Story23_In_03_Player_BM": "ショーンディに！"
"Story19_In_13_Player": "も...　もちろんだ！　頼みは？"
"Story17_Mid_07_Agent": "では　ここからは私が連行いたしましょう"
"Story06_Mid_05_Oleg": "フィリップは何でもカスタムメイドを好む...\n俺はブルートを造るための「型紙」だ"
"CTO_Pierce01_02_Player_BM": "何だ？"
"Story16_Zscene01_05_Matt": "ここでの僕は　神なのさ"
"Story22_OutA_04_Monica": "あなたの言うとおりだったわ　ダイダロスの使用を許可します"
"Story19_In_04_Viola": "市長相手にバカなマネはしないこと"
"CTO_Angel02_04_Angel": "今つかんだものを忘れるなよ　お前は自らの恐怖心を克服したんだ"
"CTO_Kinzie01_01_Player_BM": "やっと自由の身になったのに　出かけたりしねえのか？"
"Story23_In_07_Player_BM": "だったら奴らのオモチャをぶっ壊すまでだ"
"Story22_OutB_04_Monica": "彼らの言うとおりよ..."
"Story22_In_01_Player_BM": "どうした？"
"Story03_Out_08_Player_BM": "まあ落ち着けって　考えがある"
"Story02_In_06_Player_BM": "ブランドは金になる..."
"Story07_Zscene02_05_Player_BM": "遠慮しとく"
"Story12_Out_03_Cyrus": "バークが誘拐された..."
"Story21_Zscene03_01_Player_BM": "キメ顔作れよ　全国ネットだぜ"
"Story07_Zscene02_06_Player_BM": "タオルとかないのか？　どうした？"
"Story01_Zscene01_05_Josh": "道具はもってきたぜ"
"Story22_OutB_15_Player_BM": "キルベインは全面戦争を企てている　絶対に阻止する\nこの惑星を守るのは我々だ...　必ずやり遂げる！"
"Story21_In_05_Player_BM": "リングサイドのルチャドールどもは始末する\nお前は安心してキルベインを片づけてくれ"
"Story20_In_05_Viola": "マスクを奪えば　奴はただのエディ・プライヤー　殺すより効果的よ"
"Story14_In_06_Anna": "あなたが犯罪者であると指摘する声もありますが"
"Story12_In_12_Viola": "名前で呼んで"
"Story03_Out_06_Player_BM": "わかったよ...　仲間を連れてくるとなると　新しいアジトがいるな"
"22_Choice_08_Kia": "MAGARAC ISLANDを爆破すれば　全世界がお前の正体を知る"
"Storye01_In_Crawl_03": "太古の時代から　偉大な指導者はどん底から身を起こし..."
"CTO_Kinzie02_05_Kinzie": "確かに　ナバホ語の暗号で会話したほうが安全ね"
"CTO_Pierce01_08_Player_BM": "じゃあ行くか"
"Story07_Zscene02_01_Player_BM": "悪りぃな...　その...　馬代わりにしちまって"
"Story01_Zscene01_07_Gat": "爆破すんだよ"
"Story22_OutB_12_Player_BM": "その前に..."
"Story22_In_08_Player_BM": "見にいくぞ"
"Story20_In_04_Player_BM": "殺す方が早くねえか？"
"SH_Decker_06_Oleg": "神経電磁気睡眠スコープ　NEMOだ　1台だけ実用化されたがKGBに破壊された"
"Story12_In_01_Viola": "ピアースって　字が読めたのね"
"Story07_In_09_Oleg": "シンジケートの犬さ"
"Story06_Mid_10_Oleg": "フィリップを始末するくらいの力はある　信じてくれ"
"22_Choice_06_Player": "なんの用だ　どうせ逮捕するとでも言うんだろ"
"Story13_Zscene01_02_Pierce": "こっちにはマスコット君がいるぜ"
"Story06_Mid_04_Player_BM": "なんだこりゃ...？"
"SH_Morningstar01_02_Pierce": "裏は警備されてねえのか？"
"Story03_Out_02_Player_BM": "ショーンディはスティルウォーターに帰ってもらう"
"Story21_Zscene01_02_Zach": "見るに堪えません　エンジェル　赤ん坊のように扱われています"
"Story06_Zscene01_02_Player_BM": "クソッ！"
"Story01_Zscene01_10_Player_BM": "片付けるか"
"Story17_In_02_Viola": "STAGの空母に乗り込むなんて無理よ"
"HASH_29CD6718": "僕みたいにね"
"Story09_Out_07_Monica": "スティールポート市内の　STAG配備が完了しました"
"Story06_In_02_Shaundi": "あたしのだ　よこしな"
"Storye01_In_Crawl_06": "スティルウォーターを征服し　ちっぽけなストリートギャングは\n強大なるメディア帝国へと変貌を遂げた"
"CTO_Zimos02_04_Zimos": "俺への仕打ちを見たろ？　だいぶ前に終わってんだよ...そんな話はいい\nフィリップ・ローレンを始末してメッセージは伝えた　パーティーだ！"
"SH_Morningstar02_01_Monica": "襲撃事件の犯行声明は出ていませんが　我々は問題の根源を無視してきました\nメディアの無責任な情報がギャングを美化し　反社会的人物を英雄にしています"
"Story07_In_08_Player_BM": "キル...？"
"Story05_In_04_Player_BM": "作戦開始"
"Story02_In_19_Viola": "セインツ・アルター・メディア・グループの事業は　今後も継続を許可します\nただし毎月利益の66％を収めること"
"Story12_Out_04_Cyrus": "必ず連れ戻すとお約束しましょう"
"CTO_Zimos01_09_Player_BM": "いいな"
"CTO_Zimos01_04_Zimos": "猿ぐつわと馬のしっぽつけて何年も過ごしたんだ　リラックスして何が悪い"
"Story01_Zscene03_01_Player_BM": "行け！"
"Story22_OutA_01_Pierce": "殺ったのか？"
"Story06_Mid_07_Oleg": "ブルートは私の筋力を持つが　頭脳が欠落した欠陥品だ　私を仲間にしろ"
"Story20_In_02_Viola": "奴を痛めつけたければ　奴に汚名を着せればいいわ"
"CTO_Zimos01_07_Player_BM": "セインツがスティールポートに進出するとなると　モーニングスターは邪魔だ\nダウンタウンは片づいたが　まだそこらじゅうにいやがる"
"Story12_In_15_Player_BM": "なるほどね"
"Story17_In_09_Pierce": "ふざけんなよ！"
"SH_Decker_04_Oleg": "NEMOチェアだな"
"Story11_Out_04_Kia": "ナイトブレイドがSTAGの広告塔？　シカの着ぐるみのほうがマシでは？"
"SH_Morningstar02_04_Player_BM": "STAGイニシアチブ？"
"Story08_In_08_Pierce": "何だよ　人生　楽しんでナンボだろ？"
"Storye01_In_Crawl_08": "のことはどうでもいい"
"CTO_Zimos01_03_Player_BM": "忙しい奴だぜ"
"Story17_Mid_03_Kia": "お戻りでしたか"
"Story14_In_04_Anna": "エディ・プライヤー氏にお越しいただきました"
"Story06_In_03_Player_BM": "あのアホ面にひと泡吹かせてやろうぜ"
"Story07_Zscene02_02_Zimos": "助けてくれんだよな？　怪しいパーティーに連れてかねえよな？"
"Story20_Out_05_Killbane": "歩く黙示録に潰されるのが望みなら　いつでも受けて立とう"
"Story16_Out_02_Matt": "タイピングが苦手なら　性能のいい音声認識ソフトを教えてあげるし..."
"Story05_Out_05_Matt": "お言葉ですが..."
"CTO_Zimos01_02_Zimos": "しーっ！　女が起きる"
"Story17_Zscene01_02_Cyrus": "それがお前の名前か"
"Story24_Out_04_Director": "カット！"
"Story18_Out_01_Player_BM": "ったく..."
"Story12_Out_02_Cyrus": "ヒューズ議員を"
"CTO_Angel02_03_Player_BM": "トラだぞ！？"
"Story07_Zscene03_03_Player_BM": "じゃ　あいつらは？"
"Story23_Out_14_Pierce": "サイテーのアイデアだな　乗ったぜ"
"Story12_In_04_Pierce": "うまくいけば先手を打てるぜ"
"Story23_Out_09_Player_BM": "モニカ・ヒューズと取り巻き連中にメッセージだ\nスティールポートは新しい管理体制下に入った　お前の言いなりにはならない\nここは外国だと思え　今度来やがったら棺桶で帰ることになる　以上だ"
"Story22_OutA_02_Player_BM": "ああ"
"Story17_In_04_Viola": "乗り込んだ後はどうするの？"
"Story13_Out_02_Kia": "おめでとうございます　司令官"
"Story08_In_07_Shaundi": "もういい"
"Story05_In_03_Shaundi": "みんな下で待機してる　アンタの合図ですぐ乗り込むよ"
"Storye01_In_Crawl_05": "サード・ストリート・セインツの指導者も同じくそうであった"
"CTO_Zimos02_02_Zimos": "趣味の悪いアンタに芸術の何が分かる　「デウィンター姉妹」の原画だぞ！\nお互いのビジネスに干渉せずにいた頃に買ったのさ"
"Story16_Zscene02_03_Player_BM": "キンジーだってできると思うぜ"
"Story24_Out_11_Director": "アクション！"
"Story24_Out_09_Asst_Director": "カメラ回りました"
"Story01_In_21_Gat": "策はあんのか？　それとも　とりあえず撃ちまくるか？"
"Story07_Zscene02_04_Zimos": "じゃあ信用するよ　握手したいところだが\n床がベタベタしてたんでね..."
"Story07_Zscene01_05_Goon": "こっちへ行ったぞ！"
"Story23_Out_04_Player_BM": "動くな！　皆おとなしくしてろ！"
"Story22_In_06_Pierce": "クソッ"
"SH_Luchadore_03_Player_BM": "わかった　で　どうやって？"
"Story17_Mid_06_Cyrus": "それは...　うれしいが　こいつらをすぐに拘留しねえと..."
"Story22_Zscene01_02_Killbane": "時がきた...　民に崇められし血と炎の巨人が2人　これは運命なのだ..."
"Story16_Zscene02_07_Player_BM": "やればできるじゃねえか..."
"Story23_Out_12_Pierce": "ああ　都市国家を設立しちまった"
"Story14_Out_06_Shaundi": "あと少しだったのに！"
"Story14_In_03_Anna": "今日は幸運なことに　こちらの独占映像を皆さんにお送りします　またこの映像を入手された"
"Story12_In_02_Pierce": "新入りにいちいち説明する義理はねえ\nナイトブレイドはSTAGのマスコットだ　あのガキをさらえば..."
"22_Choice_05_Kia": "セインツさんこんにちは"
"CTO_Pierce02_11_Player_BM": "じゃあショッピングといくか"
"Story13_In_03_Josh": "君を最初に見た瞬間　ビビッと来たんだ"
"Story09_In_01_Zimos": "女がいっぱいだ"
"Story06_Mid_09_Shaundi": "装置を外しても生きていけるのかしら？　仲間にする意味あんの？"
"Story01_In_10_Josh": "超ポストモダニズムか　いいね"
"22_Choice_01_Angel": "奴は飛行場だ　時間がないぞ！   "
"Story21_Zscene02_02_Killbane": "待ってくれ！　アポカフィストの秘密を教えてやるから　マスクだけは...！"
"Story19_In_02_Viola": "入る前に　お行儀よくするって約束して"
"Story17_Out_11_Kia": "特殊部隊を出動させました　72時間以内に全市内の封鎖が完了します"
"Story17_In_01_Pierce": "いくらお前でも　今回は無茶だぜ"
"Story14_Out_05_Player_BM": "大丈夫か？"
"Story08_In_01_Shaundi": "ジョニーが死んだのに　パーティーってどういうこと！？"
"CTO_Angel02_02_Angel": "ルチャドールと戦うなら　何があっても動じねえ精神力が要る"
"Story18_In_02_Player_BM": "だな！"
"CTO_Angel01_02_Angel": "キルベインの仕打ちを忘れねえためだ　集中力が高まる"
"CTO_Pierce02_05_Pierce": "さあ..."
"Story21_Out_05_Goon": "キルベイン　ただの試合だろ..."
"Story14_Out_02_Shaundi": "見つけた"
"Story10_Out_07_Cyrus": "スティルウォーターのジェシカ・パリシュという子は、彼氏を追って家出した\nそしてギャングに誘拐され　彼氏にトラックラリーで潰されて死んだ\nジェシカがあなたの娘だったら　我々に手加減しろと？"
"Story22_Zscene01_03_Player": "おれがお前を殺すのがな"
"CTO_Pierce01_05_Pierce": "金庫のカギだ　後生大事に何を入れてんのか　見てみたくねえか...？"
"Story02_In_17_Gat": "俺にまだケツを蹴られてねえことに感謝しろ"
"Story22_Zscene01_05_Player": "目を覚ませよエディ　2週間もしたらお前を覚えてるやつなんかいない"
"CTO_Pierce01_03_Pierce": "シンジケートのアジトだっただろ？　なんかいいもん残ってねえかと思ってさ"
"Story12_Zscene01_02_Player_BM": "ズラかるぜ"
"Story21_In_07_Bobby": "罵詈雑言の嵐！　セインツのボスがこの街にした仕打ちを考えれば同然だ\nファンがナイフで襲ってこないだけラッキーだぞ！"
"Story13_In_01_Josh": "逃げないから銃をしまって"
"Story07_In_01_Monica": "上院議員となり　この街を離れても　心は常に故郷と共にありました\n命をかけてギャングから街を守った夫の勇気　それを称えた橋の開通は光栄です"
"Story01_In_12_Josh": "手を挙げろ！　動くな！！"
"CTO_Pierce02_03_Pierce": "それに　ここなら俺が一番のイケメンだしな"
"Story21_Zscene03_02_Killbane": "やめろ！"
"Story07_Out_01_Killbane": "フィリップは死んだ　我々は岐路に立たされている\nまず決めるべきは　シンジケートの新しいリーダーだ"
"Story24_Out_08_Director": "よし　みんなもっと笑って　ハッピーエンドだからな"
"CTO_Kinzie02_11_Kinzie": "その携帯は早く捨ててよ！"
"Story19_In_01_Player": "なんだよ？"
"SH_Decker_03_Kinzie": "そうすることで　あなたはユーザーのアバターに干渉可能になり\nバーチャルな形を与えられたデータを破壊できるようになる\n奴らのオンライン事業の基盤となっているそれをね　そのために必要なのが..."
"Story14_Out_08_Player_BM": "クソッ"
"Story12_In_14_Viola": "はあ！？　冗談...！"
"CTO_Kinzie01_10_Kinzie": "いいからあなたはゲームをプレイして　私がデッカーの居場所を特定する"
"Story18_In_01_Viola": "もっと楽な方法あるんじゃない！？"
"Story12_In_03_Player_BM": "STAGをおびき出せる"
"Story22_OutB_09_Cyrus": "調子に乗らないことだ　お前らが何かやらかせば\nSTAGはすぐに戻ってくる　次は必ずつぶしてやるからな"
"Story21_In_04_Bobby": "キルベインは生まれながらの殺人鬼だからね　母親の腹から出てきたとたん\nへその緒で医者の首しめて殺したってんだから　かなりの残虐ぶりだ"
"SH_Decker_02_Kinzie": "あなたの潜在意識を　デッカーのユーザーネットに流すの"
"SH_Morningstar02_12_Player_BM": "ふ　ざ　け　ん　な"
"Story05_Out_06_Matt": "もはや　実体がないとは言えません"
"Story01_In_14_Josh": "あれ　セリフ飛ばしちゃった　やり直しいい？"
"Story21_In_03_Zach": "来ました！　エディ・キルベイン・プライヤー！　「歩く黙示録」！\nスティルウォーター・ブッチャーに勝ち目はあるんでしょうか"
"Story16_Out_03_Killbane": "俺がフィリップの遺灰から不死鳥のように立ち上がった瞬間から\n俺とお前は運命共同体だ"
"Story13_Out_05_Kia": "奴らは潜伏するつもりです　探し出すのは困難かと"
"Story12_In_07_Player_BM": "なんだこれ？"
"Story10_In_16_Kia": "セインツはデウィンター姉妹の一方とともに身を隠しています\nこれより接近します"
"Story08_Out_08_Killbane": "ヴィオラ　お前の太陽は沈みかけているが手遅れじゃない\n太陽神の戦車で　もう一度空を駆けるなら今しかない　わかるな？"
"Story02_Out_03_Phillipe": "ミスター・キルベイン　ルチャドールにセインツのリーダーを狩らせろ\nミスター・ミラーはセインツの口座をハッキングだ"
"Story01_In_26_Shaundi": "どうなっても知らないから"
"CTO_Pierce02_02_Pierce": "ビールが安けりゃ文句ねえよ"
"CTO_Zimos01_06_Zimos": "今日は女が目当てじゃねえよな　用件は？"
"Story07_Zscene01_01_Pierce": "ズィーモスはどこだよ？　なんだかヤバそうな奴ばっかりだぜ？"
"Story21_Out_04_Bobby": "すごい試合だよ　ザック"
"Story19_In_16_Reynolds": "ゾンビだ"
"Story15_In_10_Kinzie": "メインフレームに潜入できれば何だってやれるけど...　必要な機材がないわ"
"Story06_Mid_12_Pierce": "大丈夫か？"
"Story02_In_08_Viola": "お金は大切よ　ミスタ－・ギャット"
"Story12_In_09_Player_BM": "あとで弁護士のリーに確認だな"
"Story10_In_05_Player_BM": "お前のせいでジョニーは死んだ"
"Story06_Mid_14_Pierce": "だから　デカい男は苦手なんだよな..."
"Story01_In_24_Shaundi": "セインツ映画はいいとしても...　こんなヘボ俳優を仲間に入れる必要あんの？"
"Storye01_In_Crawl_04": "馬鹿げた事をしてきた"
"Story11_Out_08_Cyrus": "あの俳優の身の安全が懸念されます"
"Story07_Out_05_Viola": "何ですって？"
"Story02_In_02_Cop": "もっと払った奴がいたんだろ"
"Story21_Zscene04_02_Bobby": "なんてこった！　キルベイン　ギブアップ！"
"Story19_In_06_Player": "市長だろうが関係ねえよ"
"Story17_Mid_02_Cyrus": "黙れ"
"SH_Morningstar02_09_Zimos": "モーニングスターをつぶすチャンスだ\n今夜オークションがある　そのカードを見せれば潜入できるぜ"
"Story06_In_01_Pierce": "お前にはデカすぎ"
"Story01_In_01_Josh": "日本のCMほど楽な仕事はないよな"
"Story13_In_08_Player_BM": "ピアース　準備は？"
"Story11_In_04_Player_BM": "引き分けだ"
"Story08_Out_09_Viola": "ええ..."
"Story02_In_14_Phillipe": "この2人はヴィオラとキキ　私はフィリップ・ローレン\nシンジケートという組織の会長だ"
"Story13_Zscene01_03_Player_BM": "STAGを撤退させろ"
"Story23_In_06_Kinzie": "建物を全部爆破するつもりよ　隠れてもそのうち吹っ飛ばされるわ"
"Story19_In_15_Viola": "待って　何ですって？"
"Story15_In_05_Player_BM": "デッカーの奴ら　ヘリに何をした？"
"Story14_In_12_Kinzie": "三角法で場所を特定できるかもしれないわ　まずは電波塔へ行って..."
"Story06_Mid_13_Oleg": "問題ない"
"Story06_Mid_08_Pierce": "前もデカい男に同じこと言われて　結局マズいことになった"
"CTO_Angel01_06_Angel": "最悪の痛みを経験させてやる　ついて来い　路上教習の時間だ"
"CTO_Angel01_05_Player_BM": "どうやって？"
"Story12_Zscene01_01_Josh": "準備運動とかしたほうがよくない？　あれ？　君はあのときの..."
"Story22_OutB_03_Player_BM": "礼を言いに来たのか？　違うなら...　てめえら覚悟しとけよ"
"Story21_In_01_Zach": "ボビー　今夜は盛り上がりますね！　すごい熱気です！"
"SH_Decker_11_Player_BM": "人間の言葉でしゃべれよ！　つまり何だ？　わかりやすく説明しろ！"
"Story10_Out_03_Cyrus": "「占拠」ではない　レイノルズ市長の全面的な支持を受けている"
"Story02_In_18_Phillipe": "君がどう思おうと　我々はスティルウォーターに勢力を広げる\n財産の賢い使い方を提案しよう　君たちの命にも関わることだ"
"Storye01_In_Crawl_01": "征服"
"CTO_Angel02_06_Angel": "これでキルベインと戦えるが　まずはルチャドールどもを始末しないとな\nトレーニングが必要になったら　いつでも連絡しろ"
"Story13_In_05_Josh": "禁じられた愛さ"
"Story01_In_16_Josh": "次はてめえだ！"
"22_Choice_09_Player": "期待を裏切って悪いが　セインツはテロ組織とは違うんだぞ"
"CTO_Angel01_01_Player_BM": "ひでえな...　なんでこんなとこに住んでる？"
"Story21_Zscene03_03_Zach": "キルベインの素顔が暴かれました！　数年前を思い出します"
"Story01_Zscene01_06_Josh": "プランBって　ドリルとか？"
"Story15_In_02_Player_BM": "いい...　部屋だな"
"Story09_Out_01_Killbane": "マット　お前はバカか？"
"Story21_In_10_Bobby": "まさに歴史が刻まれる瞬間！　キルベインに不可解な敗北を喫して以来\n姿を消していたエンジェル　マーダーブロウル史上最高の夜になりそうだ！"
"Story20_In_07_Viola": "奴は絶対エンジェルとは戦わないわ"
"Story17_In_03_Player_BM": "なんでだ？　見た目はサイラスそっくりになる　あとは偉そうにするだけだ"
"Story14_In_09_Player_BM": "どこで放送してる？"
"Story11_Out_09_Monica": "バーク氏の安全はあなたの責任です　できないなら他を当たりますよ"
"Story17_Zscene01_01_Cyrus": "テルモピレに戻って捕虜を尋問する　私以外は立ち入り禁止だ　いいな"
"Story16_Zscene01_06_Player_BM": "なんでもいいが　ネット無双もいいかげんにしろよ"
"Story16_In_06_Player_BM": "やってやるぜ..."
"Story12_Out_01_Cyrus": "死体を調べろ"
"Story01_In_03_Josh": "任せてよ　これでもスタントは自分でやるんだ"
"Story17_Mid_05_Kia": "私が研究を進めていたプロトタイプの承認を"
"Story17_In_07_Player_BM": "お前とピアースだよ　いっしょに来てもらう"
"Story16_Zscene01_02_Player_BM": "隠れてりゃさぞかし安心だろ　出てきたらどうだ！？"
"Story07_Zscene03_01_Angel": "お前　ただのブルートじゃねえな"
"Story16_In_02_Player_BM": "撃たれる心配ねえなら気楽だぜ"
"SH_Decker_10_Oleg": "なるほど..."
"Story08_Out_07_Killbane": "騒ぐな　片方いれば十分だ"
"Story14_In_05_Killbane": "ジェーン　俺のことはキルベインと呼んでくれ"
"Story10_In_02_Viola": "ちゃんと話したことなかったものね　あなたは実験の被験体だったし"
"Story16_Zscene02_01_Matt": "待って！"
"Story06_Zscene01_03_Oleg": "地下へ向かう高速エレベーターだな　奴を捕えるのは不可能だ"
"Story09_Out_05_Killbane": "やみくもにケンカはふっかけねえ　八百長試合のように慎重に確実に動く"
"Story09_Out_04_Matt": "悪かったよ　で？　どうする？"
"Story24_Out_03_Player_BM": "忘れた"
"Story09_Out_06_Killbane": "そうだ...　そうだとも...　よく聞け..."
"SH_Morningstar02_05_Zimos": "無料なら何でももらうぜ"
"Story08_Out_05_Kiki": "頭使うときはあたしら頼みのくせに　もう勝手にすればいいわ"
"Story02_In_26_Pilot": "い...　いったい何..."
"Genki_Zach03": "ゲンキ博士の超絶閃光研究所をくぐりぬけて\nキャッシュプライズをゲットしちゃおう！"
"SH_Luchadore_02_Angel": "マスクを奪われることは　ルチャドール最大の屈辱だ\n盗んで奪い返すなんて論外　マスクは獲得しねえと"
"Story10_Out_08_Cyrus": "私からは以上だ"
"Story10_In_11_Viola": "あれは...？"
"Story07_In_14_Shaundi": "望むところよ"
"Story07_In_13_Oleg": "シンジケートは手強いぞ"
"Story01_In_23_Gat": "異議なしだ"
