"ACT_WHORED_Z_AGRIZOOPHOBIA": "C'est un gros problème."
"ACT_CHOPSHOP_NONE": "AUCUN GARAGE CLANDESTIN RÉFÉRENCÉ"
"ACT_WHORED_Z_SUPER_SIZED": "Personne n'a besoin d'autant de caféine."
"ACT_VANDAL_START_2_MSG": "PROVOQUE %ls $ DE [format][color:red]DÉGÂTS MATÉRIELS[/format] DANS LE TEMPS IMPARTI"
"ACT_HELI_PROTECTION_START_MESSAGE": "TES [format][color:green]POTES[/format] ONT BESOIN DE TA PROTECTION"
"PAUSE_ACTIVITIES_READY": "Activité disponible."
"ACT_WHORED_Z_GIRLS_NIGHT": "Les filles se déchaînent."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "BONUS CIVIL"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "DÉTRUIS LES ANTENNES PARABOLIQUES"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "CONTRAIRE À L'ÉTHIQUE!"
"ACT_ZOMBIE_HUD_WAVE": "VAGUE : "
"ACT_VANDAL_SUMMARY_PROPERTY": "PROPRIÉTÉ"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "L'[format][color:red]ACHETEUR[/format] S'EST ENFUI"
"ACTIVITY_LEVEL_SELECTION": "CHOIX DU NIVEAU D'ACTIVITÉ"
"ACT_VANDAL_START_NO_DISTRICT": "On y est. Il faut que tu fasses le plus de dégâts possible."
"ACT_VANDAL_GANG": "MEMBRE D'UN GANG"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "BONUS VOITURE FAMILIALE"
"ACT_TRAFFIC_INVALID_VEHICLE": "LE CHAUFFEUR NE LIVRERA PAS LÀ-DEDANS!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "ARRÊTE LE [format][color:red]VÉHICULE[/format] ET RÉCUPÈRE LES [format][color:green]CONTACTS[/format]"
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "TU AS FLAIRÉ L'ARNAQUE! RECRUTE CES [format][color:green]PUTES[/format] ET DÉGAGE D'ICI."
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "L'AGRESSEUR ARRIVE SUR LA [format][color:red]GAUCHE[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Pas assez de voitures. Tu dois en trouver plus."
"ACT_WHORED_ROLLERHOS": "Attention aux putes en rollers."
"ACT_WHORED_MINI_BRUTES": "On trouve les grandes choses dans de petits emballages."
"ACT_WHORED_DRINKING_GAME": "Plus tu fais de victimes, moins tu es saoul!"
"ACT_RUNNING_MAN_TRAP_KILL": "PIÈGE MORTEL"
"ACT_GUARDIAN_ANGEL_FAIL": "LA CIBLE À PROTÉGER EST MORTE! SURVEILLE L'ICÔNE AU-DESSUS DE SA TÊTE POUR VÉRIFIER SA SANTÉ"
"ACT_VANDAL_COP": "FLIC"
"ACT_TRAFFIC_BUYER_DEAD": "UN ACHETEUR A ÉTÉ TUÉ"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "VIE DE LA CÉLÉBRITÉ"
"ACT_FRAUD_BONUS_AIR_TIME": "BONUS AÉRIEN"
"ACT_ESCORT_IRS_SPAWNED": "ÉCHAPPE AU [format][color:red]FISC[/format]"
"ACT_WHORED_Z_HORS_DOE": "Qui n'aime pas ces petits hot-dogs?"
"COMBO_BREAKER_TEXT": "COMBO BRISÉ"
"ACT_VANDALISM_COMBO_JUST_COMBO": "COMBO : "
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "TU AS FLAIRÉ L'ARNAQUE! TUE TOUS LES MEMBRES DES [format][color:red]ÉTOILES DU MATIN[/format] AVANT DE RECRUTER LES [format][color:green]PUTES[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "LE [format][color:green]CLIENT[/format] VEUT QUE LA NANA LUI FASSE SON NUMÉRO"
"ACT_WHORED_Z_10_CENTS": "Ramasse ces canettes."
"ACT_WHORED_D_COUNTING_CALS": "Les boissons énergisantes peuvent tuer."
"ACT_WHORED_D_SANGENTS": "Affronte les hommes mystères."
"ACT_WHORED_GIMPS_FAIL": "Tu es censé les punir."
"ACT_WHORED_MINIGUNBRUTE": "Livraison de brutes avec mini-flingues!"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "TU AS UN BONUS POUR AVOIR DÉTRUIT : [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "BONUS : DÉTRUIS %s (X%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Secondes bonus gagnées!"
"ACT_WHORED_A_4TH_JULY": "Des roquettes. De l'alcool. C'est un passe-temps national."
"ACT_WHORED_MINICANS_FAIL": "Tu t'es fait recycler."
"CHOP_STYLISH_1_RIMS": "JANTES STYLÉES 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "VOITURES DE SPORT"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "LE [format][color:green]VÉHICULE DE TON POTE[/format] EST PRESQUE DÉTRUIT"
"ACT_WHORED_HOBO_SHOTGUN": "Tu aurais dû leur donner plus de monnaie..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "COMBO :"
"ACT_FRAUD_GOAL": "GAGNE %ls AVANT LA FIN DU CHRONO"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Les voitures requises sont indiquées."
"CELL_PHONE_MUST_ADD_VEHICLES": "Il n'y a a aucun véhicule dans ton garage pour apporter à ton pote. Va chercher quelques voitures à ton habitation et gare-les dans le garage pour les récupérer."
"ACT_WHORED_Z_KIRBY": "Renvoie-les au pays des rêves."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "REVIENS VERS LES CIBLES!"
"CHOP_RETRO_SPOILER": "BECQUET RÉTRO"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Des [format][color:green]Saints[/format] sont en difficulté dans un combat. Aide-les à repousser leurs [format][color:red]agresseurs[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Les zombies cavalent."
"MISSION_FAILURE_PARTNER_DIED": "TON PARTENAIRE EST MORT"
"ACT_EARNED_RESPECT_AND_MONEY": "Tu as gagné %d de respect et %d d'argent!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "Tuer des %ls ne te rapporte pas d'argent."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "DÉTRUIS L'[format][color:red]AVION[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "CONTINUE DE DISTRAIRE LE TIGRE!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Tu t'es trompé d'ange..."
"ACT_WHORED_BRUTEBOOM": "Balance-les par-dessus bord."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "LE TEMPS S'EST ÉCOULÉ AVANT QUE TU SORTES. TU AS PERDU TON PARI DE %ls."
"ACT_RUNNING_MAN_COMBO_TOTAL": "TOTAL COMBO : %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "EN ATTENTE DE L'HÔTE"
"GAME_COMBO_TEXT": "COMBO : "
"ACT_HELI_BOAT_DELIVER_TEXT": "LIVRE LA DROGUE DU BATEAU À TES POTES"
"HASH_6A207813": "QUARTIER RÉCUPÉRÉ"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "AMÈNE LE [format][color:green]CLIENT[/format] AU [format][color:teal]CINÉMA XXX[/format]"
"ACTIVITY_COMPLETED": "ACTIVITÉ RÉUSSIE"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "C'était juste brutal."
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "REMPLIS LES TÂCHES %d"
"ACT_FRAUD_BONUS_VEHICLE": "BONUS ACCIDENT VÉHICULE"
"ACT_ESCORT_CAR_SWITCH_MSG": "CETTE VOITURE SEMBLE UN PEU VIEILLE, VA EN CHERCHER UNE NEUVE AU [format][color:teal]CLUB DE STRIP-TEASE[/format]"
"ACT_WHORED_D_CANGELS": "Elles visent ton cur."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "PROTÈGE TES [format][color:green]POTES[/format]"
"ACT_TANK_MAYHEM_COMBO_TOTAL": "TOTAL COMBO"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Record distance linéaire en fraude : %.2f pieds"
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "BONUS 4X4"
"ACT_VANDAL_BONUS_TEAM": "BONUS PAR ÉQUIPE"
"ACT_TRAFFIC_DEAL_SUCCESS": "TRANSACTION TERMINÉE. PASSE AU [format][color:teal]LIEU[/format] SUIVANT."
"ACT_TORCH_START_TEXT3": "VALIDE TON TEMPS BONUS EN FRANCHISSANT LES CHECKPOINTS"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "TROP DE CONTACTS SONT MORTS, RECRUTES-EN {RECRUIT_DISMISS_IMG} ET QUITTE RAPIDEMENT LA ZONE"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "Le gang %s a une cargaison d'armes qui arrive par l'autoroute. Détruis les [format][color:red]camions[/format] avant qu'ils n'arrivent à destination."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "La liste des voitures requises se trouve dans le menu Pause."
"ACT_WHORED_BIG_FAIL": "Ça manquait peut-être de puissance."
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Sortie débloquée!\nContinue de jouer pour ramasser plus de fric ou dirige-toi vers la sortie!"
"ACT_ESCORT_TIGER_ATTACK": "LE TIGRE S'EN PREND AU VOLANT"
"ACTIVITY_NAME_TANK_MAYHEM": "CHAOS TANK"
"ACT_TANK_MAYHEM_COMBO_GSI": "COMBO"
"CHOPSHOP_VEHICLES": "VÉHICULES"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "TRAVERSE TOUS LES [format][color:teal]CHECKPOINTS[/format] DANS LE TEMPS IMPARTI"
"ACT_ESCORT_CALM_TIGER": "CALME LE TIGRE"
"ACT_TANK_MAYHEM_FAIL": "UTILISE LES COMBOS POUR MARQUER PLUS DE POINTS ET LES STATIONS DE RÉPARATION POUR RESTER EN VIE"
"STRONGHOLD_SUCCESS_SUB_TEXT": "BASTION RÉUSSI"
"ACT_ZOMBIE_SURVIVOR_DEAD": "UN SURVIVANT EST MORT"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "BONUS MOTO"
"ACT_FRAUD_TOTAL_LAST_HIT": "TOTAL DERNIER COUP"
"ACT_ESCORT_FAST_MSG": "LE [format][color:green]CLIENT[/format] VEUT QUE TU CONDUISES À 55 MPH PENDANT %d SECONDES"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Une fois que t'es mordu, plus possible de revenir en arrière."
"ACT_WHORED_GRENADIERS_FAIL": "N'essaye pas de les attraper."
"ACT_WHORED_SWAG_BAG": "On reçoit souvent des trucs sympas aux conventions d'amateurs de peluches humaines."
"MISSION_FAILURE_CANCEL_TEXT": "LA MISSION A ÉTÉ ANNULÉE"
"ACT_HITMAN_NAME": "TUEUR À GAGES"
"ACT_ESCORT_TIGER_NAME": "L'ESCORTE DU TIGRE"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "FAIS MONTER LA PRESSION EN DÉPLAÇANT {ANALOG_RS_IMG} SUR LE POINT SENSIBLE"
"ACT_ZOMBIE_TITLE": "CHOIX DU NIVEAU ZOMBIE"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "LE DEALER SERA ARRÊTÉ DANS 10 SECONDES!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "L'HÉLICOPTÈRE EST PLEIN, EMMÈNE LES PASSAGERS DANS UN [format][color:blue]ENDROIT SÛR[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "L'agresseur arrive par [format][color:red]en-dessous[/format]."
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "ÉCHAPPE AU [format][color:red]CLIENT FURIEUX[/format]"
"ACT_WHORED_D_31DAYS": "Survis à l'apocalypse zombie."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Si grand, si méchant et si mort-vivant."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "MEILLEUR SCORE : "
"ACT_HELI_NEWS_VAN_KILL_TEXT": "DÉTRUIS LES VANS DE JOURNALISTES"
"ACT_TRAFFICKING_TITLE": "CHOIX DU NIVEAU TRAFIC"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "ARRÊTE LE [format][color:red]VÉHICULE[/format] ET RÉCUPÈRE LE [format][color:green]CONTACT[/format]"
"ACT_PIMPING_CONTACT_OBJECTIVE": "SAUVE %d CONTACTS DE KINZIE ET RAMÈNE-LES"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "CONDUIS VITE POUR QUE LE TIGRE RESTE CONTENT TOUT EN AUGMENTANT TON COURAGE."
"ACT_WHORED_A_MEAN_GIRLS": "Il y a toujours une reine des abeilles."
"ACT_WHORED_D_PORKCHOP": "FOUS LE CAMP D'ICI!"
"ACT_VANDAL_BONUS_COMBO_MULT": "BONUS COMBOS"
"ACT_FRAUD_START": "COMMENCER FRAUDE À L'ASSURANCE"
"ACT_TRAFFIC_BUYER_FLEE": "L'[format][color:red]ACHETEUR[/format] EST PARTI SANS PAYER. TUE-LE!"
"ACT_FRAUD_BONUS_WITNESS": "BONUS TÉMOIN PIÉTON"
"ACT_ESCORT_ESCORTING_MSG": "PROMÈNE TON [format][color:green]CLIENT[/format], QU'IL S'AMUSE UN PEU"
"ACT_WHORED_D_YKANO": "3.2.1. C'est parti..."
"HORDE_CHARACTER_CYRIL": "CYRIL"
"MISSION_FAILURE_PARTNER_BUSTED": "TON PARTENAIRE S'EST FAIT COINCER"
"GAMEPLAY_PASSED_OUT": "Le trou noir, mec."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Retourne dans le quartier %ls!"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "TES [format][color:green]POTES[/format] VONT FAIRE DU BUSINESS, PROTÈGE-LES DES AGRESSEURS"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "La voiture de tes [format][color:green]potes[/format] est tombée en panne d'essence. Recrute-les et renvoie-les [format][color:teal]à la maison.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "BONUS SURF VÉHICULES"
"ACT_ESCORT_STOP_MSG": "ARRÊTE-TOI PENDANT %d SECONDES"
"ACT_WHORED_A_END": "Jouer, c'est tout un art."
"ACT_WHORED_DILDO": "Pas besoin d'être une pute pour toucher au but."
"HORDE_LEVEL_ANGELS": "ANGEL'S CASINO"
"ACTIVITY_NAME_MAYHEM": "CHAOS"
"CTS_MESSAGE_GO_FRONT_DOOR": "ALLER À LA PORTE AVANT"
"ACT_ESCORT_START": "COMMENCER ESCORTE"
"CHOP_HOT_ROD_HOOD": "CAPOT DRAGSTER"
"ACT_TRAFFIC_OBJECTIVE_1": "PROTÈGE LE [format][color:green]DEALER[/format] PENDANT QU'IL FAIT SA TOURNÉE"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "TES POTES SONT MORTS"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "LA NANA EST CREVÉE. VA EN CHERCHER UNE AUTRE ET UNE VOITURE NEUVE AU [format][color:teal]CLUB DE STRIP-TEASE[/format]"
"ACT_WHORED_Z_RITA": "FAIS GROSSIR MA BÊTE!"
"ACT_WHORED_D_LILLIPUTIANS": "Aux petits maux, les grands remèdes!"
"ACT_RUNNING_MAN_START": "COMMENCER PROFESSOR GENKI'S S.E.R.C."
"ACTIVITY_NAME_FRAUD": "FRAUDE"
"ACT_ZOMBIE_CANT_REVIVE": "Il te faut au moins une unité de nourriture pour réanimer quelqu'un!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "CIBLE FAVORITE"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "{RECRUIT_DISMISS_IMG} RECRUTER LES [format][color:green]PUTES[/format]"
"ACT_FRAUD_BONUS_DONE": "AVANCE VERS LA PROCHAINE [format][color:teal]ZONE BONUS[/format]"
"HASH_96FF1F21": "LE [format][color:green]CLIENT[/format] A FAIM, AMÈNE-LE AU [format][color:teal]FAST-FOOD[/format]"
"ACT_WHORED_D_BE_GUILED": "Où est Charlie quand on a besoin de lui?"
"ACT_WHORED_BRUTES": "Envoyez les brutes!"
"ACT_WHORED_AYDIOSMIO": "Deux hommes, deux lance-grenades et une armée de mini-Luchadores."
"ACT_WHORED_STARPOWER_FAIL": "C'était trop puissant pour toi."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "ANGE GARDIEN"
"ACT_TORCH_RACE_TARGETS": "ÉLIMINE LES [format][color:red]CIBLES MARQUÉES[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "RECRUTE LES [format][color:green]PUTES[/format] ET RAMÈNE-LES CHEZ [format][color:teal]ZIMOS[/format]"
"HASH_F2632FA2": "AMÈNE LE [format][color:green]CLIENT[/format] AU [format][color:teal]SEX-SHOP[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "Tous les gangs sont là."
"ACT_WHORED_D_ITSATRAP": "Ackbar kiffe les pétasses."
"ACT_WHORED_COMM_SERVICE_FAIL": "C'est la boisson qui a gagné."
"ACT_WHORED_GAT_ATTACK_FAIL": "Plus on est grand, et plus on tombe de haut."
"ACT_WHORED_MINIZOMBIES_FAIL": "Ils sont petits et morts : t'as fait que la moitié du boulot..."
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "EN ATTENTE DU PARI DE L'HÔTE POUR LE TOUR SUIVANT"
"ACT_TANK_MAYHEM_START": "DÉMARRER CHAOS TANK"
"GAMEPLAY_BUSTED": "TU T'ES FAIT AVOIR!"
"ACT_VANDAL_SUMMARY_TOTAL": "TOTAL"
"ACT_FRAUD_OBJECTIVE": "Jette-toi face au danger et récupère %d $ de blessures avant la fin du chrono."
"ACT_WHORED_D_WEENIE_ROAST": "Lancer le feu de camp."
"ACT_WHORED_STRIPPERS": "Les strip-teaseuses arrivent!"
"ACT_WHORED_ROUND1_FAIL": "Quoi?! Dès la première vague?"
"CONTROL_SELECT_LEVEL": "CHOIX DU NIVEAU"
"ACT_TRAFFIC_DRIVER_LOST": "LE DEALER A ÉTÉ ABANDONNÉ."
"ACT_ESCORT_PLEASURE": "PLAISIR"
"ACT_ESCORT_KILL_MSG": "TUE LA [format][color:red]CIBLE[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "Le safeword est \"aïe\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Tu as besoin de ta régénération de santé? De mon temps, on n'avait que des kits de santé!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "VÉHICULE LIVRÉ"
"CHOP_LUXERY_BODY_KIT": "CARROSSERIE DE LUXE"
"ACT_VANDAL_CAR_LUXURY_MSG": "VOITURES DE LUXE"
"ACT_ESCORT_FAIL_LEFT_CAR": "TU AS ABANDONNÉ LA VOITURE"
"ACT_WHORED_A_GENKI_GAMES": "On s'éclate avec les explosions Super Ethical Reality!"
"ACT_WHORED_BIG": "Tu es plus grand, tu es plus dur et tu es plus fort!"
"HORDE_CHARACTER_SUPER": "SUPER"
"ACT_TRAFFIC_OBJECTIVE_2": "LE [format][color:green]DEALER[/format] DOIT RÉUSSIR %d DEALS"
"ACT_GUARDIAN_ANGEL_CLIENT_DIED_MESSAGE": "Ils l'ont eue! Elle est morte."
"ACT_ESCORT_TRIP_MOTEL_MSG": "AMÈNE LE [format][color:green]CLIENT[/format] S'AMUSER UN PEU AU [format][color:teal]MOTEL[/format]"
"CHOP_MUSCLE_HOOD": "CAPOT MUSCLE CAR"
"ACT_PIMPING_FAIL_KILLED_CONTACT": "TU AS TUÉ UN DES CONTACTS "
"GARAGE_FULL": "TON GARAGE EST PLEIN"
"ACT_WHORED_Z_HOW_ROMANTIC": "Les roquettes sont les meilleures amies de la femme."
"ACT_WHORED_A_EYE_BEHOLDER": "Ne lui parle pas de son poids."
"YOU_VE_BEEN_CRITICALLY_HIT": "ON T'A PORTÉ UN COUP CRITIQUE!"
"STRONGHOLD_FAILURE_CANCEL_TEXT": "BASTION ANNULÉ"
"ACT_FRAUD_NAME": "FRAUDE À L'ASSURANCE"
"ACT_FRAUD_GO_SCORING_AREA": "VA AU [format][color:teal]DISTRICT %ls[/format]"
"ACT_WHORED_BEERMUSCLES_FAIL": "Donner des coups de poing, ça se travaille."
"ACT_ZOMBIE_HUD_ZOMBIES_LEFT": "ZOMBIES RESTANTS : "
"ACT_TRAFFIC_CHASE_HELICOPTER": "TU AS RÉCUPÉRÉ UN [format][color:red]HÉLICO DE JOURNALISTES[/format]!"
"ACT_GUARDIAN_ANGEL_HELPER_DIED_MESSAGE": "L'ASSISTANT EST MORT"
"ACT_GUARDIAN_ANGEL_CLIENT_HUMAN_SHIELDED_MESSAGE": "Ton client n'aime pas trop être un bouclier humain."
"ACT_ESCORT_FIRST FOOTAGE_MSG": "NE LAISSE PAS CES VANS DE JOURNALISTES PRENDRE UNE SEULE IMAGE"
"HASH_F32929A9": "SUCCÈS DE LA RÉSISTANCE"
"ACT_WHORED_Z_ONE_SIDED": "C'est vraiment pas juste."
"ACT_WHORED_ZOMBIESATV": "Défonce-les."
"ACT_WHORED_ZOMBIEBRUTES": "Ça c'est ce qu'on appelle des gros zombies!"
"ACT_WHORED_NINJAS": "Tu as entendu ce son?"
"ACT_WHORED_MEGA_TRANNY_FAIL": "Et elle t'a eu. Oh oui, elle t'a eu..."
"ACT_HITMAN_TARGET_LEFT_COUNT_UPDATED": ""
"CHOP_LOWRIDER_RIMS": "JANTES LOW-RIDER"
"ACT_VANDAL_SUMMARY_CARS": "VOITURES"
"ACT_TORCH_TIME_EARNED_PARAMETERIZED": "[format][color:teal]%2.1f[/format] secondes gagnées!"
"ACT_PIMPING_RESCUE_CONTACT_DECKERS_REROUTE": "LES [format][color:green]CONTACTS[/format] ONT ÉTÉ ENLEVÉS. VA LES SAUVER!"
"ACT_PIMPING_HOS_SLASH": "/"
"ACT_FRAUD_MESSAGE_CRAZY_MULT_TYPE": "RECORD VOITURES FOLLES EN FRAUDE"
"ACT_ESCORT_BUTTON_MASHING_MSG": "LE [format][color:green]CLIENT[/format] VEUT LE SPÉCIAL SAINTS ROW"
"ACT_ESCORT_RETURN_MSG": "RETOURNE AU CLUB DE STRIP-TEASE"
