"ACT_WHORED_Z_AGRIZOOPHOBIA": "Это большая проблема."
"HASH_6F9BAA83": "УБИТО ЛЕЙТЕНАНТОВ:"
"ACT_WHORED_A_AY_DIOS_MIO": "Дух вольной борьбы!"
"ACT_CHOP_SHOP_TITLE": "ВЫБОР УРОВНЯ \"МАСТЕРСКОЙ\""
"CRITICAL_VEHICLE_DESTROYED_VEHICLE_TEXT": "ВЫ УНИЧТОЖИЛИ МАШИНУ"
"ACT_PIMPING_RETURN_CONTACT_TO_SAFEHOUSE": "ВЕРНИТЕ [format][color:green]ИНФОРМАТОРОВ[/format]"
"ACT_WHORED_Z_VEGAN": "Остановите мясопокалипсис."
"ACT_WHORED_Z_MURDER_BENDER": "Что СЛУЧИЛОСЬ прошлой ночью."
"ACT_WHORED_MINIFURRIES_FAIL": "Настигнут прелестной смертью."
"ACT_WHORED_SONICBOOMSTICK": "В этой пушке что-то есть..."
"ACT_WHORED_DRUNKEN_BOXING": "Когда вы пьяны, вы становитесь супеменом."
"ACT_ESCORT_TIGER_START": "НАЧАТЬ ТИГРОВЫЙ ЭСКОРТ"
"ACT_FRAUD_GO_GET_HURT": "Нажмите {ATTACK_PRIMARY_IMG} ИЛИ {ATTACK_SECONDARY_IMG}, чтобы упасть. Чем болезненней падение, тем больше денег вы заработаете"
"HASH_C2FADF85": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] В [format][color:teal]СТРИП-КЛУБ[/format]"
"ACT_WHORED_DRUNKENROCKETS_FAIL": "Научиться целиться куда сложнее, чем научиться пить здесь."
"ACT_WHORED_FLAMEBRUTE_FAIL": "Слишком горячий, чтобы справиться?"
"ACT_WHORED_SONICBOOMSTICK_FAIL": "СОВЕТ: зарядив пушку полностью, вы одним выстрелом укокошите врага!"
"ACT_HITMAN_TITLE": "ВЫБОР УРОВНЯ \"КИЛЛЕР\""
"ACT_TORCH_TIME_LABEL_TEXT": "ВРЕМЯ "
"ACT_HELI_ACTIVITY_HELI_RESCUE_MESSAGE": "ПОМОГИТЕ [format][color:green]БРАТКАМ[/format] ДОБРАТЬСЯ ДО [format][color:blue]НУЖНОГО МЕСТА[/format]"
"ACT_ESCORT_PI_SPAWNED": "СКРОЙТЕСЬ ОТ [format][color:red]ЧАСТНОГО СЫЩИКА[/format]"
"ACT_CHOP_SHOP_LOCATION_ON_MAP_MSG": "Местонахождение отображено."
"ACT_WHORED_ZOMBIE_CHAINSAW": "Начинайте резню."
"MISSION_FAILURE_DIED_TEXT": "ВЫ МЕРТВЫ"
"ACT_ZOMBIE_HUD_SCORE": "СЧЕТ:"
"ACT_PIMPING_FAIL_TOOK_TOO_LONG": "ВЫ СЛИШКОМ ДОЛГО КОПАЛИСЬ"
"ACT_CHOPSHOP_NONE": "НЕТ МАСТЕРСКИХ"
"ACT_WHORED_Z_SUPER_SIZED": "Никому не нужно столько кофеина."
"ACT_VANDAL_START_2_MSG": "НАНЕСИТЕ УЩЕРБ [format][color:red]СОБСТВЕННОСТИ[/format] В %ls ЗА УКАЗАННЫЙ ВРЕМЕННОЙ ОТРЕЗОК"
"ACT_HELI_PROTECTION_START_MESSAGE": "ВАШИМ [format][color:green]БРАТКАМ[/format] НЕОБХОДИМА ЗАЩИТА"
"PAUSE_ACTIVITIES_READY": "Задание доступно"
"ACT_WHORED_Z_GIRLS_NIGHT": "Дамы пустились вразнос."
"ACT_VANDAL_STATIC_BONUS_CIVILIAN_MSG": "БОНУС ЗА ГОРОЖАНИНА"
"ACT_HELI_SATELLITE_DISH_DESTROY_TEXT": "УНИЧТОЖЬТЕ СПУТНИКОВЫЕ ТАРЕЛКИ"
"HASH_15FF3989": ""
"ACT_WHORED_GENKI_REVENGE_FAIL": "НЕ-ЭТИЧНО!"
"ACT_ZOMBIE_HUD_WAVE": "ВОЛНА:"
"ACT_VANDAL_SUMMARY_PROPERTY": "СОБСТВЕННОСТЬ"
"ACT_TRAFFIC_BUYER_FLEE_FAIL": "[format][color:red]ПОКУПАТЕЛЬ[/format] СКРЫЛСЯ"
"ACTIVITY_LEVEL_SELECTION": "ВЫБОР УРОВНЯ ЗАДАНИЯ"
"ACT_VANDAL_START_NO_DISTRICT": "Итак, мы хотим, чтобы вы устроили такой разгром, какой только сможете."
"ACT_VANDAL_GANG": "ЧЛЕН БАНДЫ"
"ACT_VANDAL_STATIC_BONUS_DOMESTIC_CAR_MSG": "БОНУС ЗА РАЗВАЛЮХУ"
"ACT_TRAFFIC_INVALID_VEHICLE": "ВОДИТЕЛЬ НЕ ПОВЕЗЕТ НАРКОТИКИ В ЭТОМ!"
"ACT_PIMPING_VEHICLE_ROUTE_CONTACTS": "ОСТАНОВИТЕ [format][color:red]МАШИНУ[/format] И ПОБЕРИТЕ [format][color:green]ИНФОРМАТОРОВ[/format]."
"ACT_PIMPING_TRAP_ATTACK_GET_HOS": "ЭТО ЛОВУШКА! ПОДБЕРИТЕ [format][color:green]ШЛЮХ[/format] И УХОДИТЕ ОТТУДА!"
"ACT_GUARDIAN_ANGEL_LEFT_ATTACKER": "АТАКУЮЩИЙ ЗАМЕЧЕН [format][color:red]СЛЕВА[/format]"
"ACT_CHOP_SHOP_MORE_CARS_MSG": "Мало машин. Пригоните еще."
"ACT_WHORED_ROLLERHOS": "Остерегайся шлюх-роллеров"
"ACT_WHORED_MINI_BRUTES": "Здоровые амбалы в мини-упаковке."
"ACT_WHORED_DRINKING_GAME": "Чем больше вы убиваете, тем трезвее становитесь!"
"ACT_RUNNING_MAN_TRAP_KILL": "СМЕРТЬ В ЛОВУШКЕ"
"ACT_GUARDIAN_ANGEL_FAIL": "ПОДОПЕЧНЫЙ СКОНЧАЛСЯ! СЛЕДИТЕ ЗА ЗНАЧКОМ УРОВНЯ ЗДОРОВЬЯ НАД ЕГО ГОЛОВОЙ."
"ACT_VANDAL_COP": "КОП"
"ACT_TRAFFIC_BUYER_DEAD": "ПОКУПАТЕЛЬ УБИТ"
"ACT_GUARDIAN_ANGEL_HUD_LIFE_MESSAGE": "ЖИЗНЬ ЗВЕЗДЫ"
"ACT_FRAUD_BONUS_AIR_TIME": "БОНУС ЗА ВРЕМЯ В ВОЗДУХЕ"
"ACT_ESCORT_IRS_SPAWNED": "СКРОЙТЕСЬ ОТ [format][color:red]НАЛОГОВИКОВ[/format]"
"ACT_WHORED_Z_HORS_DOE": "Кто не любит эти маленькие хотдоги?"
"COMBO_BREAKER_TEXT": "КОМБО ПРЕРВАНО"
"ACT_VANDALISM_COMBO_JUST_COMBO": "КОМБО:"
"ACT_PIMPING_TRAP_ATTACK_KILL_PIMPS": "ЭТА ЛОВУШКА! УБЕЙТЕ ВСЕХ [format][color:red]БАНДИТОВ ИЗ \"МОРГЕНШТЕРНА\"[/format] И НАБЕРИТЕ [format][color:green]ШЛЮХ[/format]."
"ACT_ESCORT_STICK_ROTATION_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ ЧТОБЫ АНИМАТОР СОВЕРШИЛ ПОДЛУЮ ВЫХОДКУ."
"ACT_WHORED_Z_10_CENTS": "Соберите банки."
"ACT_WHORED_D_COUNTING_CALS": "Энергетические напитки тебя угробят."
"ACT_WHORED_D_SANGENTS": "Бейся с таинственными людьми."
"ACT_WHORED_GIMPS_FAIL": "Их по идее нужно наказывать."
"ACT_WHORED_MINIGUNBRUTE": "Амбалы с мини-ганами в деле"
"ACT_VANDAL_VEHICLE_BONUS_MSG": "ВЫ ПОЛУЧИТЕ БОНУС ЗА РАЗРУШЕНИЕ [format][color:red]%ls[/format]"
"ACT_VANDAL_BONUS_MULTI_VEHICLE": "БОНУС: УНИЧТОЖИТЬ %s (x%d)"
"ACT_TORCH_TIME_BONUS_EARNED": "Вы заработали дополнительные секунды."
"ACT_WHORED_A_4TH_JULY": "Ракеты. Бухло. Это национальная забава."
"ACT_WHORED_MINICANS_FAIL": "Вас отправили в утиль."
"CHOP_STYLISH_1_RIMS": "СТИЛЬНЫЕ ОБОДЫ 1"
"ACT_VANDAL_CAR_SPORTS_MSG": "СПОРТИВНЫЕ МАШИНЫ"
"ACT_HELI_VAN_CRITICAL_HEALTH_TEXT": "[format][color:green]МАШИНА БРАТКА[/format] ПОЧТИ УНИЧТОЖЕНА"
"ACT_WHORED_HOBO_SHOTGUN": "Стоило дать им побольше мелочи..."
"ACT_RUNNING_MAN_COMBO_JUST_COMBO": "КОМБО:"
"ACT_FRAUD_GOAL": "ЗАРАБОТАЙТЕ %ls ПРЕЖДЕ ЧЕМ ВРЕМЯ ЗАКОНЧИТСЯ"
"ACT_CHOP_SHOP_CARS_ON_MAP_MSG": "Показаны нужные машины."
"CELL_PHONE_MUST_ADD_VEHICLES": "В вашем гараже нет машин, чтобы предоставить браткам. Верните машины назад в жилище и припаркуйте в гараже."
"ACT_WHORED_Z_KIRBY": "Отправь их в страну снов."
"ACT_TANK_MAYHEM_STRAYING_AWAY": "ВОЗВРАЩАЙТЕСЬ К ЦЕЛЯМ!"
"CHOP_RETRO_SPOILER": "РЕТРО-СПОЙЛЕР"
"ACT_HELI_GANG_FIGHT_START_MESSAGE": "Несколько[format][color:green]Святых[/format] ввязались в перестрелку. Помогите им победить [format][color:red]врагов[/format]."
"ACT_WHORED_Z_UNDEAD_MARATHON": "Зомби в походе."
"MISSION_FAILURE_PARTNER_DIED": "ВАШ ПАРТНЕР УБИТ"
"ACT_EARNED_RESPECT_AND_MONEY": "Вы получили %d ед. авторитета и %d наличными!"
"ACT_VANDAL_TEAM_PENALTY_MSG": "Вы получите деньги за убийство %ls."
"ACT_VANDAL_BONUS_MULTIPLIER_PCT": "%"
"ACT_HELI_KILL_AIRPLANE_START_MESSAGE": "УНИЧТОЖЬТЕ [format][color:red]САМОЛЕТ[/format]"
"ACT_ESCORT_TIGER_BUTTON_MASHING_MSG": "ОТВЛЕКИТЕ ТИГРА!"
"ACT_WHORED_Z_ANGEL_DE_LA_MUERTE": "Не тот ангел смерти..."
"ACT_WHORED_BRUTEBOOM": "Раздави их."
"ACT_RUNNING_MAN_FAILURE_TIME_LOST_WAGER": "ВЫ НЕ УСПЕЛИ ДОБЕЖАТЬ ДО ВЫХОДА. ВАША СТАВКА В РАЗМЕРЕ %ls БЫЛА ПОТЕРЯНА."
"ACT_RUNNING_MAN_COMBO_TOTAL": "ОБЩЕЕ КОМБО: %ls"
"ACT_RUNNING_MAN_WAITING_ON_HOST_TITLE": "ОЖИДАНИЕ КРУПЬЕ"
"GAME_COMBO_TEXT": "КОМБО:"
"ACT_HELI_BOAT_DELIVER_TEXT": "РАЗВЕЗИТЕ НАРКОТИКИ ИЗ ЛОДКИ ВАШИМ БРАТКАМ"
"HASH_6A207813": "РАЙОН ВОЗВРАЩЕН"
"ACT_PIMPING_CONTACTS_SLASH": "/"
"ACT_ESCORT_TRIP_THEATER_MSG": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] В [format][color:teal]XXX-КИНОТЕАТР [/format]"
"ACTIVITY_COMPLETED": "ВЫПОЛНЕНО"
"ACT_WHORED_MINIGUNBRUTE_FAIL": "Просто жестко"
"CYBERSPACE": ""
"ACT_HELI_OBJECTIVE_MSG": "ВЫПОЛНИТЕ ВСЕ %d ЗАДАЧИ"
"ACT_FRAUD_BONUS_VEHICLE": "БОНУС ЗА УДАРЫ МАШИНОЙ"
"ACT_ESCORT_CAR_SWITCH_MSG": "МАШИНА ВЫГЛЯДИТ СТАРОЙ, НАЙДИТЕ СЕБЕ НОВУЮ У [format][color:teal]СТРИП-КЛУБА[/format]"
"ACT_WHORED_D_CANGELS": "Они целятся в сердце."
"ACT_GUARDIAN_ANGEL_PROTECT_PROTECTEE": "ЗАЩИЩАЙТЕ СВОИХ [format][color:green]БРАТКОВ[/format]."
"ACT_TANK_MAYHEM_COMBO_TOTAL": "ОБЩЕЕ КОМБО:"
"ACT_FRAUD_MESSAGE_DISTANCE_MULT_TYPE_US": "Рекорд дальности (мошенничество) %.2f футов."
"ACT_VANDAL_STATIC_BONUS_SUV_MSG": "БОНУС ЗА МИНИВЭН"
"ACT_VANDAL_BONUS_TEAM": "КОМАНДНЫЙ БОНУС"
"ACT_TRAFFIC_DEAL_SUCCESS": "СДЕЛКА СОВЕРШЕНА. ДВИГАЙ К СЛЕДУЮЩЕЙ [format][color:teal]ТОЧКЕ[/format]."
"ACT_TORCH_START_TEXT3": "ДЕНЬГИ ЗА ОПЕРЕЖЕНИЕ ГРАФИКА ДАЮТСЯ НА КОНТРОЛЬНЫХ ТОЧКАХ"
"ACT_PIMPING_FAIL_CONTACTS_ALL_DIED": "ПОГИБЛО СЛИШКОМ МНОГО ИНФОРМАТОРОВ, НАЙДИТЕ НОВЫХ {RECRUIT_DISMISS_IMG} И БЫСТРО СБЕГИТЕ"
"ACT_HELI_CONVOY_LEVEL_START_MESSAGE": "%s ожидают груз оружия. Уничтожьте [format][color:red]грузовики[/format], прежде чем они доедут до пункта назначения."
"ACT_CHOP_SHOP_LIST_IN_PAUSE": "Список машин, которые надо найти, на экране паузы."
"ACT_WHORED_BIG_FAIL": "Может быть, силы не хватает?"
"ACT_RUNNING_MAN_EXIT_UNLOCKED": "Выход открыт.\nМожете остаться на арене и заработать еще бабла или направляйтесь к выходу!"
"ACT_ESCORT_TIGER_ATTACK": "ТИГР СБЕГАЕТ НА МАШИНЕ"
"ACTIVITY_NAME_TANK_MAYHEM": "ТАНКОВЫЙ РАЗГРОМ"
"ACT_TANK_MAYHEM_COMBO_GSI": "КОМБО"
"CHOPSHOP_VEHICLES": "МАШИНЫ"
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_2SEC": "2..."
"ACT_TORCH_OBJECTIVE_01": "ПРОЙДИТЕ ВСЕ [format][color:teal]КОНТРОЛЬНЫЕ ТОЧКИ[/format], ПРЕЖДЕ ЧЕМ ВРЕМЯ ЗАКОНЧИТСЯ"
"ACT_ESCORT_CALM_TIGER": "УСПОКОЙТЕ ТИГРА"
"ACT_TANK_MAYHEM_FAIL": "ИСПОЛЬЗУЙТЕ КОМБО, ЧТОБЫ НАБРАТЬ БОЛЬШЕ ОЧКОВ, И РЕМОНТНЫЕ МАСТЕСКИЕ, ЧТОБЫ ВЫЖИТЬ"
"STRONGHOLD_SUCCESS_SUB_TEXT": "ЗАХВАТ КРЕПОСТИ ЗАВЕРШЕН"
"ACT_ZOMBIE_SURVIVOR_DEAD": "ЧЕЛОВЕК ПОГИБ"
"ACT_VANDAL_STATIC_BONUS_MOTORCYCLE": "БОНУС ЗА МОТОЦИКЛ"
"ACT_FRAUD_TOTAL_LAST_HIT": "ВСЕГО УДАРОВ"
"ACT_ESCORT_FAST_MSG": "[format][color:green]КЛИЕНТ[/format] ХОЧЕТ, ЧТОБЫ ВЫ ЕХАЛИ СО СКОРОСТЬЮ 55 МИЛЬ/Ч В ТЕЧЕНИЕ %d СЕК"
"HASH_A7DFE599": ""
"ACT_WHORED_D_WAVE_OF_DEAD": "Когда тебя кусают, поворачивать нельзя."
"ACT_WHORED_GRENADIERS_FAIL": "Не пытайтесь их ловить."
"ACT_WHORED_SWAG_BAG": "На фурри-конвентах происходят страшные вещи..."
"MISSION_FAILURE_CANCEL_TEXT": "ВЫ ОТМЕНИЛИ МИССИЮ"
"ACT_HITMAN_NAME": "КИЛЛЕР"
"ACT_ESCORT_TIGER_NAME": "ТИГРОВЫЙ ЭСКОРТ"
"TOUCH_COMBO_TUTORIAL_PART_1_MESSAGE": "ВОЗБУЖДАЙТЕ ЗОНЫ, НАПРАВЛЯЯ {ANALOG_RS_IMG} НА ЧУВСТВИТЕЛЬНУЮ ТОЧКУ"
"ACT_ZOMBIE_TITLE": "ВЫБОР УРОВНЯ \"ВОССТАНИЯ ЗОМБИ\""
"ACT_TRAFFIC_POLICE_STING_DEALER_ARRESTED_10SEC": "ДИЛЕРА АРЕСТУЮТ ЧЕРЕЗ 10 СЕКУНД!"
"ACT_HELI_LIBERATOR_FULLY_LOADED_MESSAGE": "ВЕРТОЛЕТ ПОЛОН. ДОСТАВЬТЕ ПАССАЖИРОВ В [format][color:blue]БЕЗОПАСНОЕ МЕСТО[/format]"
"ACT_GUARDIAN_ANGEL_UNDERNEATH_ATTACKER": "Атакующий замечен [format][color:red]снизу[/format]"
"ACT_ESCORT_IRATE_CLIENT_SPAWNED": "СКРОЙТЕСЬ ОТ [format][color:red]РАЗГНЕВАННОГО КЛИЕНТА[/format]"
"ACT_WHORED_D_31DAYS": "Переживи зомбипокалипсис."
"ACT_WHORED_ZOMBIEBRUTES_FAIL": "Такие большие, такие злые, такие неживые."
"ACT_ZOMBIE_HUD_HIGH_SCORE": "ЛУЧШИЕ РЕЗУЛЬТАТЫ:"
"ACT_HELI_NEWS_VAN_KILL_TEXT": "УНИЧТОЖЬТЕ НОВОСТНЫЕ ФУРГОНЫ"
"ACT_TRAFFICKING_TITLE": "ВЫБОР УРОВНЯ \"НАРКОТРАФИКА\""
"ACT_PIMPING_VEHICLE_ROUTE_CONTACT": "ОСТАНОВИТЕ [format][color:red]МАШИНУ[/format] И ПОДБЕРИТЕ [format][color:green]ИНФОРМАТОРА[/format]."
"ACT_PIMPING_CONTACT_OBJECTIVE": "СПАСИТЕ %d ИНФОРМАТОРОВ КИНЗИ И ДОСТАВЬТЕ ИХ НА БАЗУ"
"ACT_ESCORT_ESCORTING_TIGER_MSG": "ПОДДЕРЖИВАЙТЕ ВЫСОКУЮ СКОРОСТЬ, ЧТОБЫ ТИГР ОСТАЛСЯ ДОВОЛЕН, А ВАША ХРАБРОСТЬ РОСЛА"
"ACT_WHORED_A_MEAN_GIRLS": "Всегда где-то есть матка."
"ACT_WHORED_D_PORKCHOP": "УБИРАЙСЯ ОТСЮДА НАХЕР!"
"ACT_VANDAL_BONUS_COMBO_MULT": "БОНУС ЗА КОМБО"
"ACT_FRAUD_START": "НАЧАТЬ СТРАХОВОЕ МОШЕННИЧЕСТВО"
"ACT_TRAFFIC_BUYER_FLEE": "[format][color:red]ПОКУПАТЕЛЬ[/format] УБЕГАЕТ, НЕ ЗАПЛАТИВ ЗА ТОВАР. УБЕЙТЕ ЕГО."
"ACT_FRAUD_BONUS_WITNESS": "БОНУС ЗА СВИДЕТЕЛЕЙ-ПЕШЕХОДОВ"
"ACT_ESCORT_ESCORTING_MSG": "ПОКАТАЙТЕСЬ ПО ОКРЕСТНОСТЯМ, ДАЙТЕ [format][color:green]КЛИЕНТУ[/format] ПОКАЙФОВАТЬ"
"ACT_WHORED_D_YKANO": "Три. Два. Один. Играем..."
"HORDE_CHARACTER_CYRIL": "САЙРИЛ"
"MISSION_FAILURE_PARTNER_BUSTED": "ВАШ ПАРТНЕР ПОЙМАН"
"GAMEPLAY_PASSED_OUT": "Все кончено, чувак."
"ACT_VANDAL_OUT_OF_DISTRICT_MSG": "Вернись в район %ls"
"ACT_HELI_PROTECTION_START_MOVING_MESSAGE": "ВАШИ [format][color:green]БРАТКИ[/format] СОБИРАЮТСЯ НА ДЕЛО, ЗАЩИТИТЕ ИХ ОТ ВОЗМОЖНОГО НАПАДЕНИЯ"
"ACT_HELI_PROTECTION_PICKUP_MESSAGE": "У ваших [format][color:green]братков'[/format] кончился бензин. Подберите их и отвезите [format][color:teal]домой.[/format]"
"ACT_FRAUD_BONUS_VEHICLE_SURFING": "БОНУС ЗА СЕРФИНГ НА МАШИНЕ"
"ACT_ESCORT_STOP_MSG": "ОСТАНОВИТЕСЬ НА %d СЕК"
"ACT_WHORED_A_END": "Игры - это искусство."
"ACT_WHORED_DILDO": "Чтобы быть профессионалом, надо быть шлюхой"
"HORDE_LEVEL_ANGELS": "КАЗИНО АНХЕЛЯ"
"ACTIVITY_NAME_MAYHEM": "РАЗГРОМ"
"CTS_MESSAGE_GO_FRONT_DOOR": "ИДИТЕ К ПАРАДНОМУ ВХОДУ"
"ACT_ESCORT_START": "НАЧАТЬ ЭСКОРТ"
"CHOP_HOT_ROD_HOOD": "КАПОТ ХОТ-РОДА"
"ACT_TRAFFIC_OBJECTIVE_1": "ОХРАНЯЙТЕ [format][color:green]ДИЛЕРА[/format] ВО ВРЕМЯ ДОСТАВКИ"
"ACT_HELI_HOMIES_COMPLICATION_FAILED_MESSAGE": "ВАШИ БРАТКИ МЕРТВЫ"
"ACT_ESCORT_STRIPPER_SWITCH_MSG": "СТРИПТИЗЕРША УСТАЛА, НАЙДИТЕ СВЕЖУЮ ДЕВУШКУ И НОВУЮ МАШИНУ У [format][color:teal]СТРИП-КЛУБА[/format]"
"ACT_WHORED_Z_RITA": "ЗАСТАВЬ МОЕГО МОНСТРА РАСТИ!"
"ACT_WHORED_D_LILLIPUTIANS": "Маленьким проблемам нужны большие решения."
"ACT_RUNNING_MAN_START": "НАЧАТЬ С.Э.К.Р. ПРОФЕССОРА ДЖЕНКИ"
"ACTIVITY_NAME_FRAUD": "МОШЕННИЧЕСТВО"
"ACT_ZOMBIE_CANT_REVIVE": "Вам нужна хотя бы одна порция еды, чтобы вернуть человека жизни!"
"ACT_VANDAL_SUMMARY_FAVORITE_TARGET": "ЛЮБИМАЯ ЦЕЛЬ"
"ACT_PIMPING_RECRUIT_HOS_TEXT": "НАЖМИТЕ {RECRUIT_DISMISS_IMG}, ЧТОБЫ ПОДОБРАТЬ [format][color:green]ШЛЮХ[/format]."
"ACT_FRAUD_BONUS_DONE": "ОТПРАВЛЯЙТЕСЬ К СЛЕДУЮЩЕЙ [format][color:teal]ЗОНЕ БОНУСОВ[/format]"
"HASH_96FF1F21": "[format][color:green]КЛИЕНТ[/format] ГОЛОДЕН; ОСТАНОВИТЕСЬ ВОЗЛЕ КАКОГО-НИБУДЬ [format][color:teal]ФАСТ-ФУДА[/format]"
"ACT_WHORED_D_BE_GUILED": "Где же Чарли, когда он нужен."
"ACT_WHORED_BRUTES": "Позовите амбалов!"
"ACT_WHORED_AYDIOSMIO": "Два человека, два гранатомета - и армия мини-лучадоров."
"ACT_WHORED_STARPOWER_FAIL": "Слишком много власти."
"TUT_TITLE_ACT_INTRO_GUARDIAN_ANGEL": "АНГЕЛ-ХРАНИТЕЛЬ"
"ACT_TORCH_RACE_TARGETS": "УБЕЙТЕ [format][color:red]ОТМЕЧЕННЫЕ ЦЕЛИ[/format]"
"ACT_PIMPING_DRIVE_TO_LOCATION": "ИЩИТЕ [format][color:green]ШЛЮХ[/format] И ВЕЗИТЕ ИХ К [format][color:teal]ЗАЙМОСУ[/format]"
"HASH_F2632FA2": "ОТВЕЗИТЕ [format][color:green]КЛИЕНТА[/format] В [format][color:teal]СЕКС-ШОП[/format]"
"ACT_WHORED_D_OLEG_FAMILY_REUNION": "Вся банда здесь."
"ACT_WHORED_D_ITSATRAP": "Акбар любит сучек."
"ACT_WHORED_COMM_SERVICE_FAIL": "Выпивка тебя победила."
"ACT_WHORED_GAT_ATTACK_FAIL": "Чем ты больше, тем больнее тебе падать?"
"ACT_WHORED_MINIZOMBIES_FAIL": "Они крошечныем и мертвые: половина работы уже сделана. "
"ACT_RUNNING_MAN_WAITING_ON_HOST_DESCRIPTION": "ОЖИДАНИЕ КРУПЬЕ, ЧТОБЫ СДЕЛАТЬ СТАВКУ НА СЛЕДУЮЩИЙ РАУНД"
"ACT_TANK_MAYHEM_START": "НАЧАТЬ \"ТАНКОВЫЙ РАЗГРОМ\""
"GAMEPLAY_BUSTED": "ВАС ПОЙМАЛИ!"
"ACT_VANDAL_SUMMARY_TOTAL": "ВСЕГО"
"ACT_FRAUD_OBJECTIVE": "Предавайтесь безумствам и получите травм на %d долларов, прежде чем время закончится."
"ACT_WHORED_D_WEENIE_ROAST": "Разожгите костер."
"ACT_WHORED_STRIPPERS": "Стриптизерши атакуют!"
"ACT_WHORED_ROUND1_FAIL": "Что?! На первой волне?"
"CONTROL_SELECT_LEVEL": "ВЫБРАТЬ УРОВЕНЬ"
"ACT_TRAFFIC_DRIVER_LOST": "ДИЛЕР СКРЫЛСЯ."
"ACT_ESCORT_PLEASURE": "УДОВОЛЬСТВИЕ"
"ACT_ESCORT_KILL_MSG": "УБЕЙТЕ [format][color:red]МИШЕНЬ[/format]"
"ACT_WHORED_D_SAUSAGE_FEST": "Стоп-слово у нас будет \"ай\"."
"ACT_WHORED_OLD_SCHOOL_FAIL": "Хочешь регенерацию здоровья? В наше время лечились только аптечками!"
"CHOP_SHOP_SUCCESS_SUB_TEXT": "МАШИНА ДОСТАВЛЕНА"
"CHOP_LUXERY_BODY_KIT": "РОСКОШНЫЙ ОБВЕС"
"ACT_VANDAL_CAR_LUXURY_MSG": "РОСКОШНЫЕ МАШИНЫ"
"ACT_ESCORT_FAIL_LEFT_CAR": "ВЫ ПОКИНУЛИ МАШИНУ"
"ACT_WHORED_A_GENKI_GAMES": "Супер-этичное реальное взрывное веселье - начали!"
"ACT_WHORED_BIG": "Ты больше, ты круче, ты сильнее!"
"HORDE_CHARACTER_SUPER": "СУПЕРГЕРОЙ"
