# TODO: Translate to Simplified Chinese
# Source: dlc1_us.txt
# Format: "KEY": "Chinese translation"
# Total entries: 287

"HASH_163D10A0": "蛮人机枪不算花哨，但好用……每分钟1200发。在你的传送门武器库中装备。"
"HASH_AB921FE3": "靠，我只是庆幸你没骑我。"
"HASH_C78053C3": "唯一的出路是模拟世界远端的一扇门。"
"HASH_AB85DA43": "准备好，老大，什么都有可能。"
"HASH_7AB93A03": "我们永远不会忘记你的牺牲。"
"cm_lbdy_piratepants02": "海盗裤"
"HASH_90DD1AE3": "你好小朋友"
"HASH_EB079703": "向老大鞠躬！"
"HASH_14D25E44": "能在三百步开外把你哥们肩上的鹦鹉打下来。哟嗬嗬！（还是该喊'啊啊啊！'来着？）"
"HASH_7E9AA9C4": "女王降临内容已在你的HUB中开放。查看任务日志获取新任务。"
"HASH_E3EDEAC4": "西拉诺……我想做你的女王。"
"HASH_25222024": "你是个真正的英雄，乔什·伯克。"
"HASH_BFDF4644": "前往  [format][color:location]磨坊[/format]"
"HASH_61855384": "GL G20多管轰炸机"
"HASH_024D39E4": "太轻松了"
"HASH_B2456B85": "感受热度"
"HASH_DB1003C5": "武器 - 喷火器"
"HASH_FA4CD965": "是的。没错。"
"HASH_63B8CAC5": "年轻的战士，你有何话说？"
"HASH_AA38B625": "那个零件工厂任务真是坐得我屁股疼。"
"HASH_A60A8FE5": "你想，我、马特和唐尼其实都是同一类技术型玛丽苏角色。只需要我们中的两个来吵架，所以唐尼就得走了。"
"HASH_C1045585": "挣……来……"
"HASH_BF5EB585": "比如？"
"HASH_066049E5": "摧毁 [format][color:kill]防御设施[/format]"
"HASH_EF0FCCC5": "禁用力场"
"HASH_514B0E25": "威力十足。"
"HASH_F4514AC5": "右勾拳"
"HASH_46F188C6": "穿上这个，你的圣徒饮料就会摇匀，不是搅拌。"
"HASH_9481B466": "乔什和暗夜之刃可以从HUB \"手机\"菜单中召唤到模拟世界中。而且他们完全不是同一个人。"
"HASH_980DF6C6": "那我们接下来要看什么？"
"HASH_BCE390E6": "他太兴奋了，我实在不忍心。"
"HASH_E9566A46": "接上  [format][color:location]女郎[/format]"
"HASH_300834C6": "齐莫斯"
"HASH_3AF22826": "和迅猛龙老内德共度美好时光。"
"HASH_DEFC1207": "每分钟发射数千发子弹，清剿区域内所有敌人"
"HASH_52DB5D47": "伙伴 - 女王"
"HASH_495AB087": "真的很奇怪。"
"HASH_82B8FC27": "所以。女王降临到底是什么？"
"HASH_C194DE27": "击杀 [format][color:kill]女王部队[/format]"
"HASH_62003E47": "摧毁 [format][color:kill]坦克[/format]"
"HASH_4D82BCC7": "呼叫你的替补与你并肩作战。"
"HASH_C4112F47": "火……好！"
"HASH_E90A9E68": "你知道吗，我其实挺好的。要不要去打保龄球？"
"HASH_7D6C8688": "复仇。"
"HASH_6C9748E8": "跟我来，圣徒们！冲出模拟世界，奔向结局过场动画！"
"HASH_68642A68": "齐尼亚克！"
"HASH_2258C7C8": "不好，来了！"
"HASH_F36C62C8": "举个例子，在ETD里——就是女王降临的缩写——齐人带着大张旗鼓入侵了斯蒂尔波特市……但我不想剧透，看了任务你就知道我想改什么了。"
"HASH_8A93BD28": "是，那没发生过。"
"HASH_439A0F48": "到达 [format][color:location]唐尼[/format]"
"HASH_0BBAA748": "击杀 [format][color:kill]女王[/format]"
"HASH_D63C6768": "送达  [format][color:location]女郎[/format]"
"HASH_E1790B48": "消灭 [format][color:kill]赛车手[/format]"
"HASH_42354648": "金吉死了！"
"HASH_41DFBA29": "远程狙击"
"HASH_5F0FB7E9": "穿上这些衣服，准备登上敌人的船吧！"
"HASH_913F9069": "伙伴 - 唐尼"
"HASH_C14F14C9": "等一下，那是……？"
"HASH_D89FA3C9": "什么鬼？那是谁？更多齐人？"
"HASH_D368F0C9": "前往 [format][color:location]香蒂[/format]"
"HASH_E5DFEFC9": "击败 [format][color:kill]女王[/format]"
"HASH_AB2D83A9": "挑战 [format][color:kill]齐尼亚克[/format]"
"HASH_9DB9F649": "肖恩蒂阵亡！"
"HASH_0D9C23CA": "当然。"
"HASH_A834742A": "我记得好像连续有四个护送任务。"
"HASH_6DEB4D0A": "我们出过的最烂的主意。"
"HASH_2581164A": "布线引诱"
"HASH_6DF3DEEA": "让女王做你的奴隶……暂时的。"
"HASH_A640562B": "一只带枪的恐龙。"
"HASH_BA29930B": "我……我等这句话等了好久。"
"HASH_D17356EB": "你觉得总统对女王降临结局的评价公平吗？"
"HASH_745E74AB": "为什么选唐尼而不是你或马特？"
"HASH_EFA28C4B": "交替按 {PLANE_LEFT_RIGHT_IMG}"
"HASH_4037FDCB": "启动陷阱"
"HASH_9988CAAB": "跳伞 [format][color:location]下落[/format]"
"HASH_C10544AB": "面对 [format][color:location]齐尼亚克[/format]"
"HASH_20313E2B": "召唤暗夜之刃与你并肩作战，统治黑夜！"
"cm_rwrst_rhook01": "右勾拳"
"cm_lbdy_pegleg": "木腿"
"HASH_9C72CAAC": "满足你一切烧杀抢掠的需求！"
"HASH_2BBAFD0C": "GL G20多管轰炸机发射密集手雷群，引信极短。在你的传送门武器库中装备。"
"HASH_07993B4C": "有了超能力，造型也得跟上！"
"HASH_C384DE8C": "迅猛龙团结！"
"HASH_DE1A14AC": "简直疯了。"
"HASH_1099C8AC": "那是我们最黑暗的时刻，绝望笼罩着圣徒。但唐尼挺身而出，带来了拯救我们的计划。"
"HASH_431D658C": "剧本毫无逻辑。完全没有。圣徒4优雅多了。"
"HASH_B827A90C": "锁定目标"
"HASH_8E579A4D": "套装 - 调教我"
"HASH_A40F6F8D": "我这么说吧：对圣徒来说太疯狂了。"
"HASH_C661210D": "接下来你要看到的就是大结局了。"
"HASH_6E5B7DAD": "呃，那真是太糟了。"
"HASH_D5C557CD": "所以叫\"女王降临\"。"
"HASH_C1C2C54D": "现在我明白德克斯整天在抱怨什么了……"
"HASH_5FACB34D": "老大，我找到一些我们被删除的场景，现在简·瓦尔德拉玛要来采访我们！"
"HASH_2B080B6D": "返回 [format][color:location]飞船[/format]"
"HASH_4AE365CD": "前往 [format][color:location]停机坪[/format]"
"HASH_2FF82F2D": "射击 [format][color:kill]POPTOP[/format]"
"HASH_C78DBE2D": "撒网"
"HASH_3216318D": "操纵比赛"
"HASH_996D9CCE": "伙伴 - 唐老大"
"HASH_93773B6E": "我们得赶紧了。出口要关了。"
"HASH_849ED5CE": "拯救地球"
"HASH_1ED9570E": "收集 [format][color:power_tele]毛绒怪[/format]"
"HASH_047B844E": "解救 [format][color:use]皮尔斯[/format]"
"HASH_CCFD1F2E": "上车 [format][color:location]汽车[/format]"
"HASH_7590A7CE": "你必须接受她做你的伙伴！"
"cf_suit_superherob": "恶作剧小姐"
"HASH_3940F06E": "我的天"
"HASH_4B8141EE": "迅猛龙之友"
"HASH_7CAD67AF": "发射密集手雷群，短引信爆炸。"
"HASH_EFA055CF": "迅猛龙老内德可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗，大概吧。"
"HASH_AAF8416F": "那你就是我们的一员了，迅猛龙兄弟。干得好，皮尔斯。"
"HASH_23590F8F": "在色情俱乐部。真意外。"
"HASH_A5B7ADEF": "皮尔斯似乎挺喜欢的。"
"HASH_7965498F": "摧毁 [format][color:kill]VTOL[/format]"
"HASH_9100A4B0": "兄弟 - 齐莫斯"
"HASH_1DB035D0": "请享用。"
"HASH_DC75FA70": "就算说轻了也是轻了。"
"HASH_84442670": "听着，我觉得没法合理地解释接下来发生的事……"
"HASH_21EC7190": "总之，我们跳过一堆 hoops 追这个女王，然后——看吧——我们找到她了。"
"HASH_039CB4D0": "和唐尼合作感觉如何？"
"HASH_E36C8470": "我都没机会告诉他我的感受。"
"HASH_C05A9D30": "寻找  [format][color:location]齐约克[/format]"
"HASH_28F84CF0": "唐尼"
"HASH_8E737911": "炸弹现在接触人类目标后立即爆炸。"
"HASH_376AAED1": "武器 - 重型机枪"
"HASH_C6C02BB1": "团队合作，金吉。团。队。合。作。"
"HASH_D8676831": "我的执政很艰难。但公平。我觉得老大的总统表现是跟我学的。"
"HASH_23ABF711": "摇晃 [format][color:use]飞船[/format]"
"HASH_13F787B1": "解救 [format][color:use]伙伴们[/format]"
"cm_hat_bandana01": "海盗头巾"
"HASH_FE22AAB2": "钻地龙、XXX左轮手枪和淘气F-69 VTOL。这些武器震慑了数千人的心和腰。现在归你了。"
"HASH_75DA3732": "我们得做点什么！"
"HASH_03BC15F2": "击杀 [format][color:kill]竞争对手[/format]"
"cm_lwrst_lhook01": "左勾拳 "
"HASH_1908CFD3": "一箱武器皮肤、一套海盗服装和一艘凶猛的陆地船。宝贝，宝贝多的是！"
"HASH_C73CD7F3": "别吹了，他就是让我们造了艘太空船。"
"HASH_5A951793": "反正我就是这样记得的。"
"HASH_8EFB7193": "不！"
"HASH_C8E264F3": "拯救 [format][color:location]金吉[/format"
"HASH_9E152233": "乔什死了！"
"HASH_13675A94": "套装 - 秘密特工"
"HASH_C1176634": "伙伴 - 乔什·伯克和暗夜之刃"
"HASH_F8BDDF14": "肯辛顿小姐？"
"HASH_F0A70E54": "不知道。看起来不像是他们的。"
"HASH_1D978474": "会见女王"
"HASH_6FAD6174": "开门"
"HASH_67B69934": "击杀 [format][color:kill]皮衣人[/format]"
"HASH_659EE694": "和齐莫斯一起行动。 "
"HASH_6F64FA74": "迅猛龙老内德"
"cm_eyes_eyepatch01": "独眼罩"
"HASH_CE6F4135": "重型机枪"
"HASH_074D8F15": "女王可以从HUB \"手机\"菜单中召唤到模拟世界中。你的敌人必须臣服！"
"HASH_10ADC6D5": "嗯，我觉得有先例可循。"
"HASH_FF906335": "比暗夜之刃那个重启版还糟。"
"HASH_52600FF5": "我们大概应该告诉他的。"
"HASH_B3B53EB5": "乔什，不要！"
"HASH_B14965B5": "当然了，一开始他们只是请我来客串，但我演得太用力了，他们不得不留我。当然，我确实要求做一些修改。"
"HASH_097375F5": "太精彩了。"
"HASH_5142A9F5": "天哪，真要翻旧账？"
"HASH_648B3075": "部署 [format][color:use]货物[/format]"
"HASH_90E59E75": "陷阱 [format][color:kill]女王[/format]"
"HASH_18146E95": "乔什·伯克"
"HASH_41448C16": "燧发枪"
"HASH_2B0C7B96": "女王降临包"
"HASH_072AB5F6": "就这样？"
"HASH_30A83216": "不！"
"HASH_EF932436": "等等……如果皮尔斯当市长了，那雷诺兹市长和你就是……"
"HASH_75DBBDD6": "摧毁 [format][color:kill]防火墙[/format]"
"HASH_E7D3B9D7": "喷火器的火焰现在猛烈到仅凭热量就能在火焰范围外数米造成伤害。"
"HASH_8E86D197": "烈焰蛮人，以使其声名狼藉的辛迪加打手命名，现在可以在你的武器库中装备了。"
"HASH_4DB12957": "一只……恐龙？"
"HASH_E0209C57": "你们至少会放那段我们造船打保罗的七分钟QTE蒙太奇吧？"
"HASH_1A1B8B37": "你救了齐莫。接下来呢？"
"HASH_B3809DD7": "哦，马特和我勒索了一堆人。请欣赏片段！"
"HASH_F5262ED7": "唐尼。谢谢你接受采访。我很期待从局外人视角了解一些内幕。"
"HASH_83F311D7": "逃出女王的掌控"
"HASH_F9585DF7": "抓住女王"
"HASH_41D85D17": "蛮人"
"HASH_A9429157": "轰隆、轰隆、再轰隆。"
"cm_lbdy_pegleg02": "双腿"
"HASH_B869DE18": "你的子民说出了他们的奖赏。我能为你做什么？"
"HASH_219DCDB8": "质疑唐纳德智慧的人，要对我交代！"
"HASH_D216E8D8": "太烂了。带皮尔斯去终端A。保护金吉做模糊任务X。给香蒂开车去零件工厂当保镖。"
"HASH_B02C6D58": "一堆无聊的填充任务。"
"HASH_6E8362B8": "你救出了朋友们……接下来呢？"
"HASH_E42F8898": "很开心。他是个好人。"
"HASH_DFC57738": "就像我说的。我们出过的最烂的主意。"
"HASH_4BB77E58": "击败 [format][color:kill]唐[/format]"
"HASH_F8392B18": "打败 [format][color:kill]主顾[/format]"
"HASH_820EA898": "拯救 [format][color:location]皮尔斯[/format]"
"HASH_93166358": "挑战 [format][color:kill]女王[/format]"
"HASH_38650CB8": "唐老大"
"cm_suit_superhero04": "怒火V"
"cf_mask_superhero01": "无肩带奇迹面具"
"HASH_2A204539": "警告"
"HASH_0C080019": "我们做到了！女王被打败了。现在可以离开这个噩梦般的模拟世界了。"
"HASH_44E25839": "那是我们的主意。"
"HASH_9283B579": "按 {HELI_FIRE_SECONDARY_IMG}"
"HASH_CC63AD79": "保护 [format][color:defend]齐约克[/format]"
"HASH_1F052739": "离开  [format][color:location]这里[/format]"
"HASH_EFF7D2F9": "摧毁 [format][color:kill]女王[/format]"
"HASH_75A7EC79": "暗夜之刃"
"HASH_5D4A3059": "特工西装"
"cm_mask_superhero04": "怒火V面具"
"cf_suit_superhero01": "无肩带奇迹"
"HASH_CB77F879": "卫生检查员"
"HASH_6E99C4BA": "左勾拳"
"HASH_1449687B": "武器的伤害现在真的随距离增加而提升。"
"HASH_1693F29B": "一把能点燃敌人的恐怖武器"
"HASH_0A9965BB": "海盗服装"
"HASH_C4A9423B": "唐尼可以从HUB \"手机\"菜单中召唤到模拟世界中。他会帮助圣徒战斗。"
"HASH_36E6D9FB": "我的人民。我们不能再躲避这个世界了。我们需要成为其中的一部分……让迅猛龙和人类并肩和谐相处！让新时代开始！"
"HASH_AF12CA5B": "完成。"
"HASH_4E5415DB": "那他为什么被删了？"
"HASH_9CA8D91B": "局外人？你在说什么？我基本上是圣徒4的主角。"
"HASH_08DDE5BB": "击杀 [format][color:kill]超级皮衣人[/format]"
"HASH_784EAD3B": "到达 [format][color:location]女王[/format]"
"dlc1_m02_failure_donnie_died": "唐尼死了！"
"HASH_0E02C2DB": "打开降落伞"
"cm_suit_superhero03": "异界人"
"HASH_B46AA57C": "榴弹发射器"
"HASH_CCFB4E9C": "唐老大可以从HUB \"手机\"菜单中召唤到模拟世界中。他会惩罚圣徒的敌人。"
"HASH_F089D07C": "那你呢，美丽的香蒂？"
"HASH_697DC3DC": "圣徒，我们欠你们的。西拉诺，迅猛龙之王能献上什么来表达感谢？"
"HASH_5AC7D09C": "什么。"
"HASH_B8EE8FDC": "你没在圣徒4里出场。"
"HASH_744993DC": "寻找  [format][color:location]大脑[/format]"
"HASH_6904FEDC": "到达 [format][color:location]市长[/format]"
"HASH_A75BB89C": "伙伴离开！"
"HASH_2006759C": "女王"
"cm_ubdy_pirate02": "海盗衬衫"
"cm_suit_dombondage": "调教我"
"HASH_A9D739BC": "甲板清洁工"
"HASH_B1E88C3D": "你的联机伙伴没有所需的可下载内容，无法访问此内容。"
"HASH_BA36879D": "伙伴 - 迅猛龙老内德"
"HASH_C175D8FD": "尊重。人们需要认真对待我。"
"HASH_4447B17D": "彻底。疯狂。疯到家了。"
"HASH_E278DABD": "击杀 [format][color:kill]外星人[/format]"
"HASH_8D3847DD": "烈焰蛮人"
"HASH_C9E418FE": "燧发枪"
"HASH_7E2C2F5E": "武器 - 榴弹发射器"
"HASH_520FE91E": "紧身衣收藏"
"HASH_8BDFBE1E": "他当然喜欢，一开始他还是斯蒂尔波特的市长呢。"
"HASH_B84A849E": "终结 [format][color:kill]女王[/format]"
"HASH_FC55B05E": "逃离  [format][color:location]模拟世界[/format]"
"HASH_487C27BE": "和 [format][color:location]唐[/format]交谈"
"HASH_DBC1481F": "做时尚的奴隶！好吧……做某件事的奴隶。你可以在传送门衣柜里找到。"
"HASH_E7F2C43F": "我们迅猛龙是骄傲的民族。起初我们通过吃人来解决人类的野蛮。后来我们选择了文明之路……选择离开他们的世界而不是被他们的低级本能拖垮。虽然人类能做到残忍至极，但也不乏同情心。还有荣誉。圣徒就是最好的例子。把英雄带上来！"
"HASH_4BBF121F": "女王命令保罗恐吓城市，我们得想办法阻止它。"
"HASH_2240811F": "对，单关子。很聪明。总之，女王接管了齐尼亚克的舰队并绑架了所有人。我们在那里遇到了唐尼，他扮演某种导师角色，教我们如何扭曲模拟世界的规则。"
"HASH_9FBDCC9F": "真的？"
"HASH_0A3A611F": "女王降临"
"HASH_D138653F": "服务 [format][color:location]客户[/format]"
"HASH_C767E03F": "不屈不挠"
