// SR4R voice dict file 14/17
// Lines 13001-14000 of 16797
// Format: "English": "Chinese translation";

"Yeah...": "Yeah...";
"Wait.  Tanya?": "Wait.  Tanya?";
"He was Saints Enemy number one. But you know how that shit goes.": "He was Saints Enemy number one. But you know how that shit goes.";
"And what the hell is all this?": "And what the hell is all this?";
"Let's see how your eye beams do against a ladle, Paul.": "Let's see how your eye beams do against a ladle, Paul.";
"Says the woman who keeps running from the fight.": "Says the woman who keeps running from the fight.";
"You expect me to believe Asha wants to practice fighting zombies?": "You expect me to believe Asha wants to practice fighting zombies?";
"Matt turned a new leaf after Steelport. Hooked up with MI6, helped us nail Cyrus Temple -- he's a useful guy.": "Matt turned a new leaf after Steelport. Hooked up with MI6, helped us nail Cyrus Temple -- he's a useful guy.";
"Eh. Fair mix of both.": "Eh. Fair mix of both.";
"Okay, that explains the monster trucks.  You don't suppose Donnie's here, do you?": "Okay, that explains the monster trucks.  You don't suppose Donnie's here, do you?";
"What the fuck? Death lasers?!": "What the fuck? Death lasers?!";
"Everyone okay?": "Everyone okay?";
"This is all from your head, Asha. He's getting this from you.": "This is all from your head, Asha. He's getting this from you.";
"DELETE": "DELETE";
"Got another Kinzie ahead.  Should I--wait!": "Got another Kinzie ahead.  Should I--wait!";
"You're seriously gonna make me carry this?  Dammit!": "You're seriously gonna make me carry this?  Dammit!";
"Is this what I'm looking for?": "Is this what I'm looking for?";
"Let me guess: You train for this kind of thing in MI6.": "Let me guess: You train for this kind of thing in MI6.";
"Gaaargh!": "Gaaargh!";
"Kinzie, if he can help us find the others then yes, I'm certain.  Now how does this work?": "Kinzie, if he can help us find the others then yes, I'm certain.  Now how does this work?";
"What's all this stuff here, anyway?": "What's all this stuff here, anyway?";
"You fixing to be done soon, CID?": "You fixing to be done soon, CID?";
"Of course you can't...that'd be too easy.": "Of course you can't...that'd be too easy.";
"Hmmm, not sure yet.  Though any help you can give with gathering information on systems in the simulation would be useful.  I'll leave any tasks I have for you in the Quests section of your HUB.": "Hmmm, not sure yet.  Though any help you can give with gathering information on systems in the simulation would be useful.  I'll leave any tasks I have for you in the Quests section of your HUB.";
"You call that fast?": "You call that fast?";
"DELETE": "DELETE";
"There's no more safehouses for the us in the city... Great! Fucking great.": "There's no more safehouses for the us in the city... Great! Fucking great.";
"Well, things get messy sometimes...": "Well, things get messy sometimes...";
"Is that what you think?": "Is that what you think?";
"This feels just like old times, doesn't it, playa?": "This feels just like old times, doesn't it, playa?";
"I feel better already...": "I feel better already...";
"Man, this ladle does everything!": "Man, this ladle does everything!";
"That's three. How's the download looking?": "That's three. How's the download looking?";
"I suppose the only thing I can do...is prepare.": "I suppose the only thing I can do...is prepare.";
"If we're done, we should probably go, yeah?": "If we're done, we should probably go, yeah?";
"But then I realized Asha would never be able to do this without some help.": "But then I realized Asha would never be able to do this without some help.";
"You have powers, use them on the shields.": "You have powers, use them on the shields.";
"Johnny, we're getting you out of here.": "Johnny, we're getting you out of here.";
"\\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\\"": "\\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\\"";
"Strung out.": "Strung out.";
"Comment allez-vous?": "Comment allez-vous?";
"Whoa, that thing just came out of nowhere.": "Whoa, that thing just came out of nowhere.";
"Right.  Yell if you get in trouble.": "Right.  Yell if you get in trouble.";
"*struggling*": "*struggling*";
"Reassure yourself, Gat.  Kinzie sure as shit won't help.": "Reassure yourself, Gat.  Kinzie sure as shit won't help.";
"Thank you.": "Thank you.";
"*sigh*  Your funeral...": "*sigh*  Your funeral...";
"These relays have shields, Kinzie.": "These relays have shields, Kinzie.";
"Could I make up something that ridiculous?": "Could I make up something that ridiculous?";
"The American people don't exactly look favorably upon the President committing grand theft auto.": "The American people don't exactly look favorably upon the President committing grand theft auto.";
"Found a great place to hit the simulation where it hurts!": "Found a great place to hit the simulation where it hurts!";
"Not gonna lie. Still not sure how to take the fact evil me is your version of hell.": "Not gonna lie. Still not sure how to take the fact evil me is your version of hell.";
"We can't hide from the Zin forever. We're gonna have to make a last stand eventually.": "We can't hide from the Zin forever. We're gonna have to make a last stand eventually.";
"Well then. I'll come up with something.": "Well then. I'll come up with something.";
"You don't even know what I was going to ask.": "You don't even know what I was going to ask.";
"DELETE": "DELETE";
"Kinzie, what can you do about this...": "Kinzie, what can you do about this...";
"And you find this entertaining?": "And you find this entertaining?";
"Clear out the guards.  I don't want the CPC damaged if you try leaving with it first.": "Clear out the guards.  I don't want the CPC damaged if you try leaving with it first.";
"Hold on, did I hear that right?": "Hold on, did I hear that right?";
"There should be three data towers controlling the security to Matt's prison.": "There should be three data towers controlling the security to Matt's prison.";
"How many simulations is Asha having you build?": "How many simulations is Asha having you build?";
"So we trail this guy quietly.  Deal?": "So we trail this guy quietly.  Deal?";
"DELETE": "DELETE";
"But what if it was.": "But what if it was.";
"I hope you never had kids otherwise it'll be \\\"hey George, go play in traffic with your friends.\\\"": "I hope you never had kids otherwise it'll be \\\"hey George, go play in traffic with your friends.\\\"";
"So why'd we head to the Nuke Plant?": "So why'd we head to the Nuke Plant?";
"Ben says he has a plan. We need to lose this heat and then--": "Ben says he has a plan. We need to lose this heat and then--";
"Is Cyrus really all that bad?": "Is Cyrus really all that bad?";
"If you can get to Kinzie's warehouse in time, she can set up a field which will stabilize the energy output.": "If you can get to Kinzie's warehouse in time, she can set up a field which will stabilize the energy output.";
"Aaaaaah! Freckle Bitches!": "Aaaaaah! Freckle Bitches!";
"These Zin have some high-tech shit. What's their arsenal like?": "These Zin have some high-tech shit. What's their arsenal like?";
"Zinyak thinks being in a town where the Saints don't run things is enough to break me.": "Zinyak thinks being in a town where the Saints don't run things is enough to break me.";
"Can we not focus on that.": "Can we not focus on that.";
"Whatever Kinzie complied, let's try running it through CID. ": "Whatever Kinzie complied, let's try running it through CID. ";
"Here we go...": "Here we go...";
"The hell you talking about?": "The hell you talking about?";
"Alright. This is bugging me. I know that woman. Who is she?": "Alright. This is bugging me. I know that woman. Who is she?";
"Where to now?": "Where to now?";
"DELETE": "DELETE";
"Cool, man. You swing on by the ship if you feel like finishing this right.": "Cool, man. You swing on by the ship if you feel like finishing this right.";
"Bring it on, Johnny. I'm ready for you!": "Bring it on, Johnny. I'm ready for you!";
"Keith! Keith, stop!": "Keith! Keith, stop!";
"Yes. Yes I did.": "Yes. Yes I did.";
"But I'm the President, dammit.": "But I'm the President, dammit.";
"This contestant just keeps taking the punishment!": "This contestant just keeps taking the punishment!";
"Right boss.": "Right boss.";
"I don't know if I can.": "I don't know if I can.";
"Zimos would straighten this bloke out.": "Zimos would straighten this bloke out.";
"We don't have time for this.": "We don't have time for this.";
"All right. Let's go!": "All right. Let's go!";
"Set her down, John.  Kinzie, stay on the line.": "Set her down, John.  Kinzie, stay on the line.";
"Are you having fun down there?": "Are you having fun down there?";
"This better not be another murder light.": "This better not be another murder light.";
"After what these Zin did to me, I want every single one of them wiped out.": "After what these Zin did to me, I want every single one of them wiped out.";
"The gentrification of Saints Row was only the beginning.  Ultor's plans for Stilwater were right on track for making the city a bustling metropolis safe enough to raise a family in.  Gang violence was present, but the arrival of the Saints was the final cog in the wheel of progress.  Get the Saints to wipe out the other gangs, then get the police to lock up the Saints.  The plan looked perfect on paper.": "The gentrification of Saints Row was only the beginning.  Ultor's plans for Stilwater were right on track for making the city a bustling metropolis safe enough to raise a family in.  Gang violence was present, but the arrival of the Saints was the final cog in the wheel of progress.  Get the Saints to wipe out the other gangs, then get the police to lock up the Saints.  The plan looked perfect on paper.";
"Zinyak's not dumb. I doubt we've made a single move so far without him knowing about it.": "Zinyak's not dumb. I doubt we've made a single move so far without him knowing about it.";
"Where who's at?": "Where who's at?";
"Oh come on man, we just did two.": "Oh come on man, we just did two.";
"Pierce... I'm gonna kill you later.": "Pierce... I'm gonna kill you later.";
"I get the chance? I'm gonna rip Zinyak's goddamn head off.": "I get the chance? I'm gonna rip Zinyak's goddamn head off.";
"I'm here. Just need to mop up these Zin first.": "I'm here. Just need to mop up these Zin first.";
"Come on, legs. We can do it.": "Come on, legs. We can do it.";
"I'm the goddamned President.": "I'm the goddamned President.";
"There, I've finished your rift.": "There, I've finished your rift.";
"These relays have shields, Kinzie.": "These relays have shields, Kinzie.";
"Well, prez, we got visitors.": "Well, prez, we got visitors.";
"So you have what you need now?": "So you have what you need now?";
"Really don't think we need much else.": "Really don't think we need much else.";
"What?": "What?";
"Fair enough.": "Fair enough.";
"Well, at least I can shop just about anywhere now.": "Well, at least I can shop just about anywhere now.";
"Check in that empty grave.  I dropped something for you.": "Check in that empty grave.  I dropped something for you.";
"Fuck yeah.": "Fuck yeah.";
"Matt has located intelligence within the simulation that I can use to hunt down Zin officials in the real world.": "Matt has located intelligence within the simulation that I can use to hunt down Zin officials in the real world.";
"Cut it a little close, Kinzie.": "Cut it a little close, Kinzie.";
"How the hell should I know? I don't know, you're the one who says they're so \\\"amazing\\\".": "How the hell should I know? I don't know, you're the one who says they're so \\\"amazing\\\".";
"Then I suppose the monster trucks are in context.  You don't suppose Donnie's in here...?": "Then I suppose the monster trucks are in context.  You don't suppose Donnie's in here...?";
"The contestant has to be watching those targets!": "The contestant has to be watching those targets!";
"So who's the mark?": "So who's the mark?";
"This town's crawlin' with Zinyak's crew.": "This town's crawlin' with Zinyak's crew.";
"Two heads are better than one, Kinzie. My choice is made.": "Two heads are better than one, Kinzie. My choice is made.";
"Yeah, baby, this snake is 100 percent solid.": "Yeah, baby, this snake is 100 percent solid.";
"Asha and I are a seamless team, anticipating each other's actions.  We'll get the job done proper.": "Asha and I are a seamless team, anticipating each other's actions.  We'll get the job done proper.";
"Not gonna happen.": "Not gonna happen.";
"Shit just got real in here.  Kinzie...?  Matt...?  Keith...?  Anyone...?": "Shit just got real in here.  Kinzie...?  Matt...?  Keith...?  Anyone...?";
"Set it down and I'll hop off here.": "Set it down and I'll hop off here.";
"Why didn't we go there first?": "Why didn't we go there first?";
"Well, fuck.  Bad enough I can't get past his shield...": "Well, fuck.  Bad enough I can't get past his shield...";
"And there you have it! Well done.": "And there you have it! Well done.";
"Okay, calm down, I'm going.": "Okay, calm down, I'm going.";
"I just thought we should rebuild it as the ultimate crib -- steel walls, surface to air missiles, swimming pool with a bar you can swim up to... ": "I just thought we should rebuild it as the ultimate crib -- steel walls, surface to air missiles, swimming pool with a bar you can swim up to... ";
"Hey, the Saints are my crew. I'd take a bullet for any one of them.": "Hey, the Saints are my crew. I'd take a bullet for any one of them.";
"Large red cylinder, huh...": "Large red cylinder, huh...";
"This is a full-scale invasion. We don't have enough firepower to take them on.": "This is a full-scale invasion. We don't have enough firepower to take them on.";
"Okay, now don't, don't you, don't you blow up, too...": "Okay, now don't, don't you, don't you blow up, too...";
"Don't let them get in this room!": "Don't let them get in this room!";
"Known what?": "Known what?";
"Planet Zin... Not quite storming the Bastille, but it's a start.": "Planet Zin... Not quite storming the Bastille, but it's a start.";
"Oh god. LOWER!": "Oh god. LOWER!";
"Here come some more! Get ready.": "Here come some more! Get ready.";
"I cannot wait to see how these mascots handle my...special abilities.": "I cannot wait to see how these mascots handle my...special abilities.";
"That's not true?": "That's not true?";
"And that...that is my hell.": "And that...that is my hell.";
"Good. Now get us the fuck out of here.": "Good. Now get us the fuck out of here.";
"Fine, but I better get something outta this.": "Fine, but I better get something outta this.";
"Keep dreaming.": "Keep dreaming.";
"Genkibowl! Oh absolutely. I'll only need a moment.": "Genkibowl! Oh absolutely. I'll only need a moment.";
"Zinyak above all!": "Zinyak above all!";
"I'm...": "I'm...";
"Nobody tells me anything!": "Nobody tells me anything!";
"You found Tanya?": "You found Tanya?";
"Come on, give us some credit, Kinzie.": "Come on, give us some credit, Kinzie.";
"Hey, he came close that one time!": "Hey, he came close that one time!";
"Oh, thanks!": "Oh, thanks!";
"Now you show your cowardice!": "Now you show your cowardice!";
"Fine, but I control the radio.": "Fine, but I control the radio.";
"Here comes trouble.": "Here comes trouble.";
"So I find you a body and I'm supposed to just trust that you'll help me?": "So I find you a body and I'm supposed to just trust that you'll help me?";
"Oh!  I tell ya, that's going to cost some valuable seconds.": "Oh!  I tell ya, that's going to cost some valuable seconds.";
"Why does my ass hurt?": "Why does my ass hurt?";
"Hold on, someone's going to have to stay to make sure this one stays open.": "Hold on, someone's going to have to stay to make sure this one stays open.";
"Will taking out the vehicle mess up the thing on board?": "Will taking out the vehicle mess up the thing on board?";
"DELETE": "DELETE";
"Not bad, huh?": "Not bad, huh?";
"Of which we are required to extol the virtues.": "Of which we are required to extol the virtues.";
"Sounds like a strange comparison but okay.": "Sounds like a strange comparison but okay.";
"The Key's loaded up.  Climb on and make sure it doesn't get destroyed.": "The Key's loaded up.  Climb on and make sure it doesn't get destroyed.";
"Look, I know secrecy is MI6's thing but I've kind of had enough with--": "Look, I know secrecy is MI6's thing but I've kind of had enough with--";
"Got it, Kinzie!": "Got it, Kinzie!";
"I can't tell if you're kidding or not.": "I can't tell if you're kidding or not.";
"Since when did the Vice Kings have giant robots?": "Since when did the Vice Kings have giant robots?";
"Really?": "Really?";
"Little bit.": "Little bit.";
"I'm sure you'll do a...fine job.": "I'm sure you'll do a...fine job.";
"Have you tracked down Asha?": "Have you tracked down Asha?";
"Can't recall where the nearest one is.": "Can't recall where the nearest one is.";
"Oh shit, that's really not good...": "Oh shit, that's really not good...";
"Laser eye?": "Laser eye?";
"DELETE": "DELETE";
"And changing me out of this ridiculous ensemble is not a \\\"basic hack\\\"?": "And changing me out of this ridiculous ensemble is not a \\\"basic hack\\\"?";
"\\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\\"": "\\\"Hey, Asha, how you doing? Care for some tea and crumpets? Fancy a snog? Ooh! *kissie sounds*\\\"";
"I'll be right back. I'm going to get the car.": "I'll be right back. I'm going to get the car.";
"What's up?": "What's up?";
"You're in luck. The Zin have a bunch in transit right now.": "You're in luck. The Zin have a bunch in transit right now.";
"How long is this gonna take?": "How long is this gonna take?";
"Just look for something that'll help us.": "Just look for something that'll help us.";
"Get in that thing and come pick up then!": "Get in that thing and come pick up then!";
"Ooof!": "Ooof!";
"Without me, you'd still be stuck in those rifts without a body here or in the real world.": "Without me, you'd still be stuck in those rifts without a body here or in the real world.";
"I hope you're on your way, Kinzie.": "I hope you're on your way, Kinzie.";
"Some low blows at the midway point but the dream team really came together.": "Some low blows at the midway point but the dream team really came together.";
"Whatever, she has Asha to latch onto now.": "Whatever, she has Asha to latch onto now.";
"Ooh. Sounds serious.": "Ooh. Sounds serious.";
"Are you fucking kidding me?": "Are you fucking kidding me?";
"All the people on the left: wopbamboogie, all the people on the right: boogaloo!": "All the people on the left: wopbamboogie, all the people on the right: boogaloo!";
"That sounds like a good thing.": "That sounds like a good thing.";
"Matthew Miller, the self-proclaimed hacker god, ran all the cyber terrorism for the Syndicate back in Steelport.  Now, he's Asha's right hand man in MI6.  I just hope we can trust him like she does.": "Matthew Miller, the self-proclaimed hacker god, ran all the cyber terrorism for the Syndicate back in Steelport.  Now, he's Asha's right hand man in MI6.  I just hope we can trust him like she does.";
"Already working on it.": "Already working on it.";
"I found an overload point. That's what it's called, right? The racing thing?": "I found an overload point. That's what it's called, right? The racing thing?";
"Ow! My toe!": "Ow! My toe!";
"A man who stands alone, wandering the earth in search of justice for his lost love.": "A man who stands alone, wandering the earth in search of justice for his lost love.";
"It looks like data clusters can be hidden inside walls.  Use your blast to knock them out.": "It looks like data clusters can be hidden inside walls.  Use your blast to knock them out.";
"Hey Matt, you still have your man crush on Keith David?": "Hey Matt, you still have your man crush on Keith David?";
"Wait, is that a shield generator?": "Wait, is that a shield generator?";
"It's safe, right? This thing isn't gonna irradiate me?": "It's safe, right? This thing isn't gonna irradiate me?";
"And saving brilliant hackers from becoming June Cleaver.": "And saving brilliant hackers from becoming June Cleaver.";
"Send the stuff she compiled to CID. We're on it.": "Send the stuff she compiled to CID. We're on it.";
"Nice! Now *this* is a town I can live in!": "Nice! Now *this* is a town I can live in!";
"We almost done?": "We almost done?";
"Death from above!": "Death from above!";
"Look who's here! My favorite wannabe spy and her BFF.": "Look who's here! My favorite wannabe spy and her BFF.";
"DELETE": "DELETE";
"Stay back, you vile beverages!": "Stay back, you vile beverages!";
"It's a robot, isn't it...": "It's a robot, isn't it...";
"Cut it a little close, Kinzie.": "Cut it a little close, Kinzie.";
"What am I looking at?": "What am I looking at?";
"Then we are taking this thing over there.": "Then we are taking this thing over there.";
"And you're sure that is all?": "And you're sure that is all?";
"C'mon, you're fighting an evil me...": "C'mon, you're fighting an evil me...";
"Shit. I'm down. Let's do this.": "Shit. I'm down. Let's do this.";
"All right, got another.": "All right, got another.";
"This is some bullshit...": "This is some bullshit...";
"Yeah, I think I scared her away earlier.  Sorry.": "Yeah, I think I scared her away earlier.  Sorry.";
"OOH! AGH! You're too late, Johnny. You'll never defeat Warren Williams!": "OOH! AGH! You're too late, Johnny. You'll never defeat Warren Williams!";
"Seems like a good way to land where I want all the time.": "Seems like a good way to land where I want all the time.";
"How're you gonna stop me now?": "How're you gonna stop me now?";
"Hold on, doesn't someone try to kill me soon?": "Hold on, doesn't someone try to kill me soon?";
"Uh, we should probably get out of here, right?": "Uh, we should probably get out of here, right?";
"What the fuck is that?": "What the fuck is that?";
"She's breathing.": "She's breathing.";
"Ben, it's amateur night. You know what I must do.": "Ben, it's amateur night. You know what I must do.";
"Should I expect anything else, Kinzie?": "Should I expect anything else, Kinzie?";
"All right, you guys are with me for this part.  See you both inside.": "All right, you guys are with me for this part.  See you both inside.";
"Tell me about it.  Anyway, there's one more list I have.  Do this and I can finally sit down and take a damn breath.": "Tell me about it.  Anyway, there's one more list I have.  Do this and I can finally sit down and take a damn breath.";
"C'mon, you really think Tanya's that much of a threat?": "C'mon, you really think Tanya's that much of a threat?";
"And now the Cyprians are after NyteBlayde too?": "And now the Cyprians are after NyteBlayde too?";
"I don't think we can drop her out a window this time!": "I don't think we can drop her out a window this time!";
"Let Kinzie be.  I need you both right here.  So Matt, you and Asha falling back into your old rhythm?": "Let Kinzie be.  I need you both right here.  So Matt, you and Asha falling back into your old rhythm?";
"Maybe they're all factory rejects.": "Maybe they're all factory rejects.";
"One down.": "One down.";
"Zinyak thinks putting me in a town where I have nothing is enough to break me.": "Zinyak thinks putting me in a town where I have nothing is enough to break me.";
"You good?": "You good?";
"Ah!  If it doesn't match, it doesn't count.": "Ah!  If it doesn't match, it doesn't count.";
"Find the targeting panel and disable it.": "Find the targeting panel and disable it.";
"Come on, we'll find him.": "Come on, we'll find him.";
"Been meanin' to thank you, Kinzie.": "Been meanin' to thank you, Kinzie.";
"Jesus Shaundi, you had me worried there for a minute.": "Jesus Shaundi, you had me worried there for a minute.";
"Alright. Where did he go?": "Alright. Where did he go?";
"So no immediate danger of fiery death?": "So no immediate danger of fiery death?";
"Different how?": "Different how?";
"Of course it would.": "Of course it would.";
"Fuck you, Zinyak.": "Fuck you, Zinyak.";
"That wasn't a bad \\\"fuck you\\\" to Zinyak. Now let's get back to the ship and find Kinzie.": "That wasn't a bad \\\"fuck you\\\" to Zinyak. Now let's get back to the ship and find Kinzie.";
"Good, I can't take much more of this...": "Good, I can't take much more of this...";
"Time to break up the party, guys.": "Time to break up the party, guys.";
"Flaming bullets? Holy shit.": "Flaming bullets? Holy shit.";
"Sure!": "Sure!";
"The paramilitary thug who tried to save America by destroying it with a bigass nuclear missile? Yeah, we crossed paths.": "The paramilitary thug who tried to save America by destroying it with a bigass nuclear missile? Yeah, we crossed paths.";
"We've had some good times together haven't we...": "We've had some good times together haven't we...";
"Earth's really gone, isn't it.  Just a memory for the few of us still alive.  Kinda like Johnny.  I thought I'd escaped that sadness when you pulled me out.  Guess it'll never go away now.": "Earth's really gone, isn't it.  Just a memory for the few of us still alive.  Kinda like Johnny.  I thought I'd escaped that sadness when you pulled me out.  Guess it'll never go away now.";
"*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*": "*BEEP* *BEEP* YOUR *BEEPING* *BEEEEEEEEEEP*";
"Uh. Urf. Ooph.": "Uh. Urf. Ooph.";
"Get ready for a close encounter.": "Get ready for a close encounter.";
"Can I not book a room somewhere...?  ": "Can I not book a room somewhere...?  ";
"Fine.  Keep moving the goalposts, it won't save you.": "Fine.  Keep moving the goalposts, it won't save you.";
"Gotta be some way make it go faster.": "Gotta be some way make it go faster.";
"Well if it isn't the Stilwater default player...": "Well if it isn't the Stilwater default player...";
"Oh, human arrogance. Is there anything more charming?": "Oh, human arrogance. Is there anything more charming?";
"Sorry it turned out this way.": "Sorry it turned out this way.";
"*coughs*": "*coughs*";
"Oh, luckily we had Kinzie, and Zimos, and Oleg, and--": "Oh, luckily we had Kinzie, and Zimos, and Oleg, and--";
"That sounds awesome!": "That sounds awesome!";
"Let's get behind this guy.": "Let's get behind this guy.";
"And you said thrill killing is a bad thing...": "And you said thrill killing is a bad thing...";
"Zinyak ruined Biz Markie...": "Zinyak ruined Biz Markie...";
"I am never touching Saints Flow again.": "I am never touching Saints Flow again.";
"Sure, why not.": "Sure, why not.";
"Hey, whoa, what--?": "Hey, whoa, what--?";
"Hey, Ben!  Over here!": "Hey, Ben!  Over here!";
"CID, why is everything a target?": "CID, why is everything a target?";
"Well, at least the janitor has job security.": "Well, at least the janitor has job security.";
"Kinzie, what's this thing?": "Kinzie, what's this thing?";
"You're not leaving here!": "You're not leaving here!";
"Asha, I respect you too much to bullshit y-": "Asha, I respect you too much to bullshit y-";
"Take a guess, Kinzie.": "Take a guess, Kinzie.";
"Oh shit.": "Oh shit.";
"Well, looks like the Zin don't appreciate that very much.": "Well, looks like the Zin don't appreciate that very much.";
"So why are people trying to off Tammy? She cross a drug lord or something?": "So why are people trying to off Tammy? She cross a drug lord or something?";
"And by \\\"a matter\\\" you mean...?": "And by \\\"a matter\\\" you mean...?";
"Fuck this. I'm totally killing this guy.": "Fuck this. I'm totally killing this guy.";
"Don't shoot, Ben, it's only me.  You remember the White House, right?  Partying with the Jamaican ambassador...?": "Don't shoot, Ben, it's only me.  You remember the White House, right?  Partying with the Jamaican ambassador...?";
"I certainly hope you arrive soon, Kinzie.": "I certainly hope you arrive soon, Kinzie.";
