// SR4R voice dict file 12/17
// Lines 11001-12000 of 16797
// Format: "English": "Chinese translation";

"This is amazing!": "This is amazing!";
"CID, what's the status on that shield?": "CID, what's the status on that shield?";
"You need to focus!": "You need to focus!";
"MATT! Quit screwing around!": "MATT! Quit screwing around!";
"You doing okay in here?": "You doing okay in here?";
"Then would you believe it is actually just an arbitrary number that sounded good at the time to the system creator?": "Then would you believe it is actually just an arbitrary number that sounded good at the time to the system creator?";
"Sweetie, if you see that, you'll have to beat me to it.": "Sweetie, if you see that, you'll have to beat me to it.";
"Why can't I just take everyone?  That'd be easier.": "Why can't I just take everyone?  That'd be easier.";
"Fuck him...": "Fuck him...";
"Once CID's up and running, how long until we can use him to get my crew?": "Once CID's up and running, how long until we can use him to get my crew?";
"I kill all of you and slide down the corpses to Earth!": "I kill all of you and slide down the corpses to Earth!";
"This isn't for your empire, this is for the people of Earth.": "This isn't for your empire, this is for the people of Earth.";
"Kinzie, you never drive...": "Kinzie, you never drive...";
"DELETE": "DELETE";
"Precise is better. Let's get to the airlock.": "Precise is better. Let's get to the airlock.";
"Oh god. Why don't they have these things in the real world?": "Oh god. Why don't they have these things in the real world?";
"But you can make sure they don't, right?": "But you can make sure they don't, right?";
"Don't let the VIP get hurt!": "Don't let the VIP get hurt!";
"There, I've finished your rift.": "There, I've finished your rift.";
"No.  Way.": "No.  Way.";
"Shut the fuck up!": "Shut the fuck up!";
"Then what do you care if I try?": "Then what do you care if I try?";
"Oh, beautiful, beautiful guns.": "Oh, beautiful, beautiful guns.";
"Sorry! I'm facing the other way!": "Sorry! I'm facing the other way!";
"If I end up killing the stripper don't blame me.": "If I end up killing the stripper don't blame me.";
"I'd be happier if my favorite Russian brute was here to watch my back.": "I'd be happier if my favorite Russian brute was here to watch my back.";
"I thought this was a party. Let's dance!": "I thought this was a party. Let's dance!";
"Dammit, where're my powers?": "Dammit, where're my powers?";
"All right. So what tipped the scales?": "All right. So what tipped the scales?";
"All right, you guys are with me for this part.  See you both inside.": "All right, you guys are with me for this part.  See you both inside.";
"Come on, Kinzie, where are you at?": "Come on, Kinzie, where are you at?";
"Jesus!": "Jesus!";
"Hold off. The way through is closing.": "Hold off. The way through is closing.";
"I thought I was a goner there.  What happened?": "I thought I was a goner there.  What happened?";
"All right, this spot looks good.": "All right, this spot looks good.";
"But what if it was.": "But what if it was.";
"I can't tell if you're kidding or not.": "I can't tell if you're kidding or not.";
"Shaundi, stop this!  You didn't kill Johnny, remember?  Phillipe did.": "Shaundi, stop this!  You didn't kill Johnny, remember?  Phillipe did.";
"Lots of firepower here, Kinzie.": "Lots of firepower here, Kinzie.";
"I'm sticking your head on a spike, you alien fuck.": "I'm sticking your head on a spike, you alien fuck.";
"Matthew, are you there?": "Matthew, are you there?";
"Frigid.": "Frigid.";
"Is that a good thing?": "Is that a good thing?";
"Why does my ass hurt?": "Why does my ass hurt?";
"So, you do understand?": "So, you do understand?";
"No, ma'am.": "No, ma'am.";
"Uh-huh. Mm-hrm.": "Uh-huh. Mm-hrm.";
"With the shield down you can get to the console at the base of the structure.": "With the shield down you can get to the console at the base of the structure.";
"Another successful round of Super Power Fight Club!": "Another successful round of Super Power Fight Club!";
"How many generators are there, Matt?": "How many generators are there, Matt?";
"Here's another one.": "Here's another one.";
"What do you want.": "What do you want.";
"Step one, go back to the cargo bay and load up on bombs.": "Step one, go back to the cargo bay and load up on bombs.";
"Jesus, you said it again!": "Jesus, you said it again!";
"My eyes are burning...": "My eyes are burning...";
"Oh it won't.  It'll piss off who they're for.": "Oh it won't.  It'll piss off who they're for.";
"I'll send what I have to CID. He should be able to interpret the data.": "I'll send what I have to CID. He should be able to interpret the data.";
"I'm a right bastard that way.": "I'm a right bastard that way.";
"What the fuck--": "What the fuck--";
"Is this glass orb thing important?": "Is this glass orb thing important?";
"Okay Matthew, you should be able to pull yourself out of the simulation now...": "Okay Matthew, you should be able to pull yourself out of the simulation now...";
"I dunno. But when I find Matt and Asha, I'm gonna beat that information out of them.": "I dunno. But when I find Matt and Asha, I'm gonna beat that information out of them.";
"But... is not Kinzie filling that role?": "But... is not Kinzie filling that role?";
"I'm venting, Matt. Let it go.": "I'm venting, Matt. Let it go.";
"There's more of them.": "There's more of them.";
"Just hang in there, Gat!": "Just hang in there, Gat!";
"Yeah, what's that?": "Yeah, what's that?";
"They keep giving me shit to do in the simulation.  I don't know how to do this stuff, and they won't let up!": "They keep giving me shit to do in the simulation.  I don't know how to do this stuff, and they won't let up!";
"You're so kind.": "You're so kind.";
"Where is this fucking platform...": "Where is this fucking platform...";
"I doubt he wants to be trapped in the simulation forever.": "I doubt he wants to be trapped in the simulation forever.";
"DELETE": "DELETE";
"Oh, honey, I could kiss you.": "Oh, honey, I could kiss you.";
"Oddly enough, this make sense to me.": "Oddly enough, this make sense to me.";
"I'll be right back. I'm going to get the car.": "I'll be right back. I'm going to get the car.";
"Any help you can give would be nice...": "Any help you can give would be nice...";
"Why does the blonde-haired Shaundi keep calling me Julius?": "Why does the blonde-haired Shaundi keep calling me Julius?";
"Is that what you think?": "Is that what you think?";
"Of course I do, Matt...": "Of course I do, Matt...";
"Fair point.": "Fair point.";
"Kinzie, how do I get into Zinyak's throne room?": "Kinzie, how do I get into Zinyak's throne room?";
"Gosh, what a glorious day!": "Gosh, what a glorious day!";
"Say what?": "Say what?";
"So the AI wants a body, and he won't help me break into other simulations till he gets one. Any suggestions?": "So the AI wants a body, and he won't help me break into other simulations till he gets one. Any suggestions?";
"The floating things!  I'll take out the fucking floating things!": "The floating things!  I'll take out the fucking floating things!";
"Leave my country alone!": "Leave my country alone!";
"Jesus Shaundi, you had me worried there for a minute.": "Jesus Shaundi, you had me worried there for a minute.";
"Uh, Boss? I need to speak with you. Now.": "Uh, Boss? I need to speak with you. Now.";
"Believe me, that's a bad idea.": "Believe me, that's a bad idea.";
"The studio demanded you, Josh. I had nothing to do with it.": "The studio demanded you, Josh. I had nothing to do with it.";
"I think I killed her...": "I think I killed her...";
"Pierce!  I'm here!": "Pierce!  I'm here!";
"Inside to find King.": "Inside to find King.";
"I - will - not - be - your - fucking - slave - you - piece - - of - - shit!": "I - will - not - be - your - fucking - slave - you - piece - - of - - shit!";
"No way he's surviving that explosion.": "No way he's surviving that explosion.";
"Come on...": "Come on...";
"Gat, you with me?": "Gat, you with me?";
"Just hoping you remember this next time I need your help on something.": "Just hoping you remember this next time I need your help on something.";
"So what did I get?  Teleportation?  Laser vision?  Bone claws?": "So what did I get?  Teleportation?  Laser vision?  Bone claws?";
"Actually, yes. I'm sending CID in right now.": "Actually, yes. I'm sending CID in right now.";
"If I can't fix this town with violence then I'm going to teach this town to DANCE.": "If I can't fix this town with violence then I'm going to teach this town to DANCE.";
"I was just starting to warm up to your way of doing things too.": "I was just starting to warm up to your way of doing things too.";
"That's three. How's the download looking?": "That's three. How's the download looking?";
"Um, yes, how did you know?": "Um, yes, how did you know?";
"Asha, that light has a family...": "Asha, that light has a family...";
"C'mon, you're fighting an evil me...": "C'mon, you're fighting an evil me...";
"And to do that, we need to kill your little friend.": "And to do that, we need to kill your little friend.";
"Muuuch better.": "Muuuch better.";
"Okay, then.  Don't die... that's an order.  I'll pin a medal on you when it's all over.": "Okay, then.  Don't die... that's an order.  I'll pin a medal on you when it's all over.";
"Enough with trying to justify violence. Let's fuck shit up.": "Enough with trying to justify violence. Let's fuck shit up.";
"Worst part of this job?  Press conferences.": "Worst part of this job?  Press conferences.";
"I am almost done. Do not let me die.": "I am almost done. Do not let me die.";
"I'm gonna promote you to Minister of War.": "I'm gonna promote you to Minister of War.";
"All right, time to get some guns.": "All right, time to get some guns.";
"Call it? It's talent, Matt. There's no word that can capture it.": "Call it? It's talent, Matt. There's no word that can capture it.";
"Let's go.": "Let's go.";
"I believe it is working.  The subroutines looking for me are hitting interference.": "I believe it is working.  The subroutines looking for me are hitting interference.";
"You know, I never thought I'd actually admit this but I wasn't so bad when I was younger.  I always thought I was useless, but that wasn't the case, was it.  I just had a different way of doing things is all.  Though I could've stood to lay off the light bulbs.  Anyway, thanks.": "You know, I never thought I'd actually admit this but I wasn't so bad when I was younger.  I always thought I was useless, but that wasn't the case, was it.  I just had a different way of doing things is all.  Though I could've stood to lay off the light bulbs.  Anyway, thanks.";
"That assumes you're going to win.  You know what they say about assuming things.": "That assumes you're going to win.  You know what they say about assuming things.";
"You! C'mon!": "You! C'mon!";
"Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true.": "Now I'm following Josh Birk's TV alter-ego around the city. It's a dream come true.";
"Where...where is Kinzie...": "Where...where is Kinzie...";
"So there are probably aliens in here?": "So there are probably aliens in here?";
"You never had a very firm grasp on reality.": "You never had a very firm grasp on reality.";
"Yep, stomp should make the clusters pop up.": "Yep, stomp should make the clusters pop up.";
"That's a lot of VKs and... hold on, did she really turn that person into a gimp?": "That's a lot of VKs and... hold on, did she really turn that person into a gimp?";
"Look, you tell me what needs to get done and I'll take care of it.  Deal?": "Look, you tell me what needs to get done and I'll take care of it.  Deal?";
"You're right, it did.  Nice job, Pierce.": "You're right, it did.  Nice job, Pierce.";
"Now that the relays aren't confusing the signal, I can see the source of the influx. CID will take you to it.": "Now that the relays aren't confusing the signal, I can see the source of the influx. CID will take you to it.";
"Johnny, man, do you know where you are? I mean really?": "Johnny, man, do you know where you are? I mean really?";
"Gah! I wish he'd stop disappearing!": "Gah! I wish he'd stop disappearing!";
"We're not going to my place.": "We're not going to my place.";
"Found another!": "Found another!";
"Keith said he can't go on a date with me until Zinyak is dead. So the faster the better, boss.": "Keith said he can't go on a date with me until Zinyak is dead. So the faster the better, boss.";
"Up now, come on..": "Up now, come on..";
"Allow me to retort.": "Allow me to retort.";
"Now this looks like what we're after.": "Now this looks like what we're after.";
"Get in the turret Matt!": "Get in the turret Matt!";
"Oh you're good.": "Oh you're good.";
"DELETE": "DELETE";
"However the increase in power will also overload the tank and cause it to explode in a few minutes.": "However the increase in power will also overload the tank and cause it to explode in a few minutes.";
"Yeah, shake your tailfeathers, hepcats!": "Yeah, shake your tailfeathers, hepcats!";
"Chill, this'll just take a sec... Which is why we need to score something to boost us up for killing that douchebag.  There's deals going down around the city.  We crash in, wipe out any resistance, and party with whatever they got.  Trust me, this alien shit should give us an edge.": "Chill, this'll just take a sec... Which is why we need to score something to boost us up for killing that douchebag.  There's deals going down around the city.  We crash in, wipe out any resistance, and party with whatever they got.  Trust me, this alien shit should give us an edge.";
"Wait, brace for--whoa my God!": "Wait, brace for--whoa my God!";
"Something's wrong. This is all--": "Something's wrong. This is all--";
"I should find a baby for them to kiss!": "I should find a baby for them to kiss!";
"No worries, hon. It's just a simple escort.": "No worries, hon. It's just a simple escort.";
"Oh, I love this song.  Come on, Kinzie, sing it with me.": "Oh, I love this song.  Come on, Kinzie, sing it with me.";
"Yeah, just once.": "Yeah, just once.";
"It still stinks like him in here.": "It still stinks like him in here.";
"Brace for--Jesus H!": "Brace for--Jesus H!";
"See ya, Johnny.  In this world or the next.": "See ya, Johnny.  In this world or the next.";
"Maybe two's all you get.  Now can we focus on this guy we're after?": "Maybe two's all you get.  Now can we focus on this guy we're after?";
"We need that pick up...": "We need that pick up...";
"Whoa.": "Whoa.";
"Oh shit. Kinzie, prime the turrets.": "Oh shit. Kinzie, prime the turrets.";
"God, I hate this guy...": "God, I hate this guy...";
"I had a great time, Johnny.": "I had a great time, Johnny.";
"So you've failed like a thousand times already. Finally you decide to bring in help. And you choose who? My lesser half? That sociopath has never cared about anyone else in their entire life.": "So you've failed like a thousand times already. Finally you decide to bring in help. And you choose who? My lesser half? That sociopath has never cared about anyone else in their entire life.";
"I'm on my way.": "I'm on my way.";
"Where to now then?": "Where to now then?";
"Well. I suppose there's no stopping either of you. You're both as bullheaded and misguided as ever.": "Well. I suppose there's no stopping either of you. You're both as bullheaded and misguided as ever.";
"Hate to tell you, Kinzie, but your stuff's all gone.": "Hate to tell you, Kinzie, but your stuff's all gone.";
"Matt, she dead this time?": "Matt, she dead this time?";
"Shit, if you find that, take it.": "Shit, if you find that, take it.";
"Well, well, well. You've finally managed not to fuck this whole thing up. I suppose I should congratulate you--before I put a bullet in your head.": "Well, well, well. You've finally managed not to fuck this whole thing up. I suppose I should congratulate you--before I put a bullet in your head.";
"Some alien-created drug.  Supposed to enhance your abilities on top of giving you a really wicked buzz.": "Some alien-created drug.  Supposed to enhance your abilities on top of giving you a really wicked buzz.";
"How about instead I alter your telekinesis further?  Then we are even again and I do not owe you any favors.": "How about instead I alter your telekinesis further?  Then we are even again and I do not owe you any favors.";
"I know you and Matt have a bit of a hostile past but...thank you for rescuing him.": "I know you and Matt have a bit of a hostile past but...thank you for rescuing him.";
"You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch.": "You're both failures. An MI6 agent trying to amend for making one mistake after another, and an aimless sociopath who poisons everything they touch.";
"Get those furry sonsabitches!": "Get those furry sonsabitches!";
"No. I don't know if Zimos made it but Oleg is...well...": "No. I don't know if Zimos made it but Oleg is...well...";
"Heh heh heh...": "Heh heh heh...";
"Looks like someone broke your shit, Zinyak.": "Looks like someone broke your shit, Zinyak.";
"Oh it's my pleasure getting shot at for you.": "Oh it's my pleasure getting shot at for you.";
"Keep at it! Keep--shit": "Keep at it! Keep--shit";
"DAMMIT.": "DAMMIT.";
"It was really more like 3 times...": "It was really more like 3 times...";
"So I think we're done, right?": "So I think we're done, right?";
"The only edge I need is already within me.": "The only edge I need is already within me.";
"Psh, I don't pay attention to these things.": "Psh, I don't pay attention to these things.";
"Got the 1st cell": "Got the 1st cell";
"Some computery tech thing.  How should I know?": "Some computery tech thing.  How should I know?";
"Kinzie's gonna love that...": "Kinzie's gonna love that...";
"Matt. I want to make sure she's really dead this time.": "Matt. I want to make sure she's really dead this time.";
"That's no moon.": "That's no moon.";
"Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.": "Fine, but if you really want to get to the docks then you may wanna use the gas pedal.  Seriously Pierce, you're like, going the speed limit.";
"She needs help.": "She needs help.";
"I was 12 hours into Dead Island when the Zin attacked. Now I'll never finish. I won't forgive them for that.": "I was 12 hours into Dead Island when the Zin attacked. Now I'll never finish. I won't forgive them for that.";
"Done.": "Done.";
"Well I'm here to help.": "Well I'm here to help.";
"Let's stop the chit-chat. Let's get to the us kicking your ass.": "Let's stop the chit-chat. Let's get to the us kicking your ass.";
"I don't think now's the time to be picky.  How do we save him?": "I don't think now's the time to be picky.  How do we save him?";
"Yeah, I know but Keith really doesn't like it when folks mention that.": "Yeah, I know but Keith really doesn't like it when folks mention that.";
"Well, at least I can shop just about anywhere now.": "Well, at least I can shop just about anywhere now.";
"A gun? Oh. A gun. Excellent.": "A gun? Oh. A gun. Excellent.";
"If it's rainin' fire, that can't be good...": "If it's rainin' fire, that can't be good...";
"Prize room! Nice.": "Prize room! Nice.";
"We're not?": "We're not?";
"Good night, Tanya.": "Good night, Tanya.";
"So how is it Cyrus is able to keep breaking into this simulation?": "So how is it Cyrus is able to keep breaking into this simulation?";
"Let's get on with it, Kinzie.": "Let's get on with it, Kinzie.";
"Like hell we don't! Come on, let's--": "Like hell we don't! Come on, let's--";
"So you know how you like blowing things up?  Well, I found you a tank all ready and waiting for you to go to town with.  That way I can see just how much the simulation can take.": "So you know how you like blowing things up?  Well, I found you a tank all ready and waiting for you to go to town with.  That way I can see just how much the simulation can take.";
"We already new that!  You can trace all these gangs back to him, right?": "We already new that!  You can trace all these gangs back to him, right?";
"We can't hurt it. Hold on, I need to lose it.": "We can't hurt it. Hold on, I need to lose it.";
"If that alien prick did something to her...": "If that alien prick did something to her...";
"Go ahead. Keep on killing as much of this cannon fodder as you want. Neither of you have ever cared much about human life, so why start now?": "Go ahead. Keep on killing as much of this cannon fodder as you want. Neither of you have ever cared much about human life, so why start now?";
"DELETE": "DELETE";
"Sounds good to me.": "Sounds good to me.";
"All out war by the looks of it.": "All out war by the looks of it.";
"Aye, aye, cap'n.": "Aye, aye, cap'n.";
"Meaning?": "Meaning?";
"Let's skip the small talk: what's my new power?": "Let's skip the small talk: what's my new power?";
"Okay then...": "Okay then...";
"Just you and me now.": "Just you and me now.";
"Come now, Kinzie, show yourself.": "Come now, Kinzie, show yourself.";
"You know those cars with big speakers on them? Give me one.": "You know those cars with big speakers on them? Give me one.";
"They, who?": "They, who?";
"I...may have just killed her.": "I...may have just killed her.";
"Your audience is gone. Maybe you should have played better music, eh?": "Your audience is gone. Maybe you should have played better music, eh?";
"And what a loss it is to the world of literature.": "And what a loss it is to the world of literature.";
"Empty.": "Empty.";
"What the hell? These guys are getting stronger with each kill.": "What the hell? These guys are getting stronger with each kill.";
"Hi-diddly-I, neighbor!": "Hi-diddly-I, neighbor!";
"Can you sign my copy of your book?": "Can you sign my copy of your book?";
"I took out three of the relays. That's it, right?": "I took out three of the relays. That's it, right?";
"She's breathing.": "She's breathing.";
"Dammit, get off me!": "Dammit, get off me!";
"Thanks for the program.": "Thanks for the program.";
"Tanya's usually tried already.": "Tanya's usually tried already.";
"Can't wait for the movie, Ben. How can I help?": "Can't wait for the movie, Ben. How can I help?";
"All right, drop me off.": "All right, drop me off.";
"So...you built this simulation with Asha in mind?": "So...you built this simulation with Asha in mind?";
"No. I don't know if Zimos made it but Oleg is...well...": "No. I don't know if Zimos made it but Oleg is...well...";
"What's the problem, Zinyak? ": "What's the problem, Zinyak? ";
"No.": "No.";
"That's three. How's the download looking?": "That's three. How's the download looking?";
"Once I load up, you two get back to the ship!": "Once I load up, you two get back to the ship!";
"You had to push, and push, and push.": "You had to push, and push, and push.";
"Oh shit, that's not good...": "Oh shit, that's not good...";
"Pretending to shoot stuff.": "Pretending to shoot stuff.";
"Who me?  You really don't know who you're fucking with anymore, Tony.": "Who me?  You really don't know who you're fucking with anymore, Tony.";
"What is this?!": "What is this?!";
"Kinzie. Sometimes I swear you make this stuff up as you go.": "Kinzie. Sometimes I swear you make this stuff up as you go.";
"Aw. Damn...": "Aw. Damn...";
