// SR4R voice dict file 1/17
// Lines 1-1000 of 16797
// Format: "English": "Chinese translation";

"Maybe later, alright?": "Maybe later, alright?";
"The American people don't exactly look favorably upon the President committing grand theft auto.": "The American people don't exactly look favorably upon the President committing grand theft auto.";
"Don't tease me, now.": "Don't tease me, now.";
"Cupid's arrows are cruel, CID.": "Cupid's arrows are cruel, CID.";
"Do what, exactly? Huh? Bravado me to death?": "Do what, exactly? Huh? Bravado me to death?";
"Kinzie, she's falling too fast.": "Kinzie, she's falling too fast.";
"Is Kinzie okay?": "Is Kinzie okay?";
"This isn't for your empire, this is for the people of Earth.": "This isn't for your empire, this is for the people of Earth.";
"Thank you.  Now to make my escape...": "Thank you.  Now to make my escape...";
"Kinzie, we got incoming!": "Kinzie, we got incoming!";
"Oh. See, Kinzie, that actually makes it sound fun.": "Oh. See, Kinzie, that actually makes it sound fun.";
"Let's do this, you beautiful monstrosity.": "Let's do this, you beautiful monstrosity.";
"You berks picked a fight with the wrong POTUS!": "You berks picked a fight with the wrong POTUS!";
"Oh, he is pushing my buttons.": "Oh, he is pushing my buttons.";
"Aw, bloody hell!": "Aw, bloody hell!";
"I took out three of the relays. That's it, right?": "I took out three of the relays. That's it, right?";
"Bring on the man-cat...": "Bring on the man-cat...";
"Get to CID! He's overheating!": "Get to CID! He's overheating!";
"That wasn't hard at all.": "That wasn't hard at all.";
"Guess I'm not really in a hurry...to do anything. At all. HEY!": "Guess I'm not really in a hurry...to do anything. At all. HEY!";
"Good.  Shouldn't I be running, though?": "Good.  Shouldn't I be running, though?";
"Feeling a little competition there, Johnny?": "Feeling a little competition there, Johnny?";
"Gotcha!": "Gotcha!";
"Hold on, this isn't an upgrade to my mind powers.": "Hold on, this isn't an upgrade to my mind powers.";
"Let's hope you don't.": "Let's hope you don't.";
"Oh, I'm gonna mount you over the fireplace, you alien fuck.": "Oh, I'm gonna mount you over the fireplace, you alien fuck.";
"Okay, is this -really- the time?": "Okay, is this -really- the time?";
"The Cyprian Order are a sect of brave soldiers waging a clandestine war against the creatures of the night.": "The Cyprian Order are a sect of brave soldiers waging a clandestine war against the creatures of the night.";
"Oh shit! Matt get back!": "Oh shit! Matt get back!";
"It's not a proper party till the Murderbots arrive.": "It's not a proper party till the Murderbots arrive.";
"DELETE": "DELETE";
"I'm gonna snap you, you sonofa...": "I'm gonna snap you, you sonofa...";
"Now the STATUE has a name?": "Now the STATUE has a name?";
"Whoa, wait. You saved Keith David before me?": "Whoa, wait. You saved Keith David before me?";
"A dead pirate with a black parrot?": "A dead pirate with a black parrot?";
"Oh sweet, sweet, robot...I'm never letting you go...": "Oh sweet, sweet, robot...I'm never letting you go...";
"So much for destiny...": "So much for destiny...";
"Goodness me, what a dream.": "Goodness me, what a dream.";
"The fish--?  Please do not change the subject.": "The fish--?  Please do not change the subject.";
"On one condition.": "On one condition.";
"Anything you say, Shaundi.": "Anything you say, Shaundi.";
"There we are!  Found where to put the virus.  Head there and protect the upload.": "There we are!  Found where to put the virus.  Head there and protect the upload.";
"Oh sure, 'cause it's me getting shot at.": "Oh sure, 'cause it's me getting shot at.";
"Do you have a place I can test this?": "Do you have a place I can test this?";
"Matthew, be careful...": "Matthew, be careful...";
"That's a question you should ask yourself, Zinyak.": "That's a question you should ask yourself, Zinyak.";
"MATT! Quit mucking about!": "MATT! Quit mucking about!";
"Shut the fuck up!": "Shut the fuck up!";
"When did you find the time to work that out?": "When did you find the time to work that out?";
"C'mon, it's cute.": "C'mon, it's cute.";
"Dammit.  I'm coming, Ben!": "Dammit.  I'm coming, Ben!";
"Actually, Miss Press Secretary, that's your best suggestion since I got here..": "Actually, Miss Press Secretary, that's your best suggestion since I got here..";
"Hurry! I'm being held captive by...": "Hurry! I'm being held captive by...";
"I'mgonnashoottheconduit!": "I'mgonnashoottheconduit!";
"Lights. Out.": "Lights. Out.";
"Good point.": "Good point.";
"I got my Second Amendment rights.": "I got my Second Amendment rights.";
"Johnny you better be okay...": "Johnny you better be okay...";
"So we are pals now?": "So we are pals now?";
"They?": "They?";
"Paul?  You named it Paul?!": "Paul?  You named it Paul?!";
"What is this?!  Am I fighting or throwing a block party?": "What is this?!  Am I fighting or throwing a block party?";
"Die, mascots, die!": "Die, mascots, die!";
"Whose army is this, really?": "Whose army is this, really?";
"We are close now.": "We are close now.";
"Two heads are better than one, Kinzie. Set it up.": "Two heads are better than one, Kinzie. Set it up.";
"Kinzie, the door is stuck...": "Kinzie, the door is stuck...";
"Where to now?": "Where to now?";
"This is so much cooler than Marine 1": "This is so much cooler than Marine 1";
"That's a question you should ask yourself.": "That's a question you should ask yourself.";
"Slow up.  Where you think you're goin'?": "Slow up.  Where you think you're goin'?";
"Well how did you get out?": "Well how did you get out?";
"Does it matter which one?": "Does it matter which one?";
"Believe me, that's a bad idea.": "Believe me, that's a bad idea.";
"He's made the tower invulnerable!  Hang on, I'll find a work around.": "He's made the tower invulnerable!  Hang on, I'll find a work around.";
"Oh god. Come on...": "Oh god. Come on...";
"Kinzie, can't you shut him up?": "Kinzie, can't you shut him up?";
"*sigh*  Kinzie, stop talking.": "*sigh*  Kinzie, stop talking.";
"Well hey, there's always the RPGs out on the pool deck.": "Well hey, there's always the RPGs out on the pool deck.";
"So.  NyteBlayde.  What more is there? A girlfriend, a love interest...?": "So.  NyteBlayde.  What more is there? A girlfriend, a love interest...?";
"No, I genuinely want to know.": "No, I genuinely want to know.";
"Do not worry, I'll be there, blah blah blah! FUCK.": "Do not worry, I'll be there, blah blah blah! FUCK.";
"Mash the button and...": "Mash the button and...";
"Ambushed on the way to the main villain. Nice, Matt. Good rising action.": "Ambushed on the way to the main villain. Nice, Matt. Good rising action.";
"Whoa!": "Whoa!";
"Stay on target!": "Stay on target!";
"So you and old you had a talk then?": "So you and old you had a talk then?";
"Too right I do... I was just a kid when I came here.  Hell I was too scared to talk back then.": "Too right I do... I was just a kid when I came here.  Hell I was too scared to talk back then.";
"Then came Zinyak.  He snatched me from right out of my garage, thinking I knew how to stop the Saints.  He should've done a bit more research first, but I guess he was too busy trying to conquer Earth.  I got myself out of the Domination Matrix only to find I was trapped on his damn ship.  At least now I have the boss here to help me.  I think we have a real shot at making it home.": "Then came Zinyak.  He snatched me from right out of my garage, thinking I knew how to stop the Saints.  He should've done a bit more research first, but I guess he was too busy trying to conquer Earth.  I got myself out of the Domination Matrix only to find I was trapped on his damn ship.  At least now I have the boss here to help me.  I think we have a real shot at making it home.";
"Oh, I got something special planned for him.": "Oh, I got something special planned for him.";
"Well...": "Well...";
"We have a challenge to the throne here!": "We have a challenge to the throne here!";
"*struggling*": "*struggling*";
"Well, before he lost his mind, he was my Vice President.": "Well, before he lost his mind, he was my Vice President.";
"Well nobody could replace you, Johnny.": "Well nobody could replace you, Johnny.";
"Aim for the mascots!": "Aim for the mascots!";
"DELETE": "DELETE";
"Yep, I did.  What's wrong with that?": "Yep, I did.  What's wrong with that?";
"This one's for Uncle Sam!": "This one's for Uncle Sam!";
"You can fly, CID.": "You can fly, CID.";
"Why would I waste *two* bullets on those lights when I can just use *one* on the guard?": "Why would I waste *two* bullets on those lights when I can just use *one* on the guard?";
"Do you expect the entire White House was demolished?": "Do you expect the entire White House was demolished?";
"I'm coming Johnny!": "I'm coming Johnny!";
"Fine, but I better get something outta this.": "Fine, but I better get something outta this.";
"DELETE": "DELETE";
"Well, shoot.": "Well, shoot.";
"Where's Kinzie, Keith?": "Where's Kinzie, Keith?";
"Not usually, no.": "Not usually, no.";
"Now, now. Not so fast.": "Now, now. Not so fast.";
"Oh shit! Matt get back!": "Oh shit! Matt get back!";
"You seem strangely calm about this whole thing, Kinzie.  I expected you to be on my case about how without these your Key won't work and I better not screw this up, blah blah blah.": "You seem strangely calm about this whole thing, Kinzie.  I expected you to be on my case about how without these your Key won't work and I better not screw this up, blah blah blah.";
"Deal with who?": "Deal with who?";
"Whoa, now!  I'm sorry! Just tell me how I get out.": "Whoa, now!  I'm sorry! Just tell me how I get out.";
"Admittedly, my mental projection of him may be a bit skewed.": "Admittedly, my mental projection of him may be a bit skewed.";
"Inside, now!": "Inside, now!";
"Glad to have Ben back. I'm really looking forward to his next book.": "Glad to have Ben back. I'm really looking forward to his next book.";
"The only edge I need is already within me.": "The only edge I need is already within me.";
"Don't get too full of yourself now.": "Don't get too full of yourself now.";
"Though to be honest, I'm more worried about what we're gonna find when Kinzie links up your portal.": "Though to be honest, I'm more worried about what we're gonna find when Kinzie links up your portal.";
"Stop it Keith!": "Stop it Keith!";
"I pulled your ass out of prison, Matt, the least you can do is help protect the ship!": "I pulled your ass out of prison, Matt, the least you can do is help protect the ship!";
"Nice, Asha. Real nice.": "Nice, Asha. Real nice.";
"I wasn't criticizing, just saying.": "I wasn't criticizing, just saying.";
"Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me.": "Asha, I'm pretty much a superhero. I'm set for whatever you can throw at me.";
"Kink? Kink, I get. But this?": "Kink? Kink, I get. But this?";
"I do like new weapons.": "I do like new weapons.";
"It's charged. What next?": "It's charged. What next?";
"Yeah, what's that?": "Yeah, what's that?";
"Let's get out of here.": "Let's get out of here.";
"Zinyak?  Aw, crap.": "Zinyak?  Aw, crap.";
"It was good, right? Like really good? Be honest.": "It was good, right? Like really good? Be honest.";
"Damn it!": "Damn it!";
"Ben, you all right?": "Ben, you all right?";
"It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.": "It would've been better if Shaundi stayed behind and Gat lived.  It's not like she does anything useful except bitch all the time.";
"What is...what is happening?": "What is...what is happening?";
"Is there more to this nightmare realm than shooting lights and clueless guards?": "Is there more to this nightmare realm than shooting lights and clueless guards?";
"Most of all, this is for me.": "Most of all, this is for me.";
"Well, hellooo...": "Well, hellooo...";
"Whoa, we're breaking pinatas now?": "Whoa, we're breaking pinatas now?";
"How's that shield coming, CID?": "How's that shield coming, CID?";
"It was on this plane where Shaundi and I lost our best friend.  Johnny Gat helped found the Saints originally, and Shaundi looked up to him ever since she joined.  He sacrificed himself to save us.  Now I want our friend back.": "It was on this plane where Shaundi and I lost our best friend.  Johnny Gat helped found the Saints originally, and Shaundi looked up to him ever since she joined.  He sacrificed himself to save us.  Now I want our friend back.";
"*struggling*": "*struggling*";
"Wait, seriously?": "Wait, seriously?";
"Oh, I got something special planned for him.": "Oh, I got something special planned for him.";
"Are you fucking serious?": "Are you fucking serious?";
"Look out, here comes Paul!": "Look out, here comes Paul!";
"Fuck me. What was that?": "Fuck me. What was that?";
"DELETE": "DELETE";
"Sounds good.": "Sounds good.";
"Right...": "Right...";
"What was that sexist crap Cyrus was spouting?": "What was that sexist crap Cyrus was spouting?";
"You'll find her in the park, Ben.": "You'll find her in the park, Ben.";
"Shit. Wh-what's it doing, Kinzie?": "Shit. Wh-what's it doing, Kinzie?";
"C'mon, Ben, tell me you're okay.": "C'mon, Ben, tell me you're okay.";
"DELETE": "DELETE";
"You blew it up!": "You blew it up!";
"Oh, good point.": "Oh, good point.";
"That's a face I hoped I'd never see again.": "That's a face I hoped I'd never see again.";
"God, you and Kinzie both with your technobabble...": "God, you and Kinzie both with your technobabble...";
"I'm sure you'll do a...fine job.": "I'm sure you'll do a...fine job.";
"You really think I could've made up something like that?": "You really think I could've made up something like that?";
"I have to shoot the light and then him. I got it.": "I have to shoot the light and then him. I got it.";
"You all right with this bunch?": "You all right with this bunch?";
"Alright, I like the sound of that.  What is it you need?": "Alright, I like the sound of that.  What is it you need?";
"Who lives and who dies?": "Who lives and who dies?";
"Oh, you don't like that, do you now?": "Oh, you don't like that, do you now?";
"We've received a threat, sir. We need you to stay away.": "We've received a threat, sir. We need you to stay away.";
"No, ma'am.": "No, ma'am.";
"Pretty sure Kinzie saved a copy of her somewhere.": "Pretty sure Kinzie saved a copy of her somewhere.";
"Code like code for the simulation? What's it do?": "Code like code for the simulation? What's it do?";
"Thanks for telling me in advance and not after I stole one of their devices and took to a supposedly safe spot.": "Thanks for telling me in advance and not after I stole one of their devices and took to a supposedly safe spot.";
"Um... hi...": "Um... hi...";
"Like that's gonna stop me.": "Like that's gonna stop me.";
"I have to shoot the light and then him. I got it.": "I have to shoot the light and then him. I got it.";
"So can we talk about why it is you have to kill me again?": "So can we talk about why it is you have to kill me again?";
"So can we talk about why it is you have to kill me again?": "So can we talk about why it is you have to kill me again?";
"We should probably go.": "We should probably go.";
"Yeah, don't.": "Yeah, don't.";
"You better believe we killed him first. After that, though...": "You better believe we killed him first. After that, though...";
"I think I know how you can beat Paul.": "I think I know how you can beat Paul.";
"Why would you want to help me and how do you know who I even am?": "Why would you want to help me and how do you know who I even am?";
"Zinyak has an old program he likes running around the city.  I say you kill it.": "Zinyak has an old program he likes running around the city.  I say you kill it.";
"That's MINE!": "That's MINE!";
"You really don't need to tell me that, Kinzie, but thanks.": "You really don't need to tell me that, Kinzie, but thanks.";
"Gat, you with me?": "Gat, you with me?";
"I'm ending you, Saint! Once and for all!": "I'm ending you, Saint! Once and for all!";
"You gonna be okay with them?": "You gonna be okay with them?";
"Boy, they really don't like you.  Just don't get yourself killed, alright?  I don't think Kinzie would be very happy with me.": "Boy, they really don't like you.  Just don't get yourself killed, alright?  I don't think Kinzie would be very happy with me.";
"What sort of keys do you have, Kinzie?  Mine don't come in parts.": "What sort of keys do you have, Kinzie?  Mine don't come in parts.";
"Up ya go!": "Up ya go!";
"You honestly believe a place exists where I don't call the shots?": "You honestly believe a place exists where I don't call the shots?";
"It's called raw talent, Matt.  And that wasn't the virus, that was something I was born to do.": "It's called raw talent, Matt.  And that wasn't the virus, that was something I was born to do.";
"Cardboard boxes? You're serious?": "Cardboard boxes? You're serious?";
"I've constructed a door that'll allow your mind to get out of the simulation and back into your body.  Head toward it.": "I've constructed a door that'll allow your mind to get out of the simulation and back into your body.  Head toward it.";
"Shit. This thing's tough...": "Shit. This thing's tough...";
"Well, well. There he is. Hey, why is he so much younger and...not in a uniform.": "Well, well. There he is. Hey, why is he so much younger and...not in a uniform.";
"Ha! I got him!": "Ha! I got him!";
"As IF--!": "As IF--!";
"Don't push it.": "Don't push it.";
"Hey Maero, how's Jessica?": "Hey Maero, how's Jessica?";
"Are you really abandoning--": "Are you really abandoning--";
"Honey, is there some reason you WANT me to get shot?": "Honey, is there some reason you WANT me to get shot?";
"Not anymore.  We've got nothing left in common.": "Not anymore.  We've got nothing left in common.";
"I was kidding!": "I was kidding!";
"All right, I'll give this plan of yours one more try then we're helping Shaundi.  The, uh, other Shaundi.": "All right, I'll give this plan of yours one more try then we're helping Shaundi.  The, uh, other Shaundi.";
"Are you fucking kidding me?": "Are you fucking kidding me?";
"Oh hell no!": "Oh hell no!";
"Now the STATUE has a name?": "Now the STATUE has a name?";
"Different, eh? How so?": "Different, eh? How so?";
"You're not?": "You're not?";
"Ha! You assholes pissed off the wrong POTUS!": "Ha! You assholes pissed off the wrong POTUS!";
"The doors are nice too.": "The doors are nice too.";
"No one's coming to save you now.": "No one's coming to save you now.";
"Nope, never mind, you're talking gibberish again.": "Nope, never mind, you're talking gibberish again.";
"So I just bang my foot down?": "So I just bang my foot down?";
"I do.  IN ONE OF THE CRATES AROUND THE ARMORY.": "I do.  IN ONE OF THE CRATES AROUND THE ARMORY.";
"I knew Genki couldn't be too far behind.": "I knew Genki couldn't be too far behind.";
"I tagged a target for you. I want to see you wipe this sucker out.": "I tagged a target for you. I want to see you wipe this sucker out.";
"Thanks for sparing me the monologue on how careful I need to be...": "Thanks for sparing me the monologue on how careful I need to be...";
"Pierce, honey, I don't think really had to--": "Pierce, honey, I don't think really had to--";
"A dead pirate with a black parrot?": "A dead pirate with a black parrot?";
"Prepare to die.": "Prepare to die.";
"You're right, it did.  Nice job, Pierce.": "You're right, it did.  Nice job, Pierce.";
"Glad you could make it back! You can give me my superpowers now.": "Glad you could make it back! You can give me my superpowers now.";
"Or maybe it just doesn't do anything like I said.": "Or maybe it just doesn't do anything like I said.";
"Done.": "Done.";
"Ow, you--": "Ow, you--";
"I had a great time, Johnny.": "I had a great time, Johnny.";
"Die, mascots, die!": "Die, mascots, die!";
"MI6, huh? All right. I'm game.": "MI6, huh? All right. I'm game.";
"You...": "You...";
"You gettin' off on this, Kinzie?": "You gettin' off on this, Kinzie?";
"I feel like a toilet at a bus stop.": "I feel like a toilet at a bus stop.";
"Oh what fools these mortals be!": "Oh what fools these mortals be!";
"You did it Matt!": "You did it Matt!";
"Ooh. Sounds serious.": "Ooh. Sounds serious.";
"I suppose I should not expect this to be easy.": "I suppose I should not expect this to be easy.";
"Yeah, but I'm still driving.": "Yeah, but I'm still driving.";
"Kinzie, the kids are at it again.": "Kinzie, the kids are at it again.";
"Right. I'll meet up with Johnny there.": "Right. I'll meet up with Johnny there.";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.";
"Same difference.": "Same difference.";
"If they're working for Tanya, I don't expect them to go quietly.": "If they're working for Tanya, I don't expect them to go quietly.";
"One bullshit trick after another.": "One bullshit trick after another.";
"Josh Birk. How's life after NyteBlayde?": "Josh Birk. How's life after NyteBlayde?";
"DELETE": "DELETE";
"Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.": "Kinzie's really smart. It kinda freaks me out how she always knows so much more than everyone else. But we wouldn't be able to take the fight to Zinyak without her.";
"Then come back to the ship.  You're going to need help.": "Then come back to the ship.  You're going to need help.";
"I am curious, can this Artificial Intelligence have a body in the real world too?": "I am curious, can this Artificial Intelligence have a body in the real world too?";
"Cyrus has soldiers everywhere so be alert.": "Cyrus has soldiers everywhere so be alert.";
"Deal.": "Deal.";
"Yes, but Kinzie says she has a plan.": "Yes, but Kinzie says she has a plan.";
"Yeah, what's that?": "Yeah, what's that?";
"They keep coming!": "They keep coming!";
"You both sit tight. I'll be back for you.": "You both sit tight. I'll be back for you.";
"Can't you speed things up?": "Can't you speed things up?";
"Don't bet on it. I know he's still here somewhere.": "Don't bet on it. I know he's still here somewhere.";
"Since King has be reliving this over and over again it stands to reason that the parameters of the encounter should remain the same.": "Since King has be reliving this over and over again it stands to reason that the parameters of the encounter should remain the same.";
"Let me guess. I'm shooting the light.": "Let me guess. I'm shooting the light.";
"Let's stop the chit-chat. Let's get to the us kicking your ass.": "Let's stop the chit-chat. Let's get to the us kicking your ass.";
"This...getting a little weird for anyone else or just me?": "This...getting a little weird for anyone else or just me?";
"Ooof!": "Ooof!";
"DELETE": "DELETE";
"Well done. If you throw me into the generator again, I will continue hacking the shield on the relay.": "Well done. If you throw me into the generator again, I will continue hacking the shield on the relay.";
"So unlock them.": "So unlock them.";
"Don't let them get in this room!": "Don't let them get in this room!";
"Up ya go!": "Up ya go!";
"Can you call me NyteBlayde?": "Can you call me NyteBlayde?";
"Yeah.": "Yeah.";
"Pierce! Ben! We have to go!": "Pierce! Ben! We have to go!";
"Good job getting Kinzie back. Though, shit, she seems tweaked about whatever happened there.": "Good job getting Kinzie back. Though, shit, she seems tweaked about whatever happened there.";
"What...are you...": "What...are you...";
"No more shield, Zinyak.  No more armor.": "No more shield, Zinyak.  No more armor.";
"Pierce and Ben are getting into that car. Let's cover them!": "Pierce and Ben are getting into that car. Let's cover them!";
"Not yet, Kinzie.": "Not yet, Kinzie.";
"Oh man. Am I glad that's over.": "Oh man. Am I glad that's over.";
"Yeah, and the Saints are my crew so get outta the way before I remind you why.": "Yeah, and the Saints are my crew so get outta the way before I remind you why.";
"I want to be compensated for my contribution.": "I want to be compensated for my contribution.";
"Be fair, she has a point.": "Be fair, she has a point.";
"Hey, little lady, glad you're okay.": "Hey, little lady, glad you're okay.";
"I'm curious, is there any way to get this AI a body in the real world too?": "I'm curious, is there any way to get this AI a body in the real world too?";
"Holy shit... I'm just an actor, how many of you are there?": "Holy shit... I'm just an actor, how many of you are there?";
"Hey Kinzie, you wanna fuck?": "Hey Kinzie, you wanna fuck?";
"I don't have any guns.": "I don't have any guns.";
"Huh, looks like she's spiced this place up a bit.": "Huh, looks like she's spiced this place up a bit.";
"They've blocked the way out.": "They've blocked the way out.";
"Got it.": "Got it.";
"Dammit, get off of me!": "Dammit, get off of me!";
"Scan fast.": "Scan fast.";
"Zinyak'll have to try harder than that....": "Zinyak'll have to try harder than that....";
