// SR4R voice dict file 8/17
// Lines 7001-8000 of 16797
// Format: "English": "Chinese translation";

"Come on. Come on.": "Come on. Come on.";
"Can't we just tear apart the room to find the generator?": "Can't we just tear apart the room to find the generator?";
"Maximum power to the rift has been achieved.": "Maximum power to the rift has been achieved.";
"Gotcha!": "Gotcha!";
"Do it and I'll rename the Internet after you.": "Do it and I'll rename the Internet after you.";
"We kill the bastard.": "We kill the bastard.";
"Here we go.": "Here we go.";
"You can do it Matt!": "You can do it Matt!";
"I thought you'd be on my case about how important the key is...": "I thought you'd be on my case about how important the key is...";
"Ok, the Zin equipment around here has the parts we need.  Once you collect enough, drop it off with Gat.": "Ok, the Zin equipment around here has the parts we need.  Once you collect enough, drop it off with Gat.";
"I don't know, it's like she's... everywhere.": "I don't know, it's like she's... everywhere.";
"DELETE": "DELETE";
"Why have I not heard until now that Cyrus is breaking into the simulation? ": "Why have I not heard until now that Cyrus is breaking into the simulation? ";
"Okay, I think I scared her away then.  ": "Okay, I think I scared her away then.  ";
"She's a level of depravity beyond what I can understand.": "She's a level of depravity beyond what I can understand.";
"Come on, legs. We can do it.": "Come on, legs. We can do it.";
"Course I hear you! Which is kinda freaking me out since I don't have a phone.": "Course I hear you! Which is kinda freaking me out since I don't have a phone.";
"What the hell?!": "What the hell?!";
"Pierce, I think we're need something bigger than guns.": "Pierce, I think we're need something bigger than guns.";
"Well if it isn't the Stilwater default player...": "Well if it isn't the Stilwater default player...";
"Second round complete. See me if you think you can handle the last part.": "Second round complete. See me if you think you can handle the last part.";
"Look out, Matt!": "Look out, Matt!";
"Did I hear that right?": "Did I hear that right?";
"What's he got? What's he pressing? Oh shit.": "What's he got? What's he pressing? Oh shit.";
"I think we got them all.": "I think we got them all.";
"Nope.": "Nope.";
"Y'know, Miller, if it was Kinzie in your seat, I'd be driving a tank by now.": "Y'know, Miller, if it was Kinzie in your seat, I'd be driving a tank by now.";
"What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already.": "What is Zinyak's fascination with Genki? Why don't the two of them just make a baby already.";
"What were we supposed to assume?": "What were we supposed to assume?";
"If you're gonna be King, you have to want it more than anything!": "If you're gonna be King, you have to want it more than anything!";
"The airport!  That's where's he's at, of course!": "The airport!  That's where's he's at, of course!";
"No, no, believe me, that's for the best.  Now let's get you out of here.": "No, no, believe me, that's for the best.  Now let's get you out of here.";
"DELETE": "DELETE";
"All right! Another example of good, consistent shooting.": "All right! Another example of good, consistent shooting.";
"You ARE getting me out of here, right?": "You ARE getting me out of here, right?";
"I gotta be close...": "I gotta be close...";
"Then what'd you have in mind?": "Then what'd you have in mind?";
"I hope you're on your way, Kinzie.": "I hope you're on your way, Kinzie.";
"DELETE": "DELETE";
"No.  I'm never able to find him.": "No.  I'm never able to find him.";
"No sign of Johnny yet though. Where the hell are you?": "No sign of Johnny yet though. Where the hell are you?";
"If you were that good, I'd be out of here.": "If you were that good, I'd be out of here.";
"Looks like it worked!": "Looks like it worked!";
"Right.": "Right.";
"Kinzie, can't you shut him up?": "Kinzie, can't you shut him up?";
"Is MI6 really called upon to escort TV correspondents on shopping trips?": "Is MI6 really called upon to escort TV correspondents on shopping trips?";
"So?": "So?";
"Thank god.": "Thank god.";
"Magarac? What is that? Scottish?": "Magarac? What is that? Scottish?";
"And what do you two propose we do now?": "And what do you two propose we do now?";
"A rift has opened. Complete its challenge in winning style.": "A rift has opened. Complete its challenge in winning style.";
"To the gentleman in latex?": "To the gentleman in latex?";
"No. I don't know if Zimos made it but Oleg is... well...": "No. I don't know if Zimos made it but Oleg is... well...";
"Umm, Kinzie, all your shit's gone.": "Umm, Kinzie, all your shit's gone.";
"Wait--what?": "Wait--what?";
"Oh man. I think something's coming up...oh god.": "Oh man. I think something's coming up...oh god.";
"Guessing I can find clusters with this power?": "Guessing I can find clusters with this power?";
"Right.  So where IS he?": "Right.  So where IS he?";
"Whoa!": "Whoa!";
"These guards are terrible. Why would evil me hire such idiots?": "These guards are terrible. Why would evil me hire such idiots?";
"Did he just turn into some kind of...Super-Genki?": "Did he just turn into some kind of...Super-Genki?";
"Since when did the Vice Kings have giant robots?": "Since when did the Vice Kings have giant robots?";
"That's not my usual style.": "That's not my usual style.";
"Over there, those guys are loading it up!": "Over there, those guys are loading it up!";
"Well, at least I'm not wearing a ball gag.": "Well, at least I'm not wearing a ball gag.";
"Oh. See, Kinzie, that actually makes it sound fun.": "Oh. See, Kinzie, that actually makes it sound fun.";
"Well, to be fair, you had two parts of yourself in that simulation.  I'm really not sure which one this'll access.": "Well, to be fair, you had two parts of yourself in that simulation.  I'm really not sure which one this'll access.";
"This an all-day thing or...?": "This an all-day thing or...?";
"Take King and head back to the portal.  I'll get you--": "Take King and head back to the portal.  I'll get you--";
"That can't be good...": "That can't be good...";
"DELETE": "DELETE";
"Catch the golden orb?  Do I need to ride a broom for this?": "Catch the golden orb?  Do I need to ride a broom for this?";
"Let me guess...": "Let me guess...";
"Not gonna happen.": "Not gonna happen.";
"Let me guess, you want something from me.": "Let me guess, you want something from me.";
"Miller, talk to me.  Miller?  MILLER!": "Miller, talk to me.  Miller?  MILLER!";
"Okay, why is Pierce fighting an energy drink?": "Okay, why is Pierce fighting an energy drink?";
"Better lay low.": "Better lay low.";
"Ok, now use that power to throw things at the Warden and take down his shields.": "Ok, now use that power to throw things at the Warden and take down his shields.";
"Yeah...give the disembodied voice guns....that doesn't have movie of the week written all over it...": "Yeah...give the disembodied voice guns....that doesn't have movie of the week written all over it...";
"Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot": "Look I gotta tell you something....it always drove me crazy that you had ex's in every city and were willing to go on a dating show but not once did you ever give me a shot";
"Oh *BEEP*!": "Oh *BEEP*!";
"I never did like that play...": "I never did like that play...";
"You think you can stop me?  When I'm through, this whole city will be mine.": "You think you can stop me?  When I'm through, this whole city will be mine.";
"Can't we go around for once?": "Can't we go around for once?";
"Man, I don't even ask anymore.  All I know is we have to get Paul to follow.": "Man, I don't even ask anymore.  All I know is we have to get Paul to follow.";
"Philippe...": "Philippe...";
"Shit.  Can you find a safe place to take it down?": "Shit.  Can you find a safe place to take it down?";
"Um. Is that how it's being delivered?": "Um. Is that how it's being delivered?";
"The Zin are falling before the might of these contestants.": "The Zin are falling before the might of these contestants.";
"What the hell is going on here?  Hey, get off me!": "What the hell is going on here?  Hey, get off me!";
"Stop.": "Stop.";
"I know, man. I know.": "I know, man. I know.";
"Hey, I tried to warn him.": "Hey, I tried to warn him.";
"Scan fast.": "Scan fast.";
"Giving me a bigger target?  Fine.": "Giving me a bigger target?  Fine.";
"Listen, if Matt Miller can survive being by himself, Johnny's not having any problems...": "Listen, if Matt Miller can survive being by himself, Johnny's not having any problems...";
"Sharpen your murder skills on some Zin troopers. Make it hurt.": "Sharpen your murder skills on some Zin troopers. Make it hurt.";
"All good. Kinzie has a plan.": "All good. Kinzie has a plan.";
"Yeah.  There's a helicopter up here I'm gonna climb to.  Think you'll be okay on your own?": "Yeah.  There's a helicopter up here I'm gonna climb to.  Think you'll be okay on your own?";
"C'mon, you always pull your weight. *pauses* Shaundi?": "C'mon, you always pull your weight. *pauses* Shaundi?";
"Not gonna lie, kind of a fan of the tank.": "Not gonna lie, kind of a fan of the tank.";
"Ah, the Three-Count -- where the one-armed bandits are sometimes literally one-armed bandits.": "Ah, the Three-Count -- where the one-armed bandits are sometimes literally one-armed bandits.";
"Asha, is that...a person?": "Asha, is that...a person?";
"Kinzie... what's going on...": "Kinzie... what's going on...";
"Good.  Your reward is waiting.  Come claim it.": "Good.  Your reward is waiting.  Come claim it.";
"I can handle whatever that asshole throws at me.": "I can handle whatever that asshole throws at me.";
"How long is this gonna take?": "How long is this gonna take?";
"What's going on...": "What's going on...";
"Y'know, if I'd known wanton destruction got you this excited...": "Y'know, if I'd known wanton destruction got you this excited...";
"Seems a bit risky, me in a gun store.  You sure they'll sell to me?": "Seems a bit risky, me in a gun store.  You sure they'll sell to me?";
"Keith sold out someone very important to me. Whatever trance he's in, I need him snapped out of it.": "Keith sold out someone very important to me. Whatever trance he's in, I need him snapped out of it.";
"I was kidding!": "I was kidding!";
"So how do we do this?": "So how do we do this?";
"Always one more thing, isn't there?": "Always one more thing, isn't there?";
"The energy flow is being regulated.  Opening breakers should increase the power.": "The energy flow is being regulated.  Opening breakers should increase the power.";
"Gotta be careful who you get in bed with, man. You never know who will turn on you.": "Gotta be careful who you get in bed with, man. You never know who will turn on you.";
"You gonna be okay with these guys?": "You gonna be okay with these guys?";
"Trying to stop me, huh, Zinyak?": "Trying to stop me, huh, Zinyak?";
"*sigh * Revenge for Earth...": "*sigh * Revenge for Earth...";
"This incarnation of Cyrus came from my subconscious. I can only assume he took some of my knowledge about how this whole thing works with him.": "This incarnation of Cyrus came from my subconscious. I can only assume he took some of my knowledge about how this whole thing works with him.";
"She's breathing.": "She's breathing.";
"That would be a good idea.": "That would be a good idea.";
"Hey, Veep, how are things?": "Hey, Veep, how are things?";
"You blew it up!": "You blew it up!";
"Excuse me?": "Excuse me?";
"Pretending to shoot stuff.": "Pretending to shoot stuff.";
"If you want to speak with my husband, he'll be home this afternoon.": "If you want to speak with my husband, he'll be home this afternoon.";
"Heh, the simulation didn't like that at all.": "Heh, the simulation didn't like that at all.";
"Hang on now.  Is that Maero?": "Hang on now.  Is that Maero?";
"What the hell for?": "What the hell for?";
"While I blame Lin for her part in what happened, I haven't forgotten the fact that she had help.  It was that upstart from Saints Row who did the dirty work for her: raiding my house, killing my nephew, and killing me.  How could I have let it all happen?  I told Joseph he had a traitor among his people too late.  If I had only acted sooner, perhaps the Saints would have been wiped out instead.": "While I blame Lin for her part in what happened, I haven't forgotten the fact that she had help.  It was that upstart from Saints Row who did the dirty work for her: raiding my house, killing my nephew, and killing me.  How could I have let it all happen?  I told Joseph he had a traitor among his people too late.  If I had only acted sooner, perhaps the Saints would have been wiped out instead.";
"Right on.": "Right on.";
"Laser eye?": "Laser eye?";
"DELETE": "DELETE";
"Laser eye?": "Laser eye?";
"NOT YOU. HIM.": "NOT YOU. HIM.";
"But you stabbed me through the heart! Metaphorically.": "But you stabbed me through the heart! Metaphorically.";
"You got it. What can you tell me about the Zin invasion?": "You got it. What can you tell me about the Zin invasion?";
"Shit!": "Shit!";
"How many generators are there, Matt?": "How many generators are there, Matt?";
"Right.  I think I scared her off a few minutes ago.  Sorry.": "Right.  I think I scared her off a few minutes ago.  Sorry.";
"Fortunately, we had Kinzie, and Zimos, and Oleg, and...": "Fortunately, we had Kinzie, and Zimos, and Oleg, and...";
"DELETE": "DELETE";
"What did they do now?": "What did they do now?";
"Right on.": "Right on.";
"The sooner we lose these guys, the sooner we can get back to the plan.": "The sooner we lose these guys, the sooner we can get back to the plan.";
"Conduit?": "Conduit?";
"Very well...": "Very well...";
"Guess I don't have a choice...": "Guess I don't have a choice...";
"Than you.  Now it's time to beat feet...": "Than you.  Now it's time to beat feet...";
"Tanya? No. Amateur night? YES.": "Tanya? No. Amateur night? YES.";
"Puerto Rican Thunder God?  He was sweet and all, but performance didn't live up to the name.": "Puerto Rican Thunder God?  He was sweet and all, but performance didn't live up to the name.";
"Wait, you took my line.": "Wait, you took my line.";
"Shit? What do you mean shit?": "Shit? What do you mean shit?";
"Hang on a minute.": "Hang on a minute.";
"If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.": "If someone had told me twenty years ago that when I grew up, I'd rise through the ranks of a street gang, found a media empire, become the President of the United States, then get captured by aliens, well...I'd probably have believed them. I was pretty gullible as a kid.";
"That's a lot of fucking people, Kinzie.": "That's a lot of fucking people, Kinzie.";
"Use this time to kill more Zin.": "Use this time to kill more Zin.";
"*Opposites Attract Lyrics*": "*Opposites Attract Lyrics*";
"Yeah, I think I scared her away earlier.  Sorry.": "Yeah, I think I scared her away earlier.  Sorry.";
"Dunno. I'm usually too busy being awesome to be bored.": "Dunno. I'm usually too busy being awesome to be bored.";
"Well...I'll have my people call your people, Josh.": "Well...I'll have my people call your people, Josh.";
"Woo. Tingly.": "Woo. Tingly.";
"I'm rethinking my dildo comment.": "I'm rethinking my dildo comment.";
"Killer cardio, Kinzie. You should try it.": "Killer cardio, Kinzie. You should try it.";
"Look lady, we're doing this in my time!": "Look lady, we're doing this in my time!";
"Okay, you come up here and drive and I'll go out there and fend off hordes of Zin.": "Okay, you come up here and drive and I'll go out there and fend off hordes of Zin.";
"Kinzie. I got this.": "Kinzie. I got this.";
"It's a two-stage rocket. Be careful.": "It's a two-stage rocket. Be careful.";
"Is Tanya really that much of a threat?": "Is Tanya really that much of a threat?";
"*laughing*": "*laughing*";
"Just land it, Johnny.  Kinzie, maintain contact.": "Just land it, Johnny.  Kinzie, maintain contact.";
"Oh *BEEP*!": "Oh *BEEP*!";
"Let's do this, you badass motherfucker.": "Let's do this, you badass motherfucker.";
"There's good data coming in, but I haven't quite found the right weak point yet for the door.  Keep it up.": "There's good data coming in, but I haven't quite found the right weak point yet for the door.  Keep it up.";
"Precise is better. Let's get to the airlock.": "Precise is better. Let's get to the airlock.";
"Any idea what the loud speaker is saying?": "Any idea what the loud speaker is saying?";
"Oh yes I CAN stop the signal!": "Oh yes I CAN stop the signal!";
"Oh CID. This is the start of a beautiful friendship.": "Oh CID. This is the start of a beautiful friendship.";
"Forget it, just stop Keith!": "Forget it, just stop Keith!";
"At least I didn't absorb his ball gag.": "At least I didn't absorb his ball gag.";
"You do that and I'll take care of these distractions.": "You do that and I'll take care of these distractions.";
"What?  Why not just an entire fuckin' island then?": "What?  Why not just an entire fuckin' island then?";
"It is not help, only repaying my debt.  Now I will let you continue on your quest to find me the body you promised.": "It is not help, only repaying my debt.  Now I will let you continue on your quest to find me the body you promised.";
"Yeah, I got it...": "Yeah, I got it...";
"You can do that? Without Matt?": "You can do that? Without Matt?";
"So...what makes me a god now?": "So...what makes me a god now?";
"Three minutes.": "Three minutes.";
"Wait a minute. You saved Keith David before me?": "Wait a minute. You saved Keith David before me?";
"I didn't save you so you could watch me do all the heavy lifting...": "I didn't save you so you could watch me do all the heavy lifting...";
"According to Kinzie, every person's simulation is based on their deepest darkest fears.": "According to Kinzie, every person's simulation is based on their deepest darkest fears.";
"Do my thing to the gimp?": "Do my thing to the gimp?";
"Oh no, this wasn't job training. It was recreational.": "Oh no, this wasn't job training. It was recreational.";
"Did you seriously make this simulation for Asha?": "Did you seriously make this simulation for Asha?";
"If it helps...": "If it helps...";
"You all right? Where's Matt?": "You all right? Where's Matt?";
"As your new mayor, I have taken an oath to maintain the integrity of this city. To ensure that our women and children are not subjected to the devilish influences of outsiders. I will continue this town's tradition of quiet, peaceful reflection and strict obedience.": "As your new mayor, I have taken an oath to maintain the integrity of this city. To ensure that our women and children are not subjected to the devilish influences of outsiders. I will continue this town's tradition of quiet, peaceful reflection and strict obedience.";
"BONUS ROUND!": "BONUS ROUND!";
"Matt, whatever it is can wait.  I have to focus on what I must do.": "Matt, whatever it is can wait.  I have to focus on what I must do.";
"Kinzie...?  Shit...": "Kinzie...?  Shit...";
"Don't toy with me.": "Don't toy with me.";
"Get those furry sonsabitches!": "Get those furry sonsabitches!";
"DELETE": "DELETE";
"Are you gonna let them ruin the party?  Let's see some defense here!": "Are you gonna let them ruin the party?  Let's see some defense here!";
"That... seems like a good reason to go get them.  I'm in.": "That... seems like a good reason to go get them.  I'm in.";
"Way to balance inspirational speech and totally creepy cult leader, Asha.": "Way to balance inspirational speech and totally creepy cult leader, Asha.";
"Hehehe. You wear it well.": "Hehehe. You wear it well.";
"So basically either I make it to Kinzie or I die.": "So basically either I make it to Kinzie or I die.";
"I killed people. Destroyed shit. Y'know, the ushe.": "I killed people. Destroyed shit. Y'know, the ushe.";
"DELETE": "DELETE";
"Uh-uh.": "Uh-uh.";
"First, do you remember how to use this suit?": "First, do you remember how to use this suit?";
"Get in, Paul's not gonna stay down...": "Get in, Paul's not gonna stay down...";
"Fine.  Sorry.": "Fine.  Sorry.";
"DELETE": "DELETE";
"Come on, come to papa!": "Come on, come to papa!";
"Not a bad time actually. But we need to get Tammy out of here.": "Not a bad time actually. But we need to get Tammy out of here.";
"Was this simulation really made for Asha?": "Was this simulation really made for Asha?";
"What's going on, Kinzie?": "What's going on, Kinzie?";
"Besides, I already found a real C.I.D. body for him on the ship. So, y'know, synchronicity.": "Besides, I already found a real C.I.D. body for him on the ship. So, y'know, synchronicity.";
"So, uh, maybe I should follow CID?": "So, uh, maybe I should follow CID?";
"I was also busy saving a computer geek from the Lawrence Welk Zone.": "I was also busy saving a computer geek from the Lawrence Welk Zone.";
"I really hope this is the real you--": "I really hope this is the real you--";
"I'm gonna have you stuffed and mounted, you alien fuck.": "I'm gonna have you stuffed and mounted, you alien fuck.";
"Only you, CID?": "Only you, CID?";
"Kill that fucker!": "Kill that fucker!";
"I don't have any guns.": "I don't have any guns.";
"Translation device! Ha! Nice one, Kinz--oh, there it is.": "Translation device! Ha! Nice one, Kinz--oh, there it is.";
"Great.": "Great.";
"Why do these things always have eye beams...": "Why do these things always have eye beams...";
"Ain't the whole point to let it crash?": "Ain't the whole point to let it crash?";
"Okay, everybody, forward!": "Okay, everybody, forward!";
"... Really?": "... Really?";
"So where is this \\\"Army of Minions\\\" at?": "So where is this \\\"Army of Minions\\\" at?";
"Try it again.": "Try it again.";
"Kinzie said the guns are missing...stuff.": "Kinzie said the guns are missing...stuff.";
"I've marked a viral injection point. Protect the virus while it uploads.": "I've marked a viral injection point. Protect the virus while it uploads.";
"Shit. Where's Processing Chamber 9?": "Shit. Where's Processing Chamber 9?";
"You know what, I feel like King and I got a lot in common, you know?  We both rose up from the streets to make something of ourselves.  We're both celebrities with our own fan base.  We share that bond.  Yeah. Now if I could only get him to sit down and play a game of chess...": "You know what, I feel like King and I got a lot in common, you know?  We both rose up from the streets to make something of ourselves.  We're both celebrities with our own fan base.  We share that bond.  Yeah. Now if I could only get him to sit down and play a game of chess...";
"This looks important. Let's blow this up.": "This looks important. Let's blow this up.";
"In line! Let's go!": "In line! Let's go!";
"You'll find out soon enough.": "You'll find out soon enough.";
"...and then take out the guard.": "...and then take out the guard.";
"We're moving. Why are we moving? Let's get to the bridge.": "We're moving. Why are we moving? Let's get to the bridge.";
"Well I don't think they'd help you out now.": "Well I don't think they'd help you out now.";
"Shaundi, please. *pauses* Shaundi?": "Shaundi, please. *pauses* Shaundi?";
"You are far too weak, mere human!": "You are far too weak, mere human!";
